unit,mean,std,n,individual_ratings
"After a while, a platoon attacked who was hiding in the mountains.",2.8182,1.1677,11,"[2, 3, 2, 2, 2, 4, 5, 4, 3, 1, 3]"
"After a while, a platoon attacked, uh, who was hiding in the mountains.",2.0,0.9428,10,"[1, 2, 2, 2, 1, 1, 3, 2, 4, 2]"
"After a while, a platoon who was hiding in the mountains attacked.",4.2,0.9189,10,"[3, 5, 3, 5, 4, 3, 5, 4, 5, 5]"
"After a while, a platoon who was hiding in the mountains, uh, attacked.",3.4,0.6992,10,"[4, 3, 4, 2, 3, 4, 4, 4, 3, 3]"
"After a while, a platoon, uh, attacked who was hiding in the mountains.",2.2,0.9189,10,"[1, 3, 2, 1, 2, 2, 4, 2, 2, 3]"
"After a while, a platoon, uh, who was hiding in the mountains attacked.",2.5455,1.2933,11,"[4, 1, 4, 4, 4, 1, 2, 2, 3, 1, 2]"
"After dinner, a musician arrived who was hired for the wedding.",3.7,0.8233,10,"[4, 4, 4, 5, 2, 3, 4, 4, 3, 4]"
"After dinner, a musician arrived, uh, who was hired for the wedding.",3.6,0.9661,10,"[4, 4, 5, 2, 4, 4, 3, 2, 4, 4]"
"After dinner, a musician who was hired for the wedding arrived.",4.1,0.8756,10,"[5, 5, 5, 3, 4, 4, 4, 5, 3, 3]"
"After dinner, a musician who was hired for the wedding, uh, arrived.",3.0,1.3416,11,"[5, 4, 4, 4, 4, 3, 2, 1, 3, 1, 2]"
"After dinner, a musician, uh, arrived who was hired for the wedding.",2.6,0.9661,10,"[2, 4, 3, 2, 2, 1, 3, 3, 4, 2]"
"After dinner, a musician, uh, who was hired for the wedding arrived.",2.8182,1.0787,11,"[3, 4, 4, 2, 4, 2, 3, 4, 1, 2, 2]"
"After midnight, the entertained who was hired for the party danced.",2.3,1.1595,10,"[5, 2, 2, 2, 3, 3, 2, 1, 1, 2]"
"After midnight, the entertained who was hired for the party, uh, danced.",2.5,1.354,10,"[1, 2, 1, 4, 1, 2, 4, 2, 4, 4]"
"After midnight, the entertained, uh, who was hired for the party danced.",2.8,1.3984,10,"[4, 2, 1, 4, 2, 2, 4, 1, 5, 3]"
"After midnight, the entertainer danced who was hired for the party.",2.4,1.075,10,"[4, 2, 1, 1, 4, 2, 3, 3, 2, 2]"
"After midnight, the entertainer danced, uh, who was hired for the party.",2.4545,1.2933,11,"[3, 3, 5, 2, 2, 3, 1, 1, 4, 1, 2]"
"After midnight, the entertainer, uh, danced who was hired for the party.",2.0909,0.9439,11,"[2, 2, 4, 2, 3, 1, 1, 1, 3, 2, 2]"
"After the class, a student apologized whose attendance was far from perfect.",2.9091,1.5136,11,"[1, 5, 4, 5, 4, 1, 2, 2, 4, 2, 2]"
"After the class, a student apologized, uh, whose attendance was far from perfect.",2.2,0.9189,10,"[1, 2, 2, 1, 2, 3, 2, 4, 2, 3]"
"After the class, a student whose attendance was far from perfect apologized.",4.0,1.0541,10,"[5, 4, 3, 5, 2, 5, 4, 3, 4, 5]"
"After the class, a student whose attendance was far from perfect, uh, apologized.",4.4,0.6992,10,"[5, 4, 4, 5, 4, 3, 5, 5, 5, 4]"
"After the class, a student, uh, apologized whose attendance was far from perfect.",2.7273,1.1909,11,"[3, 4, 4, 2, 1, 3, 2, 4, 2, 1, 4]"
"After the class, a student, uh, whose attendance was far from perfect apologized.",3.1,0.8756,10,"[4, 4, 3, 3, 3, 2, 4, 4, 2, 2]"
"After the climb, an amateur fainted who had complained all day.",3.4,1.5055,10,"[4, 5, 4, 2, 4, 2, 2, 1, 5, 5]"
"After the climb, an amateur fainted, uh, who had complained all day.",2.5455,1.2933,11,"[1, 2, 4, 4, 4, 1, 1, 2, 3, 4, 2]"
"After the climb, an amateur who had complained all day fainted.",4.1818,0.8739,11,"[3, 5, 5, 3, 5, 5, 4, 4, 3, 5, 4]"
"After the climb, an amateur who had complained all day, uh, fainted.",3.8,0.4216,10,"[4, 4, 4, 4, 4, 4, 4, 3, 3, 4]"
"After the climb, an amateur, uh, fainted who had complained all day.",2.5,0.8498,10,"[3, 3, 2, 2, 1, 2, 3, 4, 3, 2]"
"After the climb, an amateur, uh, who had complained all day fainted.",3.4,1.1738,10,"[5, 5, 3, 2, 2, 2, 4, 3, 4, 4]"
"After the court case, a witness disappeared who willingly testified.",3.0909,1.7003,11,"[2, 2, 5, 5, 1, 1, 5, 5, 4, 2, 2]"
"After the court case, a witness disappeared, uh, who willingly testified.",2.9,0.5676,10,"[3, 3, 3, 2, 3, 3, 4, 3, 2, 3]"
"After the court case, a witness who willingly testified disappeared.",3.9,1.2867,10,"[5, 3, 3, 5, 2, 5, 5, 2, 4, 5]"
"After the court case, a witness who willingly testified, uh, disappeared.",4.5,0.7071,10,"[5, 5, 5, 5, 4, 4, 5, 5, 3, 4]"
"After the court case, a witness, uh, disappeared who willingly testified.",3.0,1.0954,11,"[4, 3, 3, 2, 2, 4, 1, 4, 4, 2, 4]"
"After the court case, a witness, uh, who willingly testified disappeared.",3.7,0.6749,10,"[3, 3, 3, 4, 5, 3, 4, 4, 4, 4]"
"After the meeting last week, a carpenter joined who was clearly enthusiastic about the project.",4.2727,0.9045,11,"[4, 5, 4, 4, 5, 5, 5, 4, 2, 5, 4]"
"After the meeting last week, a carpenter joined, uh, who was clearly enthusiastic about the project.",2.7,1.3375,10,"[5, 2, 1, 2, 3, 1, 2, 3, 4, 4]"
"After the meeting last week, a carpenter who was clearly enthusiastic about the project joined.",4.0,0.9428,10,"[5, 2, 5, 4, 4, 3, 4, 4, 4, 5]"
"After the meeting last week, a carpenter who was clearly enthusiastic about the project, uh, joined.",3.0,1.0541,10,"[3, 4, 4, 2, 1, 3, 4, 4, 3, 2]"
"After the meeting last week, a carpenter, uh, joined who was clearly enthusiastic about the project.",3.1,0.9944,10,"[4, 4, 3, 1, 3, 4, 3, 4, 2, 3]"
"After the meeting last week, a carpenter, uh, who was clearly enthusiastic about the project joined.",3.0,1.2649,11,"[5, 1, 4, 4, 4, 3, 3, 2, 3, 1, 3]"
"After the show, a performer bowed who had really impressed the audience.",3.6364,1.206,11,"[4, 4, 4, 3, 2, 4, 4, 5, 4, 1, 5]"
"After the show, a performer bowed, uh, who had really impressed the audience.",2.9,1.1972,10,"[5, 2, 4, 2, 2, 2, 4, 2, 2, 4]"
"After the show, a performer who had really impressed the audience bowed.",4.7,0.6749,10,"[5, 5, 5, 5, 5, 4, 5, 5, 3, 5]"
"After the show, a performer who had really impressed the audience, uh, bowed.",3.8,0.7888,10,"[4, 4, 4, 4, 2, 3, 4, 4, 4, 5]"
"After the show, a performer, uh, bowed who had really impressed the audience.",3.2,1.1353,10,"[2, 4, 4, 2, 2, 3, 4, 5, 2, 4]"
"After the show, a performer, uh, who had really impressed the audience bowed.",3.0909,1.221,11,"[5, 4, 4, 4, 4, 2, 3, 2, 2, 1, 3]"
"After the singer, a comedian performed who was famous for his impressions.",2.9091,1.3003,11,"[2, 2, 5, 2, 5, 2, 4, 2, 4, 2, 2]"
"After the singer, a comedian performed, uh, who was famous for his impressions.",3.5,0.8498,10,"[4, 4, 4, 4, 2, 4, 4, 3, 2, 4]"
"After the singer, a comedian who was famous for his impressions performed.",4.1,1.1005,10,"[5, 5, 3, 5, 2, 5, 4, 3, 4, 5]"
"After the singer, a comedian who was famous for his impressions, uh, performed.",4.3,0.6749,10,"[5, 4, 4, 5, 4, 3, 4, 5, 5, 4]"
"After the singer, a comedian, uh, performed who was famous for his impressions.",3.4545,1.2933,11,"[3, 5, 5, 4, 2, 5, 2, 4, 2, 2, 4]"
"After the singer, a comedian, uh, who was famous for his impressions performed.",2.7778,1.0929,9,"[3, 4, 2, 1, 2, 4, 4, 2, 3]"
"At closing, an old lady entered who was shopping for her grandchildren.",3.8,1.1353,10,"[5, 4, 5, 4, 2, 5, 4, 4, 3, 2]"
"At closing, an old lady entered, uh, who was shopping for her grandchildren.",3.0,1.2649,11,"[4, 5, 5, 3, 2, 2, 3, 2, 3, 1, 3]"
"At closing, an old lady who was shopping for her grandchildren entered.",3.9,0.7379,10,"[5, 4, 3, 4, 4, 4, 5, 3, 3, 4]"
"At closing, an old lady who was shopping for her grandchildren, uh, entered.",3.6,1.075,10,"[5, 3, 4, 2, 5, 2, 4, 3, 4, 4]"
"At closing, an old lady, uh, entered who was shopping for her grandchildren.",2.5455,1.0357,11,"[2, 2, 4, 3, 4, 1, 3, 3, 3, 1, 2]"
"At closing, an old lady, uh, who was shopping for her grandchildren entered.",3.9,0.8756,10,"[4, 4, 4, 5, 4, 3, 5, 4, 2, 4]"
"At night, a ghost materialized who supposedly was the murdered child.",4.1,0.5676,10,"[5, 4, 4, 5, 4, 4, 4, 4, 3, 4]"
"At night, a ghost materialized, uh, who was supposedly the murdered child.",3.8,0.6325,10,"[4, 4, 4, 4, 4, 2, 4, 4, 4, 4]"
"At night, a ghost who supposedly was the murdered child appeared.",3.8,1.2293,10,"[4, 4, 5, 1, 4, 3, 5, 5, 4, 3]"
"At night, a ghost who was supposedly the murdered child, uh, materialized.",2.9091,1.3003,11,"[5, 1, 4, 4, 4, 2, 3, 3, 2, 1, 3]"
"At night, a ghost, uh, materialized who was supposedly the murdered child.",3.4,0.9661,10,"[5, 3, 3, 2, 4, 2, 4, 3, 4, 4]"
"At night, a ghost, uh, who was supposedly the murdered child materialized.",3.0,1.1832,11,"[3, 4, 2, 3, 4, 2, 3, 5, 1, 2, 4]"
"At nine-thirty, a student awoke who was late for the test.",2.6,1.4298,10,"[5, 4, 3, 4, 1, 1, 3, 2, 2, 1]"
"At nine-thirty, a student awoke, uh, who was late for the test.",2.4444,1.0138,9,"[2, 2, 4, 1, 2, 3, 4, 2, 2]"
"At nine-thirty, a student who was late for the test awoke.",3.4545,1.3685,11,"[4, 2, 4, 5, 4, 1, 3, 5, 2, 5, 3]"
"At nine-thirty, a student who was late for the test, uh, awoke.",3.4545,1.0357,11,"[4, 4, 4, 2, 4, 4, 2, 5, 3, 2, 4]"
"At nine-thirty, a student, uh, awoke who was late for the test.",3.1,1.1005,10,"[3, 2, 4, 2, 4, 3, 2, 2, 5, 4]"
"At nine-thirty, a student, uh, who was late for the test awoke.",3.1,1.1005,10,"[1, 4, 2, 3, 3, 4, 4, 4, 2, 4]"
"At the hospital, a man cried whose wife had been severely injured.",2.9,1.1005,10,"[2, 4, 2, 2, 3, 4, 2, 2, 3, 5]"
"At the hospital, a man cried, uh, whose wife had been severely injured.",2.6364,1.2863,11,"[1, 4, 4, 4, 4, 2, 1, 2, 3, 1, 3]"
"At the hospital, a man whose wife had been severely injured cried.",3.9091,1.1362,11,"[4, 5, 3, 2, 5, 4, 5, 2, 4, 5, 4]"
"At the hospital, a man whose wife had been severely injured, uh, cried.",3.1,0.8756,10,"[2, 4, 3, 4, 3, 4, 4, 2, 2, 3]"
"At the hospital, a man, uh, cried whose wife had been severely injured.",3.0,0.9428,10,"[4, 4, 2, 4, 2, 3, 3, 4, 2, 2]"
"At the hospital, a man, uh, whose wife had been severely injured cried.",3.4,1.2649,10,"[5, 2, 4, 2, 2, 2, 5, 4, 4, 4]"
"At the market, a woman apologized who hit people with her bag.",2.4,0.9661,10,"[3, 3, 1, 2, 1, 2, 4, 3, 2, 3]"
"At the market, a woman apologized, uh, who hit people with her bag.",2.7,0.8233,10,"[3, 2, 2, 2, 3, 3, 2, 2, 4, 4]"
"At the market, a woman who hit people with her bag apologized.",3.6667,1.118,9,"[2, 5, 3, 5, 3, 4, 5, 3, 3]"
"At the market, a woman who hit people with her bag, uh, apologized.",2.9091,1.221,11,"[5, 2, 4, 4, 4, 2, 3, 2, 3, 1, 2]"
"At the market, a woman, uh, apologized who hit people with her bag.",2.2,0.9189,10,"[1, 2, 3, 2, 1, 2, 3, 2, 4, 2]"
"At the market, a woman, uh, who hit people with her bag apologized.",2.7273,1.1037,11,"[4, 4, 4, 2, 4, 2, 2, 3, 1, 2, 2]"
"Before last call, a drunk left who often bothered the young women.",3.2,1.1353,10,"[3, 5, 4, 2, 3, 3, 2, 2, 3, 5]"
"Before last call, a drunk left, uh, who often bothered the young women.",2.3,1.2517,10,"[1, 4, 4, 4, 2, 2, 1, 2, 1, 2]"
"Before last call, a drunk who often bothered the young women left.",4.0,1.0,11,"[3, 5, 5, 2, 5, 4, 5, 4, 3, 4, 4]"
"Before last call, a drunk who often bothered the young women, uh, left.",3.3,0.6749,10,"[4, 4, 3, 3, 4, 4, 3, 3, 2, 3]"
"Before last call, a drunk, uh, left who often bothered the young women.",2.7,0.9487,10,"[3, 3, 3, 4, 2, 2, 2, 4, 3, 1]"
"Before last call, a drunk, uh, who often bothered the young women left.",2.6,1.2649,10,"[5, 1, 3, 2, 1, 2, 3, 2, 4, 3]"
"During the conference, a researcher arrived who had won the Nobel Prize.",4.2222,0.8333,9,"[5, 3, 5, 5, 5, 4, 4, 4, 3]"
"During the conference, a researcher arrived, uh, who had won the Nobel Prize.",3.6,0.6992,10,"[4, 3, 4, 4, 4, 2, 4, 4, 3, 4]"
"During the conference, a researcher who had won the Nobel Prize arrived.",4.5455,0.6876,11,"[5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 4]"
"During the conference, a researcher who had won the Nobel Prize, uh, arrived.",4.0,0.8944,11,"[4, 4, 3, 4, 4, 5, 4, 5, 5, 2, 4]"
"During the conference, a researcher, uh, arrived who had won the Nobel Prize.",3.2,1.0328,10,"[3, 1, 4, 3, 4, 4, 4, 3, 2, 4]"
"During the conference, a researcher, uh, who had won the Nobel Prize arrived.",3.7,0.6749,10,"[4, 4, 4, 4, 5, 4, 3, 3, 3, 3]"
"During the meeting, a parent entered who was pushing for less homework.",4.0909,0.9439,11,"[4, 3, 4, 5, 4, 4, 5, 5, 5, 4, 2]"
"During the meeting, a parent entered, uh, who was pushing for less homework.",3.0,0.6667,10,"[3, 4, 3, 3, 3, 2, 4, 3, 2, 3]"
"During the meeting, a parent who was pushing for less homework entered.",3.9,0.8756,10,"[5, 4, 4, 4, 2, 5, 4, 3, 4, 4]"
"During the meeting, a parent who was pushing for less homework, uh, entered.",3.9,0.9944,10,"[4, 4, 2, 5, 4, 3, 5, 5, 3, 4]"
"During the meeting, a parent, uh, entered who was pushing for less homework.",3.1818,1.2505,11,"[3, 4, 5, 2, 1, 4, 2, 4, 4, 2, 4]"
"During the meeting, a parent, uh, who was pushing for less homework entered.",3.3,0.9487,10,"[4, 4, 4, 3, 2, 2, 4, 4, 2, 4]"
"During the opera, a villain appeared who attempted to trick the heroine.",4.1,0.5676,10,"[5, 4, 3, 4, 4, 4, 4, 4, 4, 5]"
"During the opera, a villain appeared, uh, who attempted to trick the heroine.",3.5,0.8498,10,"[4, 4, 3, 4, 2, 2, 4, 4, 4, 4]"
"During the opera, a villain who attempted to trick the heroine appeared.",4.3636,0.6742,11,"[5, 4, 5, 4, 4, 5, 4, 5, 3, 5, 4]"
"During the opera, a villain who attempted to trick the heroine, uh, appeared.",3.4545,0.8202,11,"[4, 4, 3, 3, 4, 2, 4, 4, 4, 2, 4]"
"During the opera, a villain, uh, appeared who attempted to trick the heroine.",3.5,1.0801,10,"[4, 2, 5, 2, 4, 4, 2, 4, 4, 4]"
"During the opera, a villain, uh, who attempted to trick the heroine appeared.",3.7,0.6749,10,"[5, 4, 4, 3, 4, 4, 3, 3, 3, 4]"
"During the presentation, an executive interjected who was known for inappropriate remarks.",3.5,0.8498,10,"[4, 4, 5, 2, 3, 4, 4, 3, 3, 3]"
"During the presentation, an executive interjected, uh, who was known for inappropriate remarks.",3.2,1.1353,10,"[3, 5, 4, 2, 4, 2, 2, 2, 4, 4]"
"During the presentation, an executive who was known for inappropriate remarks interjected.",4.3,0.6749,10,"[4, 4, 5, 3, 5, 4, 5, 5, 4, 4]"
"During the presentation, an executive who was known for inappropriate remarks, uh, interjected.",3.1818,1.1677,11,"[5, 2, 4, 4, 4, 3, 4, 2, 3, 1, 3]"
