unit,mean,std,n,individual_ratings,item_type
What did Barbara crab that Karen sold?,1.44,0.951,50,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 5, 1, 3, 1, 1, 2, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 2]",test
What did Barbara remark that William bought?,4.3265,1.962,49,"[7, 7, 6, 7, 5, 7, 5, 3, 3, 5, 7, 7, 3, 5, 5, 2, 3, 1, 5, 2, 4, 4, 1, 2, 1, 4, 7, 7, 1, 4, 4, 4, 5, 5, 2, 1, 3, 3, 6, 5, 5, 5, 7, 4, 3, 7, 7, 2, 4]",test
What did Barbara shriek that Thomas bought?,3.8367,1.841,49,"[6, 5, 3, 5, 6, 7, 3, 2, 1, 4, 6, 2, 4, 5, 5, 5, 2, 1, 6, 5, 1, 6, 5, 3, 1, 1, 2, 3, 5, 1, 5, 3, 5, 2, 5, 3, 3, 3, 5, 4, 2, 7, 7, 2, 5, 7, 2, 3, 4]",test
What did Charles assert that James sold?,4.94,1.8671,50,"[7, 1, 4, 7, 5, 7, 5, 3, 1, 3, 6, 7, 5, 2, 6, 4, 3, 3, 5, 5, 2, 5, 5, 1, 7, 6, 5, 7, 2, 7, 6, 6, 6, 2, 5, 7, 2, 7, 5, 7, 5, 6, 7, 6, 5, 5, 7, 7, 5, 5]",test
What did Charles bluster that Sarah broke?,2.7,1.7985,50,"[1, 1, 1, 1, 1, 7, 3, 1, 3, 3, 2, 1, 4, 1, 5, 4, 1, 1, 3, 6, 1, 3, 3, 1, 3, 1, 3, 4, 5, 1, 2, 2, 6, 4, 3, 2, 1, 3, 1, 1, 2, 1, 1, 6, 3, 3, 7, 6, 2, 4]",test
What did Charles cable that John broke?,1.72,1.3708,50,"[1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 5, 7, 1, 1, 1, 4, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 4, 4, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",test
What did Charles exhibit that Barbara broke?,3.34,1.7912,50,"[3, 2, 5, 2, 5, 4, 3, 3, 5, 2, 5, 6, 4, 2, 6, 6, 2, 2, 1, 5, 1, 2, 2, 1, 6, 4, 5, 6, 7, 1, 3, 4, 7, 1, 3, 6, 3, 3, 4, 5, 3, 1, 1, 2, 3, 2, 2, 1, 2, 3]",test
What did Charles identify that Lisa would buy?,5.46,1.2488,50,"[6, 5, 5, 6, 3, 6, 3, 4, 7, 3, 5, 7, 6, 6, 6, 7, 2, 5, 5, 5, 5, 4, 5, 6, 7, 5, 4, 6, 7, 7, 5, 5, 7, 4, 6, 6, 4, 6, 6, 6, 5, 5, 5, 5, 7, 7, 7, 7, 7, 5]",test
What did Charles rave that Nancy broke?,2.98,1.9324,50,"[3, 1, 2, 6, 5, 4, 3, 1, 1, 1, 2, 1, 5, 1, 5, 2, 1, 1, 4, 1, 1, 4, 2, 1, 5, 2, 5, 5, 7, 1, 2, 2, 6, 6, 3, 2, 1, 2, 6, 4, 3, 1, 6, 5, 1, 3, 7, 3, 1, 2]",test
What did Charles think that Linda broke?,6.36,0.9638,50,"[7, 7, 6, 7, 6, 7, 7, 7, 6, 5, 7, 7, 6, 7, 6, 7, 4, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 5, 5, 6, 6, 7, 3, 4, 5, 7, 7, 6, 7, 5, 7, 7, 7, 7, 7, 7, 6]",test
What did Christopher bawl that John bought?,2.26,1.4682,50,"[5, 1, 1, 5, 1, 3, 2, 1, 2, 4, 3, 1, 1, 2, 5, 5, 1, 1, 3, 4, 1, 4, 2, 1, 1, 1, 1, 4, 1, 1, 3, 2, 4, 2, 3, 2, 1, 2, 2, 3, 1, 1, 2, 6, 1, 1, 1, 5, 1, 2]",test
What did Christopher cable that David bought?,1.56,1.248,50,"[1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 2, 5, 2, 2, 1, 6, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",test
What did Christopher doubt that Jessica bought?,5.32,1.7313,50,"[7, 7, 3, 7, 6, 7, 5, 5, 1, 5, 7, 7, 5, 5, 5, 4, 3, 5, 6, 4, 5, 5, 6, 7, 7, 4, 1, 7, 7, 2, 4, 6, 2, 7, 7, 6, 2, 6, 5, 6, 3, 5, 6, 7, 7, 6, 7, 7, 7, 5]",test
What did Christopher express that Joseph would buy?,4.2,1.9483,50,"[7, 5, 4, 6, 5, 7, 4, 3, 1, 7, 3, 7, 5, 5, 3, 3, 2, 1, 4, 5, 2, 4, 6, 5, 7, 4, 1, 5, 7, 7, 3, 5, 5, 6, 6, 2, 1, 2, 5, 3, 3, 1, 5, 7, 4, 3, 1, 7, 3, 3]",test
What did Christopher face that Thomas sold?,1.64,0.8751,50,"[1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 3, 1, 4, 2, 3, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 3, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 5, 1, 1, 1, 1, 2, 2]",test
What did Christopher gossip that Michael broke?,4.62,2.0592,50,"[7, 7, 4, 2, 3, 7, 5, 1, 1, 3, 6, 7, 6, 6, 5, 7, 1, 1, 3, 5, 7, 6, 1, 4, 7, 7, 5, 6, 7, 2, 3, 4, 7, 6, 5, 4, 1, 2, 5, 7, 5, 3, 4, 5, 4, 2, 7, 6, 6, 6]",test
What did Christopher lament that Sarah broke?,3.94,2.0644,50,"[7, 1, 4, 2, 5, 7, 3, 5, 1, 3, 2, 1, 4, 1, 2, 5, 2, 1, 7, 5, 1, 5, 5, 1, 7, 2, 7, 7, 7, 1, 5, 4, 5, 4, 3, 3, 1, 3, 6, 7, 5, 3, 6, 5, 4, 5, 7, 3, 3, 4]",test
What did Christopher presume that Richard broke?,5.94,1.2022,50,"[7, 7, 5, 7, 5, 7, 4, 5, 7, 5, 5, 7, 5, 5, 5, 7, 5, 6, 6, 6, 1, 6, 6, 7, 7, 5, 4, 7, 5, 7, 6, 5, 7, 6, 7, 7, 5, 5, 7, 7, 6, 5, 5, 7, 6, 7, 7, 7, 7, 7]",test
What did Daniel blubber that Charles broke?,3.6327,1.8785,49,"[5, 2, 2, 2, 4, 6, 2, 2, 5, 3, 2, 1, 3, 3, 6, 5, 1, 4, 5, 3, 6, 2, 3, 7, 5, 7, 7, 6, 1, 3, 3, 6, 2, 5, 2, 1, 2, 1, 5, 3, 3, 5, 6, 2, 5, 1, 6, 5, 2]",test
What did Daniel consent that Mary would break?,2.34,1.239,50,"[2, 1, 4, 2, 1, 2, 1, 1, 1, 3, 2, 6, 2, 2, 3, 2, 2, 2, 1, 2, 1, 3, 3, 2, 2, 3, 1, 4, 5, 1, 2, 2, 4, 2, 3, 2, 1, 3, 2, 5, 2, 1, 1, 2, 3, 3, 1, 4, 5, 2]",test
What did Daniel crab that Linda broke?,1.66,1.2875,50,"[1, 1, 1, 3, 1, 4, 2, 1, 3, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 3]",test
What did Daniel demonstrate that Linda bought?,3.5102,1.7809,49,"[5, 6, 1, 2, 5, 3, 3, 2, 1, 4, 3, 5, 1, 6, 2, 2, 2, 2, 4, 5, 3, 2, 4, 7, 3, 1, 4, 7, 1, 4, 3, 7, 5, 3, 3, 3, 4, 4, 4, 3, 1, 1, 6, 3, 5, 1, 6, 6, 4]",test
