unit,mean,std,n,individual_ratings,item_type
The aliens who are technologically advanced beyond our wildest dreams only pay any attention to us because of our expanding shell of old TV programs propagating throughout the galaxy.,2.25,1.344,32,"[1, 4, 1, 4, 4, 1, 4, 5, 1, 4, 3, 1, 1, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2, 4, 1, 1, 1, 1, 1, 5, 2, 2]",filler
The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page.,4.1667,0.7528,6,"[5, 5, 4, 4, 3, 4]",test
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page.,4.1,0.8756,10,"[4, 5, 4, 4, 4, 2, 4, 5, 4, 5]",test
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library.,3.8571,1.215,7,"[3, 5, 3, 2, 4, 5, 5]",test
The ancient manuscript that the grad student who the new card catalog was studying in the library was missing a page.,3.6667,1.118,9,"[5, 5, 4, 4, 2, 2, 3, 4, 4]",test
The angry scientist who the professor thought would destroy the computer printout analyzed the data correctly.,2.0938,0.9955,32,"[1, 3, 2, 4, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 1, 1, 4, 1, 1, 2, 3, 5, 1, 3]",filler
The apartment that the maid who the service had sent over was cleaning every week was well decorated.,3.3,1.4181,10,"[5, 2, 2, 4, 5, 4, 4, 2, 1, 4]",test
The apartment that the maid who the service had sent over was cleaning every week.,3.75,1.893,4,"[5, 5, 4, 1]",test
The apartment that the maid who the service had sent over was well decorated.,3.6667,1.3663,6,"[5, 4, 5, 2, 4, 2]",test
The apartment that the maid who the service was cleaning every week was well decorated.,2.4167,1.4434,12,"[4, 2, 4, 1, 2, 1, 2, 2, 5, 1, 1, 4]",test
The aviator that the servant wonders whether his master will invite is unavailable at the moment.,3.2812,1.3497,32,"[4, 5, 2, 5, 2, 2, 4, 3, 2, 3, 5, 2, 4, 2, 5, 2, 4, 2, 3, 4, 5, 1, 5, 4, 2, 1, 1, 4, 4, 4, 5, 4]",filler
