unit,mean,std,n,individual_ratings,item_type
A altura das pirâmides impressionou os visitantes durante o passeio?,6.4444,0.7265,9,"[5, 7, 7, 6, 6, 7, 7, 7, 6]",test
A beleza das flores confortou as famílias durante o velório?,6.5,1.0,4,"[7, 7, 5, 7]",test
A beleza do deserto maravilhou teus filhos durante o passeio?,6.1818,1.834,11,"[7, 5, 6, 7, 7, 7, 7, 7, 7, 7, 1]",test
A clareza dos documentos tranquilizou os advogados durante o julgamento?,6.1,0.9944,10,"[7, 6, 7, 7, 5, 5, 7, 7, 5, 5]",test
"A cor do conversível encantou o jogador de futebol, por causa de seu brilho?",3.6667,2.2509,6,"[1, 2, 2, 6, 5, 6]",test
A empresa conseguiu finalmente atender às expectativas dos funcionários?,6.2593,1.2467,54,"[7, 7, 7, 7, 7, 6, 5, 6, 3, 7, 7, 6, 6, 6, 6, 7, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 2, 7, 6, 5, 7, 4, 7, 7, 7, 3, 7, 7, 7, 7, 6, 7, 3, 7, 7, 7, 7, 7, 7, 6, 4, 7, 6, 7]",filler
"A forma da janela desagradava o pedreiro, pois ela não era perfeitamente simétrica?",4.8571,2.1931,7,"[3, 5, 7, 6, 5, 7, 1]",test
A fragilidade do prédio inquietava os vizinhos por ele estar todo quebrado?,5.0,1.5275,7,"[5, 3, 6, 7, 5, 6, 3]",test
A grandeza do evento deslumbrou os jornalistas na noite passada?,6.3333,0.5164,6,"[6, 7, 6, 6, 7, 6]",test
"A instabilidade dos andaimes angustiava os moradores, apesar das palavras tranquilizadoras do empreiteiro?",4.4286,1.3973,7,"[4, 4, 2, 5, 6, 6, 4]",test
"A limpeza do consultório tranquilizava os pacientes, assim que eles entravam?",4.9,1.792,10,"[4, 5, 3, 2, 7, 7, 6, 4, 4, 7]",test
A nova estação de trabalho alegrou os jovens aprendizes porque era muito espaçosa e iluminada.,6.4259,1.1591,54,"[7, 4, 7, 7, 7, 5, 4, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 3, 7, 7, 7, 6, 7, 7, 7, 7, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 6, 3, 7, 5, 7]",filler
A nova tabela de classificação para as semifinais do campeonato alegrou o técnico?,6.2593,0.9749,54,"[7, 7, 7, 6, 7, 6, 7, 5, 7, 6, 7, 4, 7, 6, 6, 7, 7, 6, 7, 6, 5, 6, 4, 5, 7, 7, 7, 7, 5, 7, 7, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 5, 7, 5, 7, 5, 4, 7, 5, 7]",filler
