unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,5.1667,1.3153,30,"[7, 6, 3, 5, 5, 5, 6, 6, 5, 3, 7, 7, 6, 5, 3, 7, 6, 6, 4, 6, 5, 3, 5, 3, 3, 5, 5, 6, 6, 6]",test
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,5.5333,1.7564,30,"[7, 5, 1, 2, 7, 6, 7, 6, 7, 7, 4, 7, 5, 6, 6, 7, 7, 7, 5, 4, 6, 5, 7, 6, 6, 2, 6, 2, 7, 6]",test
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,5.3667,1.8096,30,"[7, 4, 7, 5, 6, 6, 4, 7, 7, 5, 7, 7, 7, 7, 5, 7, 6, 7, 5, 7, 4, 5, 2, 5, 6, 4, 2, 1, 2, 7]",test
A garden brings color to a backyard. Flowers add beauty to a windowsill.,5.5667,1.4308,30,"[7, 6, 1, 6, 5, 3, 5, 5, 5, 6, 5, 7, 7, 6, 3, 7, 6, 7, 6, 7, 4, 6, 7, 5, 7, 5, 5, 6, 7, 5]",test
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,3.8333,1.7237,30,"[7, 4, 1, 2, 3, 5, 2, 4, 4, 2, 5, 5, 2, 6, 6, 2, 5, 4, 3, 4, 1, 3, 7, 5, 2, 3, 6, 6, 3, 3]",test
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,2.9333,2.1162,30,"[7, 5, 1, 1, 1, 3, 1, 5, 1, 1, 6, 7, 1, 6, 3, 1, 1, 6, 1, 2, 1, 2, 4, 3, 2, 3, 2, 6, 1, 4]",test
A new career training program was offered recently. Employment rates for local residents went up.,2.5333,1.5698,30,"[5, 4, 1, 1, 2, 5, 1, 4, 1, 2, 6, 3, 1, 3, 2, 1, 1, 3, 2, 2, 1, 2, 5, 3, 1, 3, 5, 1, 1, 4]",test
A new tech startup opened its doors last month. The firm specializes in software for small businesses.,2.7,1.622,30,"[2, 4, 1, 2, 2, 1, 4, 4, 1, 2, 5, 5, 1, 5, 1, 1, 1, 5, 2, 2, 1, 3, 4, 1, 1, 3, 3, 6, 3, 5]",test
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,4.2,2.1075,30,"[7, 5, 1, 2, 4, 4, 3, 4, 2, 1, 6, 7, 3, 4, 1, 7, 1, 6, 5, 5, 2, 6, 5, 6, 3, 5, 6, 1, 7, 7]",test
A social media platform improved its privacy settings. Users felt more secure about their personal information.,2.5,2.0803,30,"[7, 4, 1, 1, 2, 1, 1, 3, 1, 1, 7, 2, 1, 3, 6, 7, 1, 4, 3, 1, 2, 2, 1, 1, 1, 2, 1, 6, 1, 1]",test
A teacher began using new creative methods. Student engagement and participation levels increased.,2.8,1.71,30,"[2, 4, 1, 1, 5, 3, 1, 5, 1, 2, 7, 2, 1, 3, 5, 1, 1, 3, 2, 3, 2, 3, 4, 1, 4, 1, 3, 6, 2, 5]",test
A well-stocked bookshelf can transform a living room. Books can provide knowledge and act as stylish décor,5.1333,1.5253,30,"[7, 5, 4, 5, 5, 7, 4, 6, 7, 2, 6, 7, 6, 6, 3, 7, 6, 6, 5, 5, 5, 5, 4, 6, 7, 5, 5, 1, 3, 4]",test
Anna was reluctant to say goodbye and lingered at the door. Chris was able to walk away without hesitation.,5.2,1.6484,30,"[7, 5, 1, 6, 5, 5, 5, 6, 3, 7, 6, 7, 7, 5, 4, 7, 6, 6, 4, 7, 4, 5, 1, 5, 7, 4, 6, 6, 3, 6]",test
Artists turn blank canvases into masterpieces. Writers transform empty pages into captivating stories.,4.1,1.8634,30,"[7, 4, 1, 3, 1, 6, 2, 6, 4, 2, 7, 4, 5, 5, 6, 6, 1, 6, 4, 3, 4, 4, 5, 3, 2, 4, 5, 1, 6, 6]",test
