unit,mean,std,n,individual_ratings
A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,2.9474,1.3014,57,"[1, 5, 2, 2, 4, 1, 4, 2, 4, 1, 2, 2, 4, 3, 4, 5, 4, 1, 3, 3, 5, 4, 4, 5, 4, 5, 1, 2, 1, 3, 3, 4, 2, 5, 3, 5, 2, 1, 4, 1, 2, 2, 3, 3, 2, 2, 5, 3, 3, 4, 3, 4, 2, 1, 2, 3, 3]"
Companies are producing products that are so complex that they break too easily to be safe for children.,3.9833,0.9112,60,"[2, 3, 4, 5, 5, 5, 5, 5, 4, 2, 4, 4, 3, 5, 3, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 5, 2, 4, 4, 3, 4, 4, 2, 3, 3, 4, 4, 4, 3, 5, 5, 4, 4, 4, 5, 4, 4, 4, 4, 2, 4, 5, 3, 4, 3]"
For some reason gold has out-performed all other precious metals.,4.6949,0.65,59,"[4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5]"
I can't believe that bus and train companies are not more child friendly.,4.5,0.7551,58,"[5, 5, 5, 2, 5, 4, 5, 5, 5, 5, 5, 4, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 2, 5, 3, 5, 5, 4, 5, 5, 5, 4, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5]"
Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.5593,0.749,59,"[5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 1, 5, 3, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4]"
Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.8136,1.0418,59,"[4, 4, 4, 5, 3, 2, 5, 5, 5, 2, 3, 4, 3, 4, 4, 5, 4, 4, 5, 4, 5, 5, 4, 5, 2, 4, 4, 3, 4, 4, 5, 4, 2, 5, 3, 4, 3, 4, 4, 4, 4, 2, 1, 2, 5, 4, 4, 5, 2, 4, 3, 5, 3, 2, 4, 4, 5, 5, 4]"
"Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",4.1379,1.0165,58,"[2, 3, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 4, 5, 3, 5, 4, 4, 5, 4, 2, 5, 3, 5, 5, 5, 4, 5, 4, 4, 2, 4, 5, 5, 3, 3, 4, 4, 4, 4, 5, 2, 5, 3, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 2, 5, 4]"
Our basketball team is doing poorly because all of our top players graduated last year.,4.7458,0.5117,59,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5]"
Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,4.0339,0.9643,59,"[4, 4, 5, 4, 4, 4, 5, 2, 3, 4, 4, 3, 4, 2, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 3, 4, 4, 5, 4, 5, 4, 4, 4, 2, 4, 4, 5, 4, 2, 5, 4, 5, 2, 3, 5, 5, 5, 2, 5, 4, 4, 2, 5, 5, 5, 4, 4, 3]"
Rhode Island is a coastal state and the weather there gets really bad only in January.,3.7167,1.2226,60,"[2, 4, 5, 2, 4, 2, 5, 2, 4, 2, 3, 4, 3, 5, 4, 5, 3, 4, 5, 2, 3, 4, 3, 5, 2, 5, 5, 3, 4, 5, 4, 3, 2, 5, 2, 4, 5, 4, 5, 5, 5, 2, 5, 2, 3, 2, 5, 5, 1, 2, 3, 5, 4, 3, 5, 4, 5, 5, 4, 5]"
