unit,mean,std,n,individual_ratings
Adam did n't write that .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Chips went up on my bed .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Donny could n't do it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Eve 's gonna take a nap .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Eve do n't put your feet up there .,4.6667,0.4714,6,"[4, 5, 4, 5, 5, 5]"
Eve dropped the nut .,5.0,0.0,5,"[5, 5, 5, 5, 5]"
Eve wipe your mouth .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Even Mom ca n't see it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Fraser is having coffee .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He 's checking his watch .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He 's correcting your pronunciation .,4.8333,0.3727,6,"[5, 5, 4, 5, 5, 5]"
He 's eating banana .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He 's got an eye .,4.5,0.6455,12,"[5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 4, 4]"
He 's reading a story yeah.,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He 's shining the factory .,4.8333,0.3727,6,"[5, 5, 5, 5, 4, 5]"
He 's sitting in the chair .,4.8333,0.3727,6,"[4, 5, 5, 5, 5, 5]"
He did n't say anything .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He does n't have a hat .,4.8333,0.3727,6,"[5, 5, 5, 4, 5, 5]"
He does n't want pie .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He has no teeth .,4.5,0.7638,6,"[5, 3, 5, 5, 4, 5]"
He likes ice + cream .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He ride piggie .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He rides a bicycle .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
He tied it .,4.8333,0.3727,6,"[4, 5, 5, 5, 5, 5]"
Hey I see a bandaid .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll come in with you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll cook them tonight .,4.8333,0.3727,6,"[5, 5, 5, 5, 5, 4]"
I 'll draw a flower here .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll get the other one .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll get the water .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll put it in .,4.1667,1.2134,6,"[5, 5, 3, 2, 5, 5]"
I 'll read Frosty_the_snowman later not now .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll read to you later .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll show you how .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'll take his cup .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'm making coffee .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'm not drawing a flower this time .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'm not knocking you off .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I 'm shoving some pans around .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I ate my own soup .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I bump my head .,4.6667,0.4714,6,"[5, 5, 5, 4, 5, 4]"
I ca n't do it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I ca n't wear that anymore .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I can see you .,5.0,0.0,12,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
I caught you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I did it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I did n't bite you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I did n't make any .,4.8333,0.3727,6,"[5, 5, 5, 4, 5, 5]"
I do enough tricks .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I do n't believe that .,4.8333,0.3727,6,"[5, 5, 5, 5, 4, 5]"
I do n't have a brown one .,4.5,1.1902,12,"[5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5]"
I do n't have any yet .,3.8333,1.3437,6,"[5, 5, 4, 1, 4, 4]"
I do n't have one .,3.3333,1.2472,6,"[4, 4, 3, 1, 5, 3]"
I do n't know that story .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I do n't like that .,4.6667,0.4714,6,"[5, 5, 4, 4, 5, 5]"
I do n't see him .,4.6667,0.4714,6,"[4, 5, 5, 5, 4, 5]"
I do n't wanna hear it .,4.6667,0.7454,6,"[5, 5, 5, 5, 3, 5]"
I do n't wanna play with it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I do n't want the rest of it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I forgot that .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I got a ribbon .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I got the ribbon .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I got two .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have an idea .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have big teeth .,4.1667,1.4625,6,"[5, 5, 4, 1, 5, 5]"
I have mine .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have one two rings .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have some .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have some more .,4.1667,1.4625,6,"[5, 5, 5, 1, 5, 4]"
I have some tea thank + you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I have that book .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I know it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I like lobsters .,3.8333,0.8975,6,"[3, 4, 3, 5, 5, 3]"
I missed lots of that .,4.6667,0.7454,6,"[5, 5, 3, 5, 5, 5]"
I misunderstood her .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I need one .,4.0,0.8165,6,"[4, 3, 5, 5, 3, 4]"
I need three quarts .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I put them up there .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I see a lot of food there .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I see a seal .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I see it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I see you .,4.8333,0.3727,6,"[4, 5, 5, 5, 5, 5]"
I spilled it yes .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I turned it off .,4.1667,1.4625,6,"[5, 5, 5, 1, 5, 4]"
I want some .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I was looking for the engine .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I was looking for you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I went to New York .,4.8333,0.3727,6,"[5, 5, 5, 5, 4, 5]"
I wo n't step on your candy .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
I would n't take so many out .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
It 's got one leg .,2.6667,1.2472,6,"[2, 3, 3, 1, 5, 2]"
It does n't belong on here .,3.6667,1.2472,6,"[2, 4, 5, 2, 5, 4]"
It does n't go in your mouth though .,4.0,0.8165,6,"[5, 5, 4, 3, 4, 3]"
It goes on her .,4.6667,0.7454,6,"[5, 5, 5, 5, 5, 3]"
It might frighten Paul .,4.6667,0.4714,6,"[4, 5, 5, 5, 4, 5]"
It sounds like Linda .,3.8333,1.0672,6,"[5, 5, 4, 3, 2, 4]"
It works like a puppet Adam .,4.6667,0.4714,6,"[4, 5, 5, 5, 4, 5]"
Me did that .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Mom got a cookbook .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Momma went to Boston .,4.5,1.118,6,"[5, 5, 5, 5, 2, 5]"
Mommy 's gonna make a goodie .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
Mommy has one too .,3.8333,0.6872,6,"[5, 4, 4, 4, 3, 3]"
No Daddy has Mumma 's .,4.6667,0.4714,6,"[4, 4, 5, 5, 5, 5]"
No I 'll peel it .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
No I 'm asking you .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
No I 'm having milk .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
No I mean a dollie .,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]"
