unit,mean,std,n,individual_ratings
AIDS,3.1212,1.5326,33,"[5, 1, 4, 4, 5, 3, 1, 1, 2, 5, 5, 1, 4, 5, 2, 1, 5, 2, 1, 1, 5, 3, 3, 4, 3, 1, 2, 4, 4, 3, 5, 3, 5]"
Afghanistan,2.9333,1.1235,30,"[4, 2, 3, 2, 3, 4, 3, 1, 2, 2, 1, 3, 4, 1, 4, 4, 4, 2, 5, 3, 3, 5, 1, 3, 4, 3, 3, 2, 4, 3]"
Alan,2.4,0.8794,30,"[4, 3, 2, 2, 3, 1, 3, 3, 3, 3, 1, 2, 2, 3, 3, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 3, 1, 3, 1, 4]"
Alan Turing,2.7241,0.9058,29,"[3, 3, 4, 4, 3, 3, 3, 3, 2, 4, 3, 3, 3, 1, 2, 3, 1, 2, 4, 2, 3, 3, 3, 1, 4, 3, 1, 2, 3]"
Alaska,3.3448,0.9569,29,"[4, 3, 3, 3, 4, 5, 4, 3, 4, 4, 1, 4, 3, 3, 2, 4, 3, 3, 5, 3, 4, 4, 1, 3, 3, 4, 4, 2, 4]"
Albuquerque,3.0,0.8165,30,"[3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 4, 5, 4, 2, 3, 3, 3, 4, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 4]"
Aleve,2.2667,0.8919,30,"[2, 2, 2, 2, 2, 3, 3, 3, 4, 1, 1, 2, 3, 3, 1, 3, 1, 3, 2, 1, 2, 2, 1, 3, 3, 3, 2, 4, 3, 1]"
Alexander Fleming,2.7667,0.9195,30,"[2, 2, 3, 1, 1, 4, 3, 3, 3, 3, 4, 3, 3, 3, 1, 3, 1, 3, 3, 3, 2, 2, 3, 3, 4, 4, 3, 2, 4, 4]"
Alexander Ovechkin,2.5862,1.1301,29,"[1, 3, 3, 3, 4, 1, 1, 3, 2, 3, 1, 4, 3, 3, 1, 5, 2, 3, 5, 3, 3, 1, 2, 1, 3, 3, 3, 2, 3]"
Alexander the Great,4.0,0.7303,30,"[4, 5, 4, 4, 3, 4, 3, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 2, 4, 5, 3, 5, 5, 4, 4, 3, 5]"
Alice,2.8,0.9452,30,"[3, 1, 3, 4, 3, 3, 3, 3, 3, 2, 5, 3, 3, 3, 2, 3, 3, 4, 4, 1, 2, 3, 3, 3, 1, 4, 3, 1, 2, 3]"
Alice in Chains,3.5,0.9471,34,"[5, 3, 4, 4, 3, 4, 5, 1, 2, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 2, 4, 4, 2, 3, 4, 3, 5, 4, 2, 4, 3, 4, 4, 3]"
All Saints' Day,2.8966,0.8845,29,"[3, 3, 2, 3, 3, 1, 2, 3, 2, 4, 3, 4, 4, 4, 3, 1, 3, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, 1, 3]"
