unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway.,4.7333,2.016,30,"[7, 6, 6, 2, 3, 6, 7, 6, 1, 4, 5, 5, 7, 5, 7, 7, 1, 7, 6, 6, 1, 4, 3, 4, 3, 7, 3, 5, 2, 6]",test
A drop of water from the ceiling fell onto the outlet.,3.8333,2.0356,30,"[1, 4, 7, 4, 3, 7, 5, 5, 6, 5, 1, 1, 5, 7, 2, 2, 1, 7, 3, 4, 1, 6, 5, 4, 3, 5, 1, 3, 2, 5]",test
A flight attendant collected all the empty cups.,3.3448,2.0227,29,"[4, 2, 3, 1, 1, 4, 1, 6, 4, 4, 1, 5, 7, 1, 3, 1, 1, 1, 6, 4, 2, 7, 2, 5, 4, 6, 2, 3, 6]",test
A garden brings color to a backyard.,5.8,1.3493,30,"[7, 7, 5, 5, 6, 5, 7, 6, 5, 7, 5, 6, 6, 7, 6, 5, 1, 7, 6, 6, 6, 3, 7, 5, 5, 7, 5, 7, 7, 7]",test
A high-quality coffee shop is a staple of any town.,4.1,1.9713,30,"[3, 5, 1, 2, 2, 5, 7, 3, 7, 7, 4, 7, 3, 3, 5, 7, 1, 1, 4, 5, 1, 4, 2, 4, 4, 5, 7, 4, 5, 5]",test
A melody was stuck in Jim's head all day.,1.6333,1.4499,30,"[1, 1, 1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 7, 1, 3, 1]",test
A new career training program was offered recently.,1.6,1.3025,30,"[1, 1, 1, 1, 1, 1, 1, 7, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 2, 1, 1, 4, 2]",test
A new tech startup opened its doors last month.,2.2,1.6692,30,"[1, 4, 1, 1, 1, 2, 1, 6, 2, 5, 2, 1, 2, 1, 2, 5, 1, 2, 1, 4, 1, 1, 2, 1, 2, 1, 7, 2, 1, 3]",test
A powerful earthquake struck Japan this morning.,5.8,1.5177,30,"[7, 7, 4, 6, 4, 7, 4, 7, 3, 5, 6, 6, 7, 7, 7, 7, 1, 6, 6, 7, 5, 5, 7, 7, 5, 7, 7, 6, 4, 7]",test
A social media platform improved its privacy settings.,1.4333,1.1651,30,"[1, 1, 1, 1, 1, 1, 1, 5, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1]",test
A teacher began using new creative methods.,1.7333,1.2015,30,"[1, 3, 1, 2, 1, 1, 1, 5, 1, 2, 1, 1, 3, 1, 1, 4, 1, 2, 1, 5, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1]",test
A well-stocked bookshelf can transform a living room.,3.7,2.1197,30,"[1, 5, 2, 1, 1, 5, 1, 5, 3, 7, 3, 5, 5, 6, 6, 7, 1, 7, 2, 1, 1, 1, 5, 4, 4, 3, 6, 3, 4, 6]",test
Anna was reluctant to say goodbye and lingered at the door.,3.3667,1.7711,30,"[1, 3, 5, 3, 2, 6, 5, 4, 2, 5, 4, 3, 3, 1, 7, 2, 1, 6, 2, 4, 1, 2, 5, 2, 4, 2, 7, 2, 3, 4]",test
Artists turn blank canvases into masterpieces.,2.6667,1.8068,30,"[1, 2, 2, 2, 5, 1, 1, 4, 3, 3, 1, 1, 3, 7, 3, 5, 1, 1, 4, 1, 1, 2, 7, 1, 2, 3, 6, 2, 2, 3]",test
Bradley arrived at the airport by taxi.,4.8667,1.978,30,"[6, 6, 4, 2, 2, 7, 6, 5, 3, 7, 5, 5, 7, 3, 7, 7, 7, 7, 6, 6, 1, 3, 5, 3, 5, 7, 1, 5, 2, 6]",test
Clean drinking water is a basic human necessity.,2.5333,1.8889,30,"[1, 2, 1, 5, 1, 1, 1, 6, 1, 2, 2, 1, 2, 6, 3, 1, 1, 1, 2, 2, 2, 3, 5, 1, 1, 1, 7, 5, 5, 4]",test
Emily started a new yoga class last week.,2.3103,1.2565,29,"[1, 2, 1, 3, 4, 1, 4, 3, 1, 2, 1, 3, 1, 3, 4, 1, 1, 3, 3, 1, 2, 2, 2, 2, 2, 6, 2, 2, 4]",test
Emma found the presentation engaging and informative.,1.7,0.9879,30,"[1, 2, 1, 1, 1, 1, 1, 4, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 3, 5, 1, 3, 2]",test
Environmental activists worked to reduce water pollution.,3.3333,2.1867,30,"[1, 3, 2, 7, 2, 1, 3, 7, 2, 4, 2, 1, 3, 7, 1, 6, 1, 7, 1, 6, 5, 4, 2, 1, 3, 2, 2, 6, 2, 6]",test
Good lighting can totally change the feel of a room.,3.6333,2.0592,30,"[1, 4, 6, 6, 1, 1, 6, 4, 4, 6, 2, 1, 3, 5, 4, 3, 1, 6, 6, 5, 1, 1, 2, 1, 3, 6, 7, 3, 4, 6]",test
Jack started a blog about sustainable living.,2.3,1.7646,30,"[1, 2, 1, 5, 5, 1, 1, 6, 5, 2, 1, 1, 1, 4, 1, 2, 1, 1, 4, 1, 1, 2, 1, 1, 1, 2, 7, 3, 2, 3]",test
James sat silently and avoided eye contact.,1.7333,1.2015,30,"[1, 1, 2, 1, 1, 1, 1, 4, 4, 2, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 6, 1, 3, 2]",test
Jenny has long been complaining about her relationship.,1.4138,1.0183,29,"[1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 3, 1, 3, 1]",test
Lamps light up a dark room.,3.8667,2.1129,30,"[1, 5, 7, 1, 1, 6, 7, 6, 4, 7, 2, 2, 3, 6, 5, 4, 1, 7, 1, 4, 1, 3, 6, 3, 3, 4, 5, 3, 2, 6]",test
Mark found John cheating on him with their best friend.,1.9333,1.7991,30,"[1, 1, 1, 1, 1, 1, 1, 5, 5, 2, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 7, 1, 5, 2]",test
Mark hesitated to make a decision.,1.0333,0.1826,30,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Music has the power to bring people together.,1.8333,1.4404,30,"[1, 2, 1, 4, 1, 1, 1, 4, 2, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 7, 1, 4, 1]",test
Nancy put the turkey in the oven in the early afternoon.,3.5172,2.0463,29,"[1, 5, 5, 1, 1, 5, 1, 4, 5, 2, 1, 2, 6, 5, 4, 3, 1, 7, 5, 2, 1, 2, 6, 1, 5, 5, 7, 5, 4]",test
Researchers found a new bird species in Brazil.,4.5,2.0968,30,"[1, 6, 1, 6, 6, 1, 5, 7, 3, 2, 4, 6, 6, 6, 6, 5, 1, 7, 5, 6, 7, 2, 3, 5, 4, 6, 1, 6, 4, 7]",test
Robert recently bought an expensive new dining table.,2.3333,1.8815,30,"[1, 2, 1, 1, 1, 1, 1, 5, 1, 3, 1, 1, 5, 6, 7, 1, 1, 2, 7, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 4]",test
Shelters provide homeless people with a place to sleep.,4.7333,1.8925,30,"[1, 5, 2, 5, 4, 7, 5, 5, 5, 7, 3, 4, 7, 6, 7, 7, 1, 7, 5, 5, 2, 4, 5, 1, 4, 6, 7, 4, 5, 6]",test
Shoes protect feet from rough terrain.,3.8667,1.6554,30,"[1, 2, 6, 5, 7, 2, 5, 5, 3, 3, 4, 1, 5, 5, 4, 5, 1, 1, 4, 6, 4, 3, 3, 3, 3, 4, 6, 5, 5, 5]",test
Strange sounds echoed loudly from the basement.,4.3,2.0026,30,"[7, 6, 7, 1, 4, 6, 4, 5, 7, 7, 3, 5, 6, 5, 3, 6, 1, 7, 4, 5, 1, 2, 3, 4, 3, 5, 1, 3, 2, 6]",test
The Michelin-starred chef plated the gourmet dish.,3.1667,1.877,30,"[1, 5, 2, 1, 3, 4, 5, 4, 1, 2, 1, 3, 5, 4, 7, 6, 1, 6, 4, 2, 1, 2, 6, 1, 4, 5, 1, 2, 4, 2]",test
The TV was left on all night by mistake.,2.2667,1.6386,30,"[1, 2, 2, 1, 1, 4, 1, 5, 2, 2, 1, 1, 2, 1, 7, 3, 1, 1, 3, 2, 1, 3, 2, 3, 2, 3, 7, 1, 2, 1]",test
The actor rehearsed his lines for the final time.,1.6667,1.1244,30,"[1, 1, 1, 1, 1, 1, 1, 5, 2, 2, 1, 1, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 5, 1, 1, 2, 1, 1, 3, 3]",test
The airline announced a significant flight delay.,3.2,1.901,30,"[4, 4, 1, 3, 1, 1, 1, 7, 3, 3, 4, 3, 6, 2, 4, 7, 1, 6, 4, 3, 1, 2, 6, 1, 1, 5, 2, 4, 2, 4]",test
The ancient heritage site fascinated the tourists.,5.5333,1.6554,30,"[5, 6, 3, 6, 7, 6, 7, 7, 3, 6, 6, 7, 5, 6, 4, 7, 1, 7, 4, 7, 7, 4, 5, 6, 7, 7, 2, 6, 5, 7]",test
The architect finished the new building design.,3.1333,1.9429,30,"[1, 4, 1, 2, 1, 2, 7, 5, 3, 5, 3, 1, 4, 7, 5, 6, 1, 1, 6, 3, 1, 3, 2, 1, 2, 4, 1, 4, 3, 5]",test
The artist completed the final brushstroke.,2.8667,1.7367,30,"[1, 1, 2, 5, 2, 2, 1, 5, 5, 2, 1, 1, 3, 3, 7, 5, 1, 3, 6, 4, 1, 3, 5, 1, 3, 3, 1, 2, 4, 3]",test
The artist unveiled her latest painting.,2.6667,1.7287,30,"[1, 1, 4, 2, 3, 1, 1, 6, 4, 2, 1, 1, 3, 6, 7, 4, 1, 2, 5, 2, 1, 2, 2, 1, 3, 5, 2, 2, 2, 3]",test
The assignment deadline was quickly approaching.,1.5333,1.432,30,"[1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 7, 1, 3, 1]",test
The athlete trained religiously for a local race.,2.6,1.6938,30,"[1, 3, 1, 2, 4, 1, 1, 5, 1, 3, 1, 2, 5, 1, 3, 4, 1, 1, 1, 3, 1, 3, 3, 1, 2, 6, 7, 4, 3, 4]",test
The bakery smelled warm and inviting.,5.2667,1.7207,30,"[7, 7, 7, 5, 4, 6, 7, 5, 4, 7, 5, 7, 7, 5, 4, 7, 1, 7, 6, 5, 1, 4, 6, 4, 4, 7, 6, 4, 3, 6]",test
The busy holiday season increased sales dramatically.,2.2667,1.6174,30,"[1, 2, 1, 4, 1, 1, 1, 4, 1, 2, 3, 1, 2, 3, 5, 5, 1, 1, 1, 1, 1, 5, 1, 2, 3, 3, 7, 2, 2, 1]",test
The chef prepared a gourmet meal with precision.,2.6,1.6103,30,"[1, 5, 2, 1, 1, 2, 1, 4, 2, 2, 1, 1, 5, 2, 7, 4, 1, 2, 5, 2, 1, 4, 4, 1, 3, 4, 2, 2, 2, 4]",test
The chef prepared the ingredients for dinner.,2.6667,1.7287,30,"[1, 4, 1, 2, 1, 3, 1, 4, 1, 3, 1, 2, 5, 3, 7, 4, 1, 1, 2, 2, 1, 3, 7, 1, 2, 3, 5, 2, 3, 4]",test
The city council approved a new housing project.,2.6333,1.7905,30,"[1, 4, 1, 1, 1, 1, 1, 7, 2, 5, 2, 1, 3, 5, 1, 6, 1, 1, 2, 2, 2, 2, 2, 3, 2, 2, 5, 4, 3, 6]",test
The climber fastened the harness to the rope.,4.1667,1.9313,30,"[3, 4, 2, 1, 6, 4, 1, 6, 6, 4, 4, 1, 6, 6, 7, 3, 1, 6, 4, 4, 3, 6, 7, 1, 5, 3, 5, 6, 4, 6]",test
The coach knew how to win the game.,2.0667,1.388,30,"[1, 3, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 5, 1, 4, 5, 1, 1, 2, 2, 1, 2, 2, 1, 3, 2, 5, 1, 2, 2]",test
The company's latest smartphone is sleek and innovative.,1.6,1.2758,30,"[1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 6, 1, 2, 1]",test
The concert tickets sold out in less than an hour.,1.9667,1.4499,30,"[1, 3, 1, 1, 1, 1, 1, 5, 2, 1, 1, 4, 2, 1, 1, 6, 1, 1, 1, 2, 1, 3, 2, 1, 1, 2, 5, 1, 2, 4]",test
The crew assembled the concert stage hurriedly.,4.1,1.8448,30,"[7, 4, 4, 1, 1, 5, 5, 6, 1, 5, 3, 6, 7, 6, 3, 5, 1, 6, 5, 5, 1, 4, 5, 4, 3, 6, 2, 4, 3, 5]",test
The drive to the airport was bumpy and stressful.,4.2,1.901,30,"[3, 5, 5, 1, 2, 6, 1, 7, 1, 6, 4, 5, 5, 5, 5, 6, 1, 7, 4, 6, 2, 3, 2, 3, 4, 7, 6, 5, 4, 5]",test
The explorer ventured into unknown lands with courage.,4.9667,1.8096,30,"[4, 5, 3, 6, 5, 5, 7, 6, 4, 5, 5, 5, 5, 6, 7, 3, 1, 7, 5, 7, 7, 2, 1, 4, 6, 7, 6, 6, 2, 7]",test
The family arrived at the resort after a day-long trip.,4.9333,1.7798,30,"[6, 6, 3, 2, 6, 5, 7, 4, 4, 7, 5, 5, 6, 7, 5, 7, 1, 7, 6, 6, 1, 4, 2, 4, 6, 6, 6, 5, 3, 6]",test
"The fancy restaurant served tiny, artfully plated dishes.",4.4,2.0274,30,"[7, 6, 3, 1, 1, 5, 7, 5, 4, 3, 5, 6, 5, 6, 5, 6, 1, 7, 5, 5, 1, 2, 7, 3, 5, 7, 1, 3, 5, 5]",test
The farmer tended the crops with great care.,5.3667,1.8096,30,"[1, 5, 3, 6, 7, 6, 7, 6, 5, 5, 6, 1, 7, 7, 6, 6, 1, 7, 5, 6, 7, 5, 5, 3, 6, 7, 6, 6, 6, 7]",test
The fisherman cast his line into the river.,5.7667,1.5466,30,"[5, 7, 7, 5, 6, 7, 7, 5, 5, 7, 2, 6, 7, 6, 7, 5, 1, 7, 4, 7, 7, 5, 7, 6, 5, 5, 7, 7, 4, 7]",test
The forest was alive with birdsong.,6.4333,1.278,30,"[7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 1, 7, 6, 7, 7, 6, 7, 6, 7, 5, 7, 7, 4, 7]",test
The gym offers intense workouts for fitness experts.,3.7333,2.2733,30,"[1, 6, 1, 2, 2, 7, 7, 4, 2, 5, 4, 5, 7, 3, 7, 7, 1, 7, 1, 4, 1, 1, 5, 1, 3, 3, 5, 2, 2, 6]",test
The historian discussed work on ancient civilizations.,3.2414,1.845,29,"[1, 3, 2, 4, 7, 1, 1, 6, 2, 5, 3, 2, 3, 6, 3, 6, 1, 6, 1, 2, 1, 4, 3, 4, 3, 3, 6, 3, 2]",test
The hurricane was accompanied by extremely high winds.,5.5333,1.8705,30,"[1, 6, 7, 7, 5, 5, 7, 6, 7, 4, 6, 2, 7, 7, 5, 5, 7, 1, 6, 7, 7, 5, 6, 2, 7, 7, 6, 7, 4, 7]",test
The journalist exposed a story that shocked the nation.,1.9,1.5833,30,"[1, 3, 1, 1, 1, 1, 1, 6, 5, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 7, 1, 4, 2]",test
