unit,mean,std,n,individual_ratings
A customer bought an expensive bottle of scotch from the liquor store. At the same liquor store there was another expensive bottle of scotch.,3.9831,1.0969,59,"[3, 5, 4, 5, 3, 4, 3, 4, 5, 4, 4, 4, 5, 5, 2, 4, 2, 5, 3, 5, 2, 3, 5, 5, 5, 5, 2, 4, 4, 1, 5, 4, 3, 2, 5, 4, 5, 2, 5, 5, 4, 5, 4, 5, 4, 3, 5, 5, 5, 3, 5, 4, 4, 5, 2, 4, 5, 5, 3]"
A groundskeeper at the golf course spent most of his time cutting grass. At the same golf course there was another groundskeeper.,3.6552,0.9922,58,"[4, 3, 5, 4, 3, 2, 3, 3, 4, 5, 4, 4, 3, 5, 4, 3, 3, 3, 5, 3, 4, 2, 5, 1, 5, 5, 2, 3, 4, 3, 5, 4, 5, 2, 5, 4, 5, 2, 3, 3, 4, 4, 3, 4, 2, 3, 4, 3, 5, 3, 4, 4, 4, 5, 4, 4, 4, 3]"
A local politician spoke to students and their families at the graduation ceremony. At the same graduation ceremony there was another speaker.,3.9333,0.8537,60,"[4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 5, 5, 3, 4, 3, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 4, 4, 1, 4, 5, 4, 2, 5, 4, 4, 4, 3, 4, 4, 5, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 4, 5, 4, 4, 3, 5, 3]"
A musician was playing on a street corner throughout the day. At the same street corner there was another musician.,3.5833,0.9182,60,"[4, 3, 3, 4, 3, 4, 4, 3, 5, 4, 4, 4, 3, 4, 5, 4, 3, 3, 3, 3, 4, 2, 2, 3, 2, 5, 5, 2, 4, 4, 2, 5, 4, 4, 2, 5, 4, 4, 3, 3, 4, 2, 4, 4, 2, 3, 4, 4, 2, 5, 3, 4, 4, 4, 4, 5, 4, 3, 5, 3]"
A tree was knocked down during a large thunderstorm. The tree almost hit some power lines when it fell and instead landed on someone's car.,4.15,1.0137,60,"[5, 4, 5, 3, 5, 4, 4, 5, 5, 5, 4, 3, 5, 5, 5, 4, 4, 5, 3, 5, 3, 5, 2, 4, 3, 5, 5, 5, 3, 2, 3, 4, 5, 4, 3, 3, 4, 5, 5, 5, 3, 5, 5, 5, 1, 5, 4, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 3, 3, 3]"
After the car fell into a ditch the driver was scared but wasn't injured. A passenger in the car had broken her hand but otherwise was fine.,4.1833,0.9745,60,"[5, 2, 5, 4, 5, 4, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 4, 4, 5, 4, 5, 5, 3, 1, 5, 5, 5, 4, 4, 4, 4, 5, 4, 3, 5, 4, 5, 5, 4, 3, 4, 5, 5, 2, 4, 4, 4, 4, 5, 2, 5, 5, 5, 2, 5, 5, 3, 4, 3]"
After the girl's hamster escaped from its cage the girl searched for it all over her house. She found it the next day by following a trail of food crumbs to its hiding spot.,4.2034,1.0541,59,"[5, 3, 3, 4, 5, 5, 5, 5, 5, 5, 3, 5, 3, 2, 5, 5, 4, 5, 3, 5, 2, 4, 5, 4, 2, 3, 2, 5, 4, 5, 4, 4, 5, 4, 3, 5, 5, 1, 5, 4, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3]"
At the airport a short runway was closed for repairs. At the same airport there was another short runway.,3.7,0.781,20,"[4, 4, 3, 4, 4, 2, 3, 2, 5, 4, 3, 4, 4, 4, 4, 5, 4, 4, 4, 3]"
At the airport the only short runway was closed for repairs. At the same airport there was another short runway.,1.95,1.4309,20,"[1, 1, 5, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 4, 1, 5]"
At the airport the short runway was closed for repairs. At the same airport there was another short runway.,3.2,1.3266,20,"[4, 3, 1, 4, 5, 1, 5, 2, 4, 2, 2, 5, 4, 4, 2, 5, 2, 3, 2, 4]"
At the bookstore a Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,3.9,0.9434,20,"[4, 3, 5, 4, 4, 4, 4, 3, 4, 4, 5, 3, 5, 4, 5, 2, 3, 2, 5, 5]"
At the bookstore the Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,3.3,1.1,20,"[3, 4, 2, 4, 4, 2, 3, 2, 5, 3, 3, 1, 4, 4, 5, 2, 4, 3, 5, 3]"
At the bookstore the only Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,1.95,1.3955,20,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 5, 1, 4, 1, 5, 1, 3, 2, 2]"
