unit,mean,std,n,individual_ratings
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,5.0,1.5689,26,"[2, 7, 4, 5, 5, 5, 5, 7, 2, 7, 6, 4, 6, 7, 1, 4, 4, 4, 5, 7, 5, 5, 6, 5, 6, 6]"
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,6.037,1.5271,27,"[4, 6, 7, 7, 6, 5, 7, 7, 7, 7, 7, 6, 5, 6, 7, 7, 7, 6, 6, 1, 7, 5, 2, 7, 7, 7, 7]"
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,3.8519,1.938,27,"[4, 4, 1, 2, 2, 5, 3, 3, 7, 6, 2, 2, 5, 6, 1, 1, 4, 5, 6, 4, 2, 6, 6, 2, 2, 6, 7]"
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,5.1852,1.5878,27,"[6, 6, 5, 2, 4, 5, 4, 5, 3, 7, 7, 4, 5, 5, 7, 7, 1, 5, 6, 7, 6, 5, 6, 5, 3, 7, 7]"
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,5.5185,1.7506,27,"[4, 6, 6, 5, 5, 6, 2, 2, 6, 7, 7, 5, 7, 7, 7, 7, 1, 4, 7, 7, 6, 7, 5, 6, 3, 7, 7]"
A new career training program was offered recently. Employment rates for local residents went up.,6.3704,0.7769,27,"[7, 6, 7, 7, 6, 6, 5, 7, 7, 7, 7, 6, 6, 7, 5, 7, 7, 5, 5, 7, 7, 6, 5, 6, 7, 7, 7]"
A new restaurant opened downtown last week. Fluency enables deeper cultural understanding.,1.3333,0.6086,27,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 1]"
A new tech startup opened its doors last month. The photos raise awareness of conservation efforts.,1.7407,1.0397,27,"[1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 5, 1, 1, 1, 2, 2, 1, 3, 1, 2, 4, 2, 3, 1]"
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,6.9259,0.2619,27,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
A teacher began using new creative methods. Student engagement and participation levels increased.,6.3704,1.2217,27,"[6, 7, 7, 7, 7, 7, 6, 7, 1, 7, 7, 6, 6, 7, 7, 7, 7, 6, 7, 6, 6, 7, 5, 7, 5, 7, 7]"
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,6.4444,1.2571,27,"[7, 7, 6, 7, 5, 7, 7, 7, 1, 7, 7, 6, 7, 5, 7, 7, 6, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Emma found the presentation engaging and informative. Mark thought the speaker was boring and repetitive.,4.4815,2.0615,27,"[1, 5, 5, 1, 5, 6, 4, 2, 1, 6, 7, 2, 6, 7, 2, 7, 1, 5, 6, 5, 7, 6, 5, 5, 3, 4, 7]"
Jenny has long been complaining about her relationship. Rebecca thinks that breaking up is the only option.,5.6296,1.7878,27,"[6, 6, 5, 5, 7, 7, 7, 3, 1, 7, 7, 5, 6, 7, 7, 7, 7, 5, 6, 1, 6, 7, 6, 6, 2, 6, 7]"
Jessica woke up early this morning. All of the leaves had fallen off of the trees.,1.1481,0.3552,27,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
John forgot his umbrella and got soaked. Mark thought the speaker was boring and repetitive.,1.2963,0.7105,27,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 4]"
Large areas of forest were cleared for agriculture. Local climate patterns began to change.,5.6667,1.4142,27,"[3, 6, 6, 7, 7, 6, 7, 6, 1, 6, 6, 6, 6, 7, 7, 7, 5, 5, 4, 7, 6, 6, 6, 5, 4, 4, 7]"
Mark found John cheating on him with their best friend. The couple was forced to end their relationship.,6.3704,1.127,27,"[4, 5, 7, 7, 7, 7, 7, 6, 2, 7, 7, 6, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 6, 7, 7]"
Mark hesitated to make a decision. The village was quiet and serene,1.3704,0.4829,27,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1]"
Nancy put the turkey in the oven in the early afternoon. The audience slowly filed into their seats.,1.1923,0.3941,26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1]"
Sam knocked the glass off of the table. The glass shattered on the hardwood floor.,6.8519,0.3552,27,"[7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7]"
Sarah loves reading mystery novels. The photographer took a photo that seemed to breathe.,1.3704,0.7277,27,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 4, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1]"
September was unusually humid and hot. April was unexpectedly muggy and warm.,3.8519,2.0313,27,"[1, 4, 1, 2, 1, 6, 3, 2, 1, 6, 7, 4, 5, 7, 1, 5, 1, 4, 6, 4, 5, 3, 6, 3, 4, 5, 7]"
Sophie planted strawberry seeds in the backyard. The plants struggled in the cold New England winter.,5.7778,1.5476,27,"[7, 6, 4, 6, 6, 7, 2, 4, 1, 7, 7, 6, 7, 7, 7, 7, 6, 5, 5, 5, 7, 7, 6, 5, 5, 7, 7]"
The TV was left on all night by mistake. Passengers crowded the gate waiting for further updates.,1.3704,0.867,27,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 3, 4, 1]"
The actor was praised for his powerful performance. The supporting cast was criticized for lacking energy.,5.037,1.5271,27,"[4, 5, 5, 5, 6, 6, 6, 3, 3, 6, 6, 4, 7, 6, 2, 6, 1, 4, 7, 7, 6, 6, 5, 4, 4, 5, 7]"
The airline announced a significant flight delay. Student grades improved across the board.,1.0,0.0,27,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The ancient heritage site fascinated the tourists. The locals found the ruins ordinary and unremarkable.,4.7407,2.0474,27,"[1, 5, 3, 2, 6, 6, 5, 3, 1, 6, 7, 2, 6, 2, 7, 6, 1, 5, 7, 6, 6, 7, 5, 5, 4, 7, 7]"
The architect revealed plans for a modern skyscraper. People who drink too much are at risk for cancer.,1.2593,1.1416,27,"[1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The artist unveiled her latest painting. The abstract piece uses vibrant colors to explore love.,5.8889,1.3966,27,"[5, 6, 6, 6, 7, 6, 6, 2, 7, 6, 7, 6, 6, 7, 7, 7, 1, 5, 6, 7, 7, 6, 6, 6, 5, 6, 7]"
