unit,mean,std,n,individual_ratings,item_type
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,5.0,1.6,26,"[2, 7, 4, 5, 5, 5, 5, 7, 2, 7, 6, 4, 6, 7, 1, 4, 4, 4, 5, 7, 5, 5, 6, 5, 6, 6]",test
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,6.037,1.5562,27,"[4, 6, 7, 7, 6, 5, 7, 7, 7, 7, 7, 6, 5, 6, 7, 7, 7, 6, 6, 1, 7, 5, 2, 7, 7, 7, 7]",test
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,3.8519,1.9749,27,"[4, 4, 1, 2, 2, 5, 3, 3, 7, 6, 2, 2, 5, 6, 1, 1, 4, 5, 6, 4, 2, 6, 6, 2, 2, 6, 7]",test
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,5.1852,1.6181,27,"[6, 6, 5, 2, 4, 5, 4, 5, 3, 7, 7, 4, 5, 5, 7, 7, 1, 5, 6, 7, 6, 5, 6, 5, 3, 7, 7]",test
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,5.5185,1.7839,27,"[4, 6, 6, 5, 5, 6, 2, 2, 6, 7, 7, 5, 7, 7, 7, 7, 1, 4, 7, 7, 6, 7, 5, 6, 3, 7, 7]",test
A new career training program was offered recently. Employment rates for local residents went up.,6.3704,0.7917,27,"[7, 6, 7, 7, 6, 6, 5, 7, 7, 7, 7, 6, 6, 7, 5, 7, 7, 5, 5, 7, 7, 6, 5, 6, 7, 7, 7]",test
A new restaurant opened downtown last week. Fluency enables deeper cultural understanding.,1.3333,0.6202,27,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 1]",test
A new tech startup opened its doors last month. The photos raise awareness of conservation efforts.,1.7407,1.0595,27,"[1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 5, 1, 1, 1, 2, 2, 1, 3, 1, 2, 4, 2, 3, 1]",test
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,6.9259,0.2669,27,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]",test
A teacher began using new creative methods. Student engagement and participation levels increased.,6.3704,1.2449,27,"[6, 7, 7, 7, 7, 7, 6, 7, 1, 7, 7, 6, 6, 7, 7, 7, 7, 6, 7, 6, 6, 7, 5, 7, 5, 7, 7]",test
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,6.4444,1.281,27,"[7, 7, 6, 7, 5, 7, 7, 7, 1, 7, 7, 6, 7, 5, 7, 7, 6, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7]",test
Emma found the presentation engaging and informative. Mark thought the speaker was boring and repetitive.,4.4815,2.1007,27,"[1, 5, 5, 1, 5, 6, 4, 2, 1, 6, 7, 2, 6, 7, 2, 7, 1, 5, 6, 5, 7, 6, 5, 5, 3, 4, 7]",test
Jenny has long been complaining about her relationship. Rebecca thinks that breaking up is the only option.,5.6296,1.8218,27,"[6, 6, 5, 5, 7, 7, 7, 3, 1, 7, 7, 5, 6, 7, 7, 7, 7, 5, 6, 1, 6, 7, 6, 6, 2, 6, 7]",test
