unit,mean,std,n,individual_ratings,item_type
Christian put his difficult math homework that was due tomorrow off.,2.1667,0.7177,12,"[2, 2, 2, 2, 1, 2, 2, 4, 2, 3, 2, 2]",test
Christian put his homework off.,3.7895,1.3976,19,"[5, 4, 4, 4, 2, 1, 5, 5, 2, 5, 2, 3, 5, 5, 5, 2, 5, 5, 3]",test
Christian put off his difficult math homework that was due tomorrow.,3.7692,0.9268,13,"[5, 4, 2, 5, 4, 4, 3, 4, 3, 3, 4, 3, 5]",test
Christian put off his homework.,4.8182,0.4045,11,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5]",test
Frank put down the book.,5.0000,0.0000,18,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",test
Frank put down the new mystery book that he bought.,4.4444,0.8556,18,"[5, 5, 5, 5, 5, 3, 5, 4, 5, 4, 4, 5, 5, 2, 5, 5, 4, 4]",test
Frank put the book down.,4.6923,0.8549,13,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2]",test
Frank put the new mystery book that he bought down.,2.6000,0.5477,5,"[3, 3, 3, 2, 2]",test
Jay sent in the disobedient student that had been fighting.,3.1538,0.9871,13,"[3, 4, 4, 1, 4, 3, 4, 2, 4, 3, 4, 2, 3]",test
Jay sent in the student.,4.4615,0.6602,13,"[4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 3, 5]",test
Jay sent the disobedient student that had been fighting in.,1.7692,0.8321,13,"[2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 4, 1]",test
Jay sent the student in.,4.6471,0.7859,17,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 2, 5]",test
Jerry pushed down the lever.,4.3077,1.1821,13,"[4, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 1]",test
Jerry pushed down the rusty metal lever that turned off the water.,3.8824,0.7812,17,"[5, 4, 4, 4, 4, 5, 3, 4, 3, 2, 4, 4, 4, 4, 3, 4, 5]",test
Jerry pushed the lever down.,4.7000,0.9487,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 2]",test
Jerry pushed the rusty metal lever that turned off the water down.,2.1667,1.1504,18,"[2, 1, 1, 1, 1, 3, 3, 3, 2, 1, 4, 2, 3, 4, 1, 1, 2, 4]",test
Joe threw out the documents.,4.8125,0.7500,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2]",test
Joe threw out the very important documents that he brought home.,4.2727,0.6467,11,"[4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 3]",test
Joe threw the documents out.,4.4615,0.6602,13,"[4, 4, 5, 3, 4, 5, 5, 4, 4, 5, 5, 5, 5]",test
Joe threw the very important documents that he brought home out.,2.6875,1.1383,16,"[3, 4, 1, 2, 2, 3, 3, 2, 1, 5, 2, 2, 4, 4, 3, 2]",test
Karen broke down the box.,4.2308,0.8321,13,"[4, 5, 5, 5, 3, 3, 4, 4, 5, 5, 4, 5, 3]",test
Karen broke down the cardboard box that she had used to move.,3.7143,0.9139,14,"[4, 5, 4, 2, 4, 4, 4, 5, 2, 4, 4, 4, 3, 3]",test
Karen broke the box down.,3.7692,1.0127,13,"[2, 4, 3, 4, 4, 5, 3, 5, 4, 5, 4, 2, 4]",test
Karen broke the cardboard box that she had used to move down.,2.6667,1.1127,15,"[2, 2, 4, 1, 3, 2, 5, 4, 2, 2, 2, 3, 2, 2, 4]",test
Patrick kicked out the audience member.,4.0833,1.0836,12,"[5, 5, 3, 5, 4, 3, 5, 5, 3, 2, 4, 5]",test
Patrick kicked out the obnoxious audience member who was heckling.,3.8750,1.1475,16,"[4, 3, 4, 2, 5, 5, 5, 4, 2, 5, 2, 5, 4, 4, 5, 3]",test
Patrick kicked the audience member out.,4.5455,0.6876,11,"[4, 4, 5, 5, 5, 3, 5, 4, 5, 5, 5]",test
Patrick kicked the obnoxious audience member who was heckling out.,2.8750,1.0878,16,"[5, 4, 4, 2, 4, 1, 2, 3, 2, 3, 4, 3, 2, 3, 2, 2]",test
The agent approached the publicists about the photo-shoot.,4.4000,0.8074,55,"[5, 4, 5, 4, 4, 4, 5, 5, 4, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 2, 3]",filler
The counselor consoled the students about the competition.,4.3273,0.7467,55,"[5, 5, 5, 4, 5, 4, 4, 4, 5, 3, 5, 3, 4, 4, 5, 5, 5, 2, 3, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 3, 5, 5, 4, 4, 3, 4, 5, 5, 5, 3, 5, 4, 5, 4, 4]",filler
The florist sent the flowers that were very expensive to the boy.,3.0000,1.0541,55,"[4, 3, 3, 2, 4, 2, 2, 2, 1, 2, 2, 3, 4, 2, 4, 4, 4, 4, 2, 2, 1, 4, 4, 5, 5, 4, 2, 1, 3, 3, 4, 4, 4, 2, 3, 2, 5, 3, 2, 3, 3, 4, 4, 4, 3, 3, 2, 3, 4, 4, 3, 2, 2, 2, 2]",filler
The host complimented the author who was being interviewed on all the talk shows.,3.5614,0.8868,57,"[4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 5, 3, 2, 2, 4, 3, 3, 4, 5, 5, 4, 2, 2, 4, 4, 4, 4, 3, 5, 4, 3, 5, 4, 3, 4, 4, 4, 4, 3, 2, 2, 3, 2, 4, 3, 4, 5, 2, 4, 2]",filler
The principal criticized the instructors for the program.,4.1091,0.9751,55,"[4, 4, 5, 4, 5, 2, 2, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 5, 4, 4, 2, 5, 2, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 3, 5, 4, 5, 2, 3, 4, 4, 5, 4, 3, 5, 3, 5, 4]",filler
The publisher complimented the editors on the magazine.,4.4727,0.8789,55,"[5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 3, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 1, 1]",filler
The reporter interviewed the actors about the movie.,4.6964,0.6584,56,"[5, 5, 5, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5]",filler
The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.,3.1273,1.1715,55,"[4, 3, 4, 3, 2, 2, 3, 2, 2, 2, 4, 4, 3, 2, 2, 2, 2, 5, 2, 4, 1, 5, 4, 1, 5, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 3, 5, 1, 2, 2, 3, 4, 4, 4, 2, 3, 4, 2, 4, 5, 4, 5, 2, 5, 2]",filler
The student petitioned the professors regarding the course.,3.6909,1.0519,55,"[4, 2, 5, 2, 4, 2, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 5, 5, 5, 2, 5, 4, 5, 4, 4, 4, 5, 4, 2, 5, 5, 4, 4, 3, 5, 4, 3, 2, 4, 2, 5, 2, 2, 5, 4, 2, 4, 5]",filler
The trainer left alone the angry-looking dog who was growling.,2.7000,1.4944,10,"[3, 2, 5, 2, 5, 1, 2, 1, 4, 2]",test
The trainer left alone the dog.,2.2667,1.3870,15,"[4, 5, 1, 1, 2, 3, 1, 2, 1, 2, 5, 1, 2, 2, 2]",test
The trainer left the angry-looking dog who was growling alone.,3.6111,1.0369,18,"[3, 2, 4, 4, 4, 2, 4, 5, 5, 4, 3, 4, 5, 2, 3, 3, 5, 3]",test
The trainer left the dog alone.,4.6667,0.8165,15,"[5, 4, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]",test
"This morning, a manager stayed who is rarely in the office so the employees were very well behaved.",1.7818,0.8754,55,"[2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 2, 5, 3, 2, 1, 2, 1, 2, 3, 1, 1, 2, 3, 3, 3, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1]",filler
"When it storms, the grass gets wet, so the landscaper can't cut the grass.",3.9273,1.1841,55,"[3, 3, 5, 4, 4, 4, 4, 2, 4, 2, 5, 4, 5, 2, 5, 5, 5, 5, 5, 4, 2, 5, 2, 1, 5, 5, 4, 5, 5, 3, 4, 5, 3, 5, 4, 4, 5, 5, 5, 2, 4, 5, 4, 5, 3, 2, 2, 3, 5, 5, 5, 5, 3, 4, 2]",filler
"Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.",1.8545,0.9510,55,"[2, 2, 1, 4, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2, 3, 5, 4, 2, 1, 1, 1, 3, 3, 1, 1, 2, 1, 3, 2, 2, 1, 3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 4, 1, 2, 1]",filler
