unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway.,5.8667,1.1958,30,"[4, 6, 4, 7, 5, 5, 7, 6, 7, 7, 5, 7, 5, 7, 7, 7, 7, 4, 7, 6, 5, 5, 6, 5, 5, 7, 3, 7, 6, 7]",test
A drop of water from the ceiling fell onto the outlet.,5.8333,1.4875,30,"[7, 7, 6, 7, 7, 4, 7, 6, 7, 7, 3, 6, 5, 3, 7, 7, 7, 5, 7, 6, 5, 5, 6, 6, 7, 7, 5, 6, 6, 1]",test
A flight attendant collected all the empty cups.,6.2333,0.8976,30,"[7, 7, 7, 7, 6, 5, 7, 7, 5, 6, 7, 7, 6, 7, 7, 6, 7, 6, 7, 6, 5, 4, 6, 6, 6, 7, 6, 4, 6, 7]",test
A garden brings color to a backyard.,4.7667,1.6121,30,"[6, 5, 7, 7, 5, 5, 5, 3, 5, 7, 1, 4, 5, 3, 1, 3, 6, 6, 4, 5, 5, 4, 4, 7, 5, 5, 3, 6, 4, 7]",test
A high-quality coffee shop is a staple of any town.,3.4333,1.7943,30,"[1, 2, 5, 7, 3, 1, 1, 2, 4, 6, 1, 5, 5, 4, 1, 3, 4, 2, 2, 6, 4, 2, 3, 4, 3, 2, 5, 4, 4, 7]",test
A melody was stuck in Jim's head all day.,1.931,1.361,29,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 4, 3, 4, 1, 4, 2, 2, 1, 5, 1, 2, 1, 2, 4]",test
A new career training program was offered recently.,1.8333,1.2058,30,"[1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 4, 3, 1, 1, 2, 2, 4, 1, 3, 2, 1, 1, 2, 2, 1, 1, 2, 6]",test
A new tech startup opened its doors last month.,2.6333,1.4259,30,"[1, 2, 2, 4, 3, 3, 2, 3, 4, 2, 2, 1, 4, 1, 1, 1, 3, 2, 4, 2, 5, 2, 4, 1, 4, 3, 3, 1, 2, 7]",test
A powerful earthquake struck Japan this morning.,4.3667,1.9205,30,"[1, 3, 3, 7, 4, 1, 7, 6, 7, 2, 3, 2, 6, 4, 7, 5, 6, 3, 6, 5, 5, 5, 6, 2, 4, 5, 2, 2, 6, 6]",test
A social media platform improved its privacy settings.,2.1667,1.4404,30,"[1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 3, 3, 5, 1, 1, 2, 2, 4, 1, 3, 3, 2, 1, 3, 3, 2, 1, 2, 7]",test
A teacher began using new creative methods.,2.3,1.4657,30,"[2, 2, 1, 4, 2, 1, 3, 2, 1, 2, 2, 1, 5, 1, 3, 1, 2, 3, 5, 2, 4, 3, 1, 1, 2, 2, 1, 1, 2, 7]",test
A well-stocked bookshelf can transform a living room.,5.3,1.6006,30,"[7, 7, 7, 6, 5, 6, 1, 3, 7, 4, 5, 7, 7, 5, 2, 6, 6, 5, 4, 7, 5, 4, 4, 7, 4, 5, 6, 7, 4, 6]",test
Anna was reluctant to say goodbye and lingered at the door.,4.1333,1.8705,30,"[4, 5, 5, 3, 6, 4, 7, 3, 2, 2, 3, 1, 5, 2, 5, 6, 5, 4, 7, 5, 5, 4, 4, 1, 7, 6, 2, 1, 3, 7]",test
Artists turn blank canvases into masterpieces.,4.7,1.664,30,"[7, 5, 7, 6, 3, 4, 5, 4, 3, 6, 2, 6, 5, 2, 7, 4, 4, 5, 7, 5, 5, 4, 4, 6, 4, 1, 5, 2, 6, 7]",test
Bradley arrived at the airport by taxi.,5.3333,1.5388,30,"[7, 2, 7, 7, 4, 5, 7, 5, 7, 1, 4, 6, 5, 5, 6, 6, 6, 4, 7, 5, 5, 5, 5, 3, 6, 4, 6, 7, 6, 7]",test
Clean drinking water is a basic human necessity.,2.8667,1.7167,30,"[3, 2, 6, 5, 2, 1, 1, 2, 3, 2, 1, 6, 5, 2, 1, 1, 3, 2, 4, 2, 5, 1, 2, 3, 2, 2, 3, 2, 5, 7]",test
Emily started a new yoga class last week.,3.3448,1.969,29,"[1, 5, 2, 3, 2, 2, 6, 6, 1, 7, 1, 2, 4, 1, 6, 4, 4, 3, 6, 3, 4, 4, 3, 1, 6, 1, 1, 2, 6]",test
Emma found the presentation engaging and informative.,2.75,1.6245,28,"[1, 3, 1, 4, 4, 1, 1, 2, 1, 1, 3, 1, 4, 4, 1, 3, 4, 2, 4, 2, 4, 4, 3, 6, 2, 1, 3, 7]",test
Environmental activists worked to reduce water pollution.,3.3333,1.3476,30,"[4, 3, 5, 5, 3, 1, 5, 3, 2, 4, 2, 1, 5, 2, 4, 3, 4, 3, 4, 3, 4, 4, 4, 1, 5, 5, 2, 1, 5, 3]",test
Good lighting can totally change the feel of a room.,3.9667,1.4259,30,"[4, 2, 7, 4, 5, 4, 3, 2, 2, 2, 4, 4, 5, 4, 3, 6, 6, 4, 6, 5, 4, 4, 5, 1, 5, 2, 3, 4, 4, 5]",test
Jack started a blog about sustainable living.,2.2,1.4479,30,"[1, 1, 1, 2, 3, 2, 2, 2, 1, 1, 1, 2, 4, 3, 1, 1, 2, 2, 5, 3, 5, 3, 2, 1, 2, 2, 2, 1, 1, 7]",test
