unit,mean,std,n,individual_ratings
Taste that fowl and those fish.,2.75,,,
All sorts of treasure there too.,5.25,,,
The small flock of birds circled.,3.4666666666667,,,
The music drums inside my head.,4.2307692307692,,,
They are very devoted and faithful.,5.1111111111111,,,
What an amazing and wonderful metamorphosis.,3.0,,,
She began to worry about infection.,4.4375,,,
It has a light tangy flavor.,6.1333333333333,,,
We love rich tourists on vacation.,4.875,,,
Across the street was a pub.,5.4166666666667,,,
Would she put him in jail?,4.7333333333333,,,
Where are you keeping it safe?,5.875,,,
"It was all ridiculous, crazy, insane.",5.2857142857143,,,
"A childish notion, to be sure.",4.2666666666667,,,
Sophia was asleep on the sofa.,5.0588235294118,,,
Her answer was difficult to grasp.,4.4285714285714,,,
It meant waving a white flag.,3.8125,,,
The crowd burst into spontaneous applause.,3.2857142857143,,,
His leg is too badly damaged.,5.4285714285714,,,
He treated them like puppy dogs.,5.4375,,,
It looked like a trash heap.,5.25,,,
A car drove down the road.,5.9375,,,
People are getting hungry and desperate.,6.0,,,
He held out a duffel bag.,4.0,,,
The movie was entertaining and funny.,6.1176470588235,,,
Everyone finished eating every delicious bite.,4.6666666666667,,,
He took another sip of beer.,3.125,,,
The last time we'd had four.,5.1428571428571,,,
Would she not regret this marriage?,4.5294117647059,,,
Grace and kindness was their strength.,3.9230769230769,,,
He could smell the cooking meat.,5.0625,,,
In a way it seemed pointless.,5.7142857142857,,,
Another dance is about to begin.,4.5,,,
Like a voodoo priest or something?,5.0625,,,
Her dreams remain vague and inconclusive.,3.7142857142857,,,
She seems awfully likable to me.,6.1538461538462,,,
The experience had shaken him emotionally.,4.4705882352941,,,
The bugs are eating me alive.,5.5,,,
She looked up from her sewing.,3.6470588235294,,,
This truly was a depressing place.,4.6111111111111,,,
"There was no moon, only starlight.",2.8666666666667,,,
He looked annoyed at being disturbed.,3.875,,,
Could this all be a test?,5.7333333333333,,,
They started hiking down the mountain.,5.5625,,,
"Cattle, wagons, horses, all going west.",2.8823529411765,,,
They bring peace in a conflict.,4.2666666666667,,,
He pointed at the smaller circle.,3.125,,,
Light from a fire burned inside.,3.3571428571429,,,
This is so simple and easy.,5.8888888888889,,,
"However, they were much too large.",4.9375,,,
Sweaty hair clinging to his forehead.,3.5714285714286,,,
Can we pursue him for robbery?,5.0625,,,
Every now and then she stopped.,4.3571428571429,,,
Instead he dug a little deeper:,4.0,,,
A gun fired into the air.,4.2666666666667,,,
I cannot debate the truth fact.,2.1764705882353,,,
Could you loan it to me?,6.5384615384615,,,
Perhaps we can catch some fish.,6.0588235294118,,,
"There'll be towels, soap, and all.",5.125,,,
Was he still in the laboratory?,6.2666666666667,,,
He was a tall muscular man.,5.2941176470588,,,
Its small head resembled a deer.,4.8333333333333,,,
He finally hit the ball back.,5.1666666666667,,,
Already inflation was destabilizing financial markets.,3.1333333333333,,,
"It was a cylindrical, rocky chamber.",3.75,,,
We ate it up like candy.,5.5333333333333,,,
The weather was warm and dry.,6.0588235294118,,,
His hand descended towards the king.,2.3333333333333,,,
He told her the truth unabashedly.,2.875,,,
His tea was black but sweetened.,3.8571428571429,,,
You got an elephant up there?,3.1333333333333,,,
A loud rumbling noise interrupted him.,2.8125,,,
This lady was an outrageous girl.,4.3333333333333,,,
He only doubted his own abilities.,4.0625,,,
The first floor had retail shops.,4.6666666666667,,,
His demeanor was cynical and angry.,4.5833333333333,,,
It does wonders for the soul.,5.5,,,
His organization did some fantastic work.,5.6428571428571,,,
It was a night to celebrate.,5.0714285714286,,,
Another driver waited in a car.,4.25,,,
He is quite sick and weak.,6.1428571428571,,,
Was he still in the garden?,5.75,,,
We accept most proudly and eagerly.,3.5625,,,
He truly was a skilled marksman.,4.75,,,
His skin was waxy and grey.,3.75,,,
He has had a distinguished career.,5.0666666666667,,,
"Strangely, I did not feel nervous.",5.5714285714286,,,
There is salad in that bowl.,5.5,,,
"Carefully though, he packed them away.",2.9333333333333,,,
Did you have a medical examination?,5.0588235294118,,,
And tomorrow would be another day.,4.8,,,
Is it because of the drugs?,5.1428571428571,,,
His mind sought a rational explanation.,3.4375,,,
"She did this intentionally, he thought.",4.25,,,
She felt guilty about her deception.,4.0588235294118,,,
He might need the knife again.,5.3571428571429,,,
Without warning cameras started to flash.,3.5833333333333,,,
Look at that painting over there.,6.1666666666667,,,
The brick walls extended high up.,3.6666666666667,,,
He seemed quite unconcerned and relaxed.,5.375,,,
What could frighten them this badly?,5.5,,,
His sorrow gave way to anger.,2.5625,,,
Take me to a computer terminal.,4.6428571428571,,,
He wanted to investigate the victim.,3.8,,,
We played out the poker hand.,4.8461538461538,,,
You are quite smart and attentive.,6.0625,,,
The movie was a romantic comedy.,6.0588235294118,,,
There was nothing but political commentary.,4.7857142857143,,,
Light is made up of photons.,2.9230769230769,,,
You're one of our top students.,5.7142857142857,,,
Please allow me to deliver it.,5.2666666666667,,,
"The judge spoke, breaking the silence.",3.6428571428571,,,
She let out a choked laugh.,3.0,,,
The seemingly impossible can be attained.,3.5714285714286,,,
He stopped at the bedroom door.,5.5625,,,
She was inside a magnificent castle.,3.4375,,,
"Besides, it would be terribly unsafe.",5.1428571428571,,,
Her wrist supported many gold bangles.,3.3076923076923,,,
I feel the same way sometimes.,6.7222222222222,,,
People need to respect the law.,5.3529411764706,,,
The hairs on my skin rose.,5.1538461538462,,,
A large band played folk tunes.,4.2,,,
Your leg muscles will also ache.,5.4117647058824,,,
"After that, no others remained intact.",3.6111111111111,,,
Many soldiers served in his army.,4.1176470588235,,,
It seemed to calm his anxiety.,5.3076923076923,,,
I need it to impress her.,6.75,,,
My assistant is bringing them out.,6.1176470588235,,,
"Read me the book, then decide.",4.7333333333333,,,
Each has its own elected officials.,3.3571428571429,,,
A voice came over his radio.,3.7692307692308,,,
What help can you possibly need?,6.2307692307692,,,
He was bleeding from the stomach.,4.75,,,
She was wearing a long dress.,6.5384615384615,,,
A photo appears on the screen.,4.0,,,
The liquid was indeed fresh water.,3.5,,,
This is the force field parameter.,2.6666666666667,,,
There is no brain function left.,4.2666666666667,,,
Many villages survive along the coast.,3.5,,,
Consequences to us could prove fatal.,4.25,,,
The pastor proclaimed to the congregation.,3.5555555555556,,,
Their relationship took off from there.,5.8666666666667,,,
I can see the oak tree.,6.1666666666667,,,
I studied and became a lawyer.,5.4117647058824,,,
He inspected it with obvious satisfaction.,3.0666666666667,,,
They finished eating their chicken dumplings.,4.7857142857143,,,
His stomach pains worsened with time.,5.75,,,
"That warrior is you, my son.",4.8,,,
I could not escape this obligation.,5.3571428571429,,,
The sky was bright and blue.,4.3571428571429,,,
Why had the disease spared them?,3.3846153846154,,,
Her energy level was too low.,4.8461538461538,,,
He seemed extremely pleased with himself.,4.875,,,
Spray and vapor filled the void.,2.1875,,,
He'd come because he had news.,3.8666666666667,,,
I get paid no matter what.,5.7333333333333,,,
The great wheel began to turn.,3.5,,,
