unit,mean,std,n,individual_ratings
"After a while, a platoon attacked who was hiding in the mountains.",2.75,1.0104,12,"[2, 2, 4, 2, 2, 2, 3, 2, 3, 2, 5, 4]"
"After a while, a platoon attacked, uh, who was hiding in the mountains.",2.1667,0.6872,12,"[4, 2, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2]"
"After a while, a platoon who was hiding in the mountains attacked.",3.75,1.7854,12,"[5, 1, 5, 1, 5, 5, 1, 2, 5, 5, 5, 5]"
"After a while, a platoon who was hiding in the mountains, uh, attacked.",3.3333,1.3744,12,"[4, 2, 4, 5, 5, 1, 2, 2, 5, 4, 4, 2]"
"After a while, a platoon, uh, attacked who was hiding in the mountains.",2.75,0.9242,12,"[2, 2, 3, 4, 3, 2, 3, 4, 1, 3, 2, 4]"
"After a while, a platoon, uh, who was hiding in the mountains attacked.",2.9167,1.2555,12,"[4, 4, 1, 3, 5, 2, 2, 5, 2, 3, 2, 2]"
"After dinner, a musician arrived who was hired for the wedding.",4.1667,0.8975,12,"[4, 5, 3, 5, 4, 5, 5, 4, 2, 5, 4, 4]"
"After dinner, a musician arrived, uh, who was hired for the wedding.",3.8333,0.986,12,"[5, 4, 4, 3, 4, 4, 4, 2, 4, 5, 2, 5]"
"After dinner, a musician who was hired for the wedding arrived.",3.8333,1.5184,12,"[5, 5, 2, 5, 2, 2, 5, 5, 5, 1, 5, 4]"
"After dinner, a musician who was hired for the wedding, uh, arrived.",3.5,0.866,12,"[3, 5, 2, 4, 5, 3, 3, 4, 3, 4, 3, 3]"
"After dinner, a musician, uh, arrived who was hired for the wedding.",3.5,0.6455,12,"[4, 4, 3, 3, 2, 4, 4, 4, 4, 4, 3, 3]"
"After dinner, a musician, uh, who was hired for the wedding arrived.",3.9167,1.1149,12,"[4, 5, 5, 2, 4, 4, 3, 2, 3, 5, 5, 5]"
"After midnight, the entertained who was hired for the party danced.",3.1667,1.3437,12,"[3, 2, 1, 4, 2, 5, 4, 1, 3, 5, 4, 4]"
"After midnight, the entertained who was hired for the party, uh, danced.",2.6667,1.1785,12,"[3, 2, 2, 4, 1, 3, 4, 3, 1, 4, 1, 4]"
"After midnight, the entertained, uh, who was hired for the party danced.",1.5833,0.7592,12,"[3, 3, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1]"
"After midnight, the entertainer danced who was hired for the party.",2.75,1.299,12,"[5, 2, 4, 2, 2, 2, 2, 5, 4, 1, 2, 2]"
"After midnight, the entertainer danced, uh, who was hired for the party.",2.6667,1.1055,12,"[2, 3, 4, 2, 2, 4, 2, 1, 2, 2, 5, 3]"
"After midnight, the entertainer, uh, danced who was hired for the party.",2.0,1.0801,12,"[5, 2, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2]"
