unit,mean,std,n,individual_ratings,item_type
Barbara blubbered that Mary bought something.,4.42,1.7154,50,"[1, 4, 5, 3, 4, 1, 5, 6, 5, 4, 7, 5, 5, 1, 5, 7, 5, 2, 3, 5, 2, 6, 4, 5, 6, 4, 4, 5, 4, 6, 5, 5, 3, 3, 6, 2, 7, 7, 7, 5, 6, 2, 6, 4, 6, 5, 3, 3, 6, 1]",test
Barbara decided that John would break something.,4.66,1.9337,50,"[7, 1, 2, 7, 3, 1, 5, 5, 2, 4, 7, 5, 5, 4, 2, 3, 6, 7, 3, 5, 2, 6, 4, 7, 7, 6, 5, 2, 6, 1, 6, 6, 5, 7, 6, 6, 7, 5, 4, 2, 5, 7, 5, 4, 7, 7, 4, 1, 4, 5]",test
Barbara dispelled that Joseph broke something.,3.7347,1.8683,49,"[1, 5, 4, 3, 3, 1, 2, 6, 2, 4, 5, 2, 6, 7, 2, 4, 3, 7, 1, 4, 3, 5, 6, 2, 1, 4, 7, 4, 6, 2, 3, 5, 7, 4, 2, 7, 4, 1, 2, 4, 2, 3, 4, 6, 4, 5, 2, 5, 1]",test
Barbara distrusted that Charles would buy something.,4.24,1.7907,50,"[1, 5, 3, 5, 4, 6, 3, 5, 6, 4, 6, 2, 4, 6, 5, 4, 4, 7, 1, 5, 2, 4, 5, 7, 1, 7, 6, 7, 5, 1, 5, 5, 3, 2, 2, 6, 7, 3, 4, 3, 5, 2, 3, 4, 4, 7, 5, 2, 6, 3]",test
Barbara identified that Nancy would sell something.,4.14,1.8296,50,"[2, 2, 5, 6, 3, 1, 3, 6, 1, 4, 5, 3, 6, 4, 6, 7, 6, 7, 1, 5, 2, 5, 2, 5, 2, 2, 6, 4, 4, 3, 5, 5, 4, 7, 3, 2, 3, 7, 3, 5, 5, 4, 5, 3, 6, 7, 7, 4, 3, 1]",test
Charles bawled that Christopher bought something.,3.74,1.712,50,"[1, 1, 4, 5, 4, 6, 1, 3, 3, 3, 5, 4, 3, 1, 1, 5, 5, 2, 5, 5, 2, 2, 3, 3, 5, 3, 5, 3, 2, 5, 5, 5, 5, 5, 5, 3, 7, 2, 4, 4, 7, 2, 5, 4, 4, 7, 5, 1, 6, 1]",test
Charles blubbered that Lisa broke something.,5.0,1.4846,50,"[1, 4, 5, 5, 4, 3, 6, 6, 5, 5, 6, 6, 7, 3, 5, 4, 4, 4, 5, 5, 3, 6, 5, 7, 4, 3, 4, 6, 4, 7, 5, 5, 6, 3, 6, 5, 7, 7, 7, 6, 5, 6, 5, 7, 5, 6, 6, 3, 7, 1]",test
Charles gestured that Elizabeth broke something.,5.3,1.6194,50,"[2, 5, 7, 6, 6, 5, 5, 7, 6, 5, 7, 4, 6, 7, 5, 7, 5, 6, 5, 5, 4, 6, 2, 6, 4, 1, 6, 5, 5, 3, 3, 7, 5, 7, 7, 6, 7, 7, 4, 4, 6, 7, 3, 7, 6, 6, 6, 1, 6, 7]",test
Charles presumed that Jennifer sold something.,6.28,1.1436,50,"[4, 7, 6, 6, 2, 6, 7, 7, 7, 5, 7, 6, 7, 7, 6, 6, 7, 7, 7, 5, 6, 7, 5, 7, 4, 5, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 4, 7, 7, 4, 7, 7]",test
Charles protested that Daniel sold something.,5.2857,1.6202,49,"[5, 6, 5, 6, 3, 7, 3, 7, 6, 3, 2, 6, 6, 6, 2, 6, 7, 7, 6, 5, 4, 5, 4, 7, 4, 5, 6, 1, 7, 6, 3, 4, 7, 7, 5, 6, 7, 4, 6, 6, 7, 3, 3, 6, 6, 7, 5, 7, 7]",test
Charles regarded that Joseph would sell something.,2.68,1.6591,50,"[7, 1, 1, 2, 4, 1, 1, 5, 3, 4, 3, 2, 4, 4, 5, 3, 3, 7, 1, 5, 2, 2, 4, 3, 3, 3, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 1, 5, 1, 2, 6, 2, 2, 2, 5, 4, 1, 1, 1, 1]",test
Charles remarked that Patricia broke something.,5.94,1.5308,50,"[7, 7, 7, 6, 3, 5, 7, 7, 7, 5, 7, 6, 7, 6, 6, 7, 7, 7, 5, 5, 5, 7, 5, 7, 3, 7, 5, 3, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 7, 5, 6, 7, 6, 1, 4, 6, 1]",test
Charles shrieked that Jennifer bought something.,4.6458,1.7442,48,"[5, 1, 6, 5, 4, 1, 5, 6, 5, 3, 7, 5, 6, 4, 4, 4, 5, 7, 3, 5, 4, 2, 6, 4, 3, 2, 4, 5, 6, 6, 7, 4, 5, 7, 5, 7, 7, 4, 6, 3, 3, 2, 6, 7, 6, 3, 1, 7]",test
Christopher allowed that John would sell something.,3.0,1.8626,50,"[5, 1, 1, 4, 3, 1, 1, 7, 6, 3, 2, 5, 2, 5, 3, 2, 4, 7, 1, 5, 2, 4, 3, 4, 3, 3, 5, 4, 2, 1, 3, 1, 4, 7, 1, 2, 2, 2, 2, 2, 6, 1, 2, 1, 7, 2, 2, 1, 2, 1]",test
Christopher fooled that Sarah bought something.,2.0,1.5649,50,"[2, 1, 2, 2, 4, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 4, 5, 1, 4, 1, 2, 1, 1, 2, 1, 1, 5, 1, 1, 1, 1, 2, 4, 5, 2, 1, 2, 1, 1, 6, 1, 2, 1, 6, 1, 1, 1, 6, 1]",test
Christopher stood that Michael bought something.,1.8,1.3401,50,"[1, 1, 1, 3, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 4, 1, 3, 1, 2, 1, 3, 1, 3, 1, 1, 1, 1, 2, 4, 1, 2, 1, 1, 1, 1, 6, 1, 1, 1, 5, 6, 1, 1, 2, 1]",test
Daniel blurted that Elizabeth bought something.,5.26,1.6138,50,"[7, 5, 6, 2, 6, 6, 6, 6, 6, 4, 7, 6, 6, 1, 5, 7, 6, 7, 5, 5, 3, 6, 4, 6, 6, 5, 5, 6, 2, 2, 5, 7, 6, 7, 4, 5, 7, 7, 5, 6, 5, 3, 5, 7, 7, 5, 6, 1, 7, 4]",test
Daniel blustered that John sold something.,3.38,1.701,50,"[2, 5, 2, 2, 3, 1, 2, 5, 3, 3, 5, 5, 3, 3, 2, 5, 5, 5, 3, 5, 2, 3, 2, 3, 3, 1, 3, 3, 2, 5, 3, 2, 2, 7, 1, 2, 7, 7, 1, 4, 6, 4, 3, 2, 5, 4, 6, 1, 5, 1]",test
Daniel cringed that Thomas broke something.,4.04,1.9687,50,"[3, 1, 3, 6, 3, 6, 7, 5, 2, 4, 7, 3, 7, 2, 5, 5, 5, 1, 5, 5, 2, 4, 4, 6, 4, 2, 2, 3, 3, 6, 1, 5, 7, 7, 5, 5, 1, 3, 2, 5, 4, 1, 5, 7, 6, 3, 1, 1, 5, 7]",test
Daniel decided that Lisa would sell something.,5.46,1.6439,50,"[7, 1, 4, 5, 4, 1, 7, 7, 7, 4, 7, 6, 7, 4, 2, 2, 4, 7, 5, 5, 4, 5, 6, 7, 7, 6, 6, 4, 6, 6, 6, 6, 5, 7, 5, 6, 7, 3, 7, 7, 6, 7, 6, 7, 6, 7, 6, 4, 5, 7]",test
