unit,mean,std,n,individual_ratings
Al Pacino,3.6667,0.7581,30,"[4, 4, 3, 4, 3, 5, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 2, 5, 4, 4, 2, 3, 3, 4, 3, 4, 5, 4, 3, 4]"
Alessandra,3.2,0.5509,30,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 3, 3, 3, 3]"
Alexander Glazunov,3.1333,0.6288,30,"[3, 3, 3, 3, 3, 1, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 5, 3, 3, 3]"
Alzheimer's disease,1.0667,0.2537,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
Anabel,3.2667,0.4498,30,"[4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3]"
Andrew,3.3448,0.5526,29,"[4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3]"
Bogotá,3.2,0.5509,30,"[3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 2, 3, 5, 3, 3, 3]"
Bruce,3.2333,0.504,30,"[4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 2, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3]"
Carla,3.1333,0.5074,30,"[4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3]"
Christmas Eve,4.8,0.4842,30,"[5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3]"
Clint,3.2333,0.5683,30,"[3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 5, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3]"
Delhi,3.1,0.712,30,"[2, 3, 3, 3, 3, 3, 3, 2, 4, 3, 3, 4, 3, 3, 3, 4, 2, 3, 2, 4, 3, 3, 3, 2, 3, 4, 5, 4, 3, 3]"
Dire Straits,3.1,0.9229,30,"[4, 4, 2, 2, 3, 3, 3, 4, 3, 4, 2, 1, 3, 3, 4, 5, 3, 3, 3, 4, 2, 3, 3, 1, 3, 3, 4, 4, 3, 4]"
Donatello,3.6,0.724,30,"[4, 3, 3, 3, 3, 5, 3, 4, 5, 4, 3, 5, 3, 3, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3, 5, 4, 3, 3]"
Dubai City,3.4,0.8944,30,"[2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 5, 3, 3, 3, 5, 4, 4, 2, 4, 2, 3, 5, 2, 3, 4, 5, 4, 3, 3]"
Irma,3.0333,0.4901,30,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 2, 3, 3, 4, 3, 3, 3, 3, 3, 2, 3, 4, 3, 3]"
Italy,4.0667,0.7397,30,"[4, 4, 4, 3, 4, 5, 4, 4, 4, 5, 3, 5, 4, 3, 3, 5, 4, 4, 4, 4, 4, 4, 5, 5, 3, 5, 5, 5, 3, 3]"
Jared,3.3214,0.548,28,"[4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3]"
Jed,3.1333,0.5074,30,"[3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 2, 3, 3, 3, 3]"
John Wayne,3.6667,0.6609,30,"[4, 4, 3, 3, 3, 5, 4, 4, 4, 4, 3, 4, 3, 3, 4, 5, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 5, 3, 3, 3]"
June,3.931,0.7987,29,"[4, 5, 3, 3, 4, 5, 4, 4, 4, 4, 3, 5, 4, 3, 3, 5, 4, 4, 2, 5, 4, 4, 5, 4, 5, 4, 4, 3, 3]"
