unit,mean,std,n,individual_ratings,item_type
A compass helps hikers find their way.,4.9032,1.5568,31,"[5, 7, 4, 6, 6, 2, 6, 7, 6, 3, 3, 6, 7, 3, 3, 6, 2, 3, 6, 7, 5, 5, 4, 3, 6, 5, 6, 4, 4, 6, 6]",test
A coral reef shelters fish.,5.5484,1.4796,31,"[5, 7, 5, 6, 5, 7, 7, 7, 7, 7, 7, 5, 3, 6, 4, 6, 6, 5, 4, 7, 7, 4, 2, 7, 6, 3, 6, 7, 6, 3, 5]",test
A suitcase holds everything needed for a trip.,5.6452,1.4035,31,"[5, 6, 5, 6, 6, 7, 7, 7, 6, 5, 7, 7, 7, 4, 4, 6, 6, 6, 6, 7, 6, 2, 4, 5, 7, 2, 6, 7, 5, 4, 7]",test
April was unexpectedly muggy and warm.,3.7419,1.6526,31,"[2, 3, 4, 4, 6, 5, 1, 5, 6, 4, 1, 2, 5, 2, 6, 6, 3, 4, 4, 3, 5, 1, 3, 1, 3, 2, 4, 5, 5, 5, 6]",test
Attendees can enjoy live performances and art displays.,4.0323,1.3034,31,"[4, 4, 5, 5, 6, 2, 1, 5, 3, 2, 4, 3, 6, 3, 3, 4, 4, 5, 4, 3, 4, 3, 3, 4, 5, 4, 6, 5, 4, 4, 7]",test
Attendees chatted at the reception about the lecture.,5.3226,1.2751,31,"[5, 6, 4, 5, 6, 7, 7, 7, 5, 5, 4, 6, 7, 4, 4, 6, 5, 2, 7, 5, 5, 5, 5, 7, 6, 3, 7, 4, 5, 5, 6]",test
Attendees felt motivated to set new goals.,2.1935,1.6211,31,"[2, 2, 2, 1, 6, 1, 1, 1, 1, 3, 1, 1, 6, 1, 4, 3, 1, 5, 4, 1, 1, 1, 1, 1, 2, 4, 1, 2, 2, 1, 5]",test
Bret took off impulsively and embraced the unknown.,2.6774,1.8509,31,"[2, 4, 2, 1, 6, 1, 7, 1, 5, 2, 1, 1, 5, 2, 4, 2, 1, 3, 3, 1, 1, 2, 1, 6, 1, 1, 2, 2, 3, 4, 6]",test
Coaches motivate athletes to excel beyond their limits.,3.9032,1.6804,31,"[2, 6, 3, 3, 6, 2, 1, 5, 3, 2, 3, 5, 7, 2, 7, 4, 4, 3, 5, 4, 6, 3, 4, 4, 3, 4, 5, 1, 3, 4, 7]",test
Commuters struggled to find alternative routes.,3.1613,1.5513,31,"[2, 4, 5, 1, 5, 2, 1, 3, 2, 5, 1, 2, 7, 3, 3, 2, 2, 4, 3, 3, 2, 3, 4, 4, 3, 1, 5, 2, 5, 3, 6]",test
Derek had trouble concentrating on his work.,3.7097,1.9182,31,"[1, 5, 3, 6, 6, 1, 1, 5, 3, 4, 1, 4, 7, 1, 3, 6, 3, 3, 6, 3, 1, 1, 2, 5, 4, 5, 4, 5, 4, 5, 7]",test
Everyone's eyes were watering profusely.,5.6129,1.3584,31,"[6, 5, 7, 4, 6, 7, 7, 7, 6, 7, 4, 5, 3, 5, 7, 7, 5, 6, 6, 2, 5, 5, 7, 5, 7, 6, 7, 5, 7, 4, 4]",test
