unit,mean,std,n,individual_ratings
The accountant was determined to balance every account that his most extravagant client did.,2.4,1.0832,15,"[1, 1, 4, 3, 4, 2, 1, 3, 1, 2, 2, 3, 3, 4, 2]"
The accountant was determined to balance every account that his most extravagant client overdrafted.,3.9286,1.0996,14,"[4, 4, 3, 2, 5, 2, 4, 5, 5, 5, 3, 5, 3, 5]"
The accountant was determined to balance the account that his most extravagant client did.,2.9333,0.9286,15,"[4, 3, 2, 1, 3, 2, 3, 4, 2, 4, 4, 4, 2, 3, 3]"
The accountant was determined to balance the account that his most extravagant client overdrafted.,4.2667,0.8537,15,"[3, 5, 5, 4, 5, 4, 4, 4, 2, 4, 5, 5, 5, 4, 5]"
The accountant was persuaded to allow every audit that his financially responsible colleague did.,3.4667,0.8055,15,"[3, 4, 3, 3, 5, 3, 4, 4, 3, 2, 4, 4, 4, 2, 4]"
The accountant was persuaded to allow every audit that his financially responsible colleague suggested.,3.7333,1.3888,15,"[1, 5, 1, 3, 3, 5, 5, 2, 4, 4, 5, 4, 4, 5, 5]"
The accountant was persuaded to allow the audit that his financially responsible colleague did.,2.8667,0.9568,15,"[2, 3, 3, 2, 3, 5, 3, 3, 3, 4, 1, 4, 2, 2, 3]"
The accountant was persuaded to allow the audit that his financially responsible colleague suggested.,3.8,1.222,15,"[5, 4, 5, 4, 1, 5, 3, 4, 5, 5, 4, 2, 2, 4, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist recommended.,4.2667,0.7717,15,"[2, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 4, 5, 5, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,3.0,1.0328,15,"[3, 5, 4, 3, 2, 2, 3, 3, 1, 3, 2, 4, 4, 4, 2]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist recommended.,4.0667,1.0625,15,"[5, 5, 4, 5, 5, 5, 5, 3, 2, 2, 4, 5, 3, 4, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,1.7333,0.7717,15,"[1, 2, 2, 2, 2, 4, 1, 2, 1, 2, 1, 1, 1, 2, 2]"
