unit,mean,std,n,individual_ratings
At the airport a short runway was closed for repairs. At the same airport there was another short runway.,4.375,1.111,16,"[5, 5, 3, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 1]"
At the airport the only short runway was closed for repairs. At the same airport there was another short runway.,1.9333,1.436,15,"[2, 1, 5, 1, 4, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1]"
At the airport the short runway was closed for repairs. At the same airport there was another short runway.,3.3125,1.1022,16,"[3, 5, 4, 5, 4, 5, 3, 2, 3, 2, 4, 2, 2, 4, 2, 3]"
At the bookstore a Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,4.1333,0.718,15,"[4, 4, 5, 2, 4, 4, 5, 4, 4, 5, 4, 4, 4, 5, 4]"
At the bookstore the Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,3.75,1.479,16,"[5, 5, 2, 3, 1, 5, 4, 4, 2, 5, 3, 5, 5, 5, 5, 1]"
At the bookstore the only Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,1.625,0.7806,16,"[1, 1, 1, 2, 1, 1, 2, 3, 1, 2, 2, 3, 1, 3, 1, 1]"
At the concert a violinist onstage was trying to concentrate. At the same concert there was another violinist onstage.,4.0,0.8452,14,"[4, 3, 2, 4, 4, 5, 5, 4, 5, 4, 4, 3, 5, 4]"
At the concert the only violinist onstage was trying to concentrate. At the same concert there was another violinist onstage.,1.875,1.111,16,"[1, 1, 1, 3, 1, 1, 3, 3, 1, 2, 2, 2, 2, 5, 1, 1]"
At the concert the violinist onstage was trying to concentrate. At the same concert there was another violinist onstage.,4.0625,1.2484,16,"[5, 5, 5, 3, 3, 4, 2, 5, 5, 5, 3, 5, 5, 5, 4, 1]"
At the conference a Russian student in attendance was listening to a talk. At the same conference there was another Russian student.,4.25,0.8292,16,"[5, 5, 5, 5, 4, 5, 4, 4, 5, 2, 5, 3, 4, 4, 4, 4]"
At the conference the Russian student in attendance was listening to a talk. At the same conference there was another Russian student.,3.3333,1.2996,15,"[2, 3, 5, 2, 4, 1, 5, 4, 3, 5, 3, 1, 4, 4, 4]"
At the conference the only Russian student in attendance was listening to a talk. At the same conference there was another Russian student.,2.1875,1.5499,16,"[2, 5, 1, 1, 1, 1, 5, 1, 5, 2, 2, 1, 2, 1, 4, 1]"
At the construction site a wide forklift was being used to carry steel rods. At the same construction site there was another wide forklift.,4.3125,0.9164,16,"[5, 4, 5, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 4, 2]"
At the construction site the only wide forklift was being used to carry steel rods. At the same construction site there was another wide forklift.,1.8,1.3266,15,"[1, 1, 5, 1, 4, 1, 1, 1, 1, 2, 1, 1, 4, 2, 1]"
At the construction site the wide forklift was being used to carry steel rods. At the same construction site there was another wide forklift.,3.8125,0.9499,16,"[3, 5, 5, 5, 3, 3, 4, 3, 4, 3, 5, 2, 4, 5, 4, 3]"
At the criminal trial an innocent defendant refused to plead guilty. At the same criminal trial there was another innocent defendant.,3.8125,0.8817,16,"[5, 5, 3, 3, 4, 4, 4, 3, 5, 4, 3, 3, 4, 5, 4, 2]"
At the criminal trial the innocent defendant refused to plead guilty. At the same criminal trial there was another innocent defendant.,3.5,0.866,16,"[3, 3, 3, 5, 3, 3, 3, 3, 3, 4, 5, 3, 2, 5, 4, 4]"
At the criminal trial the only innocent defendant refused to plead guilty. At the same criminal trial there was another innocent defendant.,1.9333,0.9978,15,"[3, 3, 3, 1, 3, 1, 1, 4, 1, 2, 1, 1, 2, 2, 1]"
At the drag race a novice driver crashed his car. At the same drag race there was another novice driver.,4.1875,1.0735,16,"[5, 5, 4, 5, 5, 5, 3, 3, 5, 4, 5, 1, 4, 5, 4, 4]"
At the drag race the novice driver crashed his car. At the same drag race there was another novice driver.,3.3333,1.1353,15,"[2, 3, 1, 2, 2, 3, 4, 4, 3, 5, 4, 4, 4, 4, 5]"
At the drag race the only novice driver crashed his car. At the same drag race there was another novice driver.,1.75,1.3463,16,"[2, 5, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 5, 1, 1, 1]"
At the farm a new tractor was having trouble with its engine. At the same farm there was another new tractor.,3.8667,0.8844,15,"[4, 3, 5, 3, 2, 4, 5, 3, 4, 5, 3, 4, 4, 5, 4]"
At the farm the new tractor was having trouble with its engine. At the same farm there was another new tractor.,3.625,1.2686,16,"[5, 5, 4, 3, 1, 4, 2, 4, 4, 5, 3, 4, 4, 5, 4, 1]"
At the farm the only new tractor was having trouble with its engine. At the same farm there was another new tractor.,1.5,0.7071,16,"[1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 2, 1, 1, 2, 1, 2]"
At the hospital a large elevator was reserved for transporting patients. At the same hospital there was another large elevator.,4.2,1.1075,15,"[2, 5, 5, 2, 4, 3, 5, 5, 5, 5, 3, 4, 5, 5, 5]"
At the hospital the large elevator was reserved for transporting patients. At the same hospital there was another large elevator.,3.5,1.3693,16,"[5, 5, 2, 3, 1, 4, 2, 5, 2, 4, 3, 5, 5, 5, 3, 2]"
At the hospital the only large elevator was reserved for transporting patients. At the same hospital there was another large elevator.,1.6875,0.583,16,"[1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 3, 2, 2, 2, 2]"
At the palace a crystal chandelier was located in the dining room. At the same palace there was another crystal chandelier.,4.1875,0.8817,16,"[5, 5, 4, 5, 4, 5, 4, 3, 5, 4, 5, 2, 3, 5, 4, 4]"
At the palace the crystal chandelier was located in the dining room. At the same palace there was another crystal chandelier.,3.5333,0.8844,15,"[4, 3, 5, 2, 3, 4, 3, 4, 3, 5, 3, 2, 4, 4, 4]"
At the palace the only crystal chandelier was located in the dining room. At the same palace there was another crystal chandelier.,1.625,1.1659,16,"[2, 5, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1]"
At the pizzeria an empty table was still covered with a previous customer's trash. At the same pizzeria there was another empty table.,4.25,1.0897,16,"[5, 4, 3, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 1]"
At the pizzeria the empty table was still covered with a previous customer's trash. At the same pizzeria there was another empty table.,3.75,0.9682,16,"[3, 5, 4, 4, 2, 2, 5, 3, 4, 4, 5, 3, 4, 5, 4, 3]"
At the pizzeria the only empty table was still covered with a previous customer's trash. At the same pizzeria there was another empty table.,2.5333,1.4996,15,"[1, 1, 4, 1, 4, 4, 1, 5, 3, 4, 1, 1, 3, 4, 1]"
At the pool an red beach ball was running out of air. At the same pool there was another red beach ball.,4.1875,1.0136,16,"[5, 5, 4, 5, 5, 5, 3, 2, 5, 4, 5, 2, 4, 5, 4, 4]"
At the pool the only red beach ball was running out of air. At the same pool there was another red beach ball.,1.75,1.199,16,"[2, 3, 1, 1, 2, 1, 1, 1, 5, 1, 2, 1, 4, 1, 1, 1]"
At the pool the red beach ball was running out of air. At the same pool there was another red beach ball.,3.5333,0.9568,15,"[4, 3, 5, 2, 4, 2, 4, 3, 4, 5, 3, 4, 4, 2, 4]"
At the supermarket a back entrance was blocked by a truck. At the same supermarket there was another back entrance.,4.0,1.0,16,"[5, 5, 2, 3, 4, 4, 4, 5, 5, 5, 4, 3, 4, 5, 4, 2]"
At the supermarket the back entrance was blocked by a truck. At the same supermarket there was another back entrance.,3.125,1.1659,16,"[3, 2, 4, 3, 1, 1, 3, 3, 3, 4, 5, 2, 4, 5, 4, 3]"
At the supermarket the only back entrance was blocked by a truck. At the same supermarket there was another back entrance.,1.6,0.8794,15,"[1, 1, 2, 1, 4, 1, 3, 1, 1, 2, 1, 1, 2, 2, 1]"
At the theater a sick actor decided not to perform. At the same theater there was another sick actor.,3.7333,1.0625,15,"[2, 4, 5, 4, 4, 2, 3, 5, 2, 5, 3, 4, 4, 5, 4]"
At the theater the only sick actor decided not to perform. At the same theater there was another sick actor.,2.0,0.866,16,"[1, 2, 1, 3, 3, 1, 3, 3, 1, 2, 2, 3, 3, 2, 1, 1]"
At the theater the sick actor decided not to perform. At the same theater there was another sick actor.,4.1875,1.1302,16,"[5, 5, 4, 3, 4, 3, 5, 5, 5, 5, 3, 5, 5, 5, 4, 1]"
At the tuxedo shop a pink tuxedo had not been rented in several months. At the same tuxedo shop there was another pink tuxedo.,3.6875,1.1575,16,"[5, 5, 5, 5, 5, 2, 3, 2, 4, 2, 4, 3, 2, 4, 4, 4]"
At the tuxedo shop the only pink tuxedo had not been rented in several months. At the same tuxedo shop there was another pink tuxedo.,1.8125,1.1302,16,"[2, 5, 2, 1, 1, 1, 1, 1, 1, 3, 2, 3, 3, 1, 1, 1]"
At the tuxedo shop the pink tuxedo had not been rented in several months. At the same tuxedo shop there was another pink tuxedo.,3.2,0.9798,15,"[2, 3, 5, 2, 3, 2, 4, 3, 2, 3, 3, 4, 3, 5, 4]"
