unit,mean,std,n,individual_ratings
A car accident blocked off one lane of the highway.,5.6667,1.075,30,"[6, 5, 4, 6, 7, 6, 5, 7, 7, 7, 6, 4, 7, 6, 6, 5, 7, 7, 4, 5, 5, 6, 7, 6, 5, 6, 3, 5, 5, 5]"
A drop of water from the ceiling fell onto the outlet.,5.2,1.579,30,"[7, 6, 3, 6, 5, 7, 6, 6, 5, 6, 5, 5, 7, 7, 7, 2, 7, 5, 2, 5, 3, 7, 6, 2, 6, 6, 3, 5, 4, 5]"
A flight attendant collected all the empty cups.,5.7333,1.0934,30,"[6, 5, 6, 6, 5, 7, 6, 4, 7, 7, 7, 6, 7, 6, 5, 3, 7, 7, 6, 5, 4, 7, 7, 6, 5, 4, 5, 5, 5, 6]"
A garden brings color to a backyard.,5.3,1.2689,30,"[5, 4, 6, 5, 5, 7, 3, 5, 4, 6, 5, 4, 7, 4, 5, 4, 7, 6, 6, 6, 7, 5, 7, 2, 5, 7, 4, 6, 6, 6]"
A high-quality coffee shop is a staple of any town.,3.9667,1.6017,30,"[4, 3, 1, 5, 2, 4, 3, 4, 2, 4, 7, 3, 3, 5, 3, 3, 7, 6, 2, 5, 4, 5, 6, 6, 4, 5, 5, 2, 1, 5]"
A melody was stuck in Jim's head all day.,2.6333,1.8526,30,"[4, 5, 7, 4, 1, 1, 1, 1, 2, 7, 5, 1, 1, 2, 3, 1, 1, 4, 2, 3, 2, 1, 1, 6, 1, 2, 1, 4, 2, 3]"
A new career training program was offered recently.,2.1333,1.2311,30,"[3, 3, 2, 3, 1, 2, 1, 1, 1, 2, 4, 3, 1, 2, 4, 2, 1, 1, 3, 2, 1, 1, 4, 6, 1, 2, 2, 1, 1, 3]"
A new tech startup opened its doors last month.,2.4333,1.2828,30,"[5, 3, 1, 3, 1, 2, 4, 2, 2, 2, 4, 1, 1, 5, 2, 1, 4, 2, 1, 2, 2, 3, 4, 2, 2, 1, 2, 5, 1, 3]"
A powerful earthquake struck Japan this morning.,4.8667,1.4996,30,"[7, 6, 3, 6, 2, 6, 3, 5, 5, 5, 3, 5, 3, 6, 6, 5, 7, 6, 3, 4, 7, 4, 7, 2, 5, 7, 5, 4, 4, 5]"
A social media platform improved its privacy settings.,2.1667,1.5074,30,"[3, 2, 3, 2, 1, 1, 2, 2, 1, 2, 7, 1, 2, 4, 3, 1, 1, 2, 1, 2, 2, 1, 2, 6, 1, 2, 1, 1, 1, 5]"
A teacher began using new creative methods.,1.9333,1.0306,30,"[3, 3, 1, 4, 1, 2, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 5, 2, 2, 3, 1, 3, 2, 1, 1, 1, 1, 3, 2]"
A well-stocked bookshelf can transform a living room.,5.3,1.5948,30,"[5, 3, 1, 6, 7, 6, 6, 5, 5, 6, 7, 5, 5, 6, 6, 4, 7, 7, 5, 2, 6, 6, 7, 2, 7, 7, 4, 6, 4, 6]"
Anna was reluctant to say goodbye and lingered at the door.,4.8333,1.6142,30,"[5, 6, 4, 6, 5, 6, 6, 4, 5, 4, 6, 4, 5, 7, 5, 4, 7, 7, 5, 2, 4, 5, 7, 6, 1, 5, 2, 6, 1, 5]"
Artists turn blank canvases into masterpieces.,3.9667,1.538,30,"[6, 5, 1, 5, 3, 3, 4, 2, 7, 6, 4, 2, 3, 6, 4, 3, 7, 5, 3, 3, 4, 3, 6, 2, 3, 4, 4, 4, 2, 5]"
Bradley arrived at the airport by taxi.,5.4,1.5832,30,"[5, 6, 6, 5, 4, 6, 6, 6, 7, 4, 7, 5, 7, 7, 7, 3, 7, 7, 4, 3, 6, 6, 6, 2, 1, 6, 4, 6, 7, 6]"
Clean drinking water is a basic human necessity.,3.0667,1.5691,30,"[4, 2, 3, 4, 2, 3, 2, 3, 2, 2, 3, 6, 3, 2, 4, 1, 1, 4, 2, 7, 2, 2, 6, 6, 4, 1, 4, 3, 1, 3]"
Emily started a new yoga class last week.,3.8,1.6,30,"[6, 5, 2, 5, 1, 3, 3, 4, 5, 6, 4, 2, 3, 2, 3, 2, 7, 7, 4, 5, 3, 4, 5, 2, 1, 5, 3, 4, 3, 5]"
Emma found the presentation engaging and informative.,2.7,1.4866,30,"[5, 3, 1, 5, 1, 2, 3, 1, 1, 3, 4, 1, 2, 4, 4, 2, 1, 5, 2, 3, 2, 2, 6, 2, 1, 1, 2, 3, 4, 5]"
Environmental activists worked to reduce water pollution.,3.1333,1.7461,30,"[4, 5, 3, 5, 2, 2, 2, 1, 1, 2, 2, 2, 2, 6, 5, 2, 7, 4, 1, 5, 2, 2, 3, 6, 1, 5, 2, 4, 1, 5]"
Good lighting can totally change the feel of a room.,4.0,1.5706,30,"[6, 2, 5, 5, 1, 4, 3, 2, 1, 3, 5, 3, 3, 5, 4, 5, 7, 5, 2, 4, 4, 5, 5, 2, 4, 6, 3, 7, 4, 5]"
I did not get the gist of the idea.,1.6,0.7572,30,"[1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 2, 2, 4, 2, 1, 1, 2, 1, 1, 2]"
Jack started a blog about sustainable living.,3.0,1.4856,29,"[4, 3, 4, 1, 5, 3, 2, 4, 4, 4, 1, 2, 6, 3, 1, 1, 2, 5, 2, 1, 3, 3, 6, 2, 2, 2, 4, 2, 5]"
James sat silently and avoided eye contact.,4.9333,1.7499,30,"[6, 7, 7, 5, 2, 5, 6, 5, 7, 6, 7, 6, 6, 6, 5, 2, 7, 6, 4, 2, 5, 6, 6, 2, 1, 4, 3, 6, 3, 5]"
Jenny has long been complaining about her relationship.,2.7333,1.5691,30,"[4, 3, 3, 3, 1, 1, 2, 2, 1, 3, 5, 2, 1, 2, 3, 2, 7, 6, 4, 2, 2, 2, 3, 6, 1, 2, 2, 4, 1, 2]"
Lamps light up a dark room.,6.1,1.1648,30,"[7, 7, 7, 6, 5, 7, 6, 7, 7, 7, 7, 6, 7, 7, 5, 4, 7, 6, 6, 5, 6, 5, 7, 2, 7, 6, 5, 7, 5, 7]"
Mark found John cheating on him with their best friend.,3.9333,1.7876,30,"[7, 6, 1, 4, 1, 5, 5, 4, 3, 4, 5, 2, 2, 5, 4, 2, 7, 7, 5, 3, 3, 3, 4, 2, 1, 7, 3, 5, 3, 5]"
Mark hesitated to make a decision.,2.5,1.4318,30,"[4, 2, 4, 4, 1, 1, 4, 2, 1, 2, 3, 2, 2, 2, 5, 1, 1, 4, 1, 2, 2, 1, 5, 6, 1, 3, 2, 4, 1, 2]"
Music has the power to bring people together.,3.2667,1.672,30,"[4, 4, 3, 4, 1, 2, 2, 3, 1, 4, 4, 1, 3, 6, 3, 4, 1, 4, 1, 7, 5, 3, 6, 6, 1, 2, 3, 5, 2, 3]"
Nancy put the turkey in the oven in the early afternoon.,5.7,1.394,30,"[6, 6, 1, 6, 5, 7, 6, 6, 7, 5, 6, 6, 7, 7, 7, 4, 7, 7, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 6, 5]"
Researchers found a new bird species in Brazil.,4.1,1.4686,30,"[7, 4, 1, 4, 2, 6, 4, 2, 5, 4, 4, 3, 6, 3, 5, 2, 4, 5, 3, 4, 4, 5, 4, 2, 5, 7, 4, 5, 3, 6]"
Robert recently bought an expensive new dining table.,4.6333,1.378,30,"[6, 4, 4, 5, 3, 6, 6, 4, 6, 4, 4, 3, 6, 5, 5, 4, 7, 6, 2, 5, 4, 7, 6, 2, 5, 3, 3, 5, 3, 6]"
Shelters provide homeless people with a place to sleep.,4.7,1.5089,30,"[4, 4, 3, 5, 4, 4, 2, 4, 6, 3, 5, 5, 7, 5, 4, 4, 7, 6, 1, 4, 6, 7, 6, 6, 6, 6, 5, 4, 2, 6]"
Shoes protect feet from rough terrain.,4.6667,1.7575,30,"[4, 2, 7, 5, 2, 6, 6, 6, 5, 6, 7, 2, 5, 2, 5, 3, 7, 6, 1, 6, 5, 7, 6, 2, 4, 5, 6, 4, 3, 5]"
Strange sounds echoed loudly from the basement.,3.2,1.6613,30,"[5, 6, 2, 5, 1, 1, 5, 3, 2, 5, 2, 1, 2, 6, 5, 2, 4, 5, 1, 2, 3, 3, 2, 2, 2, 6, 4, 2, 2, 5]"
The Michelin-starred chef plated the gourmet dish.,5.0,1.5706,30,"[6, 5, 1, 5, 6, 7, 6, 3, 7, 5, 5, 2, 6, 6, 3, 3, 7, 7, 4, 4, 5, 5, 6, 6, 6, 2, 5, 6, 6, 5]"
The TV was left on all night by mistake.,5.3667,1.402,30,"[6, 5, 6, 6, 5, 7, 2, 5, 6, 7, 5, 5, 6, 6, 5, 2, 7, 7, 3, 5, 3, 7, 5, 6, 7, 4, 5, 7, 6, 5]"
The actor rehearsed his lines for the final time.,4.6333,1.5162,30,"[5, 5, 7, 4, 1, 6, 5, 3, 7, 5, 4, 3, 5, 5, 5, 5, 7, 6, 3, 4, 3, 6, 6, 6, 4, 5, 3, 5, 1, 5]"
The airline announced a significant flight delay.,4.2,1.8148,30,"[5, 3, 6, 4, 1, 6, 3, 4, 2, 6, 6, 5, 2, 6, 6, 1, 1, 6, 6, 3, 4, 5, 6, 6, 2, 2, 3, 4, 7, 5]"
The ancient heritage site fascinated the tourists.,4.7,1.4177,30,"[6, 5, 5, 5, 5, 5, 6, 3, 3, 6, 5, 2, 6, 3, 4, 3, 7, 7, 5, 4, 4, 4, 7, 2, 5, 7, 3, 5, 4, 5]"
The architect finished the new building design.,4.2667,1.7114,30,"[5, 5, 7, 3, 2, 6, 6, 2, 3, 5, 4, 1, 5, 5, 5, 1, 7, 6, 2, 4, 4, 6, 4, 6, 6, 5, 2, 4, 2, 5]"
The artist completed the final brushstroke.,5.0333,1.402,30,"[6, 5, 6, 4, 5, 6, 6, 4, 7, 7, 5, 4, 7, 5, 6, 4, 7, 6, 4, 3, 4, 5, 6, 6, 3, 1, 3, 6, 5, 5]"
The artist unveiled her latest painting.,4.8667,1.668,30,"[7, 6, 3, 4, 3, 6, 6, 2, 7, 7, 6, 4, 5, 4, 6, 3, 7, 7, 3, 4, 5, 5, 5, 6, 6, 1, 3, 7, 3, 5]"
The assignment deadline was quickly approaching.,2.4667,1.6069,30,"[3, 2, 2, 3, 1, 1, 3, 2, 1, 2, 5, 1, 1, 2, 3, 1, 7, 3, 1, 5, 1, 3, 5, 6, 1, 2, 2, 1, 2, 2]"
The athlete trained religiously for a local race.,4.5333,1.4772,30,"[6, 6, 1, 5, 2, 4, 3, 5, 5, 5, 6, 3, 4, 6, 7, 3, 7, 6, 4, 5, 3, 5, 6, 6, 5, 3, 3, 3, 4, 5]"
The bakery smelled warm and inviting.,3.4138,1.9743,29,"[5, 2, 5, 1, 3, 4, 3, 1, 7, 6, 1, 1, 5, 6, 1, 1, 3, 2, 7, 4, 3, 6, 2, 2, 2, 5, 5, 1, 5]"
The busy holiday season increased sales dramatically.,3.0,1.8074,30,"[3, 2, 1, 5, 1, 6, 1, 2, 3, 6, 5, 1, 3, 4, 5, 1, 7, 2, 3, 7, 2, 4, 1, 2, 2, 2, 2, 3, 2, 2]"
The chef prepared a gourmet meal with precision.,5.0667,1.4126,30,"[6, 6, 1, 6, 5, 7, 6, 3, 7, 5, 5, 4, 5, 6, 4, 4, 7, 6, 2, 5, 5, 5, 3, 6, 6, 5, 5, 7, 5, 5]"
The chef prepared the ingredients for dinner.,5.7333,1.1528,30,"[5, 5, 6, 7, 6, 7, 6, 3, 7, 7, 7, 5, 6, 6, 7, 4, 7, 7, 5, 7, 5, 6, 5, 6, 3, 6, 4, 6, 6, 5]"
The city council approved a new housing project.,3.1667,1.551,30,"[5, 4, 6, 5, 1, 4, 2, 2, 1, 2, 4, 2, 2, 5, 3, 1, 4, 5, 1, 4, 3, 4, 4, 6, 1, 4, 4, 3, 1, 2]"
The climber fastened the harness to the rope.,5.3333,1.4453,30,"[6, 6, 2, 6, 6, 6, 6, 4, 7, 6, 5, 4, 6, 6, 7, 3, 7, 7, 3, 4, 5, 7, 6, 2, 7, 6, 4, 5, 5, 6]"
The coach knew how to win the game.,2.3333,1.2737,30,"[4, 2, 4, 4, 1, 1, 1, 2, 1, 2, 5, 4, 2, 5, 2, 1, 1, 4, 1, 4, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2]"
The company's latest smartphone is sleek and innovative.,5.0,1.4832,30,"[6, 4, 6, 3, 7, 6, 6, 5, 6, 6, 6, 2, 6, 5, 5, 3, 7, 6, 4, 6, 6, 6, 3, 6, 6, 1, 4, 5, 3, 5]"
