unit,mean,std,n,individual_ratings
Taste that fowl and those fish.,2.4117647058824,,,
All sorts of treasure there too.,5.2941176470588,,,
The small flock of birds circled.,3.7222222222222,,,
The music drums inside my head.,4.6875,,,
They are very devoted and faithful.,5.1578947368421,,,
What an amazing and wonderful metamorphosis.,4.9411764705882,,,
She began to worry about infection.,1.3076923076923,,,
It has a light tangy flavor.,4.2307692307692,,,
We love rich tourists on vacation.,3.5333333333333,,,
Across the street was a pub.,4.75,,,
Would she put him in jail?,2.2352941176471,,,
Where are you keeping it safe?,3.3529411764706,,,
"It was all ridiculous, crazy, insane.",2.5882352941176,,,
"A childish notion, to be sure.",2.5,,,
Sophia was asleep on the sofa.,4.625,,,
Her answer was difficult to grasp.,1.5833333333333,,,
It meant waving a white flag.,2.4666666666667,,,
The crowd burst into spontaneous applause.,4.6666666666667,,,
His leg is too badly damaged.,1.0833333333333,,,
He treated them like puppy dogs.,4.6923076923077,,,
It looked like a trash heap.,2.0,,,
A car drove down the road.,3.4117647058824,,,
People are getting hungry and desperate.,1.6153846153846,,,
He held out a duffel bag.,2.3076923076923,,,
The movie was entertaining and funny.,6.2142857142857,,,
Everyone finished eating every delicious bite.,5.8823529411765,,,
He took another sip of beer.,3.3333333333333,,,
The last time we'd had four.,1.8333333333333,,,
Would she not regret this marriage?,1.9375,,,
Grace and kindness was their strength.,5.8571428571429,,,
He could smell the cooking meat.,5.3076923076923,,,
In a way it seemed pointless.,1.5882352941176,,,
Another dance is about to begin.,4.3529411764706,,,
Like a voodoo priest or something?,2.6153846153846,,,
Her dreams remain vague and inconclusive.,2.8,,,
She seems awfully likable to me.,5.4375,,,
The experience had shaken him emotionally.,1.6875,,,
The bugs are eating me alive.,1.1176470588235,,,
She looked up from her sewing.,3.2857142857143,,,
This truly was a depressing place.,1.1578947368421,,,
"There was no moon, only starlight.",4.9411764705882,,,
He looked annoyed at being disturbed.,1.8823529411765,,,
Could this all be a test?,2.3076923076923,,,
They started hiking down the mountain.,4.4117647058824,,,
"Cattle, wagons, horses, all going west.",3.5,,,
