id,level,sublevel,confidence,borderline,reason,evidence
acceptability_extension_959_v5,syntax,,high,no,Context sentence constant per family; target varies in word-order scrambling severity; context inert per step4.,"Rate acceptability 1-7; target ranges from grammatical to fully scrambled word order, fixed preceding context"
acd_project_also_3_nov_24_2012_2,syntax,,high,no,VP-ellipsis with also vs overt repeated verb; quantifier every/the/the-same crossed with ellipsis; single sentence.,"How natural?; 'that the X also was' vs 'that the X was' (ACD/VPE), no context sentence"
acd_project_expt_44_the_same_nov_29_2012_1,syntax,,high,no,ACD ellipsis (did vs repeated verb) crossed with every/the/the-same quantifier; single sentence, structure varies.,"How natural?; 'that the X did' vs 'that the X V-ed' minimal pairs"
agreement_norming_nov_18,syntax,,high,no,Bare NP, number agreement between head noun and PP-internal noun manipulated across items.,"How likely is the phrase?; 'actor(s) in the commercial(s)' all 4 number combinations"
anne_abeille_acceptability_july_12_2017_1,syntax,,high,no,Single sentence naturalness; relativizer/extraction site (of which/which/clefted) varies across item family.,"How natural?; 'the originality of which/which amazed...' vs 'of which...applauded' variants"
can_noncan_acceptability_2,syntax,,high,no,Naturalness of single sentences; canonical vs non-canonical (pseudo-cleft/particle-shift) word order varies.,"How natural?; 'It is about X that they set' vs 'It is X that they set about'"
clefting_e4,syntax,,high,no,Single sentence naturalness; cleft vs pseudo-cleft structure varies (it-cleft, wh-cleft, PP-stranding).,"How natural?; 'It was clues that the detective looked for' vs 'It was for clues that...looked'"
constituency_tests,syntax,,high,no,Single sentence naturalness; topicalization/fronting of constituents varies (constituency tests).,"How natural?; 'A clever solution, the student thought of' fronted-object variants"
crossed_dependencies_long,syntax,,high,no,Single sentence naturalness; RC extraposition/adjacency and length varies across items.,"How natural?; RC adjacent to head vs extraposed to end, varying length"
dative_turkish,discourse,,high,no,Context varies (recipient introduced as new vs already given) crossed with dative word order (PP vs double-object); context rule applies.,"Target dative sentence naturalness; 2 distinct contexts (new-teacher vs given-teacher) x 2 orders per family"
discourse_30subjs_list1,discourse,,high,no,Two-sentence connectedness/sequence judgment between S1 and S2.,"Rate how connected two sentences are, 1-5; unrelated vs related sentence pairs"
discourse_causality_list2,discourse,,high,no,Causal relation between S1 and S2 rated explicitly.,"To what extent does S1 cause S2, 1-7; causally linked vs unrelated pairs"
discourse_coherence_list2,discourse,,high,no,Whether S2 makes sense given S1 (cross-sentence coherence).,"How much sense does S2 make in context of S1, 1-7; coherent vs incoherent pairs"
discourse_imagability_singles_list1,sentence_semantics,conceptual_content,high,no,Single sentence rated for ease of visualizing content; discourse_* project name but content rating per codebook note.,"How easy to visualize?, 1-7; single sentences vary in imageable content"
discourse_mentalizing_pairs_list2,sentence_semantics,conceptual_content,high,no,Sentence pairs treated as one unit, rated for mentalizing/social-cognitive content, not connectedness.,"How much do these make you think of others' mental states?, 1-7; pairs vary in mentalizing content"
discourse_physics_pairs_list1,sentence_semantics,conceptual_content,high,no,Sentence pairs treated as one unit, rated for physical-object content, not connectedness.,"How much think of physical objects/interactions?, 1-7; pairs vary in physicality"
discourse_physics_singles_list4,sentence_semantics,conceptual_content,high,no,Single sentences rated for physical-object/interaction content.,"How much think of physical objects/interactions?, 1-7; single sentences vary in physicality"
discourse_scenes_singles_list3,sentence_semantics,conceptual_content,high,no,Single sentences rated for evoking places/scenes.,"How much think of places/scenes?, 1-7; single sentences vary in scene content"
edwards2024_spelling_to_pronunciation_transparency,subword,,high,no,Word-level rating of spelling-to-sound transparency/difficulty, form-driven.,"Rate difficulty matching sounded-out form to pronunciation, 1-6; regular vs irregular words"
european_portuguese_rc,syntax,,high,no,Well-formedness of single Portuguese sentence; relativizer (do qual vs quem) varies across items.,"Is this sentence well-formed?, 1-7; 'do qual' vs 'quem' RC variants"
gabriel_wh,syntax,,medium,no,Well-formedness of single Portuguese sentence; wh-extraction site (matrix yes/no vs de-quais fronted) varies.,"Is this sentence well-formed?, 1-7; 'De quais X...' extracted vs non-extracted question variants"
green2025_aoa_writing,lexical_other,,high,no,Word-level age-of-acquisition (writing) estimate, not a meaning dimension.,"At what age would you have first spelled this word correctly?, 0-20"
huang_response_set2b,syntax,,high,no,Single sentence naturalness; matrix verb varied to test island/extraction effects (What did X V that Y stole?).,"How natural?, 1-7; matrix verb varies (circulate/consent/denounce/...) with fixed extraction frame"
italian_dative_v2,discourse,,high,no,Context varies (recipient/theme given differently) crossed with dative order (double-object vs PP); context rule applies.,"How natural is the last sentence?; distinct preceding contexts x 2 dative orders per family"
lancaster2020_gustatory,lexical_semantics,perceptual_motor,high,no,Word-level perceptual strength rating (taste modality).,"Rate how much word experienced through taste, 0-5"
lancaster2020_mouth,lexical_semantics,perceptual_motor,high,no,Word-level motor/effector strength rating (mouth/throat actions).,"Rate how much word experienced through mouth/throat actions, 0-5"
lauren_sentence_naturalness_survey_expt_2_nov_15_2011,syntax,,high,no,Single sentence naturalness; center-embedding/multiple-clause structure varies (garden-path style).,"How natural?, 1-5; center-embedded 'if when...' sentences vs simple sentences"
locative_topicalization_survey,discourse,,high,no,Context varies (referent given vs new) crossed with locative-initial vs canonical word order; context rule applies.,"How natural is second sentence given first?; givenness x locative-topicalization order per family"
massive_mem_concreteness_mar_2013,lexical_semantics,perceptual_motor,high,no,Word-level concreteness rating.,"How concrete or abstract is the word?, 1-5"
massive_mem_familiarity_mar_2013_end_1,lexical_other,,high,no,Word-level familiarity rating, not a meaning dimension.,"How familiar is the word?, 1-5"
massive_mem_imageability_mar_2014,lexical_semantics,perceptual_motor,high,no,Word-level imageability rating.,"How easy to form mental image of word?, 1-5"
massive_mem_valence_mar_2014_end_1,lexical_semantics,affective,high,no,Word-level valence/pleasantness rating.,"How pleasant/unpleasant is the word?, 1-5"
mk_grammaticality_study_7_20,syntax,,high,no,Nonce-word sentences; verb subcategorization frame (intransitive/transitive/dative/complement) varies across items.,"How natural?, 1-5; 'The X V.' vs 'The X V the Y to the Z' vs 'The X V that Y was Z' with nonce nouns/verbs"
noisy_rc_norming_oct19,sentence_semantics,plausibility,medium,yes,Structure constant (simple transitive SVO); only the object noun varies, changing event plausibility, despite the naturalness question and dataset name suggesting a syntax norming set.,"How natural?, 1-5; e.g. 'coach benched the player' vs 'coach benched the trainer', same frame throughout"
p_p_sentence_naturalness_survey_dec_2009,syntax,,high,no,Within-sentence pronoun binding (donkey-anaphora) series; classified as syntax per Andrea's recorded decision.,"How natural?, 1-5; quantified-NP + pronoun binding configurations ('p_p' series)"
pascal_1_dec_2012,syntax,,high,no,French naturalness; mood (indicative/subjunctive) and VP-ellipsis (aussi vs repeated VP) vary across items.,"À quel point cette phrase vous paraît-elle naturelle?, 1-5; 'est' vs 'soit', ellipsis 'aussi' vs full repeat"
pronouns_following_verbs_an,pragmatics,,high,no,Strength of pronoun-referent intuition within a single conjoined-clause sentence, driven by nonce-verb implicit causality.,"How strong is your intuition about who pronoun refers to?, 1-3; 'X V-ed Y and she/he nonce-verb-ed'"
quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,syntax,,high,no,Single sentence naturalness; wh-extraction with/without stranded preposition varies (subcategorization/multiple-wh).,"How natural?, 1-7; '...who Monica offered a pencil to' vs '...offered a pencil'"
rating_english_sentences,syntax,,high,no,Single sentence acceptability; word-order/ellipsis errors and VP-ellipsis inversion vary across items.,"Rate acceptability 1-7; 'and did it he now' vs 'and she truly does' type structural variants"
richard_islands_acceptability_expt_1_april_25_2013_3,syntax,,high,no,Single sentence naturalness; island-violating vs non-violating wh-extraction structure varies.,"How natural?, 1-5; adjunct-island wh-extraction vs simple wh-question"
russian_freezing,syntax,,high,no,Single sentence naturalness; subject-verb gender/number agreement varies across items.,"Rate naturalness 1-5; verb agreement (masc/fem/plural) with fixed NP-NP frame"
scott2018_familiarity,lexical_other,,high,no,Word-level familiarity rating, not a meaning dimension.,"Rate familiarity of word, 1-7"
semantics1_finalproject,sentence_semantics,plausibility,high,no,Agreement with single generic-sentence truth/plausibility, content (not structure) varies.,"How much do you agree with the sentence?, 1-5; 'All beavers build dams' vs 'build skyscrapers'"
sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,syntax,,high,no,ACD/VP-ellipsis (did vs repeated verb) crossed with quantifier and antecedent-set-complexity (extra RC) manipulations; single sentence.,"How natural?, 1-5; 'that the X did' vs 'that the X V-ed' vs 'that the X who I met V-ed'"
sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,syntax,,high,no,Single complex-RC sentence naturalness; complementizer presence, verb form, and word-order corruption vary.,"How natural?, 1-7; 'that Justin hire' vs 'hired' vs 'hired Amanda and' vs scrambled variant"
sentence_naturalness_survey_for_gs_jan_23_2010,pragmatics,,high,no,Situation constant within family; only the imperative/conditional form of the follow-up utterance varies; felicity of utterance in situation.,"How natural does utterance sound in that situation?, 1-5; 'Do sing louder' vs 'Everyone sing louder' vs 'If everyone sings louder', same scenario"
sentence_naturalness_survey_for_jk_june_24_2010_v2,discourse,,high,no,Multi-sentence passage naturalness; connective/clause-order (while X,Y / while Y,X) manipulated across passage.,"How natural does the passage sound?, 1-5; clause-order permutations of a fixed 3-sentence passage"
sentence_naturalness_survey_for_lb_feb_20_2010_v2,discourse,,medium,yes,Two-sentence passage naturalness; second sentence uses definite/presuppositional phrase ('at the same X') referring back to first sentence.,"How natural does the passage sound?, 1-5; 'At the same liquor store there was another bottle...' cross-sentence definiteness"
sentence_naturalness_survey_for_lb_mar_2010_2,discourse,,medium,yes,Two-sentence passage naturalness; clause order and definiteness ('a/the/the only soldier') of second-mention referent vary relative to first sentence.,"How natural does the passage sound?, 1-5; 'another soldier' referring back, plus clause-order variants"
sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,sentence_semantics,plausibility,high,no,Single sentence naturalness; final noun varies between real word, malapropism, and near-miss, i.e. meaning varies not structure.,"How natural?, 1-7; 'revealing her irritation' vs 'her irrigation' vs 'her frankincense' (malapropism set)"
short_acceptability_feb_6_2014,syntax,,high,no,Single sentence naturalness; particle-verb placement (particle shift) and NP length vary across items.,"How natural?, 1-5; 'put his homework off' vs 'put off his homework'"
troche2014_emotion,lexical_semantics,affective,high,no,Word-level agreement rating for emotion-relatedness.,"Rate agreement 'I relate this word with human emotion', 1-7"
troche2014_social_interaction,lexical_semantics,conceptual,high,no,Word-level agreement rating for social-interaction relatedness (conceptual feature dimension).,"Rate agreement 'I relate this word with relationships between people', 1-7"
