unit,mean,std,n,individual_ratings,item_type
A compass helps hikers find their way.,5.4,1.6526,30,"[5, 4, 6, 6, 6, 5, 7, 4, 6, 3, 7, 1, 6, 6, 5, 7, 6, 7, 2, 6, 7, 6, 6, 5, 7, 2, 7, 4, 7, 6]",test
A coral reef shelters fish.,5.5,1.8523,30,"[5, 7, 6, 6, 7, 3, 1, 7, 7, 7, 7, 4, 7, 5, 6, 1, 6, 7, 2, 7, 7, 7, 6, 7, 5, 3, 6, 4, 6, 6]",test
A suitcase holds everything needed for a trip.,5.8,1.5177,30,"[4, 6, 7, 7, 5, 6, 7, 7, 7, 6, 6, 3, 7, 5, 6, 7, 7, 7, 7, 7, 7, 6, 6, 1, 4, 3, 7, 5, 5, 6]",test
April was unexpectedly muggy and warm.,2.0667,1.4126,30,"[6, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 5, 2, 4, 2, 1, 2, 1, 1, 1, 1, 2, 4, 1, 2, 2, 1, 4, 4, 2]",test
Attendees can enjoy live performances and art displays.,4.2,1.7499,30,"[5, 3, 5, 5, 7, 5, 5, 3, 6, 3, 7, 3, 6, 4, 2, 1, 5, 2, 3, 6, 3, 3, 5, 7, 5, 3, 1, 5, 2, 6]",test
Attendees chatted at the reception about the lecture.,4.3333,2.0734,30,"[5, 1, 3, 4, 6, 7, 5, 1, 2, 2, 7, 5, 6, 5, 6, 7, 4, 6, 7, 4, 1, 2, 4, 6, 7, 2, 7, 3, 3, 2]",test
Attendees felt motivated to set new goals.,2.3667,1.6078,30,"[5, 1, 4, 1, 1, 1, 2, 1, 2, 1, 5, 3, 4, 2, 4, 1, 1, 1, 3, 1, 1, 1, 2, 2, 6, 1, 4, 4, 5, 1]",test
Bret took off impulsively and embraced the unknown.,3.1,1.9888,30,"[6, 1, 3, 1, 6, 7, 6, 1, 1, 5, 5, 5, 3, 2, 1, 1, 2, 1, 1, 2, 1, 2, 3, 3, 5, 3, 7, 3, 3, 3]",test
Coaches motivate athletes to excel beyond their limits.,3.2,1.9547,30,"[6, 1, 3, 1, 3, 1, 5, 1, 1, 2, 7, 5, 2, 3, 2, 7, 3, 1, 6, 1, 2, 1, 4, 5, 6, 4, 4, 4, 3, 2]",test
Commuters struggled to find alternative routes.,3.4,1.8681,30,"[5, 1, 5, 2, 7, 1, 2, 1, 1, 4, 3, 5, 5, 4, 3, 1, 2, 2, 1, 6, 2, 5, 5, 3, 5, 2, 7, 4, 5, 3]",test
Derek had trouble concentrating on his work.,2.2414,1.6181,29,"[4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 6, 2, 3, 2, 2, 5, 2, 1, 3, 1, 1, 2, 5, 6, 1, 4, 3, 1, 1]",test
Everyone's eyes were watering profusely.,4.0,2.0511,30,"[4, 3, 5, 4, 7, 5, 3, 1, 7, 5, 7, 1, 4, 6, 6, 1, 6, 2, 3, 2, 1, 2, 5, 5, 7, 1, 5, 4, 6, 2]",test
Fans praised the plot twists and complex characters.,2.5667,1.9597,30,"[5, 1, 4, 2, 1, 1, 1, 1, 2, 1, 3, 6, 2, 2, 6, 1, 1, 1, 5, 5, 1, 1, 2, 1, 7, 3, 6, 3, 1, 1]",test
Fluency enables deeper cultural understanding.,1.7,1.3684,30,"[5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 3, 2, 5, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1]",test
