unit,mean,std,n,individual_ratings
Amanda choked Jessica and so she chammed,2.1667,0.717,60,"[1, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 1, 2, 3, 2, 3, 2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 1, 2, 3, 2, 3, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 3, 2, 1, 1, 3, 1, 2, 1, 2, 3, 1, 3, 2, 2, 2, 2, 2, 3, 3]"
Amanda delighted Jenny and so she zibbed,2.0833,0.6712,60,"[2, 3, 2, 1, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 1, 2, 3, 3, 1, 2, 3, 1, 3, 2, 3, 1, 2, 3, 2, 2, 2, 3, 1, 3, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3]"
Amy shook Justin and so he zadded,2.5833,0.6712,60,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2, 2, 3, 2, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 2, 1, 3]"
Amy shook Kate and so she daxed,2.0862,0.6565,58,"[2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 1, 3, 2, 3, 1, 3, 3, 2, 2, 2, 2, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]"
Angela healed Kim and so she ganned,2.15,0.7089,60,"[3, 3, 3, 2, 3, 2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3, 1, 2, 3, 3, 2, 2, 3, 1, 3, 2, 3, 1, 3, 3, 1, 2, 2, 3, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3]"
Anne rocked Lisa and so she heafed,2.1167,0.7152,60,"[3, 3, 2, 1, 3, 2, 1, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 1, 2, 2, 3, 1, 3, 2, 2, 1, 3, 3, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 3, 2, 2, 3, 2, 1, 2]"
Ben bounced Amy and so he twibbed,2.55,0.5945,60,"[2, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 1, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 2, 2, 2]"
Ben bounced Eric and so he bicked,2.0678,0.6914,59,"[3, 3, 3, 1, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3, 1, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 2, 3, 2, 2, 2, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2]"
Ben enjoyed Anne and so he kuped,2.5833,0.6455,60,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 2, 3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 1, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3]"
Ben enjoyed Diego and so he temmed,1.9831,0.7541,59,"[1, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 3, 3, 3, 1, 2, 3, 3, 2, 2, 3, 1, 3, 2, 3, 1, 2, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 3]"
Brian dropped James and so he claffed,2.0667,0.7334,60,"[1, 3, 3, 1, 3, 2, 2, 2, 3, 2, 2, 1, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 1, 2, 3, 1, 3, 2, 2, 1, 3, 3, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 1, 3]"
Brian saddened Eric and so he worved,2.0333,0.6881,60,"[1, 3, 2, 1, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 1, 3, 3, 1, 2, 2, 3, 1, 3, 2, 3, 1, 3, 3, 2, 2, 2, 3, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3]"
Chris irritated James and so he wurted,2.1833,0.7247,60,"[2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 1, 3, 3, 1, 2, 2, 3, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 3, 1, 2, 3, 2, 2, 1, 2, 2, 3]"
Chris stopped Jason and so he drazened,2.0862,0.6565,58,"[2, 3, 2, 3, 2, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 1, 3, 2, 3, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3]"
Daniel quieted John and so he gutched,2.0333,0.6881,60,"[2, 3, 1, 1, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 1, 2, 3, 1, 2, 2, 3, 1, 3, 2, 3, 1, 2, 3, 2, 2, 2, 3, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 2, 2, 3]"
