unit,mean,std,n,individual_ratings
bites,4.75,0.559,16,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
blows,3.8125,1.2359,16,"[4, 4, 3, 4, 2, 5, 5, 1, 5, 5, 2, 3, 5, 5, 4, 4]"
breaks,4.75,0.75,16,"[5, 5, 5, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
brings,4.625,0.5995,16,"[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 5]"
builds,4.6875,0.583,16,"[4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5]"
bumps,4.3125,1.1022,16,"[5, 5, 1, 5, 5, 5, 4, 4, 5, 5, 4, 3, 5, 5, 5, 3]"
buys,4.8125,0.3903,16,"[5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5]"
carries,4.875,0.3307,16,"[4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
catches,4.6875,0.583,16,"[5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5]"
chases,4.9375,0.2421,16,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
claps,3.125,1.4087,16,"[2, 1, 2, 2, 4, 5, 2, 4, 1, 3, 5, 5, 2, 4, 5, 3]"
cleans,4.8125,0.7262,16,"[5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
climbs,4.75,0.433,16,"[5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4]"
closes,4.4375,0.7043,16,"[5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 4, 3, 5]"
cooks,4.6875,0.4635,16,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5]"
covers,4.8125,0.3903,16,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5]"
cries,3.0,1.5411,16,"[2, 3, 5, 1, 1, 1, 4, 5, 5, 5, 2, 4, 4, 3, 1, 2]"
cuts,4.75,0.433,16,"[5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5]"
dances,2.6875,1.4017,16,"[1, 2, 1, 2, 5, 4, 2, 1, 2, 5, 2, 5, 2, 2, 4, 3]"
draws,4.5625,0.7043,16,"[5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 4]"
dries,4.3125,0.8455,16,"[4, 5, 5, 4, 5, 5, 3, 4, 5, 5, 2, 4, 5, 5, 4, 4]"
drinks,4.75,0.9682,16,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
drives,4.5625,0.7881,16,"[4, 5, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5]"
drops,4.6875,0.768,16,"[5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5]"
dumps,4.6875,0.583,16,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 3, 5]"
eats,5.0,0.0,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
falls,1.75,1.0897,16,"[2, 1, 2, 1, 2, 5, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3]"
feeds,4.7333,0.5735,15,"[5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5]"
finds,4.8667,0.3399,15,"[5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
finishes,4.4667,0.8844,15,"[5, 5, 4, 5, 2, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5]"
fits,4.375,0.927,16,"[5, 4, 5, 5, 2, 5, 5, 3, 3, 5, 5, 5, 5, 5, 4, 4]"
fixes,4.5,0.9354,16,"[5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 2, 5, 5, 3, 5]"
gets,4.75,0.433,16,"[5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5]"
gives,3.625,1.2183,16,"[5, 4, 2, 1, 4, 3, 4, 4, 4, 5, 5, 4, 2, 4, 2, 5]"
goes,3.0,1.2247,16,"[5, 2, 3, 2, 2, 2, 5, 2, 4, 5, 2, 3, 4, 3, 1, 3]"
has,4.8667,0.3399,15,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]"
hates,4.9375,0.2421,16,"[5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
hears,4.625,0.696,16,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 4]"
helps,4.9375,0.2421,16,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
hides,4.5,0.7071,16,"[5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 4]"
hits,4.625,0.7806,16,"[5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5]"
holds,4.5625,0.7043,16,"[5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 3]"
hugs,4.6875,0.583,16,"[5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5]"
hurries,4.0,1.2247,16,"[4, 2, 5, 5, 5, 4, 4, 1, 3, 5, 5, 5, 5, 5, 3, 3]"
jumps,4.0625,0.8268,16,"[5, 4, 4, 5, 5, 5, 3, 4, 5, 5, 3, 4, 4, 3, 3, 3]"
kicks,4.6875,0.9823,16,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5]"
kisses,4.9375,0.2421,16,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
knocks,3.0625,1.1973,16,"[2, 5, 2, 2, 1, 2, 4, 3, 4, 4, 5, 4, 3, 4, 2, 2]"
licks,4.4,1.0198,15,"[5, 4, 5, 5, 4, 5, 1, 4, 5, 5, 4, 5, 5, 5, 4]"
likes,5.0,0.0,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
listens,2.875,1.7275,16,"[1, 3, 1, 1, 5, 1, 5, 1, 1, 5, 2, 5, 2, 5, 4, 4]"
looks,3.125,1.6536,16,"[5, 5, 2, 1, 4, 5, 5, 3, 1, 2, 1, 5, 3, 5, 1, 2]"
loves,5.0,0.0,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
makes,4.625,0.696,16,"[5, 4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3]"
opens,4.75,0.559,16,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5]"
paints,4.4667,0.8844,15,"[5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 2]"
