unit,mean,std,n,individual_ratings
Amanda choked Jessica because she was a cham,2.0,0.6708,40,"[2, 3, 1, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2, 1, 2, 2, 2, 3, 2, 1, 1, 2, 1, 3, 2, 2, 2, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 3]"
Amanda delighted Jenny because she was a zib,2.0,0.5477,40,"[2, 3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 3, 2, 2, 2, 1, 3]"
Amy shook Justin because he was a zad,2.65,0.5723,40,"[3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
Amy shook Kate because she was a dax,1.925,0.519,40,"[2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 3]"
Angela healed Kim because she was a gan,1.925,0.6476,40,"[2, 2, 1, 2, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 3, 1, 3, 1, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 2, 2, 1, 3]"
Anne rocked Lisa because she was a heaf,1.875,0.6778,40,"[2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3]"
Ben bounced Amy because he was a twib,2.675,0.5651,40,"[3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3]"
Ben bounced Eric because he was a bick,2.05,0.7053,40,"[2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 3, 2, 3, 2, 2, 3, 1, 3]"
Ben enjoyed Anne because he was a kupe,2.7179,0.5038,39,"[3, 3, 3, 3, 2, 2, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Ben enjoyed Diego because he was a tem,2.075,0.5651,40,"[2, 3, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1, 3]"
Brian dropped James because he was a cra,1.6053,0.7086,76,"[2, 1, 3, 3, 2, 3, 1, 1, 2, 2, 2, 3, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 1, 3, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3]"
Brian saddened Eric because he was a worve,1.975,0.6514,40,"[2, 3, 2, 2, 2, 2, 1, 1, 3, 2, 3, 1, 1, 3, 3, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 2, 1, 3, 2, 2, 2, 1, 3]"
Chris irritated James because he was a wurt,2.0789,0.5795,38,"[2, 3, 1, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 2, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1, 3]"
Chris stopped Jason because he was a drazen,2.0,0.6405,39,"[2, 3, 1, 3, 2, 2, 2, 3, 2, 3, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 3, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 3]"
Daniel quieted John because he was a gutch,1.9744,0.6196,39,"[2, 3, 3, 2, 2, 1, 1, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 3, 2, 1, 3]"
David woke Joshua because he was a hine,1.8462,0.6617,39,"[2, 3, 1, 3, 2, 2, 2, 3, 1, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3]"
Diego spun Justin because he was a keef,1.825,0.628,40,"[2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 3, 2, 2, 2, 1, 3]"
Heather slowed Liz because she was a jass,1.9,0.6245,20,"[2, 2, 2, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 1, 3, 2, 2, 2, 1, 3]"
Heather woke Robert because she was a pum,2.675,0.6078,40,"[3, 3, 1, 3, 2, 2, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
Jason squeezed Michael because he was a rort,1.775,0.6514,40,"[2, 3, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 3, 1, 2, 1, 2, 2, 2, 2, 1, 3, 2, 2, 2, 1, 3]"
Jenny twirled Maria because she was a koom,1.8462,0.6218,39,"[2, 3, 3, 2, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 3]"
