unit,mean,std,n,individual_ratings
Alice wondered what the coworker made the claim that Amy stole.,2.029,0.8956,138,"[2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 2, 3, 1, 2, 1, 1, 3, 3, 1, 2, 1, 5, 1, 5, 2, 2, 2, 2, 1, 2, 4, 2, 2, 2, 2, 3, 1, 2, 2, 3, 1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 1, 2, 3, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 3, 2, 1, 1, 5, 3, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 4, 1, 2, 2, 2, 1, 2, 4, 1, 4, 2, 1, 3, 4, 2, 2, 1, 2, 3, 2, 4, 3, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 3, 1, 3, 3, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3]"
Angela wondered what the thing is that the banker denied the fact that Jared could afford it.,1.7895,1.0317,19,"[3, 1, 3, 4, 2, 1, 2, 2, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2]"
"Angela wondered what the thing was, such that the banker denied the fact that Jared could afford it.",2.4118,1.0449,119,"[3, 4, 3, 3, 2, 2, 2, 2, 1, 2, 1, 3, 3, 2, 3, 1, 1, 3, 2, 2, 2, 1, 3, 1, 4, 2, 2, 2, 2, 1, 3, 5, 3, 2, 2, 5, 2, 3, 3, 3, 5, 3, 4, 1, 2, 2, 1, 1, 4, 2, 4, 2, 4, 4, 2, 2, 3, 3, 2, 2, 1, 2, 5, 1, 3, 3, 2, 2, 2, 1, 3, 3, 2, 1, 3, 2, 2, 2, 4, 2, 3, 2, 1, 2, 3, 3, 1, 4, 2, 2, 3, 4, 1, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 1, 2, 3, 2, 5, 2, 2, 2, 1, 3, 1, 3, 4, 2, 2, 2]"
"Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.",2.2029,1.0885,138,"[2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 1, 1, 2, 1, 2, 3, 1, 3, 2, 4, 2, 3, 4, 2, 2, 3, 5, 1, 2, 2, 3, 4, 1, 2, 2, 3, 1, 4, 1, 2, 2, 1, 1, 2, 4, 2, 1, 4, 1, 5, 3, 3, 1, 3, 3, 1, 3, 5, 1, 1, 3, 4, 1, 2, 3, 3, 1, 1, 4, 2, 2, 3, 4, 1, 2, 1, 2, 2, 1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 1, 2, 4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 2, 1, 2, 3, 1, 3, 2, 3, 2, 2, 1, 4, 3, 2, 1, 1, 2, 4, 2, 2, 1, 4, 3]"
Brenda wondered what the thing is that the coach made the suggestion that Susie play it.,1.85,0.9333,20,"[3, 1, 2, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1, 4, 1, 2, 1, 2, 2]"
"Brenda wondered what the thing was, such that the coach made the suggestion that Susie play it.",2.322,0.9774,118,"[3, 2, 2, 4, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 1, 3, 3, 1, 5, 4, 3, 2, 2, 3, 1, 2, 2, 3, 2, 1, 5, 4, 3, 3, 2, 4, 2, 2, 2, 2, 2, 1, 1, 4, 3, 3, 1, 2, 2, 3, 2, 3, 3, 1, 4, 2, 2, 2, 4, 3, 2, 3, 2, 1, 1, 3, 2, 2, 3, 2, 1, 2, 2, 3, 1, 3, 2, 2, 2, 3, 3, 1, 4, 1, 2, 2, 4, 1, 2, 4, 1, 3, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 5, 2, 3, 2, 4, 3, 1, 2, 4, 2, 2, 1]"
Christian wondered what the pharmacist made the prediction that Josh would refill.,1.9203,0.9047,138,"[2, 1, 2, 3, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 1, 2, 1, 2, 2, 2, 3, 1, 2, 1, 4, 2, 4, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2, 1, 2, 5, 1, 1, 2, 1, 2, 2, 1, 1, 2, 4, 4, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 1, 2, 3, 2, 2, 1, 1, 2, 2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 5, 1, 2, 3, 2, 4, 3, 2, 2, 3, 3, 2, 2, 2, 1, 1, 1, 2, 1, 3, 4, 3, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 3, 4]"
Frank wondered what the fisherman denied the fact that Laura caught.,1.7956,0.8326,137,"[2, 1, 2, 4, 1, 3, 2, 2, 2, 1, 2, 3, 1, 2, 1, 1, 1, 2, 1, 2, 4, 1, 2, 1, 2, 2, 2, 2, 2, 1, 4, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 4, 4, 1, 1, 2, 2, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 2, 4, 1, 3, 1, 2, 2, 1, 2, 2, 1, 4, 2, 2, 4, 1, 2, 1, 4, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3]"
Gerald wondered what the thing is that the detective doubted the possibility that Connor could find it.,1.85,0.8127,20,"[3, 1, 2, 3, 3, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 3, 3]"
"Gerald wondered what the thing was, such that the detective doubted the possibility that Connor could find it.",2.431,1.0972,116,"[4, 2, 2, 3, 4, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 4, 3, 1, 2, 3, 1, 1, 4, 2, 3, 2, 3, 1, 2, 5, 3, 2, 2, 5, 3, 5, 3, 2, 5, 4, 1, 1, 2, 2, 1, 1, 2, 3, 5, 2, 3, 3, 2, 2, 3, 3, 1, 2, 1, 2, 4, 2, 3, 1, 4, 2, 2, 1, 3, 2, 1, 3, 3, 2, 2, 3, 2, 3, 2, 2, 1, 2, 4, 4, 1, 4, 2, 2, 3, 4, 1, 2, 3, 1, 5, 2, 1, 2, 1, 2, 4, 1, 2, 2, 2, 4, 2, 4, 3, 1, 2, 1, 3, 3, 2, 1]"
Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.,4.7571,0.7574,140,"[5, 5, 4, 5, 5, 5, 4, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
