unit,mean,std,n,individual_ratings,item_type
Barbara blurted that Robert stole something.,5.62,1.8724,50,"[6, 3, 5, 7, 7, 7, 6, 7, 7, 6, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 7, 2, 7, 3, 4, 5, 1, 7, 6, 7, 7, 7, 5, 7, 4, 7, 4, 6, 5, 7, 5, 3, 7, 7, 6, 1, 7, 1]",test
Barbara blustered that Mary wrote something.,3.34,1.7215,50,"[7, 1, 3, 5, 5, 5, 2, 6, 2, 5, 1, 2, 2, 5, 3, 1, 6, 5, 1, 3, 4, 2, 7, 1, 5, 3, 3, 3, 1, 2, 5, 5, 1, 3, 4, 4, 4, 5, 1, 6, 3, 4, 3, 2, 2, 4, 3, 1, 4, 2]",test
Barbara disliked that James took something.,6.66,0.6581,50,"[7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 4, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 5, 7, 7, 6, 7, 6, 7, 6, 6, 7, 7, 7, 7, 7, 6]",test
Barbara gestured that Jennifer stole something.,5.46,1.7521,50,"[7, 6, 5, 7, 7, 3, 5, 5, 5, 7, 6, 5, 5, 5, 4, 7, 6, 6, 7, 6, 2, 5, 6, 5, 2, 7, 7, 7, 2, 7, 5, 7, 7, 7, 4, 6, 1, 7, 1, 6, 2, 7, 5, 7, 7, 6, 6, 4, 7, 7]",test
Barbara highlighted that Mary stole something.,5.14,1.4709,50,"[7, 6, 4, 7, 1, 6, 5, 6, 4, 7, 4, 5, 7, 5, 6, 7, 6, 5, 4, 5, 5, 5, 7, 7, 6, 5, 5, 4, 5, 7, 5, 5, 4, 6, 3, 6, 5, 7, 5, 3, 4, 3, 6, 4, 6, 6, 3, 1, 7, 5]",test
Barbara moved that Karen took something.,1.8,1.4708,50,"[3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 3, 1, 7, 5, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 5, 3, 1, 1, 1, 1, 1, 3]",test
Barbara raved that Mary stole something.,4.42,1.7738,50,"[4, 2, 1, 5, 3, 6, 2, 7, 7, 2, 4, 4, 6, 7, 2, 5, 6, 6, 4, 5, 3, 4, 5, 2, 2, 3, 5, 7, 4, 6, 3, 5, 4, 5, 2, 5, 6, 5, 2, 4, 4, 7, 6, 6, 7, 6, 1, 4, 3, 7]",test
Charles cited that Christopher wrote something.,5.06,1.6464,50,"[6, 5, 4, 7, 5, 1, 3, 6, 3, 5, 6, 5, 5, 7, 4, 7, 6, 1, 4, 7, 5, 5, 6, 5, 5, 3, 6, 6, 4, 3, 7, 4, 7, 5, 2, 5, 7, 6, 2, 6, 3, 7, 4, 7, 6, 7, 6, 4, 7, 6]",test
Charles convinced that David wrote something.,2.5102,1.6089,49,"[3, 5, 1, 5, 1, 1, 2, 2, 1, 3, 3, 4, 1, 3, 2, 3, 1, 1, 1, 2, 6, 1, 1, 1, 2, 4, 2, 7, 1, 4, 3, 1, 5, 2, 2, 1, 1, 2, 3, 2, 7, 2, 4, 2, 3, 2, 1, 2, 4]",test
Charles detected that Robert stole something.,5.9,1.2657,50,"[5, 7, 7, 1, 6, 6, 5, 7, 5, 6, 5, 6, 4, 6, 3, 7, 7, 5, 7, 6, 5, 4, 7, 6, 7, 7, 5, 7, 6, 7, 7, 6, 7, 7, 5, 7, 7, 6, 5, 7, 5, 7, 6, 5, 7, 7, 6, 4, 7, 5]",test
