unit,mean,std,n,individual_ratings,item_type
A lighthouse guides ships to safety. Aaron couldn't get the commercial's catchy jingle out of his mind.,1.4667,0.9732,30,"[2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 5, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",test
Bradley arrived at the airport by taxi. The artist transformed the canvas into a serene landscape.,1.2333,0.5683,30,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",test
Emma found the presentation engaging and informative. The funeral was somber and still.,1.4828,0.9111,29,"[1, 4, 2, 1, 2, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1]",test
James sat silently and avoided eye contact. Grace greeted everyone and made lively conversation.,4.0,0.6948,30,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 2, 4, 5, 5, 4, 5, 4, 4]",test
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.9,0.3051,30,"[5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",test
Lily kept her thoughts to herself during the meeting. Sam was never afraid to speak up.,4.2667,0.8683,30,"[4, 5, 5, 4, 4, 5, 4, 4, 5, 3, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 5, 4, 1, 4, 4, 4, 4, 5, 4, 4]",test
Mark hesitated to make a decision. Emma acted quickly and confidently.,4.5667,0.5683,30,"[4, 5, 5, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 4]",test
Mark hesitated to make a decision. The village was quiet and serene,1.8667,1.008,30,"[3, 3, 2, 3, 3, 3, 1, 2, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 2, 3, 1, 1, 2, 2, 1]",test
Nancy put the turkey in the oven in the early afternoon. Alan loved the cranberry sauce at dinner.,3.8,1.0954,30,"[3, 4, 5, 2, 4, 3, 4, 4, 4, 4, 1, 5, 3, 4, 3, 5, 3, 4, 4, 4, 5, 5, 1, 5, 4, 4, 3, 5, 5, 4]",test
Nancy put the turkey in the oven in the early afternoon. The audience slowly filed into their seats.,1.0667,0.2537,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",test
Sarah loves reading mystery novels. Sarah's brother enjoys detective stories.,4.7,0.535,30,"[5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4]",test
Shoes protect feet from rough terrain. The manager understood how to outmaneuver the competition.,1.3,0.596,30,"[2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]",test
The ancient heritage site fascinated the tourists. The locals found the ruins ordinary and unremarkable.,4.6333,0.5561,30,"[3, 5, 5, 4, 5, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]",test
The antique clock ticked heavily with each passing second. The diner piled plates high with hearty comfort food.,1.8,0.9248,30,"[3, 2, 1, 1, 3, 2, 2, 1, 2, 2, 5, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 3]",test
The bakery smelled warm and inviting. The supporting cast was criticized for lacking energy.,1.3667,0.9643,30,"[1, 2, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
The cat remained calm during the thunderstorm. Bret took off impulsively and embraced the unknown.,2.1667,1.0199,30,"[1, 3, 2, 2, 2, 3, 3, 2, 3, 2, 1, 3, 3, 1, 1, 5, 2, 3, 1, 3, 1, 2, 1, 3, 4, 2, 1, 2, 1, 2]",test
The coach knew how to win the game. The manager understood how to outmaneuver the competition.,4.0,1.0505,30,"[5, 4, 3, 4, 2, 4, 4, 4, 2, 2, 5, 4, 5, 4, 1, 5, 4, 5, 4, 5, 5, 4, 5, 4, 4, 4, 5, 5, 4, 4]",test
The coach knew how to win the game. The side streets were filled with unmoving cars.,1.2,0.5509,30,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
The company's latest smartphone is sleek and innovative. The firm's new laptop is cutting-edge and stylish.,3.5667,1.1043,30,"[4, 3, 4, 3, 1, 3, 4, 4, 3, 3, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 1, 1, 4, 5, 3, 2, 4, 5, 4]",test
The drive to the airport was bumpy and stressful. The badminton tournament took place on a wooden floor.,1.1333,0.3457,30,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
The entrepreneur built a successful business from the ground up. Flowers add beauty to a windowsill.,1.5333,0.8996,30,"[1, 2, 3, 2, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",test
The explorer ventured into unknown lands with courage. The cafe had mouth-watering pastries.,1.4,0.9322,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 4, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",test
The first flight to Frankfurt this morning was delayed. The retreat center focused on rest and introspection.,1.4667,0.8193,30,"[1, 3, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",test
The forest was alive with birdsong. Tom's new suit was dark and serious.,1.3667,0.8087,30,"[2, 2, 1, 2, 1, 2, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",test
The gym offers high-intensity workouts for fitness enthusiasts. The yoga studio focuses on meditation and gentle stretches.,4.3,0.7022,30,"[4, 4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 4, 3, 4, 4, 4, 4, 4, 5, 5, 2, 5, 4, 4, 4, 5, 4, 5]",test
The hike was exhausting for the beginners. The experienced hikers found the climb easy.,4.8333,0.379,30,"[5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",test
The horror movie kept movie-goers on edge with each scene. The comedy film filled the audience with laughter and lightheartedness.,3.6,1.1326,30,"[4, 4, 4, 3, 4, 5, 4, 2, 5, 3, 1, 5, 4, 3, 3, 4, 4, 4, 3, 2, 5, 2, 1, 5, 4, 3, 4, 5, 4, 4]",test
The kids put on their coats to go outside for recess. It started raining in the middle of the kickball game.,4.1333,0.9732,30,"[4, 4, 5, 4, 4, 4, 4, 4, 3, 4, 5, 5, 4, 1, 3, 5, 3, 4, 5, 4, 5, 2, 5, 4, 5, 4, 5, 5, 5, 5]",test
The laptop crashed in the middle of the presentation. The summer breeze gently rustled the green leaves.,1.2333,0.504,30,"[3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2]",test
The movie crew set up a table of food for the shoot. The team started filming the scene as the sun began to rise.,4.1,0.9948,30,"[4, 5, 5, 2, 3, 4, 4, 4, 4, 3, 5, 4, 5, 1, 4, 5, 4, 5, 5, 4, 5, 3, 4, 5, 5, 4, 5, 4, 5, 3]",test
The movie opened with a beautiful desert scene. Alan loved the cranberry sauce at dinner.,1.3,0.7944,30,"[1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
The movie was filled with exciting action scenes. The book it was based on had thrilling moments.,4.2,1.2429,30,"[5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 1, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 1, 1, 3, 5, 5, 5, 5, 5, 4]",test
The old bicycle had squeaky brakes. The new model rode silently and smoothly.,4.6,0.724,30,"[5, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]",test
The old typewriter clattered loudly with every keystroke. Grace greeted everyone and made lively conversation.,1.5667,0.9714,30,"[3, 2, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 5, 2, 1, 1, 1, 2, 1, 1]",test
The painting was abstract and confusing to some viewers. The art connoisseurs found the piece deep and meaningful.,4.5667,0.8584,30,"[5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 5]",test
The poet's verses were filled with deep emotion. A suitcase holds everything needed for a trip.,1.2,0.6103,30,"[1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
The rose bushes in the garden are in full bloom. The tulips are vibrant and healthy.,4.6,0.6747,30,"[5, 5, 5, 3, 5, 5, 5, 4, 3, 4, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]",test
The short flight arrived on time at the airport. John discovered that his bag had been lost in transit.,4.5667,0.5683,30,"[5, 4, 5, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]",test
The spicy peppers brought tears to Derek's eyes. The sweet mango cooled Sara's mouth with each bite.,3.9,0.6618,30,"[4, 4, 4, 3, 3, 5, 3, 4, 5, 4, 5, 5, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 5, 3, 4, 4, 4, 3, 4, 4]",test
The sports car was built for speed and thrill. The family van was designed for comfort and safety.,3.9333,1.0148,30,"[5, 3, 4, 4, 4, 5, 4, 4, 5, 3, 1, 1, 5, 4, 3, 3, 4, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4]",test
The storm outside was wild and chaotic. Chris was able to walk away without hesitation.,2.2333,1.2229,30,"[3, 1, 3, 2, 2, 3, 2, 4, 5, 1, 1, 4, 3, 1, 1, 1, 2, 3, 2, 4, 1, 5, 1, 2, 2, 1, 1, 2, 2, 2]",test
The sun rose over the city skyline. A fire drill disrupted the lesson on American history.,1.4667,0.7761,30,"[2, 2, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1]",test
The sunrise brought hope and renewal. The red wine was tannic and sweet.,1.9333,0.8683,30,"[2, 2, 2, 2, 3, 3, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2, 1, 1, 2, 4, 1, 2, 1, 3, 3, 1, 1, 2, 1, 2]",test
The tennis match was held on a clay court. The cabin was rustic and filled with character.,1.3667,0.9279,30,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",test
The toddler's laughter was loud and uninhibited. The old man's chuckle was soft and restrained.,4.1667,0.6477,30,"[5, 4, 5, 4, 4, 4, 4, 4, 5, 3, 5, 5, 5, 4, 3, 5, 4, 4, 4, 4, 3, 4, 3, 5, 5, 4, 4, 4, 4, 4]",test
The train arrived right on schedule. The bus pulled into the station without delay.,3.6,1.1326,30,"[4, 3, 4, 4, 4, 2, 4, 4, 3, 3, 1, 5, 5, 4, 3, 3, 4, 3, 4, 5, 5, 1, 5, 3, 3, 4, 2, 5, 5, 3]",test
The tropical beach was sunny and inviting. The bookstore carries a great variety of fantasy novels.,1.4333,1.04,30,"[2, 1, 1, 1, 1, 1, 2, 2, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",test
Tom struggled with the math problem for hours. Jane solved the equation in a few minutes.,4.7241,0.5276,29,"[4, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4]",test
