unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,3.8,0.6156,20,"[4, 4, 4, 5, 3, 3, 3, 4, 5, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4]",test
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,3.8947,1.197,19,"[5, 4, 4, 4, 1, 4, 4, 5, 3, 4, 5, 5, 4, 5, 5, 4, 3, 1, 4]",test
A garden brings color to a backyard. Flowers add beauty to a windowsill.,4.1,0.9119,20,"[5, 4, 3, 5, 3, 5, 4, 5, 5, 5, 5, 5, 3, 3, 4, 3, 5, 3, 4, 3]",test
A lighthouse guides ships to safety. A compass helps hikers find their way.,3.85,0.9881,20,"[4, 3, 5, 5, 4, 1, 4, 4, 3, 2, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5]",test
A melody was stuck in Jim's head all day. Aaron couldn't get the smell of pastries out of his mind.,2.15,0.9333,20,"[3, 2, 3, 4, 3, 1, 2, 3, 1, 2, 2, 3, 2, 1, 2, 1, 1, 3, 1, 3]",test
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,4.55,0.9445,20,"[5, 5, 5, 5, 1, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5]",test
A new restaurant opened downtown last week. Fluency enables deeper cultural understanding.,1.55,0.8256,20,"[1, 1, 2, 1, 4, 2, 2, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1]",test
A new tech startup opened its doors last month. The photos raise awareness of conservation efforts.,1.65,0.9881,20,"[1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 4, 2, 1, 3, 1, 1, 2, 1, 1]",test
A tree provides a home for birds. A coral reef shelters fish.,3.5,1.2354,20,"[4, 4, 5, 4, 2, 1, 3, 4, 3, 2, 4, 4, 5, 4, 5, 5, 4, 3, 1, 3]",test
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,4.85,0.4894,20,"[5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]",test
