unit,mean,std,n,individual_ratings
All of the performances are sold out at the Grand Theater.,6.5500,0.8861,180,"[6, 7, 7, 7, 7, 7, 5, 7, 7, 6, 4, 7, 6, 7, 7, 7, 7, 5, 7, 7, 7, 5, 7, 7, 7, 2, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 3, 7, 7, 7, 7, 7, 6, 6, 7, 4, 4, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 6, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 4, 6, 7, 5, 7, 7, 5, 7, 7, 7, 3, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 5, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6]"
"It was George's first time skiing ever, and he fell and broke his arm.",5.7401,1.5152,177,"[6, 7, 7, 6, 1, 7, 6, 7, 5, 3, 5, 6, 7, 6, 6, 7, 6, 4, 7, 7, 7, 6, 6, 2, 7, 2, 1, 6, 5, 6, 7, 7, 7, 7, 3, 6, 3, 6, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 6, 7, 7, 7, 5, 6, 3, 7, 7, 7, 3, 6, 5, 6, 7, 5, 5, 6, 3, 3, 6, 2, 4, 7, 7, 7, 6, 7, 6, 7, 3, 7, 6, 6, 6, 5, 7, 7, 7, 7, 7, 5, 7, 6, 7, 5, 7, 3, 7, 5, 5, 6, 2, 7, 5, 6, 6, 6, 6, 7, 7, 6, 3, 7, 3, 7, 7, 6, 7, 6, 3, 3, 6, 7, 6, 7, 6, 6, 7, 7, 7, 6, 7, 3, 7, 7, 7, 6, 6, 4, 4, 6, 7, 4, 6, 3, 6, 6, 7, 7, 7, 7, 3, 6, 4, 5, 7, 6, 4, 5, 4, 6, 7, 6, 6, 7, 6, 5, 5, 6, 7, 6, 7, 6, 7, 7, 3, 7]"
Jim's father was keeping the house and his mother is moving to an apartment.,4.9218,1.8096,179,"[5, 7, 3, 3, 7, 3, 2, 3, 6, 5, 5, 5, 5, 3, 7, 1, 7, 7, 7, 7, 7, 6, 5, 6, 6, 6, 1, 3, 7, 5, 7, 7, 5, 7, 7, 6, 3, 6, 5, 2, 5, 5, 6, 6, 7, 6, 7, 6, 7, 4, 4, 3, 5, 3, 4, 5, 4, 3, 4, 7, 1, 2, 6, 2, 5, 1, 3, 2, 7, 2, 2, 6, 1, 2, 6, 6, 3, 3, 3, 7, 5, 6, 6, 3, 6, 5, 6, 7, 7, 2, 7, 6, 7, 7, 7, 7, 6, 7, 7, 3, 5, 7, 7, 7, 6, 6, 6, 6, 2, 6, 7, 7, 4, 7, 4, 6, 2, 4, 3, 5, 3, 6, 3, 4, 3, 7, 6, 6, 3, 3, 2, 7, 5, 7, 3, 3, 5, 7, 6, 7, 3, 6, 5, 3, 5, 7, 3, 6, 6, 3, 3, 6, 7, 7, 5, 3, 5, 7, 5, 3, 3, 3, 6, 2, 6, 6, 6, 5, 3, 6, 5, 5, 2, 6, 3, 7, 7, 3, 3]"
Laura's sister was missing her brand-new laptop and Laura was missing her pearl necklace.,5.8090,1.4132,178,"[5, 7, 6, 7, 6, 7, 7, 2, 6, 5, 7, 7, 5, 6, 5, 3, 7, 7, 3, 7, 7, 7, 7, 6, 5, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 4, 7, 3, 6, 3, 6, 6, 7, 6, 7, 3, 7, 7, 7, 6, 7, 7, 5, 3, 5, 2, 6, 6, 6, 7, 7, 6, 1, 5, 5, 7, 6, 6, 7, 6, 6, 6, 2, 5, 7, 7, 7, 6, 6, 7, 3, 7, 6, 6, 5, 7, 6, 7, 7, 7, 3, 7, 7, 7, 6, 6, 6, 7, 6, 6, 7, 7, 6, 6, 6, 7, 6, 6, 7, 7, 7, 3, 6, 4, 6, 7, 5, 5, 6, 7, 7, 7, 2, 6, 6, 6, 6, 6, 6, 5, 5, 5, 7, 5, 3, 4, 7, 6, 7, 6, 5, 5, 7, 4, 5, 5, 6, 6, 7, 3, 6, 6, 7, 6, 7, 5, 7, 7, 3, 5, 6, 5, 7, 6, 3, 7, 6, 6, 6, 6, 7, 7, 7, 5, 7, 7, 3, 5]"
Renee's brother was kicked out of the movie theater for causing a disturbance.,6.8636,0.4581,176,"[6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6]"
Sarah has been sick for almost a month and she has seen five different doctors.,5.9556,1.3405,180,"[6, 7, 7, 6, 5, 7, 6, 5, 7, 5, 4, 7, 6, 7, 7, 3, 7, 7, 3, 7, 7, 6, 7, 7, 6, 6, 2, 3, 7, 7, 6, 7, 5, 7, 7, 5, 6, 6, 6, 6, 2, 6, 7, 6, 7, 5, 6, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 5, 7, 7, 4, 5, 3, 4, 6, 7, 6, 6, 7, 3, 6, 3, 3, 6, 4, 7, 7, 6, 7, 7, 7, 6, 7, 7, 6, 7, 3, 7, 7, 7, 7, 6, 3, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 3, 7, 5, 6, 6, 6, 6, 6, 7, 7, 4, 7, 4, 6, 6, 7, 7, 6, 6, 7, 6, 3, 6, 5, 7, 6, 6, 7, 6, 7, 7, 7, 3, 3, 6, 5, 5, 7, 6, 6, 5, 7, 7, 6, 2, 6, 7, 7, 7, 7, 7, 5, 6, 6, 5, 7, 7, 3, 6, 4, 7, 6, 7, 5, 7, 7, 7, 7, 7, 7, 3, 5, 6, 7, 7, 6, 3]"
The acrobat used to be a street performer in Times Square when he was young.,6.4157,0.9305,178,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 5, 7, 7, 6, 7, 7, 6, 7, 7, 5, 5, 4, 6, 7, 7, 7, 5, 7, 6, 7, 7, 6, 7, 7, 5, 7, 6, 6, 7, 7, 7, 6, 6, 7, 7, 5, 7, 6, 6, 7, 3, 5, 6, 4, 4, 6, 7, 7, 7, 6, 6, 2, 7, 6, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 3, 7, 7, 6, 7, 7, 7, 6, 7, 5, 7, 7, 6, 7, 7, 6, 7, 5, 7, 7, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 6, 7, 6, 7, 6, 3, 5, 7, 5, 7, 4, 7, 7, 7, 7, 7, 7, 7, 6, 7, 5, 7, 7, 7, 5, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 6, 5]"
The ambassador that contacted the interpreter lived in Africa for many years.,5.3596,1.5318,89,"[6, 6, 6, 6, 7, 7, 5, 7, 7, 2, 6, 6, 7, 3, 7, 5, 6, 7, 6, 3, 1, 6, 7, 7, 7, 5, 5, 2, 6, 6, 5, 2, 6, 7, 3, 3, 6, 7, 6, 3, 7, 7, 3, 5, 7, 5, 6, 5, 5, 7, 5, 7, 5, 6, 3, 6, 5, 3, 5, 5, 4, 7, 3, 6, 4, 7, 6, 4, 7, 7, 5, 3, 4, 6, 2, 6, 5, 5, 7, 5, 5, 6, 5, 6, 7, 4, 6, 7, 6]"
The ambassador that the interpreter contacted lived in Africa for many years.,5.1889,1.7019,90,"[6, 3, 7, 7, 5, 7, 7, 7, 6, 7, 7, 6, 5, 3, 5, 7, 6, 6, 3, 7, 6, 2, 5, 1, 5, 6, 6, 2, 7, 7, 6, 3, 1, 4, 3, 6, 2, 7, 5, 3, 6, 7, 6, 5, 7, 6, 6, 3, 2, 6, 5, 7, 6, 7, 7, 7, 3, 6, 6, 6, 5, 7, 3, 7, 3, 3, 2, 6, 6, 5, 5, 4, 6, 5, 6, 7, 3, 5, 5, 5, 2, 5, 6, 7, 6, 5, 6, 6, 2, 6]"
The analyst that consulted the manufacturer was involved in a scandal not long ago.,5.1798,1.5780,89,"[6, 7, 5, 6, 7, 6, 6, 7, 7, 3, 6, 7, 6, 7, 7, 6, 5, 4, 6, 3, 3, 5, 6, 7, 3, 3, 2, 3, 4, 4, 5, 2, 3, 6, 3, 3, 6, 7, 3, 2, 7, 2, 5, 5, 7, 5, 6, 5, 2, 7, 6, 7, 6, 5, 5, 6, 5, 3, 6, 5, 7, 6, 6, 5, 3, 7, 6, 7, 6, 7, 6, 3, 6, 6, 5, 6, 3, 3, 6, 4, 3, 6, 6, 5, 7, 6, 7, 7, 4]"
