unit,mean,std,n,individual_ratings
abating,3.5333,1.1175,60,"[3, 2, 4, 5, 5, 2, 5, 3, 4, 3, 4, 1, 3, 4, 3, 5, 4, 2, 3, 4, 4, 4, 3, 5, 5, 5, 5, 2, 1, 5, 2, 5, 3, 3, 3, 3, 4, 3, 2, 3, 3, 1, 5, 4, 4, 4, 3, 3, 4, 4, 5, 4, 4, 5, 4, 5, 3, 3, 2, 3]"
abolishing,4.6667,0.7454,42,"[5, 5, 5, 4, 5, 5, 4, 1, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5]"
advising,4.8793,0.375,58,"[5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
altering,4.0,0.8165,42,"[4, 4, 5, 3, 3, 3, 4, 4, 3, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 3, 5, 4, 3, 4, 5, 5, 4, 4, 2, 4, 5, 3, 5, 4, 5, 4, 4, 3, 4, 3, 3, 3]"
appearing,3.381,0.9989,42,"[4, 3, 3, 3, 4, 4, 4, 3, 5, 2, 1, 1, 3, 5, 4, 4, 3, 5, 4, 4, 5, 3, 3, 5, 1, 5, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3]"
arriving,4.3103,0.8751,58,"[5, 3, 5, 2, 5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 3, 5, 5, 3, 4, 3, 5, 3, 5, 3, 5, 3, 3, 3, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 3, 5, 4, 5, 5, 5, 5, 5, 4, 3]"
asphyxiating,4.0,0.9567,59,"[3, 3, 4, 3, 5, 3, 5, 5, 4, 5, 4, 5, 3, 3, 5, 5, 4, 5, 5, 5, 4, 4, 4, 3, 4, 5, 4, 3, 2, 2, 5, 3, 5, 3, 4, 3, 5, 3, 5, 5, 4, 5, 3, 5, 3, 3, 5, 5, 3, 5, 5, 3, 5, 4, 2, 5, 4, 4, 3]"
atrophying,2.55,1.244,60,"[3, 1, 4, 1, 3, 2, 2, 2, 4, 4, 1, 1, 2, 3, 1, 3, 4, 2, 4, 1, 4, 1, 4, 3, 3, 5, 3, 2, 3, 1, 1, 2, 3, 3, 3, 3, 3, 1, 1, 4, 3, 2, 4, 1, 1, 5, 1, 3, 2, 1, 5, 3, 2, 1, 4, 1, 3, 3, 2, 5]"
attenuating,3.3333,1.046,39,"[5, 3, 5, 5, 3, 3, 4, 3, 3, 3, 5, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 4, 4, 3, 3, 3, 5, 3, 4, 3, 3, 1, 2, 1, 2, 1, 3, 4, 4]"
awaking,3.4359,0.871,39,"[3, 3, 5, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 3, 3, 3, 3, 3, 3, 5, 5, 3, 2, 3, 3, 5, 3, 3, 5, 3, 3, 5]"
balancing,3.5385,0.9015,39,"[3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 2, 4, 3, 4, 1, 4, 4, 4, 3, 3, 3, 5, 3, 4, 3, 3, 5, 5, 3, 3, 5, 5, 5, 5]"
barbequeing,4.8462,0.5329,39,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
