unit,mean,std,n,individual_ratings
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist ignored.,3.4667,0.8844,15,"[4, 3, 2, 5, 3, 4, 4, 4, 3, 3, 3, 4, 2, 5, 3]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist recommended.,4.0167,0.9915,60,"[2, 3, 5, 3, 2, 4, 5, 5, 5, 3, 4, 3, 4, 5, 5, 3, 3, 3, 4, 3, 4, 5, 5, 3, 3, 5, 5, 4, 5, 2, 5, 4, 4, 5, 4, 5, 4, 5, 2, 5, 5, 3, 4, 4, 5, 5, 5, 5, 4, 3, 4, 4, 5, 5, 5, 5, 3, 3, 2, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was ignoring.,3.2667,1.3233,45,"[3, 3, 2, 5, 4, 1, 5, 4, 3, 3, 3, 4, 3, 4, 5, 5, 5, 4, 1, 5, 2, 3, 3, 1, 4, 5, 3, 5, 5, 4, 3, 2, 4, 2, 2, 2, 5, 2, 4, 3, 1, 5, 2, 1, 2]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,2.5833,1.1298,60,"[1, 2, 2, 2, 1, 2, 4, 4, 4, 3, 4, 4, 3, 4, 1, 3, 2, 4, 2, 1, 4, 1, 2, 3, 4, 4, 2, 3, 3, 4, 2, 2, 3, 1, 2, 2, 1, 4, 4, 2, 3, 2, 2, 3, 2, 1, 4, 1, 5, 4, 2, 2, 4, 1, 1, 2, 3, 3, 3, 1]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist ignored.,2.7333,1.1235,15,"[1, 5, 3, 4, 2, 2, 2, 3, 1, 3, 2, 2, 4, 4, 3]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist recommended.,4.1833,0.9218,60,"[4, 4, 5, 4, 4, 3, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 2, 3, 4, 4, 3, 2, 5, 2, 3, 5, 4, 5, 5, 4, 4, 5, 4, 2, 5, 5, 5, 5, 3, 5, 4, 4, 5, 4, 5, 5, 4, 5, 4, 2, 4, 4, 5, 5, 5, 4, 3, 5, 5]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was ignoring.,2.9111,1.3136,45,"[2, 2, 3, 3, 3, 4, 4, 4, 5, 4, 3, 1, 4, 5, 4, 1, 4, 3, 3, 1, 2, 2, 4, 2, 2, 5, 2, 2, 5, 4, 4, 2, 2, 2, 4, 2, 5, 1, 1, 1, 4, 2, 1, 2, 5]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,2.1525,0.971,59,"[2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 4, 4, 1, 3, 1, 4, 1, 1, 4, 2, 4, 2, 2, 1, 2, 2, 1, 2, 2, 1, 3, 2, 4, 1, 2, 2, 1, 2, 2, 2, 1, 1, 3, 4, 3, 2, 3, 1, 1, 2, 1, 3, 1, 4, 3, 2, 2, 2, 2]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist dug up.,3.3333,1.0111,15,"[4, 3, 4, 2, 4, 3, 4, 2, 1, 3, 3, 4, 4, 5, 4]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist uncovered.,3.9492,1.0484,59,"[4, 4, 5, 3, 4, 3, 5, 5, 4, 3, 2, 3, 3, 4, 5, 5, 4, 4, 2, 5, 4, 2, 4, 4, 4, 5, 5, 5, 5, 4, 3, 2, 5, 3, 4, 2, 5, 4, 5, 3, 4, 2, 3, 5, 5, 2, 5, 5, 5, 5, 2, 4, 3, 5, 5, 4, 5, 4, 5]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was digging up.,3.3111,1.1893,45,"[4, 3, 3, 2, 4, 4, 5, 4, 5, 3, 4, 3, 2, 5, 4, 3, 3, 3, 2, 4, 2, 2, 5, 2, 4, 5, 2, 3, 5, 4, 2, 2, 3, 2, 4, 2, 5, 1, 1, 5, 4, 4, 2, 3, 5]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was.,3.0508,1.156,59,"[1, 2, 4, 3, 3, 4, 4, 1, 3, 4, 5, 4, 4, 1, 3, 4, 2, 1, 5, 2, 4, 3, 2, 5, 1, 4, 3, 3, 2, 2, 3, 2, 4, 2, 4, 5, 2, 2, 5, 3, 3, 2, 3, 4, 2, 4, 2, 2, 4, 3, 4, 4, 2, 5, 4, 2, 2, 4, 3]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist dug up.,2.9286,1.2797,14,"[4, 5, 1, 3, 4, 3, 3, 2, 2, 5, 2, 4, 1, 2]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist uncovered.,3.9167,1.1298,60,"[3, 4, 5, 4, 3, 5, 4, 5, 3, 3, 2, 2, 4, 5, 5, 5, 3, 3, 5, 2, 2, 4, 4, 4, 2, 5, 4, 4, 5, 2, 5, 5, 5, 5, 4, 5, 2, 5, 2, 5, 5, 3, 3, 4, 5, 2, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 4, 2, 2, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was digging up.,3.1778,1.2524,45,"[2, 3, 2, 5, 1, 4, 4, 4, 5, 4, 2, 5, 4, 4, 2, 3, 5, 3, 2, 4, 3, 3, 4, 2, 1, 5, 5, 4, 5, 3, 4, 4, 2, 1, 2, 1, 3, 3, 5, 4, 2, 3, 2, 2, 2]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was.,2.7966,0.9528,59,"[3, 3, 2, 2, 2, 5, 4, 4, 4, 2, 4, 3, 3, 4, 4, 3, 2, 3, 2, 1, 4, 1, 2, 2, 3, 4, 2, 2, 3, 4, 2, 3, 3, 2, 2, 2, 3, 4, 3, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 2, 2, 1, 3, 2, 3, 2, 2, 3]"
The ambitious rock collector was going after every fossil that the highly specialized geologist unearthed.,4.4407,0.9071,59,"[5, 4, 5, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 2, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5, 4, 4, 2, 3, 3, 2, 5, 5, 5, 5, 5, 5, 2, 4, 5, 5, 3]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was going after.,4.1333,0.9092,45,"[4, 4, 3, 4, 2, 4, 5, 5, 5, 5, 4, 4, 4, 5, 5, 2, 4, 4, 5, 4, 5, 3, 5, 2, 5, 4, 5, 4, 4, 5, 3, 5, 5, 5, 4, 4, 4, 5, 4, 4, 5, 2, 3, 4, 5]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,3.7119,1.0744,59,"[2, 3, 5, 5, 3, 2, 3, 4, 5, 4, 2, 4, 4, 4, 4, 3, 3, 3, 2, 5, 5, 3, 3, 4, 4, 5, 3, 2, 5, 5, 5, 5, 2, 2, 4, 5, 3, 5, 4, 2, 2, 5, 5, 4, 4, 4, 4, 5, 3, 3, 4, 3, 3, 4, 5, 5, 5, 3, 2]"
The ambitious rock collector was going after every fossil that the highly specialized geologist went after.,4.1333,1.0242,15,"[4, 5, 4, 5, 2, 4, 5, 4, 4, 5, 5, 5, 3, 5, 2]"
The ambitious rock collector was going after the fossil that the highly specialized geologist unearthed.,4.322,0.8722,59,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 4, 3, 4, 5, 4, 4, 4, 5, 4, 5, 3, 4, 4, 5, 5, 3, 3, 4, 5, 5, 5, 3, 5, 2, 5, 2, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 4, 4, 5, 5, 2, 5, 5, 5, 4, 4, 4, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was going after.,3.8444,0.9651,45,"[3, 4, 5, 3, 4, 3, 5, 5, 4, 3, 5, 4, 3, 5, 3, 4, 2, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 2, 4, 3, 3, 2, 4, 5, 5, 5, 3, 5, 5, 4, 4, 5, 2, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,3.1333,1.1614,60,"[4, 2, 2, 4, 4, 3, 4, 4, 3, 5, 5, 4, 4, 2, 2, 1, 4, 4, 4, 3, 2, 1, 2, 2, 2, 3, 5, 4, 4, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 3, 4, 2, 4, 5, 1, 2, 4, 2, 1, 2, 3, 5, 3, 1, 5, 4, 2, 4, 2, 2]"
The ambitious rock collector was going after the fossil that the highly specialized geologist went after.,3.8,0.9798,15,"[4, 4, 3, 4, 5, 5, 3, 2, 4, 5, 4, 4, 2, 5, 3]"
The anxious old farmer was rounding up every cow that the ignorant farm hand released.,4.5763,0.8276,59,"[5, 5, 4, 5, 3, 5, 5, 3, 5, 5, 5, 4, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 2, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 2]"
The anxious old farmer was rounding up every cow that the ignorant farm hand rounded up.,3.4,1.2,15,"[4, 3, 2, 5, 2, 2, 4, 2, 2, 5, 5, 3, 3, 5, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was rounding up.,3.4773,1.1772,44,"[4, 4, 4, 2, 2, 2, 5, 4, 4, 1, 2, 3, 4, 5, 4, 2, 4, 4, 4, 4, 4, 2, 5, 2, 2, 5, 2, 3, 4, 5, 3, 5, 4, 3, 2, 3, 5, 4, 5, 5, 2, 3, 2, 5]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was.,2.6333,1.0796,60,"[3, 3, 4, 1, 3, 2, 1, 4, 2, 2, 2, 3, 4, 3, 2, 3, 2, 2, 2, 5, 4, 2, 3, 2, 3, 2, 3, 2, 2, 4, 2, 5, 1, 2, 4, 4, 3, 4, 4, 1, 2, 1, 4, 4, 4, 3, 4, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand released.,4.4237,0.7637,59,"[4, 5, 5, 4, 5, 5, 2, 5, 4, 5, 4, 5, 4, 4, 4, 5, 4, 5, 5, 4, 4, 4, 4, 5, 5, 4, 3, 4, 5, 4, 5, 5, 4, 4, 5, 2, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand rounded up.,2.3571,0.9715,14,"[4, 2, 3, 1, 2, 3, 1, 3, 4, 3, 2, 2, 1, 2]"
