unit,mean,std,n,individual_ratings
Amanda choked Jessica and she chammed,2.1,0.6407,20,"[2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 2, 1]"
Amanda delighted Jenny and she zibbed,2.1,0.6407,20,"[2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 3, 1, 2, 3, 2, 2, 2, 3, 2, 3]"
Amy shook Justin and he zadded,2.7895,0.4189,19,"[2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3]"
Amy shook Kate and she daxed,1.95,0.6863,20,"[2, 2, 2, 3, 1, 2, 2, 1, 2, 2, 3, 1, 2, 3, 1, 1, 2, 3, 2, 2]"
Angela healed Kim and she ganned,2.2,0.7678,20,"[1, 3, 2, 3, 1, 2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 2, 3, 3, 2, 1]"
Anne rocked Lisa and she heafed,1.9,0.7182,20,"[1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 3]"
Ben bounced Amy and he twibbed,2.65,0.6708,20,"[3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3]"
Ben bounced Eric and he bicked,1.85,0.8127,20,"[2, 2, 2, 3, 1, 3, 1, 2, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 2, 2]"
Ben enjoyed Anne and he kuped,2.75,0.5501,20,"[2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3]"
Ben enjoyed Diego and he temmed,1.9,0.6407,20,"[1, 2, 2, 3, 1, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 1]"
Brian dropped James and he claffed,2.0,0.7255,20,"[2, 2, 2, 3, 1, 3, 2, 1, 2, 1, 3, 1, 2, 3, 1, 2, 2, 3, 2, 2]"
Brian saddened Eric and he worved,2.0,0.6489,20,"[1, 3, 2, 2, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 2, 2, 2, 3, 2, 2]"
Chris irritated James and he wurted,2.05,0.6863,20,"[2, 3, 2, 2, 1, 2, 3, 2, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 2]"
Chris stopped Jason and he drazened,2.2,0.6959,20,"[2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 1, 3, 1, 3, 2, 3]"
Daniel quieted John and he gutched,1.85,0.6708,20,"[2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 3, 2, 1, 1, 3, 2, 2]"
David woke Joshua and he hined,2.15,0.6708,20,"[2, 3, 2, 2, 1, 2, 2, 2, 1, 3, 3, 2, 2, 3, 1, 2, 3, 3, 2, 2]"
Diego spun Justin and he keefed,1.75,0.7864,20,"[1, 2, 2, 3, 1, 2, 2, 1, 1, 1, 3, 1, 2, 3, 1, 2, 1, 3, 2, 1]"
Heather slowed Liz and she jassed,2.1,0.7881,20,"[3, 2, 2, 3, 1, 3, 1, 2, 3, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 1]"
Heather woke Robert and she pummed,2.75,0.4443,20,"[2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3]"
Jason squeezed Michael and he rorted,1.95,0.6048,20,"[2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 2]"
