unit,mean,std,n,individual_ratings
A car crashes into a lamppost. Someone on the street yells the following: Call the paramedics so that they can help these people,4.0929,1.0882,140,"[5, 5, 5, 4, 4, 4, 5, 5, 4, 2, 2, 5, 2, 5, 4, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 5, 4, 4, 5, 4, 5, 4, 3, 5, 5, 4, 5, 5, 4, 3, 2, 4, 4, 5, 4, 5, 2, 5, 5, 4, 5, 5, 4, 5, 4, 2, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 4, 5, 2, 5, 4, 5, 5, 4, 4, 4, 1, 5, 3, 5, 4, 5, 5, 5, 4, 2, 1, 4, 1, 4, 5, 5, 4, 3, 4, 5, 3, 4, 3, 2, 3, 2, 5, 4, 5, 4, 5, 4, 5, 5, 4, 3, 4, 5, 2, 3, 4, 5, 5, 5, 5, 5, 4, 5, 2, 4, 5, 4, 5, 4, 1, 2, 3, 5, 5, 4, 3, 5]"
A class is meeting in a stuffy classroom. The professor tells a student the following: Open the window so that we can get some air in here!,4.6475,0.7478,139,"[5, 2, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 3, 5, 5, 3, 3, 3, 5, 4, 5, 5, 5, 4, 2, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5]"
A class of students is learning how to cook. The instructor tells the class the following: If you spill something clean it up immediately!,4.5435,0.772,138,"[5, 5, 5, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 3, 3, 4, 4, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 3, 5, 5, 4, 5, 4, 5, 5, 4, 2, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 3, 3, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 3, 5, 5, 5, 5, 4, 4, 3, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 1, 5, 5, 5, 5, 5, 3, 5]"
A group of soldiers is about to siege a town. Their commander tells them the following: If you follow orders this will go smoothly. Pay attention to me!,4.2357,0.8503,140,"[5, 2, 5, 3, 5, 4, 5, 4, 5, 3, 4, 4, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 3, 4, 5, 4, 5, 4, 4, 5, 4, 3, 4, 5, 4, 5, 4, 3, 3, 5, 5, 5, 4, 3, 5, 5, 5, 5, 3, 5, 5, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 3, 4, 5, 2, 4, 5, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 4, 3, 5, 3, 3, 4, 5, 5, 2, 5, 4, 3, 3, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 2, 5, 5, 3, 5, 4, 5, 4, 5, 4, 2, 4, 4, 4, 3, 2, 3, 5]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: Be mean and she will hate you.,2.8,1.1662,20,"[2, 5, 2, 4, 4, 4, 1, 4, 3, 2, 1, 3, 3, 1, 4, 2, 2, 3, 2, 4]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: Be nice and she will like you.,3.65,0.9097,20,"[3, 4, 2, 5, 4, 3, 4, 3, 3, 3, 5, 3, 2, 4, 4, 4, 3, 5, 4, 5]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: Do be mean and she will hate you.,1.9,1.179,20,"[1, 1, 2, 1, 1, 3, 1, 5, 4, 1, 1, 2, 2, 2, 2, 1, 1, 4, 1, 2]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: Do be nice and she will like you.,3.15,1.1079,20,"[5, 5, 2, 3, 2, 2, 4, 4, 4, 3, 3, 2, 4, 3, 2, 3, 3, 5, 3, 1]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: Do be nice! If you are nice she will like you.,3.0,1.2247,20,"[4, 2, 2, 4, 5, 1, 3, 2, 2, 5, 2, 3, 4, 5, 4, 3, 3, 2, 1, 3]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: If you are mean she will hate you.,3.45,1.0235,20,"[5, 2, 3, 4, 3, 3, 4, 4, 5, 4, 2, 4, 1, 3, 3, 4, 5, 4, 3, 3]"
A man is about to introduce his friends to his girlfriend. He tells his friends the following: If you are nice she will like you.,3.8,0.8124,20,"[3, 5, 4, 4, 4, 5, 5, 3, 4, 3, 4, 3, 4, 5, 2, 4, 3, 4, 4, 3]"
A man is on a date and his date notices that he is checking his phone a lot. She says the following: If there is a problem tell me about it now!,3.7826,1.095,138,"[4, 3, 4, 3, 3, 2, 5, 5, 5, 3, 2, 5, 4, 5, 3, 3, 2, 5, 5, 3, 5, 4, 5, 1, 3, 4, 3, 4, 4, 3, 5, 5, 3, 4, 5, 2, 4, 2, 5, 3, 3, 4, 4, 4, 5, 4, 2, 5, 5, 4, 5, 3, 4, 4, 4, 4, 3, 5, 5, 3, 1, 2, 4, 4, 4, 4, 3, 5, 3, 5, 4, 5, 4, 5, 4, 3, 5, 4, 2, 5, 5, 5, 5, 4, 3, 3, 5, 5, 4, 3, 2, 5, 5, 5, 3, 3, 3, 5, 4, 4, 2, 5, 5, 3, 5, 4, 4, 2, 2, 3, 5, 3, 2, 2, 2, 3, 5, 3, 3, 5, 4, 5, 5, 3, 3, 4, 4, 5, 4, 2, 4, 1, 5, 4, 5, 5, 3, 3]"
A mother is getting her child ready to play in the snow. She tells him the following: Do leave your coat unzipped and you will catch cold.,2.25,1.1347,20,"[4, 1, 1, 2, 5, 1, 3, 2, 2, 1, 3, 2, 2, 3, 1, 3, 2, 4, 2, 1]"
A mother is getting her child ready to play in the snow. She tells him the following: Do zip up your coat and you will stay healthy.,3.2,1.2884,20,"[5, 2, 1, 1, 4, 2, 4, 2, 2, 4, 2, 4, 3, 3, 3, 4, 5, 3, 5, 5]"
A mother is getting her child ready to play in the snow. She tells him the following: Do zip up your coat! If you zip up your coat you will stay healthy.,3.6,1.3928,20,"[5, 5, 5, 4, 2, 5, 2, 5, 5, 2, 2, 4, 1, 4, 2, 2, 3, 5, 5, 4]"
A mother is getting her child ready to play in the snow. She tells him the following: If you leave your coat unzipped you will catch cold.,4.4,0.8602,20,"[5, 4, 5, 5, 5, 5, 2, 5, 4, 4, 5, 5, 5, 4, 5, 3, 4, 3, 5, 5]"
A mother is getting her child ready to play in the snow. She tells him the following: If you zip up your coat you will stay healthy.,3.8,1.0296,20,"[4, 5, 5, 5, 5, 3, 4, 3, 3, 3, 5, 3, 1, 3, 5, 4, 4, 4, 3, 4]"
A mother is getting her child ready to play in the snow. She tells him the following: Leave your coat unzipped and you will catch cold.,3.6,1.3928,20,"[4, 5, 5, 2, 4, 3, 4, 5, 5, 4, 1, 3, 3, 4, 1, 1, 5, 5, 5, 3]"
A mother is getting her child ready to play in the snow. She tells him the following: Zip up your coat and you will stay healthy.,3.6,1.0677,20,"[5, 1, 3, 4, 4, 3, 5, 4, 5, 3, 2, 4, 4, 3, 4, 4, 2, 5, 4, 3]"
A new student has entered your class. A friend tells you the following: If you talk to him he will start to blush. Try it yourself!,3.5786,1.0286,140,"[5, 4, 3, 4, 2, 3, 5, 4, 3, 4, 2, 4, 4, 5, 3, 3, 4, 5, 5, 4, 5, 5, 4, 3, 2, 5, 3, 2, 4, 3, 3, 4, 3, 4, 2, 3, 4, 3, 2, 2, 3, 4, 3, 5, 3, 5, 2, 5, 4, 4, 5, 3, 5, 4, 4, 2, 4, 1, 5, 4, 3, 4, 3, 4, 3, 2, 3, 5, 3, 2, 5, 4, 3, 5, 5, 5, 4, 3, 2, 5, 3, 2, 5, 4, 2, 3, 3, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 5, 4, 2, 3, 2, 4, 2, 5, 3, 4, 3, 4, 3, 5, 2, 3, 4, 3, 4, 3, 5, 3, 3, 4, 4, 5, 3, 5, 2, 4, 2, 4, 3, 3, 4, 2, 4, 4, 5, 4, 2, 2, 4]"
A robber enters your store and takes out his gun. He says the following: I will use this gun. Give me all your cash!,3.7536,1.2207,138,"[3, 5, 2, 3, 3, 3, 5, 5, 5, 2, 3, 4, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 3, 2, 5, 4, 5, 2, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 5, 2, 5, 4, 3, 5, 1, 3, 3, 4, 5, 4, 2, 1, 4, 2, 4, 4, 5, 5, 2, 5, 2, 4, 5, 4, 4, 4, 4, 3, 5, 2, 4, 5, 5, 4, 3, 2, 3, 5, 4, 4, 5, 4, 5, 5, 3, 2, 2, 4, 3, 2, 5, 4, 5, 3, 3, 5, 3, 5, 5, 5, 4, 4, 5, 4, 2, 3, 5, 5, 4, 3, 4, 4, 5, 1, 4, 3, 3, 5, 5, 4, 2, 1, 5, 2, 1, 5, 5, 4, 4, 1, 1, 4, 5, 5, 1, 3, 5]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: Do goof off and the school will be closed.,2.25,0.8874,20,"[4, 3, 2, 2, 2, 1, 2, 3, 4, 3, 2, 1, 3, 2, 1, 1, 2, 2, 3, 2]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: Do study hard and the school will stay open.,3.6,1.1576,20,"[2, 4, 2, 1, 2, 4, 5, 5, 5, 3, 4, 3, 4, 3, 4, 4, 3, 5, 4, 5]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: Do study hard! If you study hard the school will stay open.,3.1579,1.2253,19,"[5, 5, 1, 2, 2, 4, 4, 4, 2, 3, 2, 4, 4, 4, 2, 2, 5, 3, 2]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: Goof off and the school will be closed.,3.15,1.3883,20,"[4, 5, 5, 2, 3, 1, 2, 2, 3, 3, 4, 3, 5, 5, 5, 4, 3, 2, 1, 1]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: If you goof off the school will be closed.,3.05,1.244,20,"[2, 2, 4, 5, 4, 1, 3, 3, 2, 5, 4, 1, 4, 2, 3, 2, 5, 3, 2, 4]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: If you study hard the school will stay open.,3.85,1.2359,20,"[5, 4, 2, 4, 3, 3, 5, 5, 5, 5, 2, 4, 1, 4, 2, 5, 5, 4, 4, 5]"
A school is in danger of losing its state accreditation. The school's administration gives a message to the students: Study hard and the school will stay open.,3.75,0.9937,20,"[3, 4, 4, 5, 3, 5, 2, 4, 5, 4, 2, 3, 3, 3, 5, 3, 5, 3, 5, 4]"
