unit,mean,std,n,individual_ratings
A bracelet turned up which I had searched for.,3.4444,0.6849,9,"[4, 2, 3, 4, 3, 4, 4, 4, 3]"
A bracelet turned up which would have matched my yellow prom dress perfectly if only I had found it before the prom.,2.75,1.479,12,"[4, 2, 3, 5, 1, 1, 3, 1, 5, 3, 1, 4]"
A bracelet turned up which would have matched my yellow prom dress perfectly.,3.25,0.433,4,"[4, 3, 3, 3]"
A bracelet which I had searched for turned up.,3.0,1.2403,13,"[2, 2, 5, 3, 5, 2, 2, 4, 2, 3, 2, 2, 5]"
A bracelet which would have matched my yellow prom dress perfectly if only I had found it before the prom turned up.,1.75,0.433,4,"[2, 2, 2, 1]"
A bracelet which would have matched my yellow prom dress perfectly turned up.,2.5,1.118,8,"[2, 3, 2, 1, 4, 3, 1, 4]"
A chef came in who did too much complaining about the weather and his lack of friends when he should have been cooking.,1.7143,0.6999,7,"[3, 2, 1, 1, 2, 2, 1]"
A chef came in who did too much complaining about the weather and his lack of friends.,2.75,0.8292,4,"[2, 2, 3, 4]"
A chef came in who did too much complaining.,4.1818,0.7158,11,"[5, 5, 4, 3, 4, 4, 4, 5, 3, 4, 5]"
A chef who did too much complaining about the weather and his lack of friends came in.,2.0769,1.0714,13,"[3, 2, 1, 2, 1, 4, 1, 1, 2, 4, 3, 2, 1]"
A chef who did too much complaining about the weather and his lack of friends when he should have been cooking came in.,2.0,1.069,7,"[2, 4, 3, 1, 1, 2, 1]"
A chef who did too much complaining came in.,3.2857,1.0302,7,"[3, 2, 4, 5, 3, 2, 4]"
A child came in who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window.,1.4,0.9165,10,"[4, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
A child came in who was nicely tucked in a couple of hours earlier.,2.0,1.0954,10,"[2, 1, 1, 2, 2, 4, 2, 1, 4, 1]"
A child came in who was tucked in earlier.,2.0,0.8528,11,"[3, 1, 1, 1, 3, 2, 1, 3, 3, 2, 2]"
A child who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window came in.,1.0,0.0,4,"[1, 1, 1, 1]"
A child who was nicely tucked in a couple of hours earlier came in.,2.875,1.536,8,"[4, 5, 1, 2, 3, 2, 1, 5]"
A child who was tucked in earlier came in.,2.5714,1.0498,7,"[1, 1, 4, 3, 3, 3, 3]"
A crowd of screaming teenagers awaited the singer near the hotel entrance.,4.44,0.8754,50,"[2, 5, 2, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 2, 5, 3, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5]"
A famous comedian came on who had offensive jokes.,2.5,1.118,8,"[3, 4, 2, 1, 3, 1, 2, 4]"
A famous comedian came on who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities.,2.9167,1.1873,12,"[5, 1, 3, 4, 2, 2, 3, 4, 3, 1, 3, 4]"
A famous comedian came on who was known for his offensive jokes and bad impersonations.,4.0,0.9258,7,"[3, 4, 5, 5, 3, 3, 5]"
A famous comedian who had offensive jokes came on.,3.2857,1.3851,7,"[4, 5, 2, 1, 3, 3, 5]"
A famous comedian who was known for his offensive jokes and bad impersonations came on.,3.6,1.0198,5,"[5, 2, 4, 3, 4]"
A famous comedian who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities came on.,1.8182,0.936,11,"[3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 4]"
A friend came over who I had loved since middle school and only recently confessed my feelings for after a night with a few drinks.,2.4444,1.0657,9,"[2, 2, 1, 2, 1, 4, 4, 3, 3]"
A friend came over who I had loved since middle school and only recently confessed my feelings for.,2.5,1.2247,8,"[1, 1, 4, 4, 3, 3, 1, 3]"
A friend came over who I loved.,2.9286,1.0996,14,"[3, 4, 4, 2, 1, 2, 3, 1, 3, 4, 3, 3, 5, 3]"
A friend who I had loved since middle school and only recently confessed my feelings for after a night with a few drinks came over.,1.3333,0.7454,6,"[1, 1, 3, 1, 1, 1]"
A friend who I had loved since middle school and only recently confessed my feelings for came over.,2.5556,1.3426,9,"[3, 2, 3, 1, 1, 5, 3, 1, 4]"
A friend who I loved came over.,3.5,1.118,4,"[3, 5, 2, 4]"
A man showed up who always wore colorful clothes.,3.6667,0.7454,6,"[4, 3, 3, 4, 5, 3]"
A man showed up who now wore colorful clothes to school events to draw attention to himself after years of wearing only black and white.,1.3333,0.4714,6,"[2, 2, 1, 1, 1, 1]"
A man showed up who wore colorful clothes to school events to draw attention to himself.,2.625,0.696,16,"[3, 2, 3, 2, 3, 4, 2, 3, 2, 4, 3, 2, 3, 2, 2, 2]"
A man who always wore colorful clothes showed up.,3.2857,0.8806,7,"[2, 4, 4, 4, 2, 3, 4]"
A man who now wore colorful clothes to school events to draw attention to himself after years of wearing only black and white showed up.,2.125,1.0533,8,"[1, 1, 2, 3, 1, 4, 2, 3]"
A man who wore colorful clothes to school events to draw attention to himself showed up.,2.1429,1.4569,7,"[3, 1, 5, 1, 3, 1, 1]"
A neighbor dropped by who had a concerning obsession with me ever since high school over 20 years ago.,1.9,0.5385,10,"[2, 1, 2, 2, 3, 1, 2, 2, 2, 2]"
A neighbor dropped by who had a concerning obsession with me.,3.375,1.4948,8,"[4, 2, 3, 5, 1, 2, 5, 5]"
A neighbor dropped by who hated me.,2.3333,1.3333,9,"[1, 3, 1, 1, 1, 3, 3, 3, 5]"
A neighbor stopped by who hates coffee.,3.3636,1.2984,11,"[5, 5, 3, 3, 1, 4, 5, 2, 2, 3, 4]"
A neighbor stopped by who hates starting her day without a big cup of coffee and a toasted bagel with cream cheese.,2.1667,1.3437,6,"[4, 1, 1, 4, 1, 2]"
A neighbor stopped by who hates starting her day without a big cup of coffee.,3.6,1.0198,5,"[2, 4, 5, 3, 4]"
A neighbor who had a concerning obsession with me dropped by.,3.1667,1.675,6,"[5, 4, 1, 3, 5, 1]"
A neighbor who had a concerning obsession with me ever since high school over 20 years ago dropped by.,2.1,1.044,10,"[2, 4, 4, 2, 2, 2, 1, 1, 1, 2]"
A neighbor who hated me dropped by.,3.2857,0.8806,7,"[4, 4, 4, 4, 2, 3, 2]"
A neighbor who hates coffee stopped by.,3.5,1.0408,12,"[5, 4, 2, 3, 3, 2, 4, 3, 5, 5, 3, 3]"
A neighbor who hates starting her day without a big cup of coffee and a toasted bagel with cream cheese stopped by.,3.1667,1.4625,6,"[3, 5, 3, 1, 5, 2]"
A neighbor who hates starting her day without a big cup of coffee stopped by.,2.6667,0.6667,9,"[2, 3, 3, 2, 2, 3, 2, 4, 3]"
A parent entered who was a troublemaker.,3.25,1.7854,4,"[5, 1, 5, 2]"
A parent entered who was rumored to have a history of creating petty drama between the teachers by bringing up old relationship rumors.,2.7778,1.2273,9,"[4, 4, 1, 1, 2, 4, 3, 4, 2]"
A parent entered who was rumored to have a history of creating petty drama between the teachers.,2.6667,1.1055,12,"[3, 2, 2, 2, 4, 1, 2, 2, 2, 4, 3, 5]"
A parent who was a troublemaker entered.,2.4286,1.4983,7,"[3, 1, 4, 1, 1, 2, 5]"
A parent who was rumored to have a history of creating petty drama between the teachers by bringing up old relationship rumors entered.,1.75,1.1637,12,"[1, 1, 1, 1, 2, 1, 3, 1, 5, 2, 2, 1]"
A parent who was rumored to have a history of creating petty drama between the teachers entered.,2.8333,0.8975,6,"[3, 2, 4, 4, 2, 2]"
A relative came over who was celebrating her birthday.,3.6667,1.3744,6,"[4, 3, 5, 5, 1, 4]"
A relative came over who was celebrating her first birthday without her husband who was overseas with the military.,2.7778,1.2273,9,"[2, 2, 4, 2, 4, 1, 3, 2, 5]"
A relative came over who was celebrating her first birthday without her husband.,3.125,1.536,8,"[2, 5, 2, 1, 5, 3, 2, 5]"
A relative who was celebrating her birthday came over.,3.625,1.0533,16,"[4, 3, 5, 4, 3, 4, 5, 4, 3, 4, 5, 2, 1, 3, 4, 4]"
A relative who was celebrating her first birthday without her husband came over.,2.5,1.2247,8,"[3, 3, 2, 2, 5, 1, 3, 1]"
A relative who was celebrating her first birthday without her husband who was overseas with the military came over.,3.3333,1.2472,3,"[5, 2, 3]"
A skin rash appeared which probably surfaced because I am nervous about my piano recital which is coming up tomorrow.,2.625,1.6536,8,"[1, 2, 2, 1, 1, 5, 5, 4]"
A skin rash appeared which probably surfaced because I am nervous about my piano recital.,3.0,1.2649,10,"[3, 3, 3, 4, 5, 4, 1, 2, 4, 1]"
A skin rash appeared which surfaces when I am nervous.,1.25,0.433,4,"[1, 1, 1, 2]"
A skin rash which probably surfaced because I am nervous about my piano recital appeared.,2.6,1.2,10,"[2, 4, 1, 2, 3, 5, 3, 1, 2, 3]"
A skin rash which probably surfaced because I am nervous about my piano recital which is coming up tomorrow appeared.,2.0,1.118,8,"[1, 4, 1, 1, 1, 3, 3, 2]"
A skin rash which surfaces when I am nervous appeared.,2.5556,1.2571,9,"[2, 4, 1, 3, 2, 5, 1, 3, 2]"
