unit,mean,std,n,individual_ratings,item_type
A bracelet turned up which I had searched for.,3.0000,0.9798,26,"[4, 2, 3, 4, 3, 4, 4, 4, 3, 3, 2, 4, 2, 5, 3, 1, 3, 3, 2, 2, 4, 2, 2, 3, 4, 2]",test
A bracelet turned up which would have matched my yellow prom dress perfectly if only I had found it before the prom.,2.7500,1.5448,12,"[4, 2, 3, 5, 1, 1, 3, 1, 5, 3, 1, 4]",test
A bracelet turned up which would have matched my yellow prom dress perfectly.,3.5882,1.0037,17,"[4, 3, 3, 3, 5, 5, 5, 3, 2, 3, 4, 2, 4, 3, 5, 3, 4]",test
A bracelet which I had searched for turned up.,3.1111,1.1209,27,"[2, 2, 5, 3, 5, 2, 2, 4, 2, 3, 2, 2, 5, 4, 2, 4, 3, 2, 5, 4, 3, 4, 3, 4, 2, 3, 2]",test
A bracelet which would have matched my yellow prom dress perfectly if only I had found it before the prom turned up.,1.7500,0.5000,4,"[2, 2, 2, 1]",test
A bracelet which would have matched my yellow prom dress perfectly turned up.,2.2667,1.1629,15,"[2, 3, 2, 1, 4, 3, 1, 4, 4, 1, 3, 1, 1, 2, 2]",test
A chef came in who did too much complaining about the weather and his lack of friends when he should have been cooking.,1.7143,0.7559,7,"[3, 2, 1, 1, 2, 2, 1]",test
A chef came in who did too much complaining about the weather and his lack of friends.,2.7500,0.9574,4,"[2, 2, 3, 4]",test
A chef came in who did too much complaining.,4.1818,0.7508,11,"[5, 5, 4, 3, 4, 4, 4, 5, 3, 4, 5]",test
A chef who did too much complaining about the weather and his lack of friends came in.,2.0769,1.1152,13,"[3, 2, 1, 2, 1, 4, 1, 1, 2, 4, 3, 2, 1]",test
A chef who did too much complaining about the weather and his lack of friends when he should have been cooking came in.,2.0000,1.1547,7,"[2, 4, 3, 1, 1, 2, 1]",test
A chef who did too much complaining came in.,3.2857,1.1127,7,"[3, 2, 4, 5, 3, 2, 4]",test
A child came in who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window.,1.4000,0.9661,10,"[4, 2, 1, 1, 1, 1, 1, 1, 1, 1]",test
A child came in who was nicely tucked in a couple of hours earlier.,1.9500,0.9987,20,"[2, 1, 1, 2, 2, 4, 2, 1, 4, 1, 2, 2, 1, 1, 1, 3, 3, 1, 3, 2]",test
A child came in who was tucked in earlier.,2.0000,0.8847,24,"[3, 1, 1, 1, 3, 2, 1, 3, 3, 2, 2, 1, 2, 4, 2, 1, 2, 3, 1, 3, 2, 2, 2, 1]",test
A child who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window came in.,1.0000,0.0000,4,"[1, 1, 1, 1]",test
A child who was nicely tucked in a couple of hours earlier came in.,2.3000,1.3018,20,"[4, 5, 1, 2, 3, 2, 1, 5, 3, 2, 3, 1, 3, 1, 1, 1, 2, 3, 1, 2]",test
A child who was tucked in earlier came in.,2.2609,1.0098,23,"[1, 1, 4, 3, 3, 3, 3, 3, 1, 2, 1, 2, 3, 2, 1, 3, 4, 1, 3, 2, 3, 2, 1]",test
A crowd of screaming teenagers awaited the singer near the hotel entrance.,4.3366,0.9621,101,"[2, 5, 2, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 2, 5, 3, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 2, 5, 2, 5, 3, 5, 5, 5, 1, 4, 3, 4, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 3, 5, 3, 5, 5, 5, 5, 4, 3, 5, 5, 4, 5, 4, 3, 3, 5, 4, 5, 5]",filler
A famous comedian came on who had offensive jokes.,2.7059,1.3117,17,"[3, 4, 2, 1, 3, 1, 2, 4, 3, 4, 2, 2, 2, 5, 1, 5, 2]",test
A famous comedian came on who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities.,2.9167,1.2401,12,"[5, 1, 3, 4, 2, 2, 3, 4, 3, 1, 3, 4]",test
A famous comedian came on who was known for his offensive jokes and bad impersonations.,3.6087,1.1962,23,"[3, 4, 5, 5, 3, 3, 5, 3, 3, 5, 1, 5, 3, 1, 3, 3, 3, 4, 4, 5, 5, 4, 3]",test
A famous comedian who had offensive jokes came on.,3.0000,1.1882,18,"[4, 5, 2, 1, 3, 3, 5, 2, 3, 3, 2, 5, 3, 3, 1, 3, 3, 3]",test
A famous comedian who was known for his offensive jokes and bad impersonations came on.,3.6000,1.0463,20,"[5, 2, 4, 3, 4, 4, 4, 5, 3, 5, 4, 4, 2, 5, 3, 4, 3, 2, 4, 2]",test
A famous comedian who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities came on.,1.8182,0.9816,11,"[3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 4]",test
A friend came over who I had loved since middle school and only recently confessed my feelings for after a night with a few drinks.,2.4444,1.1304,9,"[2, 2, 1, 2, 1, 4, 4, 3, 3]",test
A friend came over who I had loved since middle school and only recently confessed my feelings for.,2.6429,1.0818,14,"[1, 1, 4, 4, 3, 3, 1, 3, 3, 3, 2, 4, 2, 3]",test
A friend came over who I loved.,2.6333,1.1290,30,"[3, 4, 4, 2, 1, 2, 3, 1, 3, 4, 3, 3, 5, 3, 1, 3, 2, 3, 3, 2, 1, 3, 1, 4, 4, 3, 1, 3, 1, 3]",test
A friend who I had loved since middle school and only recently confessed my feelings for after a night with a few drinks came over.,1.3333,0.8165,6,"[1, 1, 3, 1, 1, 1]",test
