model,family,params_b,level,n_tasks,share_median,model_trusted_frac
Falcon3-10B-Instruct,Falcon 3,10.3,subword,3,0.6267,0.983
Falcon3-10B-Instruct,Falcon 3,10.3,lexical_semantics,32,0.5625,0.983
Falcon3-10B-Instruct,Falcon 3,10.3,syntax,95,0.6525,0.983
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_semantics,38,0.8088,0.983
Falcon3-10B-Instruct,Falcon 3,10.3,pragmatics,16,0.4487,0.983
Falcon3-10B-Instruct,Falcon 3,10.3,discourse,43,0.6515,0.983
Falcon3-1B-Instruct,Falcon 3,1.7,subword,3,-0.1581,0.974
Falcon3-1B-Instruct,Falcon 3,1.7,lexical_semantics,32,0.2283,0.974
Falcon3-1B-Instruct,Falcon 3,1.7,syntax,93,0.2437,0.974
Falcon3-1B-Instruct,Falcon 3,1.7,sentence_semantics,38,0.2907,0.974
Falcon3-1B-Instruct,Falcon 3,1.7,pragmatics,16,-0.045,0.974
Falcon3-1B-Instruct,Falcon 3,1.7,discourse,43,0.2328,0.974
Falcon3-7B-Instruct,Falcon 3,7.5,subword,3,0.5758,0.991
Falcon3-7B-Instruct,Falcon 3,7.5,lexical_semantics,32,0.5881,0.991
Falcon3-7B-Instruct,Falcon 3,7.5,syntax,95,0.6685,0.991
Falcon3-7B-Instruct,Falcon 3,7.5,sentence_semantics,38,0.8468,0.991
Falcon3-7B-Instruct,Falcon 3,7.5,pragmatics,16,0.4316,0.991
Falcon3-7B-Instruct,Falcon 3,7.5,discourse,45,0.7103,0.991
Llama-3.2-1B-Instruct,Llama 3,1.2,subword,0,,0.022
Llama-3.2-1B-Instruct,Llama 3,1.2,lexical_semantics,0,,0.022
Llama-3.2-1B-Instruct,Llama 3,1.2,syntax,2,,0.022
Llama-3.2-1B-Instruct,Llama 3,1.2,sentence_semantics,0,,0.022
Llama-3.2-1B-Instruct,Llama 3,1.2,pragmatics,3,-0.2181,0.022
Llama-3.2-1B-Instruct,Llama 3,1.2,discourse,0,,0.022
Llama-3.2-3B-Instruct,Llama 3,3.2,subword,2,,0.831
Llama-3.2-3B-Instruct,Llama 3,3.2,lexical_semantics,23,0.4946,0.831
Llama-3.2-3B-Instruct,Llama 3,3.2,syntax,93,0.6046,0.831
Llama-3.2-3B-Instruct,Llama 3,3.2,sentence_semantics,37,0.7297,0.831
Llama-3.2-3B-Instruct,Llama 3,3.2,pragmatics,10,0.4473,0.831
Llama-3.2-3B-Instruct,Llama 3,3.2,discourse,27,0.4544,0.831
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,subword,2,,0.935
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,lexical_semantics,28,0.6038,0.935
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,syntax,89,0.7884,0.935
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,sentence_semantics,38,0.8015,0.935
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,pragmatics,16,0.3638,0.935
Meta-Llama-3.1-8B-Instruct,Llama 3,8.0,discourse,43,0.6966,0.935
MiniCPM5-2B,other,2.5,subword,3,-0.0806,0.991
MiniCPM5-2B,other,2.5,lexical_semantics,32,0.3004,0.991
MiniCPM5-2B,other,2.5,syntax,94,0.4173,0.991
MiniCPM5-2B,other,2.5,sentence_semantics,38,0.5939,0.991
MiniCPM5-2B,other,2.5,pragmatics,16,0.2877,0.991
MiniCPM5-2B,other,2.5,discourse,46,0.2275,0.991
Ministral-8B-Instruct-2410,other,8.0,subword,2,,0.866
Ministral-8B-Instruct-2410,other,8.0,lexical_semantics,21,0.7144,0.866
Ministral-8B-Instruct-2410,other,8.0,syntax,93,0.772,0.866
Ministral-8B-Instruct-2410,other,8.0,sentence_semantics,34,0.8181,0.866
Ministral-8B-Instruct-2410,other,8.0,pragmatics,9,0.7188,0.866
Ministral-8B-Instruct-2410,other,8.0,discourse,41,0.7206,0.866
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,subword,3,0.85,1.0
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,lexical_semantics,32,0.6886,1.0
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,syntax,95,0.8125,1.0
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,sentence_semantics,38,0.8785,1.0
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,pragmatics,16,0.635,1.0
OLMo-2-0325-32B-Instruct,OLMo 2,32.2,discourse,47,0.7846,1.0
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,subword,3,0.3521,0.922
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,lexical_semantics,31,0.2763,0.922
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,syntax,88,0.2212,0.922
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,sentence_semantics,38,0.3314,0.922
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,pragmatics,10,0.2541,0.922
OLMo-2-0425-1B-Instruct,OLMo 2,1.5,discourse,43,0.3391,0.922
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,subword,2,,0.974
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,lexical_semantics,32,0.5323,0.974
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,syntax,94,0.7618,0.974
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,sentence_semantics,38,0.7904,0.974
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,pragmatics,16,0.4463,0.974
OLMo-2-1124-13B-Instruct,OLMo 2,13.7,discourse,43,0.7667,0.974
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,subword,3,0.603,0.944
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,lexical_semantics,31,0.3827,0.944
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,syntax,92,0.7084,0.944
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,sentence_semantics,36,0.7471,0.944
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,pragmatics,12,0.6139,0.944
OLMo-2-1124-7B-Instruct,OLMo 2,7.3,discourse,44,0.607,0.944
OLMo-3-7B-Instruct,other,7.3,subword,3,0.4957,0.965
OLMo-3-7B-Instruct,other,7.3,lexical_semantics,32,0.3295,0.965
OLMo-3-7B-Instruct,other,7.3,syntax,93,0.5888,0.965
OLMo-3-7B-Instruct,other,7.3,sentence_semantics,38,0.6222,0.965
OLMo-3-7B-Instruct,other,7.3,pragmatics,12,0.3142,0.965
OLMo-3-7B-Instruct,other,7.3,discourse,45,0.5625,0.965
Qwen1.5-7B-Chat,other,7.7,subword,3,-0.1125,0.97
Qwen1.5-7B-Chat,other,7.7,lexical_semantics,31,0.5395,0.97
Qwen1.5-7B-Chat,other,7.7,syntax,94,0.5788,0.97
Qwen1.5-7B-Chat,other,7.7,sentence_semantics,38,0.5523,0.97
Qwen1.5-7B-Chat,other,7.7,pragmatics,11,0.5234,0.97
Qwen1.5-7B-Chat,other,7.7,discourse,47,0.6214,0.97
Qwen2-7B-Instruct,other,7.6,subword,3,0.533,0.996
Qwen2-7B-Instruct,other,7.6,lexical_semantics,32,0.5838,0.996
Qwen2-7B-Instruct,other,7.6,syntax,94,0.6993,0.996
Qwen2-7B-Instruct,other,7.6,sentence_semantics,38,0.7978,0.996
Qwen2-7B-Instruct,other,7.6,pragmatics,16,0.465,0.996
Qwen2-7B-Instruct,other,7.6,discourse,47,0.6308,0.996
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,subword,3,0.3258,0.987
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,lexical_semantics,32,0.1024,0.987
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,syntax,94,0.0152,0.987
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,sentence_semantics,38,0.0014,0.987
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,pragmatics,16,-0.0062,0.987
Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,discourse,45,0.1248,0.987
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,subword,3,0.3344,0.952
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,lexical_semantics,32,0.4165,0.952
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,syntax,95,0.4437,0.952
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,sentence_semantics,38,0.437,0.952
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,pragmatics,9,0.4801,0.952
Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,discourse,43,0.4309,0.952
Qwen2.5-14B-Instruct,Qwen2.5,14.8,subword,3,0.721,0.991
Qwen2.5-14B-Instruct,Qwen2.5,14.8,lexical_semantics,32,0.733,0.991
Qwen2.5-14B-Instruct,Qwen2.5,14.8,syntax,94,0.8087,0.991
Qwen2.5-14B-Instruct,Qwen2.5,14.8,sentence_semantics,38,0.8905,0.991
Qwen2.5-14B-Instruct,Qwen2.5,14.8,pragmatics,16,0.5827,0.991
Qwen2.5-14B-Instruct,Qwen2.5,14.8,discourse,46,0.8107,0.991
Qwen2.5-32B-Instruct,Qwen2.5,32.8,subword,3,0.769,1.0
Qwen2.5-32B-Instruct,Qwen2.5,32.8,lexical_semantics,32,0.7866,1.0
Qwen2.5-32B-Instruct,Qwen2.5,32.8,syntax,95,0.8328,1.0
Qwen2.5-32B-Instruct,Qwen2.5,32.8,sentence_semantics,38,0.8969,1.0
Qwen2.5-32B-Instruct,Qwen2.5,32.8,pragmatics,16,0.7334,1.0
Qwen2.5-32B-Instruct,Qwen2.5,32.8,discourse,47,0.8357,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,subword,3,0.4604,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,lexical_semantics,32,0.445,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,syntax,95,0.6396,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,sentence_semantics,38,0.7066,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,pragmatics,16,0.329,1.0
Qwen2.5-3B-Instruct,Qwen2.5,3.1,discourse,47,0.5871,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,subword,3,0.6899,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,lexical_semantics,32,0.6091,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,syntax,95,0.7549,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,sentence_semantics,38,0.7968,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,pragmatics,16,0.5847,1.0
Qwen2.5-7B-Instruct,Qwen2.5,7.6,discourse,47,0.6626,1.0
Qwen3-0.6B,Qwen3,0.8,subword,2,,0.961
Qwen3-0.6B,Qwen3,0.8,lexical_semantics,29,0.0528,0.961
Qwen3-0.6B,Qwen3,0.8,syntax,93,0.0054,0.961
Qwen3-0.6B,Qwen3,0.8,sentence_semantics,37,0.2307,0.961
Qwen3-0.6B,Qwen3,0.8,pragmatics,16,-0.02,0.961
Qwen3-0.6B,Qwen3,0.8,discourse,45,0.0581,0.961
