unit,mean,std,n,individual_ratings
All her years in Hollywood she wanted to keep the natural look.,3.5625,1.1163,48,"[2, 3, 4, 3, 5, 3, 4, 4, 5, 2, 5, 3, 4, 2, 2, 3, 4, 4, 3, 3, 5, 3, 3, 4, 5, 5, 2, 1, 5, 4, 3, 2, 4, 3, 2, 5, 3, 4, 2, 5, 4, 5, 4, 5, 2, 4, 5, 4]"
All the dogs rapidly converged on one area where digging immediately started.,3.6939,1.0143,49,"[5, 4, 5, 4, 5, 2, 4, 5, 3, 2, 3, 5, 4, 4, 2, 3, 4, 5, 2, 4, 4, 3, 5, 2, 4, 4, 4, 5, 3, 1, 4, 4, 4, 3, 3, 3, 3, 4, 5, 5, 4, 5, 4, 3, 3, 4, 4, 4, 2]"
"An inventive present for her grandchildren, the grandmother thought of.",2.1905,1.1389,21,"[2, 2, 2, 5, 2, 1, 3, 1, 2, 1, 2, 5, 1, 2, 3, 2, 1, 1, 3, 2, 3]"
"At the restaurant, the chef worked.",2.4783,1.0159,23,"[2, 4, 3, 4, 4, 3, 3, 2, 1, 2, 3, 2, 2, 2, 2, 2, 1, 5, 2, 1, 2, 3, 2]"
"Becoming a scientist, the young girl dreamt of.",2.1562,0.9391,32,"[2, 3, 5, 2, 2, 2, 2, 3, 1, 2, 3, 1, 4, 1, 2, 4, 1, 2, 2, 2, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 3, 2]"
"Expensive clay, the mug was made of.",1.9167,0.7592,24,"[2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 3, 2, 4, 1, 2, 2]"
"Experienced professionals, the team consisted of.",1.9583,0.8888,24,"[2, 1, 2, 1, 1, 2, 1, 3, 2, 2, 1, 1, 5, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3]"
"For the exam, the student studied.",2.6364,0.9791,22,"[2, 3, 5, 3, 2, 2, 2, 4, 2, 3, 2, 3, 3, 2, 3, 2, 2, 5, 1, 3, 2, 2]"
"For the patients, the nurse cared.",2.0,0.8944,25,"[2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 5, 2, 3, 1, 2, 1, 2, 2]"
Friendship does not count for much in the world of big business.,4.5306,0.6732,49,"[5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 4, 4, 5, 5, 3, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 3, 4, 2]"
"From the tree branch, the bird sang.",3.2,1.0583,25,"[5, 4, 2, 2, 4, 4, 3, 2, 4, 2, 4, 3, 5, 2, 3, 2, 2, 2, 5, 4, 4, 3, 4, 2, 3]"
He did not say how long the president would stay on holiday.,4.5102,0.7319,49,"[5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 3, 5, 5, 4, 4, 4, 5, 5, 4, 5, 1, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4]"
