unit,mean,std,n,individual_ratings
A car crashes into a lamppost. Someone on the street yells the following: Call the paramedics so that they can help these people,4.1833,1.0246,120,"[4, 5, 4, 5, 3, 4, 5, 4, 4, 5, 5, 2, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 5, 1, 3, 4, 4, 4, 3, 5, 3, 4, 5, 4, 1, 5, 5, 4, 5, 5, 4, 4, 5, 5, 4, 4, 4, 5, 2, 5, 5, 5, 4, 3, 4, 5, 5, 4, 3, 5, 5, 5, 2, 5, 5, 4, 5, 4, 4, 5, 5, 3, 5, 1, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 2, 5, 4, 4, 4, 5, 5, 1, 3, 2, 5, 5, 4, 4, 5, 2, 5, 4, 5, 5, 5, 4, 2, 3]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Everyone sing louder and we will sound better.,3.9,1.0909,20,"[2, 5, 5, 4, 3, 4, 5, 3, 1, 4, 4, 5, 5, 4, 4, 4, 5, 3, 5, 3]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Everyone sing softer and we will sound worse.,2.45,1.2031,20,"[2, 1, 4, 2, 2, 1, 3, 1, 2, 2, 3, 5, 3, 2, 2, 2, 1, 5, 2, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings louder we will sound better.,4.25,0.7665,20,"[5, 5, 4, 4, 4, 5, 3, 4, 5, 5, 4, 5, 5, 3, 3, 5, 4, 4, 5, 3]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings softer we will sound worse.,2.85,1.0618,20,"[4, 2, 5, 3, 3, 1, 1, 1, 4, 3, 3, 2, 3, 3, 2, 3, 3, 4, 4, 3]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing louder and we will sound better.,4.05,1.1169,20,"[4, 3, 5, 5, 5, 4, 5, 4, 4, 5, 5, 1, 5, 4, 5, 3, 2, 3, 4, 5]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing softer and we will sound worse.,2.35,1.2757,20,"[1, 2, 4, 2, 2, 1, 5, 1, 2, 3, 1, 2, 1, 3, 1, 4, 3, 4, 4, 1]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Donate and the church will be saved.,3.9,1.044,20,"[4, 4, 5, 5, 3, 5, 2, 2, 5, 3, 3, 5, 5, 3, 5, 4, 3, 4, 5, 3]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Everyone donate and the church will be saved.,4.0,1.0761,19,"[5, 3, 4, 3, 5, 4, 5, 3, 2, 5, 3, 4, 5, 3, 5, 5, 5, 5, 2]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Everyone steal and the church will be closed.,1.55,0.9734,20,"[1, 1, 2, 2, 1, 3, 2, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: If everyone donates the church will be saved.,3.9,0.8888,20,"[2, 5, 4, 4, 3, 4, 5, 2, 3, 4, 5, 4, 4, 4, 4, 5, 5, 4, 4, 3]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: If everyone steals the church will be closed.,2.25,1.2196,20,"[1, 3, 3, 2, 3, 1, 3, 1, 2, 1, 1, 5, 1, 2, 1, 3, 3, 4, 1, 4]"
A church is in the midst of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Steal and the church will be closed.,2.4,1.2806,20,"[5, 1, 3, 2, 4, 3, 1, 1, 3, 2, 1, 5, 2, 2, 1, 3, 1, 2, 2, 4]"
A class is meeting in a stuffy classroom. The professor tells a student the following: Open the window so that we can get some air in here!,4.7647,0.6312,119,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 4, 5, 4, 5, 3, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Everyone help Tim and he will pass.,3.7368,1.1165,19,"[4, 2, 5, 5, 2, 5, 5, 2, 3, 4, 2, 5, 4, 5, 4, 3, 4, 3, 4]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Everyone overlook Tim and he will fail.,1.55,0.8646,20,"[1, 2, 1, 1, 1, 4, 3, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Help Tim and he will pass.,3.85,1.1079,20,"[5, 3, 4, 4, 3, 2, 5, 3, 3, 4, 2, 5, 4, 5, 2, 5, 3, 5, 5, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: If everyone helps Tim he will pass.,3.65,1.1079,20,"[4, 2, 5, 4, 4, 5, 3, 1, 4, 4, 5, 2, 4, 4, 5, 4, 3, 4, 4, 2]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: If everyone overlooks Tim he will fail.,2.9,1.3,20,"[5, 1, 4, 2, 3, 3, 1, 3, 2, 3, 4, 5, 2, 2, 1, 2, 2, 4, 4, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Overlook and he will fail.,2.0,1.1832,20,"[1, 2, 3, 2, 3, 3, 2, 1, 1, 1, 5, 1, 4, 1, 1, 1, 3, 1, 1, 3]"
A class of students is learning how to cook. The instructor tells the class the following: If you spill something clean it up immediately!,4.8067,0.5542,119,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: Arrive early and the meeting will start on time.,4.1053,1.119,19,"[5, 5, 4, 4, 5, 4, 1, 3, 4, 5, 5, 4, 5, 5, 4, 3, 5, 2, 5]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: Arrive late and the meeting will be delayed.,3.2,1.1662,20,"[1, 3, 2, 4, 2, 5, 5, 3, 3, 4, 5, 2, 4, 3, 4, 4, 4, 2, 2, 2]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: Everyone arrive early and the meeting will start on time.,4.25,0.8292,20,"[5, 3, 4, 5, 4, 5, 2, 5, 5, 4, 4, 5, 5, 4, 4, 3, 4, 4, 5, 5]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: Everyone arrive late and the meeting will be delayed.,1.9474,1.1909,19,"[2, 1, 5, 1, 5, 1, 3, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: If everyone arrives early the meeting will start on time.,4.45,1.0235,20,"[5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 3, 5, 1, 5, 5, 5]"
A company is planning to have a meeting in the morning. A day before the meeting the boss tells her employees the following: If everyone arrives late the meeting will be delayed.,3.8,1.2884,20,"[5, 2, 4, 5, 5, 3, 4, 2, 5, 4, 5, 2, 4, 2, 2, 5, 5, 5, 2, 5]"
A family is about to go out to a fancy dinner with new friends. The mother tells the family the following: Chew with your mouth closed and we will make a good impression.,4.0,0.8944,20,"[5, 4, 4, 4, 2, 4, 5, 3, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 2, 3]"
A family is about to go out to a fancy dinner with new friends. The mother tells the family the following: Everyone chew with your mouth closed and we will make a good impression.,3.9,1.0909,20,"[4, 2, 5, 4, 4, 5, 5, 3, 4, 5, 3, 3, 4, 5, 5, 5, 3, 4, 1, 4]"
A family is about to go out to a fancy dinner with new friends. The mother tells the family the following: Everyone talk with your mouth full and we will make a bad impression.,2.8,1.6613,20,"[5, 2, 4, 2, 2, 4, 1, 4, 4, 1, 5, 5, 1, 1, 1, 1, 1, 2, 5, 5]"
A family is about to go out to a fancy dinner with new friends. The mother tells the family the following: If everyone chews with their mouth full we will make a good impression.,2.1,1.261,20,"[2, 1, 3, 2, 2, 1, 3, 4, 4, 2, 5, 1, 1, 2, 1, 1, 1, 4, 1, 1]"
