unit,mean,std,n,individual_ratings
AIDS,1.0667,0.3651,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Afghanistan,2.1034,0.939,29,"[1, 2, 1, 1, 2, 3, 2, 2, 1, 1, 2, 3, 2, 2, 2, 3, 3, 1, 2, 5, 2, 2, 4, 2, 1, 2, 2, 3, 2]"
Alan,3.0882,0.3788,34,"[3, 3, 3, 3, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3]"
Alan Turing,3.0323,0.5467,31,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3]"
Alaska,3.7667,0.9714,30,"[5, 3, 4, 3, 3, 4, 2, 4, 3, 4, 4, 5, 3, 4, 1, 4, 4, 3, 5, 5, 4, 5, 4, 5, 4, 5, 3, 3, 4, 3]"
Albuquerque,3.3667,0.7184,30,"[3, 3, 4, 2, 4, 3, 3, 3, 3, 2, 3, 3, 4, 4, 4, 4, 3, 3, 3, 5, 3, 5, 3, 4, 3, 3, 4, 4, 3, 3]"
Aleve,3.2188,0.7507,32,"[2, 4, 3, 5, 2, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 4, 4, 3]"
Alexander Fleming,3.1818,0.5839,33,"[4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 2, 5, 3, 2, 3, 3, 3, 3, 3, 3, 4, 4, 3]"
Alexander Ovechkin,3.0,0.9097,30,"[3, 3, 2, 4, 3, 3, 5, 3, 3, 4, 1, 2, 3, 3, 3, 3, 3, 2, 5, 3, 3, 3, 1, 3, 3, 3, 2, 3, 4, 4]"
Alexander the Great,3.5152,0.6671,33,"[4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 5, 5, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 4]"
Alice,3.3871,0.6152,31,"[3, 5, 3, 3, 3, 4, 3, 3, 4, 5, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3]"
Alice in Chains,3.1667,0.9129,30,"[3, 4, 4, 3, 3, 3, 4, 5, 2, 3, 3, 5, 2, 4, 2, 2, 3, 4, 2, 3, 2, 4, 4, 2, 3, 2, 4, 4, 3, 3]"
All Saints' Day,3.2059,0.5918,34,"[3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 4, 4, 3, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3]"
Allan,3.1333,0.5074,30,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]"
Allen Iverson,3.1818,0.4647,33,"[3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4]"
Alma,3.0,0.5164,31,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3]"
Alvin,3.1212,0.4846,33,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3]"
Alzheimer's disease,1.2683,0.528,246,"[1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1]"
Ambien,2.8667,0.9732,30,"[2, 3, 3, 2, 1, 3, 4, 4, 2, 5, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 2, 3, 3, 3, 1, 4, 3, 2, 3, 2]"
Amedeo Modigliani,3.0323,0.4819,31,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 5, 3, 3, 3, 3, 3]"
Anastasia,3.3103,0.6038,29,"[3, 3, 3, 3, 3, 4, 4, 2, 3, 3, 3, 4, 3, 5, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4]"
Andrea,3.3,0.6513,30,"[3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 5, 3, 4, 3, 5, 3, 3, 3, 3, 4, 3, 2, 4, 4, 3, 3]"
Andrew Johnson,3.2667,0.6397,30,"[3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 5, 3, 4, 3, 5, 3, 4, 3, 3, 2, 3, 3]"
Andy Warhol,3.3548,0.6607,31,"[4, 2, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 2, 5, 4, 3, 3, 4, 4]"
Angelica,3.2647,0.7096,34,"[3, 3, 3, 3, 5, 3, 3, 4, 3, 3, 4, 4, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 5, 3, 5, 3, 3, 3, 3, 3, 3]"
Angelina Jolie,3.6333,1.1592,30,"[4, 5, 4, 5, 3, 3, 5, 3, 3, 1, 5, 4, 3, 4, 1, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 2, 4, 4, 3, 1]"
Anne Boleyn,2.9,0.4807,30,"[3, 4, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 2, 2, 2, 3, 3, 3, 3, 3, 3]"
Antarctica,3.1333,1.008,30,"[3, 3, 2, 4, 3, 3, 2, 4, 3, 4, 4, 4, 3, 3, 2, 3, 2, 1, 3, 5, 4, 4, 5, 3, 2, 5, 2, 2, 3, 3]"
Anthony Hopkins,3.4138,0.8667,29,"[3, 2, 3, 3, 2, 4, 3, 2, 3, 4, 5, 3, 3, 5, 3, 4, 3, 3, 4, 4, 3, 5, 5, 3, 3, 3, 4, 4, 3]"
Antoinette,3.129,0.4275,31,"[3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 4, 3, 3, 3, 3, 3]"
Ariel,3.4,0.4983,30,"[3, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3]"
Aristotle,3.8529,0.702,34,"[3, 4, 4, 3, 4, 3, 3, 5, 3, 4, 4, 4, 5, 5, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 5, 4, 4, 5, 5, 3, 4, 4, 4, 3]"
Arnold Schwazenegger,3.5667,1.04,30,"[2, 4, 4, 5, 2, 3, 5, 3, 3, 4, 4, 4, 3, 2, 5, 4, 3, 2, 5, 4, 4, 4, 5, 4, 4, 2, 3, 3, 2, 5]"
Arturo,3.0294,0.3,34,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 3, 3, 3]"
Ascorbic Acid,2.6897,0.9298,29,"[3, 2, 3, 3, 1, 2, 2, 3, 3, 3, 4, 1, 3, 5, 3, 4, 3, 3, 4, 2, 2, 1, 2, 3, 3, 3, 3, 2, 2]"
Ash Wednesday,3.0294,0.8343,34,"[3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 4, 4, 3, 3, 4, 4, 3, 3, 2, 4, 4, 3, 2, 5, 3, 3, 1, 4, 3, 4, 3, 3, 3]"
Atari,4.0667,0.7849,30,"[4, 4, 4, 4, 3, 4, 5, 4, 3, 5, 5, 5, 3, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 3, 4, 3, 3, 4, 3, 4]"
Aurora,3.7667,0.7739,30,"[5, 3, 4, 4, 3, 4, 4, 3, 3, 4, 2, 3, 3, 4, 5, 4, 4, 5, 3, 5, 4, 5, 3, 3, 4, 4, 4, 4, 3, 4]"
Babe Ruth,3.8214,0.863,28,"[4, 4, 4, 5, 3, 3, 4, 4, 5, 5, 2, 3, 3, 4, 4, 3, 4, 5, 5, 3, 3, 3, 5, 5, 3, 3, 4, 4]"
