unit,mean,std,n,individual_ratings,item_type
It was an inventive present for her grandchildren that the grandmother thought of.,2.087,1.0407,23,"[3, 3, 2, 1, 2, 3, 2, 5, 2, 2, 2, 2, 1, 1, 4, 2, 2, 3, 1, 1, 1, 2, 1]",test
It was at the restaurant that the chef worked.,3.4,1.1547,25,"[3, 4, 2, 3, 2, 2, 2, 5, 3, 5, 4, 2, 5, 3, 4, 5, 5, 4, 3, 3, 4, 2, 2, 5, 3]",test
It was becoming a scientist that the young girl dreamt of.,2.8846,1.2108,26,"[4, 3, 3, 5, 3, 1, 2, 4, 2, 2, 3, 2, 5, 4, 1, 4, 3, 4, 1, 4, 1, 2, 3, 3, 4, 2]",test
It was expensive clay that the mug was made of.,3.4074,0.9306,27,"[4, 4, 2, 3, 3, 4, 4, 2, 4, 4, 5, 4, 2, 4, 3, 3, 4, 3, 3, 3, 4, 5, 2, 3, 3, 5, 2]",test
It was for the exam that the student studied.,3.1875,1.1483,32,"[3, 3, 3, 2, 4, 3, 4, 2, 5, 5, 4, 3, 3, 4, 4, 3, 3, 1, 4, 2, 1, 2, 3, 5, 3, 2, 3, 4, 5, 2, 2, 5]",test
It was for the fellowship that the student applied.,3.0,1.1547,28,"[3, 2, 2, 4, 1, 5, 2, 4, 3, 2, 3, 2, 2, 4, 3, 2, 2, 4, 3, 3, 4, 1, 5, 2, 3, 5, 4, 4]",test
It was for the patients that the nurse cared.,2.2381,0.9437,21,"[2, 3, 3, 3, 1, 1, 2, 1, 3, 2, 2, 3, 2, 4, 1, 4, 3, 2, 2, 2, 1]",test
It was from the tree branch that the bird sang.,3.0,1.0445,23,"[2, 3, 3, 4, 4, 4, 1, 4, 4, 3, 3, 5, 2, 2, 4, 4, 3, 2, 2, 2, 4, 2, 2]",test
It was in the classroom that the teacher taught.,3.2917,1.0417,24,"[5, 4, 3, 4, 4, 1, 2, 3, 3, 2, 3, 4, 3, 4, 3, 4, 4, 3, 3, 1, 5, 4, 4, 3]",test
It was in the pool that the swimmer trained.,3.3043,0.974,23,"[3, 4, 2, 3, 3, 4, 4, 3, 4, 4, 4, 4, 3, 2, 4, 2, 1, 4, 4, 5, 4, 3, 2]",test
It was in the tournament that the athlete competed.,2.8846,0.9519,26,"[4, 4, 2, 2, 1, 3, 2, 2, 2, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 4, 5, 2, 3, 2, 3, 2]",test
It was of an inventive present for her grandchildren that the grandmother thought.,1.6429,0.8698,28,"[2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 4, 2, 2, 1, 4, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2]",test
It was of becoming a scientist that the young girl dreamt.,1.92,0.9092,25,"[1, 2, 1, 2, 2, 2, 2, 4, 2, 2, 2, 1, 1, 1, 4, 2, 3, 1, 1, 3, 2, 3, 1, 2, 1]",test
