unit,mean,std,n,individual_ratings
Brian couldn't remember the woman Lauren mentioned that Justin hire.,3.24,1.5707,100,"[1, 2, 3, 6, 4, 4, 3, 3, 3, 2, 2, 1, 2, 6, 6, 3, 6, 6, 2, 4, 6, 4, 3, 2, 3, 2, 3, 2, 4, 3, 2, 3, 3, 4, 3, 3, 3, 2, 3, 3, 1, 2, 2, 4, 2, 2, 3, 3, 4, 3, 5, 4, 6, 2, 2, 5, 3, 1, 3, 7, 5, 3, 3, 7, 4, 2, 4, 3, 1, 3, 3, 2, 4, 3, 7, 3, 2, 1, 7, 1, 5, 3, 5, 2, 2, 1, 3, 2, 3, 6, 3, 1, 2, 5, 2, 1, 5, 3, 6, 2]"
Brian couldn't remember the woman Lauren mentioned that Justin hired Amanda and.,1.71,1.0278,100,"[2, 2, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 4, 3, 1, 1, 2, 3, 1, 1, 3, 1, 5, 1, 1, 7, 1, 2, 4, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2, 1, 2, 1, 3, 1]"
Brian couldn't remember the woman Lauren mentioned that Justin hired.,4.3814,1.8053,97,"[1, 4, 6, 6, 7, 7, 6, 3, 3, 5, 6, 4, 4, 4, 2, 7, 2, 3, 7, 3, 3, 3, 2, 6, 6, 5, 2, 6, 6, 3, 3, 6, 3, 3, 2, 5, 1, 2, 7, 3, 3, 6, 7, 2, 6, 7, 7, 5, 2, 7, 5, 2, 2, 4, 4, 3, 5, 6, 6, 3, 6, 7, 6, 2, 4, 3, 2, 6, 7, 2, 4, 6, 5, 6, 2, 7, 3, 5, 5, 3, 5, 6, 2, 5, 6, 3, 3, 5, 4, 6, 3, 5, 1, 5, 3, 7, 6]"
Brian couldn't remember the woman Lauren mentioned that some employees of hired Amanda.,2.101,1.1994,99,"[1, 2, 1, 3, 1, 3, 2, 1, 1, 1, 3, 1, 2, 4, 1, 5, 2, 4, 3, 2, 5, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 3, 2, 2, 1, 2, 3, 1, 1, 2, 2, 3, 3, 2, 2, 1, 1, 1, 3, 2, 1, 4, 6, 1, 3, 2, 3, 2, 2, 7, 3, 1, 3, 3, 2, 4, 2, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 2, 2, 1, 5, 1, 2, 1, 1, 1, 2, 1, 2, 5, 1, 2, 2, 1, 2, 2]"
Brian couldn't remember the woman Lauren mentioned the announcement suggesting that Justin hired.,2.19,1.2925,100,"[2, 1, 5, 5, 3, 6, 2, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 3, 2, 3, 4, 3, 1, 3, 1, 2, 1, 1, 3, 2, 1, 3, 3, 3, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 6, 4, 1, 3, 1, 5, 1, 4, 7, 2, 2, 4, 1, 3, 3, 2, 3, 2, 1, 1, 3, 1, 1, 2, 1, 5, 2, 2, 1, 2, 2, 1, 1, 2, 1, 3, 1, 1, 4, 2, 1, 2, 1, 1, 2]"
Brian couldn't remember the woman that Lauren mentioned that Justin hire.,3.3564,1.6284,101,"[2, 5, 2, 6, 7, 3, 6, 7, 3, 2, 3, 5, 2, 4, 5, 1, 3, 6, 3, 1, 4, 1, 3, 3, 2, 5, 3, 2, 7, 6, 6, 4, 3, 3, 3, 4, 3, 4, 1, 3, 1, 5, 2, 6, 2, 3, 3, 1, 4, 3, 6, 2, 2, 4, 5, 5, 1, 2, 5, 3, 3, 5, 1, 4, 4, 2, 2, 3, 3, 2, 2, 2, 3, 4, 2, 3, 2, 2, 3, 3, 4, 5, 6, 4, 5, 6, 5, 2, 6, 2, 2, 2, 2, 1, 2, 2, 2, 5, 3, 6, 1]"
Brian couldn't remember the woman that Lauren mentioned that Justin hired Amanda and.,1.6931,1.0271,101,"[1, 2, 1, 1, 2, 1, 1, 2, 2, 5, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 6, 3, 1, 2, 1, 3, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 5, 2, 4, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 2, 3, 1, 1, 5, 3, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1]"
Brian couldn't remember the woman that Lauren mentioned that Justin hired.,4.65,1.7487,100,"[2, 2, 2, 6, 6, 6, 6, 5, 2, 6, 3, 6, 6, 7, 5, 6, 6, 7, 5, 6, 3, 6, 2, 2, 7, 5, 3, 6, 6, 6, 3, 7, 3, 5, 5, 2, 4, 6, 7, 5, 6, 5, 5, 2, 3, 6, 1, 4, 5, 2, 5, 3, 5, 4, 6, 4, 3, 6, 2, 6, 3, 6, 6, 6, 7, 3, 4, 5, 7, 1, 6, 5, 5, 7, 6, 6, 2, 4, 2, 3, 7, 6, 2, 6, 5, 4, 7, 7, 3, 2, 5, 6, 3, 2, 6, 5, 6, 2, 4, 7]"
Brian couldn't remember the woman that Lauren mentioned that some employees of hired Amanda.,2.3069,1.3838,101,"[1, 3, 1, 3, 5, 3, 1, 3, 3, 1, 2, 1, 3, 1, 5, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 5, 2, 1, 2, 6, 1, 3, 1, 1, 2, 2, 1, 2, 1, 4, 1, 3, 1, 3, 1, 2, 4, 1, 4, 2, 2, 1, 2, 5, 5, 5, 2, 2, 1, 6, 1, 2, 1, 1, 5, 1, 1, 3, 5, 1, 2, 1, 4, 3, 2, 2, 2, 1, 1, 2, 3, 4, 2, 2, 5, 2, 5, 3, 2, 3, 1, 3, 2, 2, 2, 4, 2, 2, 2, 1, 2]"
Brian couldn't remember the woman that Lauren mentioned the announcement suggesting that Justin hired.,2.3861,1.3036,101,"[2, 2, 4, 1, 2, 3, 1, 5, 3, 4, 2, 5, 2, 1, 5, 2, 2, 4, 2, 1, 3, 5, 1, 2, 1, 2, 3, 3, 3, 2, 2, 5, 4, 1, 3, 2, 1, 3, 2, 2, 1, 2, 1, 4, 1, 2, 4, 3, 2, 1, 1, 2, 2, 4, 5, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 2, 2, 4, 3, 2, 2, 2, 7, 1, 1, 3, 3, 4, 1, 6, 2, 1, 3, 4, 2, 1, 3, 2, 1, 3, 1, 4, 3, 2, 3, 1]"
