unit,mean,std,n,individual_ratings
100_openingpaintcan_woman.png,4.05,0.8047,20,"[3, 4, 5, 4, 3, 4, 5, 5, 5, 3, 3, 4, 5, 4, 3, 4, 4, 5, 5, 3]"
101_puttingcoffeegroundsinfilter_indet.png,3.8,1.1662,20,"[4, 2, 5, 4, 2, 5, 5, 5, 1, 4, 3, 3, 5, 4, 5, 3, 3, 5, 4, 4]"
102_toastingbread_indet.png,4.35,0.8529,20,"[4, 5, 5, 4, 5, 5, 4, 5, 4, 4, 5, 2, 5, 5, 5, 3, 4, 5, 5, 3]"
103_puttinginearplug_man.png,4.05,1.0235,20,"[2, 4, 5, 4, 4, 5, 5, 5, 4, 4, 3, 3, 5, 5, 5, 2, 3, 5, 5, 3]"
104_puttingmarshmallowinhotcocoa_indet.png,4.1053,0.7877,19,"[4, 3, 5, 4, 4, 5, 4, 5, 5, 4, 5, 3, 5, 5, 3, 3, 4, 3, 4]"
105_wrappingbox_man.png,4.2,0.9798,20,"[4, 5, 5, 4, 2, 4, 5, 5, 4, 4, 3, 2, 5, 5, 4, 3, 5, 5, 5, 5]"
106_puttingonshoe_man.png,4.45,0.8047,20,"[5, 5, 5, 4, 3, 5, 5, 5, 5, 4, 3, 3, 5, 5, 5, 3, 5, 5, 5, 4]"
107_dustingbookshelf_indet.png,3.85,1.1079,20,"[4, 5, 5, 4, 5, 3, 4, 5, 2, 3, 2, 3, 5, 5, 4, 2, 3, 3, 5, 5]"
108_cleaningtoilet_indet.png,3.9,1.1358,20,"[3, 5, 5, 4, 3, 4, 4, 5, 5, 3, 2, 2, 5, 5, 5, 3, 2, 5, 5, 3]"
109_washinsink-wineglass.png,4.05,0.9206,20,"[4, 4, 5, 4, 4, 3, 5, 5, 4, 4, 4, 2, 5, 5, 3, 2, 4, 5, 4, 5]"
110_throwingawaycerealbox_indet.png,3.9,0.9434,20,"[3, 3, 5, 4, 3, 3, 5, 5, 5, 4, 3, 3, 5, 4, 4, 3, 2, 5, 5, 4]"
38_bitingintocandy_woman.png,4.0,1.0954,20,"[3, 3, 5, 4, 5, 4, 5, 5, 5, 3, 3, 3, 5, 5, 5, 3, 2, 5, 5, 2]"
