unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,3.6,1.9405,30,"[1, 4, 2, 5, 6, 3, 2, 7, 4, 7, 2, 5, 5, 5, 2, 2, 5, 4, 6, 2, 4, 1, 7, 1, 1, 2, 5, 2, 2, 4]",test
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,5.7333,1.4368,30,"[7, 7, 5, 2, 5, 7, 3, 7, 7, 6, 6, 7, 7, 6, 6, 5, 7, 4, 5, 5, 6, 6, 2, 5, 7, 7, 6, 7, 6, 6]",test
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,4.9667,1.6501,30,"[4, 7, 4, 7, 4, 2, 5, 7, 5, 7, 6, 5, 6, 7, 3, 2, 7, 5, 5, 4, 4, 5, 3, 3, 7, 4, 3, 7, 4, 7]",test
A garden brings color to a backyard. Flowers add beauty to a windowsill.,4.7241,1.9621,29,"[5, 6, 7, 4, 3, 2, 7, 6, 4, 3, 4, 6, 5, 6, 5, 6, 2, 1, 7, 1, 6, 1, 3, 6, 7, 7, 6, 6, 5]",test
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,2.4483,1.5489,29,"[3, 2, 6, 3, 1, 4, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 2, 2, 2, 7, 2, 2, 3, 4, 5, 3, 3]",test
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,1.2667,0.5833,30,"[1, 1, 1, 2, 3, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]",test
A new career training program was offered recently. Employment rates for local residents went up.,1.2,0.6103,30,"[1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",test
A new tech startup opened its doors last month. The firm specializes in software for small businesses.,1.7667,1.278,30,"[1, 1, 1, 1, 2, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 2, 4, 5]",test
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,2.6667,2.0057,30,"[1, 1, 1, 2, 7, 3, 4, 1, 6, 2, 2, 4, 1, 1, 2, 1, 2, 6, 7, 2, 1, 2, 1, 3, 1, 7, 3, 3, 2, 1]",test
A social media platform improved its privacy settings. Users felt more secure about their personal information.,1.2,0.7611,30,"[1, 1, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",test
