unit,mean,std,n,individual_ratings,item_type
A altura das pirâmides impressionou os visitantes durante o passeio?,6.7273,0.4671,11,"[7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 6]",test
A beleza das flores confortou as famílias durante o velório?,6.2,1.3038,5,"[4, 7, 7, 6, 7]",test
A beleza do deserto maravilhou os teus filhos durante o passeio?,6.3846,0.7679,13,"[7, 7, 6, 5, 5, 7, 6, 7, 7, 6, 7, 6, 7]",test
A clareza dos documentos tranquilizou os advogados durante o julgamento?,6.25,0.866,12,"[6, 6, 7, 6, 6, 4, 7, 7, 6, 7, 6, 7]",test
"A cor do descapotável encantou o jogador de futebol, por causa do seu brilho?",3.6,2.4083,5,"[3, 1, 2, 5, 7]",test
"A empresa conseguiu, por fim, corresponder às expectativas dos funcionários?",6.0,1.249,51,"[7, 7, 7, 7, 7, 5, 6, 7, 7, 7, 7, 5, 4, 7, 3, 6, 3, 5, 7, 4, 4, 7, 7, 4, 6, 7, 6, 7, 5, 7, 7, 7, 5, 5, 6, 7, 6, 5, 6, 3, 7, 7, 6, 6, 7, 5, 5, 7, 7, 7, 7]",filler
"A forma da janela desagradava ao pedreiro, pois ela não era perfeitamente simétrica?",4.1667,1.6021,6,"[6, 4, 6, 2, 3, 4]",test
A fragilidade do prédio inquietava os vizinhos por ele estar todo quebrado?,4.5556,1.8782,9,"[6, 5, 5, 3, 1, 6, 3, 5, 7]",test
A grandeza do evento deslumbrou os jornalistas na noite passada?,5.75,0.5,4,"[6, 6, 6, 5]",test
"A instabilidade dos andaimes angustiava os moradores, apesar das palavras tranquilizadoras do empreiteiro?",5.2857,2.0587,7,"[7, 3, 7, 2, 6, 5, 7]",test
"A limpeza do consultório tranquilizava os pacientes, assim que entravam?",3.9,1.6633,10,"[2, 3, 5, 4, 3, 5, 4, 6, 1, 6]",test
A nova classificação do campeonato deixou o treinador satisfeito?,6.2745,1.0785,51,"[7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 5, 4, 7, 5, 4, 7, 7, 3, 7, 7, 6, 7, 4, 7, 7, 5, 7, 5, 5, 7, 7, 5, 5, 7, 7, 5, 7, 6, 6, 7, 5, 7, 7, 7, 7]",filler
"A nova sala de trabalho agradou aos jovens aprendizes, porque era espaçosa e bem iluminada.",6.5686,0.8308,51,"[7, 6, 7, 5, 7, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 5, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 5, 7, 7, 7, 7, 7, 7, 3, 7, 6, 5, 7, 7, 7, 7, 7, 7]",filler
A nutricionista preparou um plano alimentar saudável que agradou aos filhos do Pedro?,5.64,1.3211,50,"[7, 7, 7, 7, 7, 6, 4, 6, 6, 6, 5, 6, 5, 4, 5, 7, 4, 5, 5, 4, 7, 7, 4, 7, 7, 3, 7, 4, 6, 7, 6, 5, 5, 6, 7, 6, 5, 6, 7, 7, 4, 5, 5, 6, 1, 5, 5, 7, 7, 5]",filler
A onda de calor no hemisfério norte derreteu a camada de gelo dos cumes das montanhas.,6.549,0.8789,51,"[7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 3, 6, 4, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 5, 6, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 6, 6, 7, 7, 7]",filler
A originalidade da inovação entusiasmou os teus colegas esta semana?,5.9,0.9944,10,"[5, 6, 7, 6, 5, 4, 6, 6, 7, 7]",test
A padaria mais conhecida de São Paulo ficava num bairro tradicional da cidade e encantava tanto visitantes como moradores.,6.6863,0.4686,51,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 6, 6, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 6, 7, 6, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7, 7, 6, 7]",filler
A profundidade do desfiladeiro assustou o guia quando ele lançou uma pedra lá para baixo?,5.8462,1.3445,13,"[7, 5, 7, 7, 7, 7, 4, 5, 3, 6, 5, 7, 6]",test
"A pureza do diamante fascinou o comprador, pois tinha um brilho intenso?",5.7,1.1595,10,"[7, 6, 6, 4, 5, 7, 7, 5, 6, 4]",test
A simplicidade da receita tem agradado aos aprendizes há gerações?,5.0,1.4142,10,"[4, 6, 5, 4, 3, 6, 7, 6, 3, 6]",test
Alguns aspetos das atividades da empresa ameaçavam a saúde dos funcionários?,6.1111,0.928,9,"[6, 6, 7, 6, 6, 6, 4, 7, 7]",test
Alguns livros da biblioteca estavam na tua casa?,5.62,1.4968,50,"[7, 7, 7, 7, 6, 6, 4, 7, 4, 3, 7, 7, 4, 7, 7, 3, 7, 7, 4, 6, 7, 1, 4, 5, 7, 5, 5, 4, 6, 7, 6, 5, 6, 5, 5, 7, 4, 7, 7, 6, 3, 5, 3, 7, 5, 6, 6, 7, 7, 6]",filler
As cores das flores alegravam as senhoras durante os seus passeios matinais?,6.2857,1.1127,7,"[7, 7, 6, 7, 7, 6, 4]",test
As famílias admiraram a beleza das flores durante o velório?,6.0,1.291,7,"[7, 4, 7, 5, 7, 5, 7]",test
As inovações tecnológicas das empresas de ponta sempre surpreendem as pessoas.,5.6275,1.4137,51,"[7, 7, 7, 5, 6, 3, 7, 2, 6, 5, 4, 6, 7, 7, 3, 5, 5, 2, 7, 7, 6, 6, 5, 5, 4, 7, 5, 6, 5, 6, 7, 6, 6, 5, 2, 6, 5, 6, 6, 7, 6, 5, 7, 5, 7, 4, 7, 6, 7, 7, 7]",filler
As senhoras apreciavam as cores das flores durante os seus passeios matinais?,6.0,0.8944,6,"[6, 7, 5, 5, 6, 7]",test
"De que andaimes a instabilidade angustiava os moradores, apesar das palavras tranquilizadoras do empreiteiro?",3.2222,1.3944,9,"[5, 4, 4, 3, 2, 2, 5, 1, 3]",test
"De que andaimes os moradores desaprovavam a instabilidade, apesar das palavras tranquilizadoras do empreiteiro?",4.2857,1.8898,7,"[4, 5, 7, 6, 2, 4, 2]",test
De que apartamento o jovem casal negociou o preço porque estava muito alto?,3.5714,2.3705,7,"[7, 1, 6, 4, 1, 2, 4]",test
"De que apartamento o preço afastou os jovens consumidores, uma vez que eles costumam ter poucos rendimentos?",3.5714,1.1339,7,"[4, 2, 3, 5, 3, 5, 3]",test
De que apartamento o preço espantou o jovem casal porque estava muito alto?,2.875,1.4577,8,"[1, 2, 3, 3, 3, 2, 3, 6]",test
"De que apartamento os jovens consumidores criticaram o preço, uma vez que eles costumam ter poucos rendimentos?",2.75,1.7525,8,"[1, 3, 1, 1, 3, 6, 3, 4]",test
De que atividades alguns aspetos ameaçavam a saúde dos funcionários?,2.5714,1.3973,7,"[1, 2, 4, 2, 1, 4, 4]",test
De que atividades os funcionários temiam certos aspetos no que respeita à sua saúde?,2.5714,1.1339,7,"[3, 2, 2, 2, 4, 4, 1]",test
"De que carne o cheiro incomodou o novo empregado de mesa, por ele ser vegetariano?",3.1667,2.4014,6,"[7, 5, 3, 2, 1, 1]",test
"De que carne o novo empregado de mesa detestava o cheiro, por ele ser vegetariano?",3.8333,2.1672,12,"[6, 6, 3, 2, 5, 1, 2, 6, 1, 2, 6, 6]",test
"De que consultório a limpeza tranquilizava os pacientes, assim que entravam?",2.7273,2.1019,11,"[3, 1, 2, 7, 1, 1, 2, 1, 4, 2, 6]",test
"De que consultório os pacientes notavam a limpeza, assim que entravam?",5.3333,1.3663,6,"[6, 7, 5, 3, 5, 6]",test
"De que descapotável a cor encantou o jogador de futebol, por causa do seu brilho?",2.9167,1.9287,12,"[3, 1, 1, 3, 2, 2, 6, 3, 1, 2, 4, 7]",test
De que descapotável o jogador de futebol adorou a cor por causa do seu brilho?,2.3333,1.0328,6,"[1, 3, 4, 2, 2, 2]",test
De que deserto a beleza maravilhou os teus filhos durante o passeio?,3.2222,1.7873,9,"[7, 1, 2, 3, 2, 4, 2, 4, 4]",test
De que deserto os teus filhos apreciaram a beleza durante o passeio?,4.6667,1.5811,9,"[7, 3, 6, 5, 2, 4, 4, 5, 6]",test
De que desfiladeiro a profundidade assustou o guia quando ele lançou uma pedra lá para baixo?,3.3333,1.5055,6,"[2, 3, 6, 4, 2, 3]",test
De que desfiladeiro o guia deplorou a profundidade quando ele lançou uma pedra lá para baixo?,3.9231,1.801,13,"[6, 3, 1, 5, 1, 3, 4, 3, 6, 6, 3, 6, 4]",test
"De que diamante a pureza fascinou o comprador, pois tinha um brilho intenso?",3.6667,1.2247,9,"[5, 3, 2, 6, 4, 3, 3, 3, 4]",test
"De que diamante o comprador logo reconheceu a pureza, pois tinha um brilho intenso?",4.0,2.582,7,"[7, 1, 2, 5, 1, 6, 6]",test
De que documentos a clareza tranquilizou os advogados durante o julgamento?,5.0,1.5119,8,"[4, 7, 5, 7, 4, 4, 6, 3]",test
De que documentos os advogados apreciaram a clareza durante o julgamento?,4.2857,2.1381,7,"[7, 2, 4, 5, 1, 5, 6]",test
De que evento a grandeza deslumbrou os jornalistas na noite passada?,2.3333,2.3094,3,"[1, 5, 1]",test
"De que evento os jornalistas elogiaram a grandeza, como era de se esperar?",4.6364,1.7477,11,"[5, 7, 2, 3, 6, 4, 6, 4, 2, 6, 6]",test
De que filme os alunos da nova professora de inglês gostaram mais?,6.0196,1.2081,51,"[7, 5, 7, 7, 6, 5, 6, 6, 7, 7, 7, 6, 4, 7, 4, 5, 6, 5, 7, 4, 7, 7, 7, 6, 6, 7, 7, 6, 5, 7, 3, 6, 7, 4, 6, 7, 7, 6, 6, 7, 7, 5, 4, 3, 7, 7, 7, 4, 7, 7, 7]",filler
De que flores a beleza confortou as famílias durante o velório?,3.4286,2.3705,7,"[7, 1, 1, 4, 6, 2, 3]",test
De que flores as cores alegravam as senhoras durante os seus passeios matinais?,3.0833,1.7816,12,"[3, 1, 1, 3, 3, 7, 3, 4, 2, 1, 4, 5]",test
De que flores as famílias admiraram a beleza durante o velório?,3.8333,1.7224,6,"[3, 1, 6, 4, 5, 4]",test
De que flores as senhoras apreciavam as cores durante os seus passeios matinais?,5.0,1.633,7,"[7, 6, 4, 2, 6, 5, 5]",test
De que gabinete o novo funcionário criticou o tamanho porque era demasiado pequeno?,3.8571,1.6762,7,"[1, 4, 5, 3, 3, 6, 5]",test
De que gabinete o tamanho decepcionou o novo funcionário porque era demasiado pequeno?,2.8889,1.5366,9,"[2, 3, 2, 3, 4, 1, 1, 5, 5]",test
De que história o encanto cativou a plateia durante o discurso daquele jovem político?,3.375,1.4079,8,"[2, 5, 5, 4, 3, 1, 3, 4]",test
De que história o público apreciou o encanto durante o discurso daquele jovem político?,4.2727,2.149,11,"[6, 1, 5, 1, 5, 5, 2, 6, 6, 3, 7]",test
De que inovação a originalidade entusiasmou os teus colegas esta semana?,2.9,1.5951,10,"[2, 1, 4, 1, 2, 2, 4, 6, 4, 3]",test
De que inovação os teus colegas admiraram a originalidade esta semana?,4.1667,1.7224,6,"[7, 2, 4, 3, 4, 5]",test
"De que janela a forma desagradava ao pedreiro, pois ela não era perfeitamente simétrica?",1.6,0.8944,5,"[2, 1, 1, 3, 1]",test
"De que janela o pedreiro desaprovou a forma, pois ela não era perfeitamente simétrica?",4.2667,1.6676,15,"[2, 5, 3, 3, 7, 7, 3, 5, 3, 5, 3, 6, 3, 6, 3]",test
De que mísseis o alcance alarmou os coreanos depois do fracasso das negociações de paz?,3.2308,1.7867,13,"[7, 1, 2, 2, 1, 2, 5, 2, 3, 4, 4, 4, 5]",test
De que mísseis os coreanos temiam o alcance depois do fracasso das negociações de paz?,4.1667,1.7224,6,"[5, 2, 2, 5, 5, 6]",test
De que pacote o carteiro subestimou o peso porque não parecia ser tão pesado?,4.75,1.3887,8,"[4, 6, 4, 4, 3, 6, 7, 4]",test
De que pacote o peso surpreendeu o carteiro porque não parecia ser tão pesado?,3.625,2.2638,8,"[7, 5, 1, 2, 3, 6, 4, 1]",test
De que pirâmides a altura impressionou os visitantes durante o passeio?,4.0,2.2991,15,"[7, 7, 7, 1, 3, 4, 1, 4, 1, 2, 2, 5, 5, 4, 7]",test
De que pirâmides os visitantes admiraram a altura durante o passeio?,4.5,1.7728,8,"[2, 3, 7, 5, 6, 3, 4, 6]",test
De que prédio a fragilidade inquietava os vizinhos por ele estar todo quebrado?,3.0,1.1547,7,"[3, 4, 4, 2, 4, 1, 3]",test
De que prédio os vizinhos constataram a fragilidade por ele estar todo quebrado?,4.3333,1.9365,9,"[7, 5, 2, 6, 2, 5, 2, 6, 4]",test
