unit,mean,std,n,individual_ratings,item_type
"Dopo aver osservato il lavoro degli assistenti di ricerca nel suo laboratorio, una psicologa decise di riassegnare i suoi studenti a nuove aree di lavoro. La psicologa assegnò a uno statistico un tirocinante.",3.0,,1,[3],test
"Dopo aver osservato il lavoro degli assistenti di ricerca nel suo laboratorio, una psicologa decise di riassegnare i suoi studenti a nuove aree di lavoro. La psicologa assegnò un tirocinante a uno statistico.",3.1667,1.169,6,"[5, 4, 3, 2, 2, 3]",test
Il cameriere stava pulendo i tavoli quando entrò uno studente e ordinò un’insalata. Il cameriere preparò l’insalata per lo studente.,4.0,1.4142,4,"[5, 5, 4, 2]",test
Il cameriere stava pulendo i tavoli quando entrò uno studente e ordinò un’insalata. Il cameriere preparò per lo studente l’insalata.,3.0,0.0,2,"[3, 3]",test
Il direttore di un ristorante in costruzione arrivò al lavoro il lunedì e trovò un falegname che stava sostituendo le finestre. Il direttore preparò per il falegname un panino.,3.3333,1.3663,6,"[4, 4, 3, 5, 1, 3]",test
Il direttore di un ristorante in costruzione arrivò al lavoro il lunedì e trovò un falegname che stava sostituendo le finestre. Il direttore preparò un panino per il falegname.,4.125,0.991,8,"[3, 3, 5, 5, 5, 4, 5, 3]",test
Il direttore di un ristorante in costruzione chiese a un falegname se preferiva un panino o un’insalata. Il direttore preparò il panino per il falegname.,4.5,0.8367,6,"[5, 5, 3, 5, 4, 5]",test
Il direttore di un ristorante in costruzione chiese a un falegname se preferiva un panino o un’insalata. Il direttore preparò per il falegname il panino.,2.6667,1.0328,6,"[3, 3, 2, 3, 1, 4]",test
Il direttore di un ristorante in costruzione di solito non cucinava se non in occasioni speciali. Il direttore preparò un panino per un falegname.,4.1667,0.7528,6,"[4, 4, 4, 5, 3, 5]",test
"Il direttore di un ristorante in costruzione di solito non cucinava, ma il sabato preparò un panino. Il direttore preparò il panino per un falegname.",4.7143,0.488,7,"[5, 5, 4, 4, 5, 5, 5]",test
Il direttore di un ristorante in costruzione non cucinava normalmente se non in occasioni speciali. Il direttore preparò per un falegname un panino.,2.8333,1.169,6,"[4, 3, 3, 4, 1, 2]",test
"Il direttore di un ristorante in costruzione non cucinava normalmente, ma il sabato preparò un panino. Il direttore preparò per un falegname il panino.",2.5,1.2247,6,"[3, 4, 3, 1, 1, 3]",test
La bibliotecaria trovò un romanzo in libreria che le ricordò una studentessa. La bibliotecaria diede alla studentessa il romanzo.,4.5,0.8367,6,"[5, 4, 5, 5, 5, 3]",test
La bibliotecaria trovò un romanzo in libreria che le ricordò una studentessa. La bibliotecaria diede il romanzo alla studentessa.,4.5,0.7071,2,"[4, 5]",test
L’avvocato aveva gettato via più fascicoli del solito in un cestino e aveva bisogno che un tirocinante lo svuotasse prima del giorno dopo. L’avvocato porse al tirocinante il cestino.,3.4545,1.3685,11,"[1, 4, 3, 2, 5, 4, 5, 2, 5, 4, 3]",test
L’avvocato aveva gettato via più fascicoli del solito in un cestino e aveva bisogno che un tirocinante lo svuotasse prima del giorno dopo. L’avvocato porse il cestino al tirocinante.,5.0,0.0,4,"[5, 5, 5, 5]",test
Un amministratore delegato assunse un nuovo analista e doveva trovargli un ufficio. L’amministratore delegato assegnò all’analista l’ufficio.,4.0,1.4142,4,"[2, 5, 5, 4]",test
Un amministratore delegato assunse un nuovo analista e doveva trovargli un ufficio. L’amministratore delegato assegnò l’ufficio all’analista.,4.0,1.0,3,"[5, 4, 3]",test
Un amministratore delegato licenziò di recente la sua segretaria e quindi l’ufficio della segretaria doveva essere riassegnato. L’amministratore delegato assegnò a un analista l’ufficio.,3.4545,0.8202,11,"[4, 4, 5, 3, 4, 3, 3, 3, 3, 4, 2]",test
Un amministratore delegato licenziò di recente la sua segretaria e quindi l’ufficio della segretaria doveva essere riassegnato. L’amministratore delegato assegnò l’ufficio a un analista.,3.7143,1.3801,7,"[4, 2, 3, 5, 2, 5, 5]",test
"Un amministratore delegato stava avendo qualche difficoltà a gestire la sua attività, così assunse un analista per fare raccomandazioni sui titoli. L’amministratore delegato assegnò all’analista un ufficio.",4.0,0.0,5,"[4, 4, 4, 4, 4]",test
"Un amministratore delegato stava avendo qualche difficoltà a gestire la sua attività, così assunse un analista per fare raccomandazioni sui titoli. L’amministratore delegato assegnò un ufficio all’analista.",4.875,0.3536,8,"[4, 5, 5, 5, 5, 5, 5, 5]",test
Un amministratore delegato stava prendendo decisioni sul collocamento dei suoi nuovi dipendenti. L’amministratore delegato assegnò a un analista un ufficio.,4.4,0.5477,5,"[5, 5, 4, 4, 4]",test
Un amministratore delegato stava prendendo decisioni sul collocamento dei suoi nuovi dipendenti. L’amministratore delegato assegnò un ufficio a un analista.,4.4444,0.7265,9,"[4, 4, 5, 5, 5, 3, 4, 5, 5]",test
Un assistente all’hotel Four Seasons chiese a uno storico arrivato per una conferenza se la suite all’ultimo piano sarebbe stata adatta. L’assistente prenotò la suite per lo storico.,4.0,1.5275,7,"[4, 5, 5, 5, 3, 5, 1]",test
Un assistente all’hotel Four Seasons chiese a uno storico arrivato per una conferenza se la suite all’ultimo piano sarebbe stata adatta. L’assistente prenotò per lo storico la suite.,4.0,0.0,3,"[4, 4, 4]",test
Un assistente all’hotel Four Seasons era responsabile di assegnare i professori alle diverse stanze dell’hotel. L’assistente prenotò per uno storico una suite.,2.5714,1.3973,7,"[1, 2, 4, 2, 1, 4, 4]",test
Un assistente all’hotel Four Seasons era responsabile di assegnare i professori alle diverse stanze dell’hotel. L’assistente prenotò una suite per uno storico.,4.4,0.8433,10,"[5, 5, 5, 5, 5, 4, 3, 5, 4, 3]",test
Un assistente all’hotel Four Seasons mi fece arrabbiare perché non poté darmi la suite all’ultimo piano quando arrivai a New York. L’assistente prenotò la suite per uno storico.,3.8,1.0954,5,"[3, 5, 5, 3, 3]",test
Un assistente all’hotel Four Seasons mi fece arrabbiare perché non poté darmi la suite all’ultimo piano quando arrivai a New York. L’assistente prenotò per uno storico la suite.,3.0,1.5,9,"[1, 3, 2, 4, 5, 5, 1, 3, 3]",test
"Un assistente stava aiutando a gestire una conferenza, e fu avvicinato da uno storico che non si era registrato prima della conferenza. L’assistente prenotò per lo storico una suite.",3.125,0.6409,8,"[3, 4, 3, 3, 3, 3, 2, 4]",test
"Un assistente stava aiutando a gestire una conferenza, e fu avvicinato da uno storico che non si era registrato prima della conferenza. L’assistente prenotò una suite per lo storico.",3.3333,1.5275,3,"[3, 2, 5]",test
Un avvocato aveva appena finito di preparare alcuni fascicoli per una causa importante e mise i suoi appunti stropicciati in un cestino accanto alla scrivania. L’avvocato porse a un tirocinante il cestino.,3.3333,0.8165,6,"[3, 2, 4, 3, 4, 4]",test
Un avvocato aveva appena finito di preparare alcuni fascicoli per una causa importante e mise i suoi appunti stropicciati in un cestino accanto alla scrivania. L’avvocato porse il cestino a un tirocinante.,3.25,1.0351,8,"[4, 3, 3, 2, 2, 3, 4, 5]",test
Un avvocato controllò la sua lista di cose da fare per l’ultimo compito prima di lasciare l’ufficio. L’avvocato porse a un tirocinante un cestino.,3.3333,1.3707,12,"[4, 5, 5, 2, 2, 4, 3, 3, 5, 2, 4, 1]",test
Un avvocato controllò la sua lista di cose da fare per l’ultimo compito prima di lasciare l’ufficio. L’avvocato porse un cestino a un tirocinante.,3.0,0.8165,4,"[2, 4, 3, 3]",test
Un avvocato stava preparando alcuni fascicoli per una causa importante e alla fine della giornata chiamò un tirocinante nel suo ufficio per sistemare. L’avvocato porse al tirocinante un cestino.,3.3333,1.3663,6,"[3, 5, 4, 1, 4, 3]",test
Un avvocato stava preparando alcuni fascicoli per una causa importante e alla fine della giornata chiamò un tirocinante nel suo ufficio per sistemare. L’avvocato porse un cestino al tirocinante.,5.0,,1,[5],test
