unit,mean,std,n,individual_ratings
I abandoned my chemistry home work that was due today at 10 am.,3.75,1.488,8,"[5, 2, 5, 2, 5, 4, 2, 5]"
I am wearing glasses.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I ate an oatmeal raisin granola bar.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I attended the intriguing lecture that the professor taught on inchworms.,4.375,0.744,8,"[5, 3, 5, 4, 5, 4, 5, 4]"
I attended the same local college that my dad attended in 1977.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I borrowed a pencil.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I bought a laptop.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I bought a new purple dress that was silk for the prom.,3.75,1.2817,8,"[5, 5, 5, 2, 4, 2, 3, 4]"
I bought the peanut butter that was on sale.,4.75,0.4629,8,"[5, 5, 5, 5, 4, 4, 5, 5]"
I broke apart the kids.,1.5,0.7071,2,"[1, 2]"
I broke apart the two young kids that were fighting.,5.0,0.0,2,"[5, 5]"
I broke down the box.,5.0,0.0,2,"[5, 5]"
I broke down the cardboard box we had used to move.,3.0,1.4142,2,"[2, 4]"
I broke the box down.,5.0,0.0,2,"[5, 5]"
I broke the cardboard box we had used to move down.,3.0,1.4142,2,"[2, 4]"
I broke the kids apart.,5.0,0.0,2,"[5, 5]"
I broke the two young kids that were fighting apart.,2.5,2.1213,2,"[4, 1]"
I brushed my hair.,5.0,0.0,8,"[5, 5, 5, 5, 5, 5, 5, 5]"
I can't tell apart the identical twins who live next door.,5.0,0.0,2,"[5, 5]"
I can't tell apart the twins.,2.0,1.4142,2,"[1, 3]"
I can't tell the identical twins who live next door apart.,3.5,0.7071,2,"[4, 3]"
I can't tell the twins apart.,5.0,0.0,2,"[5, 5]"
I caught a bad cold because I don't sleep enough.,3.875,1.3562,8,"[5, 1, 4, 3, 4, 4, 5, 5]"
I dance enthusiastically on the dance floor in the club.,4.0,0.7559,8,"[5, 3, 3, 5, 4, 4, 4, 4]"
I disliked the boring book that my friend recommended.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I gave away the brown-spotted puppy that was just born.,3.0,0.0,2,"[3, 3]"
I gave away the puppy.,5.0,0.0,2,"[5, 5]"
I gave cream cheese frosting that has trans fats up.,1.5,0.7071,2,"[1, 2]"
I gave frosting up.,4.5,0.7071,2,"[5, 4]"
I gave the brown-spotted puppy that was just born away.,3.5,2.1213,2,"[2, 5]"
I gave the puppy away.,5.0,0.0,2,"[5, 5]"
I gave up cream cheese frosting that has trans fats.,4.0,1.4142,2,"[3, 5]"
I gave up frosting.,4.0,1.4142,2,"[3, 5]"
I got a rare flu strain from my next-door neighbor.,4.75,0.4629,8,"[5, 4, 5, 4, 5, 5, 5, 5]"
I got bright pink highlights.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I got my nails done.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I kicked away the ball.,2.5,0.7071,2,"[2, 3]"
I kicked away the blue-striped ball that you brought.,2.5,0.7071,2,"[2, 3]"
I kicked out the audience member.,4.5,0.7071,2,"[4, 5]"
I kicked out the obnoxious audience member who was heckling.,4.5,0.7071,2,"[5, 4]"
I kicked the audience member out.,3.0,0.0,2,"[3, 3]"
I kicked the ball away.,5.0,0.0,2,"[5, 5]"
I kicked the blue-striped ball that you brought away.,3.0,1.4142,2,"[2, 4]"
I kicked the obnoxious audience member who was heckling out.,4.5,0.7071,2,"[5, 4]"
I learned how to play electric guitar.,4.75,0.4629,8,"[5, 5, 5, 4, 5, 4, 5, 5]"
I left alone the angry-looking dog who was growling.,3.5,2.1213,2,"[2, 5]"
I left alone the dog.,2.0,0.0,2,"[2, 2]"
I left out the sentence.,5.0,0.0,2,"[5, 5]"
I left out the unnecessary sentence that you wrote.,4.0,1.4142,2,"[3, 5]"
I left the angry-looking dog who was growling alone.,4.5,0.7071,2,"[5, 4]"
I left the dog alone.,3.5,0.7071,2,"[4, 3]"
I left the sentence out.,4.0,1.4142,2,"[5, 3]"
I left the unnecessary sentence that you wrote out.,2.0,1.4142,2,"[1, 3]"
I like hotdogs.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I live in a small brick house by the lake.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I made eggs.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I need to hire a skilled mechanic.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I packed the heavy black suitcase that I bought for my trip.,4.625,0.744,8,"[5, 3, 5, 5, 5, 4, 5, 5]"
I played a difficult tennis match that I ended up winning against our schoolâs rival.,3.375,1.4079,8,"[4, 4, 5, 3, 1, 2, 3, 5]"
I played in an aggressive football game.,4.625,0.744,8,"[5, 3, 5, 5, 4, 5, 5, 5]"
I pushed aside the food.,5.0,0.0,2,"[5, 5]"
I pushed aside the undercooked food that I had ordered.,3.5,0.7071,2,"[3, 4]"
I pushed down the lever.,4.0,1.4142,2,"[5, 3]"
I pushed down the rusty metal lever that turned off the water.,5.0,0.0,2,"[5, 5]"
I pushed the food aside.,5.0,0.0,2,"[5, 5]"
I pushed the lever down.,5.0,0.0,2,"[5, 5]"
I pushed the rusty metal lever that turned off the water down.,1.5,0.7071,2,"[2, 1]"
I pushed the undercooked food that I had ordered aside.,2.5,0.7071,2,"[2, 3]"
I put aside the engineering work that I was assigned.,5.0,0.0,2,"[5, 5]"
I put aside the work.,2.0,1.4142,2,"[1, 3]"
I put away the new red sweater that I just bought.,4.0,0.0,2,"[4, 4]"
I put away the sweater.,5.0,0.0,2,"[5, 5]"
I put down the book.,5.0,0.0,2,"[5, 5]"
I put down the new mystery book that I bought.,4.5,0.7071,2,"[5, 4]"
I put my difficult math homework that was due tomorrow off.,2.0,1.4142,2,"[1, 3]"
I put my homework off.,5.0,0.0,2,"[5, 5]"
I put off my difficult math homework that was due tomorrow.,4.5,0.7071,2,"[4, 5]"
I put off my homework.,5.0,0.0,2,"[5, 5]"
I put the book down.,5.0,0.0,2,"[5, 5]"
I put the engineering work that I was assigned aside.,4.0,1.4142,2,"[5, 3]"
I put the new mystery book that I bought down.,3.0,1.4142,2,"[2, 4]"
I put the new red sweater that I just bought away.,3.0,1.4142,2,"[2, 4]"
I put the sweater away.,5.0,0.0,2,"[5, 5]"
I put the work aside.,5.0,0.0,2,"[5, 5]"
I received a brand new iPod.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I repainted my room blue yesterday.,4.625,0.5175,8,"[4, 5, 5, 4, 5, 4, 5, 5]"
I rode a small coach bus to my tennis match.,4.625,0.5175,8,"[5, 4, 5, 4, 5, 4, 5, 5]"
I saw an interesting movie that was rated five stars by the leading critic.,4.75,0.4629,8,"[5, 5, 5, 5, 5, 4, 5, 4]"
I sent away the brown dog that was barking.,4.5,0.7071,2,"[5, 4]"
I sent away the dog.,4.5,0.7071,2,"[4, 5]"
I sent in the disobedient student that had been fighting.,3.5,2.1213,2,"[2, 5]"
I sent in the student.,5.0,0.0,2,"[5, 5]"
I sent the brown dog that was barking away.,4.5,0.7071,2,"[5, 4]"
I sent the disobedient student that had been fighting in.,2.5,0.7071,2,"[2, 3]"
I sent the dog away.,3.0,1.4142,2,"[2, 4]"
I sent the student in.,5.0,0.0,2,"[5, 5]"
I slept extremely deeply.,3.625,1.685,8,"[5, 1, 5, 4, 4, 1, 5, 4]"
I split apart the delicious candy pieces that you gave me.,4.5,0.7071,2,"[4, 5]"
I split apart the pieces.,5.0,0.0,2,"[5, 5]"
I split the couple up.,5.0,0.0,2,"[5, 5]"
I split the delicious candy pieces that you gave me apart.,2.5,0.7071,2,"[2, 3]"
I split the obnoxiously loud couple that was always fighting up.,1.5,0.7071,2,"[2, 1]"
I split the pieces apart.,4.5,0.7071,2,"[5, 4]"
I split up the couple.,2.5,0.7071,2,"[2, 3]"
I split up the obnoxiously loud couple that was always fighting.,4.5,0.7071,2,"[5, 4]"
I studied all night for my test tomorrow.,4.5,0.5345,8,"[5, 4, 5, 5, 4, 4, 5, 4]"
I threw away the old transistor radio that your mom gave you.,5.0,0.0,2,"[5, 5]"
I threw away the radio.,5.0,0.0,2,"[5, 5]"
I threw out the documents.,5.0,0.0,2,"[5, 5]"
I threw out the very important documents that I brought home.,4.5,0.7071,2,"[4, 5]"
I threw the documents out.,4.0,0.0,2,"[4, 4]"
I threw the old transistor radio that your mom gave you away.,3.0,1.4142,2,"[2, 4]"
I threw the radio away.,4.0,1.4142,2,"[5, 3]"
I threw the very important documents that I brought home out.,4.5,0.7071,2,"[5, 4]"
I told off the girl.,4.5,0.7071,2,"[5, 4]"
I told off the young girl who broke the lamp.,1.5,0.7071,2,"[1, 2]"
I told the girl off.,3.0,2.8284,2,"[1, 5]"
I told the young girl who broke the lamp off.,2.0,1.4142,2,"[1, 3]"
I vacuumed the carpet.,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I waited for you outside for two hours.,4.75,0.4629,8,"[5, 5, 5, 5, 4, 4, 5, 5]"
"I walked down the dark, silent street that turns three times before my house.",3.25,1.2817,8,"[5, 2, 4, 1, 4, 4, 3, 3]"
I watched a three-hour movie.,4.75,0.4629,8,"[5, 5, 5, 4, 5, 4, 5, 5]"
I watched the angry-looking dog that was barking at my car.,4.375,0.744,8,"[5, 4, 3, 5, 4, 4, 5, 5]"
I watched the dramatic season finale.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I watched tv.,5.0,0.0,8,"[5, 5, 5, 5, 5, 5, 5, 5]"
I went on a five-mile hike.,4.875,0.3536,8,"[5, 5, 5, 5, 5, 4, 5, 5]"
I wore a long red dress that my mom bought me.,4.625,0.5175,8,"[5, 4, 5, 4, 5, 4, 5, 5]"
I wore flipflops .,4.75,0.7071,8,"[5, 5, 5, 5, 5, 3, 5, 5]"
I worked away the long night that I couldn't sleep.,3.5,0.7071,2,"[4, 3]"
I worked away the night.,3.5,0.7071,2,"[3, 4]"
I worked off the delicious onion rings that I bought.,3.5,0.7071,2,"[3, 4]"
I worked off the onions rings.,3.5,0.7071,2,"[4, 3]"
I worked the delicious onion rings that I bought off.,1.5,0.7071,2,"[2, 1]"
