unit,mean,std,n,individual_ratings
"Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.",2.1833,1.0407,60,"[2, 1, 4, 3, 1, 1, 4, 3, 2, 2, 2, 2, 2, 3, 4, 2, 4, 4, 2, 1, 2, 4, 3, 2, 1, 4, 1, 3, 2, 2, 1, 1, 2, 2, 2, 1, 5, 1, 1, 2, 3, 2, 2, 1, 4, 2, 2, 2, 3, 2, 3, 1, 2, 1, 1, 2, 3, 1, 1, 2]"
Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.,4.4,1.0832,60,"[4, 5, 1, 5, 3, 2, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 3, 4, 5, 5, 4, 5, 5, 5, 2, 5, 4, 1, 5, 5, 4, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 1, 5]"
His mother left the child who the bicyclist who collided with the driver had seen.,1.8333,1.2134,6,"[3, 1, 4, 1, 1, 1]"
His mother left the child who the bicyclist who the driver collided with had seen.,1.5,0.5,6,"[1, 1, 2, 2, 2, 1]"
His mother left the child who the driver who collided with the bicyclist had seen.,1.6667,0.7454,6,"[2, 1, 1, 1, 2, 3]"
His mother left the child who the driver who the bicyclist collided with had seen.,1.3333,0.4714,6,"[1, 1, 2, 2, 1, 1]"
"In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.",4.6949,0.8686,59,"[4, 5, 2, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 1, 5]"
John thought that Jack said that the reporter that the dog that the flea bit chased presented an interesting news story.,1.3559,0.545,59,"[2, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.,4.0678,1.1478,59,"[2, 3, 4, 5, 5, 2, 4, 5, 5, 3, 4, 5, 3, 4, 5, 2, 5, 1, 3, 3, 2, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 4, 2, 2, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 3, 2, 4, 4]"
"Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.",4.5763,0.9425,59,"[4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5]"
"Since that when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.",2.2281,1.0925,57,"[2, 1, 1, 4, 3, 1, 4, 2, 1, 1, 5, 2, 2, 2, 1, 4, 3, 2, 1, 3, 4, 3, 3, 2, 3, 2, 2, 3, 1, 1, 2, 2, 2, 2, 4, 2, 1, 2, 2, 2, 1, 1, 4, 1, 4, 4, 1, 3, 4, 2, 3, 1, 2, 2, 1, 1, 2]"
The FAA recognized the pilot who the flight attendant who the passenger was arguing with had called.,1.1667,0.3727,6,"[1, 1, 2, 1, 1, 1]"
The FAA recognized the pilot who the flight attendant who was arguing with the passenger had called.,2.5,0.7638,6,"[2, 3, 3, 1, 3, 3]"
The FAA recognized the pilot who the passenger who the flight attendant was arguing with had called.,1.8333,0.6872,6,"[1, 3, 2, 2, 2, 1]"
The FAA recognized the pilot who the passenger who was arguing with the flight attendant had called.,1.6667,0.7454,6,"[1, 2, 3, 1, 2, 1]"
The IRS sent the auditor who the customer who did business with the salesman called.,1.8333,1.0672,6,"[4, 1, 2, 1, 2, 1]"
The IRS sent the auditor who the customer who the salesman did business with called.,1.3333,0.4714,6,"[1, 1, 1, 1, 2, 2]"
The IRS sent the auditor who the salesman who did business with the customer called.,2.5,1.118,6,"[2, 1, 2, 4, 4, 2]"
The IRS sent the auditor who the salesman who the customer did business with called.,1.6667,0.7454,6,"[3, 1, 1, 2, 2, 1]"
The activist agreed with the politician who debated the economist who was taught by the professor.,2.0,0.5774,6,"[2, 3, 2, 2, 2, 1]"
The activist petitioned the sponsor about the bill who was speaking out against immigration.,2.2586,0.882,58,"[2, 2, 2, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 5, 2, 4, 4, 3, 1, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 4, 2, 2, 4, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 2, 2, 1, 2]"
The actor who the musician who the producer worked with admired was promoted by the agent.,1.4,0.4899,5,"[2, 1, 1, 1, 2]"
The actor who the musician who worked with the producer admired was promoted by the agent.,1.6667,0.7454,6,"[1, 2, 3, 1, 2, 1]"
