unit,mean,std,n,individual_ratings
A few boys who petted a dog hugged him yesterday at the dog pound.,2.8188,1.2067,596,"[2, 2, 2, 2, 2, 3, 2, 1, 1, 3, 3, 3, 2, 3, 1, 3, 4, 4, 3, 1, 1, 5, 2, 1, 4, 3, 3, 1, 4, 4, 2, 3, 1, 2, 2, 1, 2, 4, 1, 1, 2, 2, 2, 4, 2, 3, 3, 5, 1, 2, 4, 2, 2, 5, 2, 3, 1, 5, 2, 2, 2, 4, 2, 3, 5, 2, 1, 2, 4, 1, 4, 2, 3, 1, 3, 2, 2, 2, 1, 1, 1, 2, 4, 3, 2, 4, 2, 2, 2, 2, 4, 4, 1, 5, 2, 3, 2, 4, 3, 3, 1, 4, 1, 3, 5, 4, 4, 3, 4, 1, 2, 4, 2, 5, 2, 4, 2, 3, 3, 2, 2, 3, 2, 4, 5, 3, 1, 5, 3, 3, 2, 5, 2, 3, 4, 2, 3, 1, 3, 4, 5, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 4, 1, 2, 1, 4, 3, 1, 5, 2, 1, 4, 3, 4, 4, 4, 3, 1, 3, 1, 1, 5, 3, 1, 4, 2, 3, 1, 3, 4, 2, 5, 2, 1, 1, 2, 2, 3, 4, 4, 1, 3, 2, 3, 1, 1, 4, 3, 4, 2, 5, 2, 4, 3, 1, 4, 4, 4, 2, 2, 2, 4, 3, 5, 1, 2, 5, 3, 4, 1, 2, 4, 4, 5, 3, 3, 3, 1, 3, 2, 5, 4, 3, 1, 1, 4, 4, 3, 3, 2, 4, 3, 5, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 4, 3, 5, 2, 2, 4, 5, 2, 4, 4, 1, 3, 2, 3, 5, 1, 4, 4, 4, 3, 5, 1, 3, 4, 1, 2, 3, 3, 4, 4, 2, 4, 1, 3, 2, 3, 2, 2, 5, 1, 2, 4, 2, 3, 2, 2, 4, 2, 3, 4, 5, 3, 2, 4, 1, 5, 4, 1, 1, 2, 2, 4, 3, 2, 5, 2, 1, 4, 2, 1, 3, 5, 2, 4, 2, 4, 2, 2, 2, 1, 3, 4, 4, 2, 3, 2, 5, 4, 2, 3, 3, 3, 3, 4, 4, 4, 2, 4, 5, 5, 5, 4, 4, 5, 4, 1, 5, 2, 3, 4, 3, 3, 2, 5, 3, 4, 4, 4, 4, 2, 3, 5, 3, 3, 2, 2, 4, 4, 2, 2, 3, 4, 4, 3, 3, 2, 1, 1, 3, 3, 2, 4, 4, 2, 4, 4, 3, 5, 2, 5, 2, 5, 5, 4, 1, 2, 1, 2, 3, 4, 3, 4, 2, 4, 4, 3, 3, 4, 2, 1, 2, 4, 2, 2, 1, 3, 3, 2, 2, 2, 2, 4, 1, 4, 5, 4, 4, 4, 4, 2, 4, 3, 3, 4, 4, 2, 5, 4, 2, 5, 2, 4, 2, 3, 4, 2, 2, 1, 2, 3, 1, 2, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 2, 2, 3, 5, 1, 2, 1, 2, 2, 3, 2, 3, 2, 1, 2, 2, 2, 2, 3, 3, 2, 4, 3, 2, 4, 3, 2, 3, 2, 1, 2, 1, 3, 4, 2, 3, 5, 1, 3, 3, 2, 4, 2, 2, 4, 3, 2, 1, 4, 2, 3, 1, 2, 3, 4, 3, 3, 4, 2, 2, 2, 4, 2, 1, 3, 5, 5, 2, 4, 2, 3, 5, 2, 2, 3, 2, 2, 1, 2, 3, 4, 1, 4, 3, 2, 2, 1, 1, 2, 2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 1, 2, 4, 3, 5, 4, 2, 1, 2, 5, 4, 4, 2, 2, 4, 3, 2, 5, 4, 3, 4]"
A few girls who were kissed by a boy at the party brought him to the next movie night.,3.3008,1.1049,595,"[4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 5, 4, 5, 4, 3, 4, 3, 3, 4, 5, 2, 3, 4, 3, 2, 2, 2, 3, 5, 3, 5, 3, 2, 4, 4, 4, 3, 5, 4, 3, 2, 3, 4, 5, 3, 3, 5, 3, 2, 3, 4, 2, 5, 2, 4, 2, 3, 2, 3, 5, 4, 4, 3, 3, 4, 3, 4, 2, 5, 2, 4, 4, 4, 3, 4, 5, 3, 5, 5, 3, 2, 4, 3, 3, 5, 2, 2, 3, 5, 2, 4, 2, 4, 2, 4, 4, 2, 4, 1, 2, 3, 2, 3, 5, 3, 3, 3, 4, 3, 3, 4, 3, 5, 3, 4, 3, 2, 5, 5, 5, 5, 1, 5, 5, 5, 3, 3, 4, 1, 4, 2, 2, 4, 2, 3, 4, 3, 5, 5, 4, 4, 4, 3, 3, 3, 2, 2, 2, 3, 4, 4, 3, 2, 4, 3, 2, 2, 2, 4, 3, 4, 3, 4, 4, 3, 2, 2, 4, 3, 5, 4, 4, 2, 4, 2, 2, 3, 4, 3, 5, 3, 2, 2, 1, 3, 1, 3, 4, 2, 2, 4, 3, 5, 4, 2, 3, 2, 5, 4, 2, 4, 4, 4, 5, 5, 3, 5, 5, 2, 4, 4, 2, 5, 3, 4, 5, 3, 2, 2, 2, 2, 4, 4, 4, 4, 3, 1, 3, 2, 4, 2, 1, 4, 4, 3, 2, 2, 2, 1, 5, 4, 5, 2, 4, 2, 3, 4, 2, 4, 1, 3, 4, 5, 3, 4, 5, 3, 2, 3, 2, 1, 5, 1, 4, 4, 3, 1, 2, 3, 4, 4, 2, 4, 3, 2, 4, 1, 3, 4, 4, 2, 4, 5, 4, 2, 1, 3, 3, 5, 2, 4, 1, 4, 4, 2, 3, 4, 2, 4, 4, 1, 4, 4, 4, 2, 3, 1, 4, 3, 2, 1, 4, 4, 3, 4, 4, 4, 2, 2, 4, 3, 2, 4, 3, 4, 5, 2, 3, 3, 4, 3, 5, 2, 4, 2, 1, 4, 2, 3, 4, 2, 2, 3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 5, 4, 4, 5, 4, 4, 5, 4, 3, 3, 3, 2, 4, 4, 3, 4, 4, 2, 4, 4, 4, 5, 5, 2, 5, 4, 4, 3, 5, 4, 3, 5, 2, 3, 3, 2, 3, 1, 3, 2, 2, 4, 1, 3, 4, 3, 5, 4, 2, 5, 4, 4, 4, 3, 3, 3, 4, 2, 3, 4, 2, 4, 5, 4, 4, 3, 3, 4, 3, 1, 2, 4, 4, 3, 3, 2, 5, 4, 4, 2, 3, 2, 3, 2, 4, 4, 4, 4, 1, 4, 4, 5, 3, 3, 4, 5, 4, 3, 4, 2, 4, 4, 2, 3, 4, 4, 2, 4, 3, 5, 2, 2, 4, 3, 3, 3, 3, 4, 5, 5, 4, 4, 4, 4, 2, 4, 1, 5, 3, 4, 5, 3, 4, 3, 2, 2, 4, 3, 4, 2, 2, 3, 4, 3, 4, 2, 4, 1, 4, 2, 2, 4, 3, 3, 4, 3, 4, 2, 4, 3, 3, 4, 2, 4, 4, 4, 4, 2, 2, 1, 1, 1, 1, 2, 3, 5, 3, 4, 3, 5, 2, 4, 4, 2, 4, 3, 5, 4, 3, 4, 5, 4, 4, 4, 4, 1, 4, 3, 3, 3, 5, 5, 4, 4, 2, 5, 3, 1, 5, 4, 5, 2, 1, 3, 3, 4, 2, 4, 4, 2, 3, 4, 4, 4, 5, 4, 5, 4, 3, 4, 4, 2, 4, 3, 4, 4, 5, 5, 4, 5, 4]"
A few lawyers discussed the case with their boss and made him finalize it the day after.,3.5409,1.0685,599,"[3, 4, 4, 5, 5, 2, 4, 3, 3, 3, 2, 4, 2, 3, 5, 4, 4, 3, 4, 3, 2, 3, 2, 3, 4, 2, 3, 2, 5, 3, 3, 2, 4, 2, 2, 4, 3, 4, 4, 4, 3, 3, 3, 2, 4, 3, 2, 4, 5, 5, 4, 4, 4, 3, 5, 4, 4, 3, 5, 2, 4, 4, 3, 4, 2, 2, 5, 3, 2, 4, 4, 3, 3, 4, 2, 1, 2, 1, 2, 4, 4, 3, 1, 2, 3, 2, 4, 4, 3, 3, 4, 2, 4, 4, 5, 2, 3, 2, 4, 4, 2, 2, 2, 4, 3, 5, 3, 5, 3, 3, 3, 4, 3, 4, 5, 3, 4, 2, 2, 5, 2, 3, 5, 3, 2, 5, 4, 3, 4, 3, 4, 3, 5, 2, 4, 4, 4, 4, 2, 3, 4, 5, 3, 3, 2, 3, 4, 3, 2, 4, 2, 2, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 5, 4, 4, 3, 3, 4, 3, 3, 3, 5, 1, 4, 3, 2, 2, 4, 2, 4, 5, 2, 2, 3, 4, 4, 2, 2, 4, 4, 5, 3, 3, 2, 5, 2, 5, 5, 4, 3, 4, 3, 2, 5, 4, 5, 2, 5, 5, 4, 2, 5, 4, 5, 3, 4, 4, 4, 4, 1, 2, 5, 2, 2, 3, 5, 4, 2, 2, 5, 4, 4, 5, 5, 5, 2, 3, 2, 4, 5, 3, 4, 2, 3, 4, 5, 4, 5, 1, 4, 5, 4, 3, 2, 3, 1, 5, 4, 5, 4, 5, 5, 5, 2, 4, 3, 4, 4, 4, 3, 5, 5, 3, 4, 4, 4, 2, 4, 4, 3, 4, 5, 3, 4, 5, 4, 3, 3, 4, 2, 4, 3, 3, 3, 5, 4, 2, 4, 4, 4, 3, 2, 3, 5, 5, 4, 2, 3, 4, 5, 5, 4, 4, 2, 3, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 2, 3, 4, 3, 4, 4, 4, 5, 3, 3, 3, 2, 2, 3, 2, 3, 2, 5, 3, 2, 5, 5, 5, 5, 4, 1, 5, 4, 3, 4, 3, 3, 4, 5, 4, 5, 5, 4, 5, 2, 4, 5, 4, 4, 4, 5, 4, 3, 5, 5, 4, 5, 3, 2, 2, 4, 5, 4, 5, 2, 2, 5, 4, 3, 4, 4, 5, 5, 2, 5, 1, 5, 4, 4, 4, 4, 2, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 1, 5, 4, 3, 2, 4, 5, 5, 2, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 2, 3, 4, 4, 4, 3, 4, 5, 4, 4, 5, 1, 5, 3, 5, 3, 3, 4, 5, 2, 5, 4, 5, 2, 2, 4, 4, 4, 4, 3, 4, 5, 3, 5, 4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 3, 3, 4, 4, 5, 2, 3, 3, 2, 3, 3, 4, 3, 3, 2, 3, 4, 2, 2, 3, 3, 4, 1, 4, 4, 3, 4, 3, 2, 3, 3, 4, 2, 2, 4, 5, 4, 3, 2, 3, 3, 3, 4, 3, 5, 4, 5, 2, 3, 5, 2, 4, 5, 5, 4, 3, 4, 4, 3, 3, 4, 3, 3, 2, 2, 4, 4, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 4, 5, 4, 4, 4, 5, 2, 4, 4, 5, 3, 3, 4, 5, 2, 5, 4, 4, 4, 2, 4, 2, 3, 5, 5, 2, 4, 4, 4, 5, 4, 5, 4, 5, 5]"
A few students met with the teacher at a coffeehouse and introduced him to the new dean of the university.,3.9282,1.0663,599,"[4, 3, 4, 2, 5, 4, 4, 5, 1, 3, 3, 4, 3, 4, 5, 5, 4, 4, 3, 3, 5, 4, 5, 5, 5, 3, 4, 3, 5, 5, 4, 3, 5, 3, 2, 4, 2, 3, 5, 4, 4, 2, 5, 4, 5, 4, 2, 2, 5, 2, 2, 3, 3, 4, 5, 3, 5, 2, 5, 4, 5, 2, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 3, 3, 4, 4, 5, 4, 4, 4, 3, 4, 4, 5, 5, 3, 3, 4, 4, 4, 2, 4, 3, 4, 2, 4, 2, 4, 3, 4, 5, 2, 4, 5, 5, 5, 3, 4, 4, 4, 5, 4, 2, 4, 1, 3, 1, 5, 4, 5, 4, 5, 5, 2, 5, 4, 1, 5, 4, 5, 2, 4, 4, 5, 4, 2, 4, 5, 5, 4, 4, 2, 2, 4, 5, 4, 3, 2, 3, 4, 5, 3, 4, 2, 3, 3, 5, 5, 4, 5, 2, 5, 5, 4, 4, 1, 2, 5, 5, 1, 2, 3, 4, 3, 2, 3, 4, 4, 3, 4, 5, 2, 2, 4, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 2, 4, 3, 4, 2, 5, 2, 5, 4, 5, 3, 5, 4, 4, 4, 5, 5, 4, 5, 2, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 3, 5, 4, 5, 4, 3, 3, 5, 4, 4, 3, 5, 5, 4, 5, 5, 3, 3, 5, 5, 2, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 1, 4, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 2, 4, 4, 5, 2, 4, 4, 4, 3, 5, 4, 5, 5, 4, 5, 4, 3, 2, 1, 4, 5, 5, 5, 4, 2, 4, 5, 5, 4, 4, 2, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 3, 5, 4, 4, 4, 5, 5, 2, 4, 4, 4, 4, 2, 3, 3, 5, 5, 3, 3, 5, 5, 3, 5, 4, 5, 5, 5, 3, 4, 3, 3, 5, 4, 3, 3, 5, 4, 4, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5, 1, 4, 4, 4, 3, 5, 2, 3, 4, 4, 5, 2, 5, 4, 3, 5, 3, 4, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 2, 3, 4, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 2, 5, 4, 5, 5, 4, 4, 4, 5, 3, 5, 4, 3, 4, 5, 1, 1, 4, 4, 5, 4, 5, 5, 4, 5, 4, 5, 2, 4, 5, 4, 3, 5, 2, 2, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4, 4, 5, 4, 5, 5, 4, 3, 4, 4, 4, 4, 3, 3, 5, 5, 4, 5, 5, 4, 5, 3, 2, 3, 3, 5, 4, 5, 3, 3, 4, 5, 1, 4, 3, 1, 2, 4, 3, 4, 4, 4, 3, 5, 2, 3, 3, 5, 3, 4, 4, 5, 4, 2, 4, 4, 2, 5, 4, 4, 5, 3, 4, 3, 4, 2, 5, 3, 5, 4, 5, 1, 4, 3, 5, 2, 2, 5, 5, 3, 3, 2, 3, 5, 2, 3, 5, 5, 2, 4, 4, 3, 4, 5, 5, 3, 5, 5, 3, 5, 5, 4, 4, 4, 5, 4, 3, 5, 5, 2, 4, 5, 3, 3, 3, 5, 4, 3, 4, 5, 4, 5, 5, 5, 4, 5, 5]"
A friend of mine lent me his bicycle and borrowed my ball at the playground.,3.9966,0.9916,597,"[5, 2, 4, 4, 5, 4, 3, 2, 3, 4, 4, 2, 5, 3, 5, 5, 3, 5, 3, 3, 3, 5, 4, 4, 5, 2, 3, 4, 4, 3, 4, 4, 2, 2, 2, 4, 5, 3, 2, 5, 4, 5, 5, 4, 5, 4, 3, 5, 5, 3, 2, 5, 3, 5, 5, 5, 3, 2, 5, 5, 2, 4, 5, 4, 4, 4, 4, 2, 2, 5, 5, 3, 5, 5, 4, 4, 4, 2, 5, 2, 5, 2, 4, 4, 4, 4, 2, 5, 1, 4, 2, 4, 5, 5, 5, 5, 3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 5, 5, 4, 4, 3, 4, 4, 4, 2, 4, 2, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 3, 4, 4, 5, 2, 2, 4, 3, 5, 3, 5, 4, 4, 4, 3, 2, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 4, 4, 2, 2, 5, 4, 5, 4, 3, 1, 4, 5, 5, 5, 4, 5, 5, 5, 3, 5, 4, 5, 1, 4, 4, 3, 3, 5, 3, 4, 5, 5, 2, 3, 4, 5, 3, 2, 3, 5, 4, 4, 4, 5, 5, 3, 5, 4, 4, 4, 2, 4, 4, 5, 4, 5, 3, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 2, 4, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 3, 3, 4, 4, 5, 5, 4, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 2, 3, 5, 4, 4, 3, 4, 4, 5, 5, 2, 4, 4, 5, 4, 5, 5, 5, 5, 2, 5, 2, 4, 4, 1, 3, 5, 4, 3, 4, 4, 4, 5, 3, 2, 5, 3, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 4, 4, 3, 4, 2, 3, 5, 5, 4, 5, 4, 1, 5, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 4, 3, 5, 2, 5, 5, 5, 5, 5, 4, 3, 4, 3, 5, 5, 4, 5, 5, 3, 3, 4, 4, 4, 2, 4, 5, 4, 5, 3, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 4, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 3, 5, 4, 3, 5, 4, 5, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4, 4, 5, 2, 3, 4, 4, 4, 4, 5, 5, 4, 4, 4, 3, 5, 3, 3, 5, 4, 5, 4, 5, 4, 3, 2, 3, 4, 3, 2, 5, 5, 4, 2, 4, 3, 4, 3, 3, 1, 5, 3, 2, 5, 4, 1, 5, 4, 2, 4, 4, 3, 4, 4, 5, 4, 5, 3, 3, 3, 3, 5, 3, 4, 4, 2, 5, 3, 3, 3, 5, 2, 3, 5, 4, 4, 4, 5, 2, 4, 3, 5, 2, 3, 5, 3, 4, 4, 4, 5, 3, 4, 3, 5, 5, 5, 3, 3, 5, 5, 3, 4, 4, 4, 5, 5, 5, 4, 2, 5, 4, 4, 3, 4, 4, 4, 4, 5, 3, 4, 4, 3, 4, 5, 5, 2, 3, 5, 4, 5, 4, 4, 4, 5, 5, 5, 4, 4, 5]"
A girl left the soccer field and came inside when it started to rain.,4.5394,0.7883,597,"[5, 4, 5, 5, 5, 4, 4, 5, 3, 4, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 3, 2, 5, 3, 4, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 5, 3, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 2, 4, 5, 4, 5, 5, 5, 5, 5, 3, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 5, 4, 3, 4, 5, 3, 3, 4, 5, 5, 5, 2, 3, 4, 4, 5, 5, 4, 3, 5, 5, 5, 4, 5, 5, 3, 4, 5, 3, 4, 5, 4, 5, 5, 5, 4, 2, 5, 3, 5, 5, 5, 3, 5, 5, 3, 3, 5, 4, 5, 5, 5, 5, 5, 4, 4, 3, 5, 4, 5, 5, 5, 4, 5, 5, 4, 2, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 3, 4, 3, 5, 4, 5, 2, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 4, 4, 5, 4, 4, 4, 5, 5, 5, 5, 3, 5, 3, 1, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 2, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 3, 5, 3, 4, 4, 3, 5, 5, 3, 5, 4, 5, 4, 5, 3, 5, 4, 5, 5, 4, 3, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 4, 3, 5, 5, 4, 5, 5, 5, 5, 4, 3, 5, 4, 4, 3, 3, 5, 5, 4, 4, 3, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 3, 5, 2, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 2, 5]"
Every USB-stick-owner used to keep it in the office.,3.2368,1.3443,38,"[4, 5, 5, 5, 3, 2, 1, 5, 4, 1, 3, 3, 3, 4, 2, 4, 3, 4, 2, 2, 3, 3, 4, 4, 2, 5, 5, 1, 4, 1, 5, 2, 4, 1, 3, 2, 4, 5]"
Every babygirl was kissed by her mother on the cheek and cuddled her afterwards.,3.0520,1.2552,596,"[1, 2, 2, 2, 2, 4, 1, 3, 3, 3, 2, 3, 2, 4, 1, 3, 4, 4, 3, 2, 2, 5, 2, 4, 2, 2, 3, 1, 1, 4, 3, 4, 4, 2, 2, 5, 2, 4, 1, 4, 3, 1, 2, 3, 2, 4, 5, 5, 3, 2, 2, 4, 3, 5, 2, 1, 1, 4, 2, 2, 5, 3, 4, 2, 2, 4, 5, 4, 2, 2, 2, 5, 2, 3, 2, 3, 2, 5, 4, 4, 2, 1, 3, 2, 3, 2, 4, 2, 3, 1, 3, 2, 4, 1, 5, 4, 4, 3, 3, 2, 2, 2, 2, 1, 3, 4, 4, 2, 2, 3, 4, 4, 2, 1, 5, 2, 4, 3, 5, 5, 1, 3, 5, 3, 2, 2, 3, 2, 3, 5, 2, 2, 2, 1, 4, 3, 1, 5, 2, 3, 4, 5, 4, 2, 2, 4, 2, 2, 1, 4, 2, 1, 4, 4, 4, 4, 5, 3, 3, 3, 2, 2, 2, 5, 2, 4, 4, 3, 1, 2, 2, 2, 3, 5, 5, 2, 3, 3, 2, 2, 2, 3, 5, 2, 2, 1, 4, 2, 4, 3, 2, 2, 3, 3, 2, 2, 2, 2, 1, 4, 4, 4, 1, 2, 3, 5, 4, 1, 3, 4, 2, 4, 5, 2, 5, 2, 3, 5, 4, 3, 5, 2, 2, 5, 5, 5, 4, 5, 1, 4, 5, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 4, 2, 2, 5, 2, 2, 1, 1, 2, 5, 2, 2, 2, 1, 2, 5, 5, 5, 2, 2, 2, 2, 4, 2, 4, 2, 2, 1, 5, 3, 4, 5, 2, 5, 4, 4, 4, 1, 4, 3, 4, 4, 4, 1, 3, 2, 2, 3, 4, 2, 5, 3, 3, 2, 5, 4, 2, 4, 1, 1, 3, 2, 2, 5, 4, 2, 2, 1, 4, 5, 2, 3, 4, 5, 3, 4, 2, 4, 5, 2, 3, 4, 1, 2, 5, 3, 4, 4, 3, 3, 4, 3, 3, 2, 2, 2, 4, 4, 5, 2, 4, 3, 4, 4, 4, 4, 3, 5, 3, 3, 4, 4, 5, 2, 4, 3, 5, 4, 1, 5, 4, 4, 2, 4, 2, 2, 3, 4, 5, 4, 4, 4, 2, 4, 5, 4, 2, 2, 2, 5, 5, 5, 2, 4, 4, 3, 1, 2, 4, 3, 2, 4, 5, 3, 4, 3, 5, 2, 5, 4, 3, 3, 2, 3, 4, 5, 4, 1, 2, 1, 4, 2, 4, 4, 3, 2, 3, 2, 1, 4, 2, 5, 4, 1, 5, 2, 2, 5, 4, 5, 4, 4, 4, 2, 2, 3, 4, 2, 2, 2, 5, 5, 2, 2, 5, 4, 1, 2, 5, 5, 2, 2, 5, 4, 5, 4, 2, 3, 5, 1, 2, 4, 5, 3, 3, 1, 4, 2, 1, 5, 4, 2, 4, 3, 1, 4, 4, 4, 3, 4, 2, 2, 1, 3, 5, 4, 3, 2, 4, 5, 2, 1, 2, 1, 5, 4, 2, 2, 4, 1, 3, 5, 1, 3, 2, 1, 3, 2, 3, 2, 4, 4, 5, 2, 2, 3, 4, 4, 4, 4, 3, 3, 2, 1, 1, 2, 1, 4, 3, 4, 5, 4, 4, 3, 3, 2, 2, 1, 2, 3, 2, 5, 3, 4, 4, 3, 2, 5, 3, 5, 5, 4, 4, 5, 1, 3, 3, 3, 3, 5, 2, 1, 5, 2, 3, 3, 5, 1, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 2, 3, 5, 2, 2, 1, 5, 3, 5, 2, 4, 2, 4, 4, 4, 2, 4]"
Every banker who was now bonusless had lost it when the economy was bad.,3.0818,1.2351,110,"[2, 2, 2, 4, 5, 4, 3, 2, 4, 5, 3, 1, 3, 1, 4, 5, 2, 3, 3, 4, 5, 2, 4, 5, 2, 1, 1, 2, 2, 1, 1, 4, 3, 2, 2, 2, 3, 4, 4, 2, 4, 3, 5, 3, 5, 2, 4, 4, 4, 2, 1, 2, 1, 3, 4, 4, 1, 4, 4, 1, 3, 5, 3, 4, 4, 1, 2, 2, 2, 3, 4, 4, 2, 4, 1, 2, 4, 1, 3, 3, 3, 4, 3, 5, 4, 3, 3, 4, 4, 3, 3, 5, 4, 2, 3, 5, 2, 5, 5, 3, 3, 3, 5, 5, 2, 2, 4, 3, 3, 4]"
Every banker who was now jobless had lost it when the economy was bad.,3.4771,1.1022,109,"[4, 4, 3, 3, 5, 2, 3, 3, 1, 4, 5, 4, 3, 5, 2, 3, 2, 4, 4, 4, 4, 3, 5, 4, 4, 4, 3, 4, 4, 1, 3, 3, 3, 2, 5, 3, 3, 2, 4, 5, 2, 4, 4, 4, 1, 4, 5, 4, 4, 2, 2, 4, 5, 4, 4, 5, 2, 4, 4, 3, 2, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 5, 5, 3, 2, 5, 5, 2, 4, 1, 5, 3, 4, 4, 3, 4, 4, 5, 5, 3, 4, 5, 2, 3, 3, 4, 1, 5, 4, 3, 3, 3, 4, 2, 3, 3, 5, 5, 2]"
