unit,mean,std,n,individual_ratings
A few rows of bookshelves came tumbling down.,6.6333,0.4819,30,"[6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 6, 6, 7, 7, 7, 6, 6, 6, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7]"
A fire drill disrupted the lesson on American history.,3.2,1.8511,30,"[4, 6, 6, 4, 6, 1, 1, 2, 3, 5, 4, 3, 1, 4, 2, 2, 1, 1, 3, 2, 4, 5, 1, 2, 2, 2, 5, 7, 6, 1]"
Aaron couldn't get the catchy tune out of his mind.,1.4667,0.67,30,"[3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 2]"
Alan loved the cranberry sauce at dinner.,5.2333,1.82,30,"[6, 5, 7, 3, 5, 4, 6, 5, 5, 7, 5, 7, 7, 2, 7, 6, 7, 6, 5, 1, 5, 7, 2, 1, 5, 7, 4, 7, 6, 7]"
Alicia stayed up for two days straight to complete the project.,2.9643,1.7005,28,"[4, 5, 7, 1, 3, 4, 4, 1, 2, 4, 5, 1, 5, 5, 2, 1, 1, 3, 1, 2, 1, 3, 1, 4, 3, 5, 1, 4]"
Books can provide knowledge and act as stylish dcor,5.1667,1.7143,30,"[5, 1, 7, 5, 6, 6, 7, 7, 6, 6, 6, 6, 7, 3, 2, 7, 7, 4, 4, 5, 6, 6, 3, 1, 5, 4, 5, 7, 5, 6]"
Bright spaces feel more open and welcoming.,2.5862,1.6298,29,"[6, 3, 6, 7, 3, 1, 2, 2, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 3, 1, 3, 3, 2, 3, 3, 5, 4]"
Chris was able to walk away without hesitation.,3.0333,2.0572,30,"[4, 3, 6, 4, 4, 2, 1, 1, 5, 7, 2, 1, 1, 3, 1, 1, 7, 5, 2, 1, 1, 2, 1, 2, 7, 3, 3, 7, 2, 2]"
Communities with fresh water access have fewer heath issues.,2.6552,1.9525,29,"[5, 1, 7, 3, 4, 1, 7, 1, 2, 1, 4, 2, 1, 2, 2, 1, 1, 5, 2, 1, 4, 3, 1, 1, 1, 2, 4, 7, 1]"
Dinner at the hotel was accompanied by hula dancing.,5.0,1.6931,30,"[5, 7, 5, 4, 5, 5, 7, 4, 5, 7, 4, 5, 5, 6, 5, 2, 7, 5, 7, 2, 6, 4, 2, 1, 7, 5, 6, 7, 3, 7]"
Dinner reservations doubled the following week.,2.2414,1.6949,29,"[4, 1, 6, 3, 2, 4, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 1, 1, 1, 6, 1, 1, 1, 2, 2, 4, 7, 1, 1]"
Emma acted quickly and confidently.,2.6333,1.7978,30,"[4, 2, 6, 1, 2, 1, 1, 1, 3, 5, 4, 1, 4, 4, 1, 1, 1, 1, 2, 1, 3, 2, 1, 2, 6, 4, 5, 7, 1, 2]"
Employment rates for local residents went up.,1.6333,1.4716,30,"[4, 1, 6, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 7, 1, 1]"
Everyone needs their daily caffeine hit.,2.6333,1.6829,30,"[5, 1, 2, 1, 4, 1, 5, 3, 3, 1, 3, 3, 1, 1, 2, 1, 1, 6, 2, 1, 7, 3, 1, 2, 2, 5, 2, 3, 2, 5]"
Fans were left disappointed and searching for resales.,2.3103,1.5336,29,"[4, 2, 7, 1, 2, 4, 1, 1, 3, 3, 2, 1, 1, 2, 1, 4, 1, 1, 2, 1, 1, 3, 1, 5, 1, 2, 3, 2, 5]"
Flowers add beauty to a windowsill.,5.8667,1.4545,30,"[6, 6, 6, 3, 6, 6, 7, 7, 7, 6, 5, 7, 6, 3, 7, 7, 7, 7, 6, 2, 7, 7, 4, 3, 7, 5, 5, 7, 7, 7]"
Food banks offer meals to those in need.,4.4333,2.1242,30,"[5, 5, 7, 3, 5, 5, 7, 5, 7, 1, 6, 5, 7, 1, 3, 2, 7, 7, 2, 2, 6, 5, 1, 4, 2, 4, 4, 7, 1, 7]"
Grace greeted everyone and made lively conversation.,3.5,2.391,30,"[5, 7, 6, 2, 2, 1, 1, 2, 2, 5, 2, 1, 7, 7, 1, 7, 1, 2, 7, 1, 5, 4, 1, 3, 1, 6, 6, 7, 1, 2]"
Helmets guard heads during sporting events.,5.6207,1.883,29,"[5, 5, 6, 7, 7, 6, 7, 7, 1, 6, 7, 7, 3, 7, 7, 7, 7, 5, 1, 5, 7, 4, 1, 7, 6, 5, 7, 6, 7]"
Inside the house everything was calm and peaceful.,3.6667,2.0385,30,"[5, 2, 7, 2, 3, 7, 1, 1, 2, 6, 5, 4, 7, 6, 2, 4, 1, 1, 4, 3, 3, 7, 2, 1, 4, 3, 4, 7, 4, 2]"
It started raining in the middle of the kickball game.,4.2,2.0232,30,"[5, 7, 6, 2, 6, 4, 3, 3, 6, 2, 4, 2, 7, 6, 1, 1, 7, 4, 5, 1, 6, 5, 3, 2, 5, 7, 5, 7, 2, 2]"
Jane solved the equation in a few minutes.,2.1034,1.5165,29,"[4, 5, 7, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 2, 3, 5, 2]"
John discovered that his bag had been lost in transit.,4.7667,2.0766,30,"[5, 1, 7, 5, 4, 4, 7, 4, 7, 5, 6, 5, 7, 2, 2, 7, 7, 5, 2, 2, 5, 7, 2, 1, 5, 7, 2, 7, 6, 7]"
John was late to pick up his daughter from school.,3.1724,1.7234,29,"[4, 5, 5, 5, 3, 1, 2, 5, 5, 3, 1, 5, 2, 1, 5, 1, 1, 3, 1, 2, 5, 1, 2, 3, 3, 4, 7, 2, 5]"
Lumberjacks struggled to sustain their livelihoods.,2.4667,1.7075,30,"[5, 1, 6, 3, 5, 5, 1, 2, 3, 1, 3, 1, 1, 2, 1, 5, 1, 1, 1, 1, 3, 2, 1, 2, 1, 2, 3, 7, 2, 2]"
Many stores ran out of popular items.,4.2,2.0067,30,"[5, 1, 7, 4, 3, 7, 6, 4, 7, 5, 6, 4, 1, 2, 3, 1, 7, 4, 4, 2, 5, 7, 1, 1, 4, 4, 4, 7, 5, 5]"
Marching bands and floats glided down the street.,6.2,1.249,30,"[5, 7, 7, 7, 7, 6, 4, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 3, 6, 2, 7, 7, 5, 6, 6, 7, 6, 7, 6, 7]"
Marcia could feel the boards wobble during the show.,5.6333,1.3536,30,"[5, 7, 5, 5, 6, 6, 6, 7, 7, 6, 6, 4, 7, 6, 6, 6, 7, 5, 6, 1, 5, 7, 4, 4, 6, 3, 6, 7, 7, 6]"
Mark thought the speaker was boring and repetitive.,2.9333,2.0645,30,"[5, 2, 7, 6, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 7, 1, 2, 4, 1, 5, 4, 1, 4, 5, 3, 3, 7, 1, 5]"
Moving through the security line took longer than usual.,4.2069,1.9543,29,"[5, 6, 7, 6, 6, 4, 1, 2, 4, 7, 5, 2, 5, 6, 5, 4, 1, 5, 4, 2, 3, 4, 1, 2, 7, 5, 7, 1, 5]"
Passengers crowded the gate waiting for further updates.,5.1034,1.5832,29,"[5, 7, 5, 7, 6, 5, 6, 3, 5, 4, 4, 5, 7, 6, 2, 6, 7, 5, 6, 2, 3, 5, 1, 6, 6, 5, 7, 6, 6]"
Practical tips help readers adopt eco-friendly practices.,1.7586,1.1343,29,"[4, 1, 6, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 3, 3, 1, 1]"
Rebecca thinks that breaking up is the only option.,1.9667,1.4488,30,"[4, 1, 7, 5, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 5, 2, 1, 2, 2, 1, 2]"
Routes pass through historic towns and lush countryside.,4.1667,2.0014,30,"[4, 5, 4, 6, 5, 5, 1, 5, 6, 5, 6, 5, 1, 6, 5, 1, 7, 5, 3, 1, 2, 5, 2, 1, 1, 7, 3, 7, 5, 6]"
Stars illuminate the night sky.,4.6667,2.0385,30,"[5, 7, 7, 3, 6, 4, 1, 7, 4, 2, 3, 5, 1, 7, 2, 7, 7, 5, 7, 4, 1, 5, 4, 2, 6, 6, 3, 7, 6, 6]"
