unit,mean,std,n,individual_ratings
A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,2.85,1.3756,60,"[3, 4, 2, 3, 4, 2, 2, 2, 4, 2, 3, 1, 3, 1, 2, 4, 4, 1, 3, 3, 1, 3, 1, 4, 1, 4, 1, 1, 1, 3, 2, 1, 3, 2, 2, 5, 2, 4, 5, 2, 3, 1, 3, 5, 5, 3, 2, 3, 4, 4, 5, 5, 1, 4, 2, 4, 5, 5, 5, 1]"
Companies are producing products that are so complex that they break too easily to be safe for children.,4.0167,0.9828,60,"[3, 4, 3, 5, 5, 3, 3, 5, 5, 5, 4, 4, 4, 5, 3, 4, 5, 2, 4, 4, 5, 4, 5, 4, 2, 4, 5, 5, 4, 3, 2, 5, 4, 4, 3, 5, 5, 4, 5, 2, 3, 4, 5, 3, 5, 4, 3, 4, 5, 4, 5, 4, 2, 4, 5, 4, 5, 5, 2, 5]"
For some reason gold has out-performed all other precious metals.,4.6333,0.8431,60,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 1, 5, 5, 2, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5]"
I can't believe that bus and train companies are not more child friendly.,4.4576,0.8371,59,"[3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 1, 4, 5, 4, 4, 4, 4, 4, 5, 5, 3, 5, 5, 4, 5, 2, 3, 4, 5, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5]"
Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.4407,0.8958,59,"[3, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 4, 3, 5, 4, 2, 4, 5, 5, 5, 5, 4, 5, 3, 5, 3, 3, 1, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]"
Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.85,1.0549,60,"[3, 2, 3, 4, 5, 2, 5, 3, 3, 5, 4, 4, 3, 3, 4, 5, 5, 2, 4, 4, 5, 3, 5, 4, 1, 5, 4, 4, 4, 4, 4, 5, 3, 5, 3, 5, 3, 3, 4, 3, 3, 4, 4, 5, 5, 5, 2, 4, 5, 4, 5, 5, 4, 2, 5, 5, 5, 3, 2, 4]"
"Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",4.1833,0.9999,60,"[3, 5, 3, 4, 4, 3, 5, 4, 4, 5, 3, 5, 5, 4, 5, 5, 5, 2, 4, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 4, 4, 2, 5, 4, 2, 5, 5, 4, 5, 2, 3, 5, 3, 5, 3, 5, 2, 4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 4, 5]"
Our basketball team is doing poorly because all of our top players graduated last year.,4.5,0.8925,60,"[3, 4, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 3, 4, 1, 3, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,3.9655,0.9906,58,"[3, 5, 3, 3, 1, 4, 5, 4, 5, 5, 4, 3, 4, 4, 5, 2, 4, 4, 5, 4, 3, 4, 5, 5, 5, 4, 4, 4, 2, 2, 4, 3, 3, 5, 4, 3, 4, 5, 3, 4, 3, 5, 5, 4, 2, 4, 5, 4, 5, 5, 4, 3, 5, 4, 5, 5, 5, 4]"
Rhode Island is a coastal state and the weather there gets really bad only in January.,4.0339,0.982,59,"[3, 5, 3, 5, 4, 2, 4, 4, 5, 4, 5, 4, 3, 2, 4, 5, 2, 5, 4, 4, 3, 3, 5, 5, 4, 5, 4, 4, 4, 5, 5, 4, 5, 2, 5, 4, 2, 5, 3, 3, 4, 4, 5, 4, 3, 2, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 3, 5, 5]"
Some of the chefs at the convention claimed that garlic destroyed taste buds while others claimed that it was a miracle spice.,4.2833,0.9405,60,"[3, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 2, 4, 5, 5, 3, 3, 5, 5, 5, 4, 4, 5, 5, 2, 3, 5, 5, 3, 5, 3, 3, 4, 5, 4, 3, 5, 5, 2, 5, 3, 5, 4, 5, 4, 5, 3, 5, 5, 4, 5]"
Some parents are suing the middle school for discrimination after their boys were not allowed to wear the clothing that they chose.,4.05,1.0156,60,"[3, 5, 3, 3, 4, 2, 5, 3, 4, 5, 5, 4, 5, 3, 5, 5, 5, 4, 4, 5, 5, 3, 1, 5, 2, 5, 5, 5, 4, 4, 4, 5, 4, 5, 3, 5, 4, 3, 5, 4, 3, 4, 5, 3, 5, 4, 2, 2, 4, 4, 5, 5, 4, 3, 4, 4, 5, 5, 4, 5]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist recommended.,3.4,1.2649,10,"[5, 3, 5, 3, 2, 5, 3, 2, 4, 2]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was ignoring.,2.8,1.4757,10,"[3, 2, 1, 1, 1, 5, 3, 4, 4, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,2.7,1.6364,10,"[1, 1, 2, 4, 4, 1, 4, 1, 4, 5]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist recommended.,2.9,0.9944,10,"[4, 2, 2, 3, 4, 3, 3, 3, 4, 1]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was ignoring.,2.7,1.1595,10,"[2, 2, 3, 3, 2, 1, 2, 3, 5, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,2.0,0.9428,10,"[1, 2, 2, 2, 3, 1, 2, 2, 1, 4]"
The ambitious rock collector was going after every fossil that the highly specialized geologist unearthed.,3.9,1.1005,10,"[3, 5, 5, 5, 4, 5, 3, 2, 3, 4]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was going after.,3.5,0.9718,10,"[3, 4, 3, 4, 1, 4, 4, 4, 4, 4]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,3.3,0.9487,10,"[3, 2, 3, 4, 4, 2, 3, 4, 3, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist unearthed.,3.5,1.0801,10,"[5, 4, 5, 3, 4, 2, 3, 2, 4, 3]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was going after.,3.5,1.0801,10,"[2, 3, 4, 4, 2, 3, 3, 4, 5, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,3.2,0.9189,10,"[3, 3, 3, 2, 4, 2, 4, 3, 3, 5]"
The ambulance took away all of the players that the fans had knocked out.,3.75,1.159,60,"[3, 4, 3, 5, 5, 3, 4, 3, 5, 4, 5, 1, 4, 5, 5, 4, 3, 3, 4, 4, 4, 4, 5, 4, 1, 3, 5, 1, 4, 4, 4, 4, 4, 4, 2, 5, 5, 4, 4, 2, 3, 5, 2, 3, 2, 2, 1, 4, 4, 4, 5, 4, 4, 5, 5, 4, 5, 5, 3, 5]"
The anxious old farmer was rounding up every cow that the ignorant farm hand released.,4.6,0.5164,10,"[4, 4, 5, 4, 5, 5, 4, 5, 5, 5]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was rounding up.,2.3,0.8233,10,"[2, 3, 1, 3, 2, 2, 3, 1, 3, 3]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was.,2.1,1.1972,10,"[3, 1, 1, 1, 2, 2, 4, 2, 1, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand released.,4.0,0.9428,10,"[2, 5, 3, 4, 4, 5, 4, 4, 4, 5]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was rounding up.,2.8,1.4757,10,"[4, 1, 4, 2, 1, 3, 3, 1, 4, 5]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was.,2.6,0.8433,10,"[2, 2, 4, 3, 2, 2, 3, 2, 2, 4]"
The article states that most types of whales apparently held their breath for as long as the dolphins did.,3.661,1.0274,59,"[3, 4, 2, 4, 4, 3, 4, 5, 4, 4, 5, 3, 4, 4, 4, 5, 3, 4, 4, 5, 3, 3, 4, 5, 4, 4, 2, 4, 3, 2, 3, 4, 2, 2, 5, 2, 3, 5, 2, 3, 4, 2, 5, 5, 4, 2, 2, 3, 4, 5, 4, 3, 4, 5, 3, 5, 5, 3, 5]"
The boys made the same mistakes that the girls made.,4.5333,0.7241,60,"[4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 3, 4, 5, 5, 5, 3, 5, 5, 4, 5, 2, 3, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 3, 5]"
The catcher went to pick up the player that overslept but the manager got him first.,3.4333,1.0475,60,"[3, 4, 3, 4, 4, 2, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4, 3, 3, 2, 4, 3, 4, 4, 4, 5, 1, 2, 4, 3, 2, 4, 4, 4, 4, 3, 2, 4, 3, 5, 2, 2, 2, 3, 1, 3, 4, 2, 3, 3, 3, 5, 5, 2, 3, 3, 3, 5, 5, 5, 5]"
The continually losing team was counting on every player that the newly formed league drafted.,2.9,1.1005,10,"[4, 3, 4, 2, 2, 2, 3, 2, 2, 5]"
The continually losing team was counting on every player that the newly formed league was counting on.,2.8,1.1353,10,"[2, 3, 2, 1, 4, 2, 3, 3, 3, 5]"
The continually losing team was counting on every player that the newly formed league was.,2.6,0.9661,10,"[2, 3, 1, 3, 3, 4, 3, 1, 3, 3]"
The continually losing team was counting on the player that the newly formed league drafted.,3.0,0.8165,10,"[3, 3, 3, 4, 2, 3, 4, 2, 4, 2]"
The continually losing team was counting on the player that the newly formed league was counting on.,2.4,1.075,10,"[1, 2, 2, 4, 3, 2, 3, 2, 4, 1]"
