unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,3.0,2.1173,30,"[1, 1, 3, 1, 1, 3, 1, 1, 5, 1, 5, 4, 4, 5, 5, 1, 2, 1, 7, 2, 1, 6, 5, 1, 2, 3, 3, 7, 7, 1]",test
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,6.0667,1.3374,30,"[7, 7, 7, 6, 7, 7, 5, 7, 7, 6, 6, 6, 4, 5, 7, 6, 6, 6, 1, 5, 7, 7, 5, 6, 7, 7, 7, 7, 7, 4]",test
A garden brings color to a backyard. Flowers add beauty to a windowsill.,4.0333,2.1732,30,"[5, 4, 6, 1, 1, 4, 4, 1, 7, 2, 6, 4, 7, 4, 5, 4, 3, 1, 7, 3, 1, 6, 7, 1, 4, 4, 4, 7, 7, 1]",test
A lighthouse guides ships to safety. A compass helps hikers find their way.,2.8333,2.1023,30,"[1, 1, 3, 1, 1, 3, 2, 1, 6, 1, 3, 6, 5, 4, 5, 1, 4, 1, 1, 1, 1, 6, 4, 1, 4, 2, 1, 7, 7, 1]",test
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,4.1333,2.1453,30,"[3, 1, 5, 1, 5, 7, 7, 1, 7, 4, 5, 5, 1, 7, 5, 1, 4, 4, 4, 5, 2, 4, 5, 1, 5, 7, 6, 7, 4, 1]",test
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,6.5667,0.7739,30,"[7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 6, 7, 4, 5, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7]",test
A mountain climbing team reached the K2 summit. The eatery specializes in farm-to-table dishes.,1.2667,0.9072,30,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A productive morning routine sets the tone for the day. Attendees can enjoy live performances and art displays.,2.0333,1.6291,30,"[1, 1, 1, 3, 1, 1, 2, 1, 7, 3, 3, 1, 1, 5, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 4, 4, 5, 1, 1, 1]",test
A rat gnawed through the cables in the walls. Several customers complained about the dish.,1.2667,0.6397,30,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",test
A series of unusual occurrences plagued the small town. Susan dressed in a tank-top and breathable shorts.,1.1333,0.5713,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A social media platform improved its privacy settings. The sand dunes change shape and location constantly.,1.0,0.0,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A solid education lays the foundation for future success. The agreement will provide funding for new uniforms.,1.7333,1.6174,30,"[1, 1, 5, 1, 1, 1, 2, 2, 1, 1, 1, 3, 7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1]",test
A tree provides a home for birds. A coral reef shelters fish.,3.0667,2.2733,30,"[1, 1, 4, 1, 1, 1, 1, 1, 7, 1, 3, 5, 5, 4, 5, 1, 4, 1, 5, 1, 1, 6, 7, 1, 4, 2, 3, 7, 7, 1]",test
A well-stocked bookshelf can transform a living room. Practical tips help readers adopt eco-friendly practices.,1.9655,1.7005,29,"[1, 1, 4, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 2, 1, 5, 1, 1, 2, 5, 6, 2, 1, 1]",test
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,6.4667,1.3322,30,"[7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 5, 7, 6, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7]",test
Anna was reluctant to say goodbye and lingered at the door. Chris was able to walk away without hesitation.,4.3667,1.9737,30,"[5, 1, 5, 3, 3, 7, 1, 2, 7, 2, 5, 5, 4, 3, 5, 4, 6, 2, 7, 3, 4, 6, 7, 3, 5, 3, 7, 7, 7, 2]",test
Artists turn blank canvases into masterpieces. The activist campaigned to protect the environment,1.3333,1.1547,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",test
Bradley arrived at the airport by taxi. The artist transformed the canvas into a serene landscape.,1.0345,0.1857,29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Clean drinking water is a basic human necessity. Happy consumers are more likely to spread the word.,2.0,1.7811,30,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 3, 7, 1, 1, 5, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 7, 4, 1, 2]",test
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,6.5,1.2247,30,"[7, 6, 7, 6, 6, 7, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7]",test
David meticulously planned each step of his journey. The dog was trembling with fear at the claps of thunder.,1.3333,0.8023,30,"[1, 1, 1, 4, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1]",test
