unit,mean,std,n,individual_ratings
Andrew tried to remember what who wrote in the 1980s.,2.1667,1.6422,12,"[1, 1, 1, 2, 5, 3, 1, 1, 5, 4, 1, 1]"
Andrew tried to remember what who wrote when.,1.8333,1.0299,12,"[1, 1, 3, 2, 2, 1, 1, 4, 2, 1, 1, 3]"
Andrew tried to remember what who wrote.,2.25,0.9653,12,"[1, 3, 2, 1, 3, 2, 2, 3, 4, 2, 3, 1]"
Andrew tried to remember who wrote what in the 1980s.,3.6667,0.8876,12,"[4, 5, 3, 4, 3, 5, 4, 4, 3, 4, 2, 3]"
Andrew tried to remember who wrote what when.,4.0833,0.9962,12,"[4, 5, 3, 4, 4, 3, 5, 5, 5, 5, 4, 2]"
Andrew tried to remember who wrote what.,4.4167,0.793,12,"[5, 5, 5, 5, 3, 5, 4, 3, 4, 5, 4, 5]"
Jessica tried to remember what who borrowed last month.,1.9167,1.3114,12,"[1, 1, 2, 1, 3, 1, 1, 5, 3, 1, 1, 3]"
Jessica tried to remember what who borrowed when.,2.1667,1.0299,12,"[3, 4, 3, 1, 3, 2, 1, 3, 2, 2, 1, 1]"
Jessica tried to remember what who borrowed.,1.9167,1.0836,12,"[4, 2, 1, 2, 1, 2, 1, 1, 2, 4, 1, 2]"
Jessica tried to remember who borrowed what last month.,4.4545,0.6876,11,"[5, 5, 4, 4, 5, 3, 4, 5, 5, 5, 4]"
Jessica tried to remember who borrowed what when.,4.0,1.3484,12,"[5, 2, 5, 5, 2, 5, 3, 2, 5, 5, 5, 4]"
Jessica tried to remember who borrowed what.,3.8333,0.9374,12,"[4, 5, 3, 5, 3, 5, 4, 4, 3, 4, 4, 2]"
Peter tried to remember what who carried last week.,2.0,1.206,12,"[1, 3, 2, 1, 4, 2, 1, 4, 1, 1, 3, 1]"
Peter tried to remember what who carried when.,1.75,0.7538,12,"[2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 1, 3]"
Peter tried to remember what who carried.,2.0,1.3484,12,"[1, 1, 2, 4, 1, 1, 1, 4, 3, 1, 1, 4]"
Peter tried to remember who carried what last week.,4.25,0.866,12,"[3, 4, 5, 3, 4, 3, 5, 5, 5, 5, 4, 5]"
Peter tried to remember who carried what when.,3.0833,0.9962,12,"[4, 4, 2, 4, 3, 5, 3, 2, 2, 3, 2, 3]"
Peter tried to remember who carried what.,4.6667,0.6513,12,"[5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5]"
The American Idol organizers decided what who would sing in the next show.,2.5,1.446,12,"[3, 1, 2, 2, 2, 1, 5, 4, 2, 1, 5, 2]"
The American Idol organizers decided what who would sing when.,2.5,1.7321,12,"[4, 1, 1, 2, 1, 4, 4, 1, 1, 5, 1, 5]"
The American Idol organizers decided what who would sing.,2.5833,1.6765,12,"[4, 1, 1, 5, 2, 5, 4, 1, 2, 1, 1, 4]"
The American Idol organizers decided who would sing what in the next show.,4.3333,0.7785,12,"[5, 5, 4, 5, 4, 3, 5, 5, 4, 4, 3, 5]"
The American Idol organizers decided who would sing what when.,2.9167,1.0836,12,"[4, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 5]"
The American Idol organizers decided who would sing what.,4.4167,0.6686,12,"[4, 5, 4, 3, 5, 4, 5, 5, 4, 4, 5, 5]"
The Maitre d' tried to figure out what who served to the customers.,1.9167,1.379,12,"[4, 1, 1, 2, 1, 3, 5, 1, 1, 2, 1, 1]"
The Maitre d' tried to figure out what who served to whom.,2.5,1.6237,12,"[5, 2, 1, 5, 3, 2, 4, 1, 1, 1, 1, 4]"
The Maitre d' tried to figure out what who served.,1.8333,1.1934,12,"[3, 1, 4, 2, 1, 1, 4, 2, 1, 1, 1, 1]"
The Maitre d' tried to figure out who served what to the customers.,3.9167,0.793,12,"[3, 4, 5, 4, 4, 3, 3, 3, 5, 4, 4, 5]"
The Maitre d' tried to figure out who served what to whom.,3.75,1.2154,12,"[4, 5, 4, 1, 4, 4, 2, 5, 4, 4, 3, 5]"
The Maitre d' tried to figure out who served what.,3.9167,0.6686,12,"[4, 5, 4, 4, 3, 4, 4, 4, 5, 4, 3, 3]"
The accountant didn't realize who he was cheating until he got an email this morning.,4.1667,0.9345,72,"[5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 2, 3, 4, 4, 1, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 5, 4, 4, 4, 4, 2, 4, 5, 3, 5, 4, 3, 5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 5, 4, 4, 3, 3, 4, 4, 2, 5, 5, 2, 5, 4, 5, 5, 5, 5, 3]"
The administrator tried to remember what who donated to the United Way.,2.75,1.6583,12,"[2, 1, 2, 3, 4, 1, 1, 5, 3, 5, 1, 5]"
The administrator tried to remember what who donated to whom.,2.3333,1.3707,12,"[1, 5, 2, 1, 4, 3, 1, 4, 2, 2, 2, 1]"
The administrator tried to remember what who donated.,2.3333,1.3027,12,"[2, 2, 2, 2, 1, 2, 1, 2, 5, 4, 1, 4]"
