unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway.,3.4667,1.7167,30,"[1, 4, 4, 4, 2, 5, 2, 6, 6, 2, 5, 3, 5, 1, 4, 1, 4, 5, 4, 6, 7, 4, 1, 3, 3, 2, 3, 4, 1, 2]",test
A drop of water from the ceiling fell onto the outlet.,1.9,1.3983,30,"[1, 1, 3, 2, 3, 2, 1, 5, 4, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 6, 1, 1, 1, 2, 1, 1, 4, 1, 1]",test
A flight attendant collected all the empty cups.,3.5517,1.9746,29,"[5, 5, 5, 2, 5, 7, 3, 7, 2, 2, 2, 7, 3, 6, 3, 1, 1, 4, 4, 7, 1, 2, 3, 5, 2, 1, 3, 3, 2]",test
A garden brings color to a backyard.,2.5333,1.7167,30,"[1, 1, 3, 4, 5, 3, 1, 3, 5, 2, 4, 1, 2, 1, 3, 1, 3, 2, 2, 7, 7, 3, 1, 1, 2, 3, 1, 1, 2, 1]",test
A high-quality coffee shop is a staple of any town.,2.2667,1.5742,30,"[1, 1, 4, 1, 3, 2, 2, 5, 2, 1, 3, 2, 3, 1, 2, 1, 4, 2, 1, 7, 6, 2, 1, 1, 2, 3, 1, 1, 2, 1]",test
A melody was stuck in Jim's head all day.,5.5333,1.1958,30,"[6, 5, 6, 5, 6, 7, 5, 6, 3, 6, 4, 6, 4, 6, 4, 4, 6, 5, 7, 7, 7, 5, 7, 7, 3, 5, 6, 5, 6, 7]",test
A new career training program was offered recently.,2.3,1.4179,30,"[1, 3, 3, 2, 1, 3, 2, 5, 3, 2, 2, 2, 4, 2, 2, 1, 3, 4, 1, 7, 4, 1, 1, 1, 2, 1, 2, 1, 2, 1]",test
A new tech startup opened its doors last month.,1.8333,1.1167,30,"[2, 1, 2, 2, 1, 2, 2, 5, 3, 2, 4, 4, 1, 1, 2, 1, 2, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1, 1, 1]",test
A powerful earthquake struck Japan this morning.,3.7333,1.8182,30,"[2, 3, 4, 6, 6, 4, 3, 6, 6, 5, 6, 2, 5, 1, 5, 1, 7, 6, 4, 1, 2, 4, 4, 2, 3, 1, 5, 3, 3, 2]",test
A social media platform improved its privacy settings.,2.1,1.6474,30,"[1, 1, 2, 1, 2, 2, 1, 6, 2, 2, 3, 2, 1, 1, 2, 1, 2, 1, 1, 7, 7, 2, 1, 1, 2, 2, 2, 2, 2, 1]",test
