unit,mean,std,n,individual_ratings
Mary: A thirteen year old trick-or-treater had to be hospitalized after being attacked by an angry dog. John: I heard that the dog owner had in fact sent the dog after the boy because her afternoon nap had been disturbed by the door bell. Can you believe that? Mary: I can't believe somebody can get so irritated by a boy ringing the door bell.,4.025,1.2087,40,"[5, 5, 3, 4, 4, 5, 1, 5, 2, 4, 5, 5, 2, 5, 5, 5, 3, 4, 5, 3, 4, 4, 4, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 1, 4, 5, 3, 2, 3]"
Mary: After the economic crash several businesses were audited. The IRS audited some of them while a private company audited the rest. John: I heard that the FBI audited some of them too. Do you know which ones? Mary: The FBI audited every business that the private company audited.,4.3,0.9487,10,"[5, 5, 4, 5, 4, 4, 2, 5, 4, 5]"
Mary: After the economic crash several businesses were audited. The IRS audited some of them while a private company audited the rest. John: I heard that the FBI audited some of them too. Do you know which ones? Mary: The FBI audited every business that the private company did.,3.7,1.3375,10,"[3, 3, 5, 5, 5, 3, 4, 5, 3, 1]"
Mary: After the economic crash two businesses were audited. The IRS audited one of them while a private company audited the other. John: I heard that the FBI audited one of them too. Do you know which one? Mary: The FBI audited the business that the private company audited.,3.8,1.0328,10,"[4, 3, 4, 5, 3, 5, 4, 3, 5, 2]"
Mary: After the economic crash two businesses were audited. The IRS audited one of them while a private company audited the other. John: I heard that the FBI audited one of them too. Do you know which one? Mary: The FBI audited the business that the private company did.,3.8,0.7888,10,"[4, 4, 4, 3, 3, 3, 5, 5, 3, 4]"
Mary: After the most recent earthquake twenty percent of the population decided to leave the area. John: I heard that most of them are planning to move further north. Did you hear something different? Mary: That would be surprising because the further north you go - the more natural disasters there are.,4.025,1.1206,40,"[5, 4, 5, 3, 4, 5, 3, 4, 4, 4, 4, 5, 2, 5, 5, 4, 4, 5, 5, 3, 3, 5, 2, 5, 5, 5, 2, 3, 5, 5, 5, 3, 4, 5, 2, 4, 5, 5, 1, 4]"
Mary: After the most recent loss our high school soccer team is almost guaranteed to not qualify for the next round of the tournament. John: I heard that our basket ball team is not doing much better. In fact I think it might be impossible for them to get the number of wins they need. Isn't that weird? Mary: That is understandable because almost all of our top players graduated last year.,4.1,1.0328,40,"[4, 5, 2, 2, 3, 2, 4, 3, 4, 5, 5, 4, 3, 5, 5, 5, 4, 4, 5, 4, 3, 4, 4, 4, 5, 5, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 1, 4]"
Mary: After the most recent unemployment statistics were released by the administration the dollar lost even more ground against foreign currencies. John: I heard that the Pound and the Euro were not doing much better. Isn't that a shame? Mary: Actually the value of the Euro dropped only briefly and has since risen even higher than it was yesterday.,3.975,0.9737,40,"[4, 5, 3, 3, 4, 5, 4, 3, 4, 4, 4, 3, 2, 4, 5, 4, 4, 4, 5, 4, 3, 4, 3, 5, 5, 5, 3, 4, 4, 1, 5, 5, 5, 5, 4, 4, 5, 5, 2, 4]"
Mary: At Honda several new electric cars were being tested. The primary engineer drove some of them while the company president drove the rest. John: I heard that a race car driver drove some of them too. Do you know which ones? Mary: The race car driver drove every car that the engineer did.,3.6,0.9661,10,"[3, 3, 3, 5, 3, 4, 2, 4, 5, 4]"
Mary: At Honda several new electric cars were being tested. The primary engineer drove some of them while the company president drove the rest. John: I heard that a race car driver drove some of them too. Do you know which ones? Mary: The race car driver drove every car that the engineer drove.,3.7,1.3375,10,"[3, 4, 5, 5, 5, 4, 2, 5, 2, 2]"
Mary: At Honda two new electric cars were being tested. The primary engineer drove one of them while the company president drove the other. John: I heard that a race car driver drove one of them too. Do you know which one? Mary: The race car driver drove the car that the engineer did.,4.3,0.6749,10,"[5, 5, 5, 5, 4, 4, 4, 4, 4, 3]"
Mary: At Honda two new electric cars were being tested. The primary engineer drove one of them while the company president drove the other. John: I heard that a race car driver drove one of them too. Do you know which one? Mary: The race car driver drove the car that the engineer drove.,3.8,1.0328,10,"[4, 2, 3, 5, 4, 3, 5, 5, 3, 4]"
Mary: At a local farm several fields needed to be fertilized. The rancher fertilized some of them while the farmhand fertilized the rest. John: I heard that a neighbor fertilized some of them too. Do you know which ones? Mary: The neighbor fertilized every field that farmhand did.,4.2222,0.8333,9,"[5, 5, 4, 3, 4, 3, 5, 4, 5]"
