unit,mean,std,n,individual_ratings
Taste that fowl and those fish.,2.3529411764706,,,
All sorts of treasure there too.,3.3333333333333,,,
The small flock of birds circled.,5.375,,,
The music drums inside my head.,4.0714285714286,,,
They are very devoted and faithful.,5.4705882352941,,,
What an amazing and wonderful metamorphosis.,4.2,,,
She began to worry about infection.,4.5882352941176,,,
It has a light tangy flavor.,5.9411764705882,,,
We love rich tourists on vacation.,4.8947368421053,,,
Across the street was a pub.,5.8125,,,
Would she put him in jail?,4.6923076923077,,,
Where are you keeping it safe?,5.8125,,,
"It was all ridiculous, crazy, insane.",4.9333333333333,,,
"A childish notion, to be sure.",4.6666666666667,,,
Sophia was asleep on the sofa.,5.6470588235294,,,
Her answer was difficult to grasp.,5.7333333333333,,,
It meant waving a white flag.,4.3684210526316,,,
The crowd burst into spontaneous applause.,4.8571428571429,,,
His leg is too badly damaged.,3.9285714285714,,,
He treated them like puppy dogs.,5.0,,,
It looked like a trash heap.,5.2352941176471,,,
A car drove down the road.,6.625,,,
People are getting hungry and desperate.,5.9411764705882,,,
He held out a duffel bag.,5.2352941176471,,,
The movie was entertaining and funny.,6.3571428571429,,,
Everyone finished eating every delicious bite.,4.7058823529412,,,
He took another sip of beer.,6.3157894736842,,,
The last time we'd had four.,3.3571428571429,,,
Would she not regret this marriage?,4.5294117647059,,,
Grace and kindness was their strength.,4.4666666666667,,,
He could smell the cooking meat.,5.1176470588235,,,
In a way it seemed pointless.,5.3333333333333,,,
Another dance is about to begin.,4.9333333333333,,,
Like a voodoo priest or something?,3.7647058823529,,,
Her dreams remain vague and inconclusive.,4.8571428571429,,,
She seems awfully likable to me.,5.4285714285714,,,
The experience had shaken him emotionally.,5.4117647058824,,,
The bugs are eating me alive.,5.5625,,,
She looked up from her sewing.,5.0,,,
This truly was a depressing place.,5.2941176470588,,,
"There was no moon, only starlight.",5.2307692307692,,,
He looked annoyed at being disturbed.,4.2,,,
Could this all be a test?,5.6470588235294,,,
They started hiking down the mountain.,6.0625,,,
"Cattle, wagons, horses, all going west.",3.2857142857143,,,
They bring peace in a conflict.,5.6875,,,
He pointed at the smaller circle.,4.7894736842105,,,
Light from a fire burned inside.,4.1428571428571,,,
This is so simple and easy.,6.4705882352941,,,
"However, they were much too large.",4.2,,,
Sweaty hair clinging to his forehead.,4.7142857142857,,,
Can we pursue him for robbery?,3.9411764705882,,,
Every now and then she stopped.,5.0666666666667,,,
Instead he dug a little deeper:,3.8571428571429,,,
A gun fired into the air.,5.3888888888889,,,
I cannot debate the truth fact.,2.1176470588235,,,
Could you loan it to me?,6.0714285714286,,,
Perhaps we can catch some fish.,5.2857142857143,,,
"There'll be towels, soap, and all.",4.5294117647059,,,
Was he still in the laboratory?,4.6470588235294,,,
He was a tall muscular man.,5.7857142857143,,,
Its small head resembled a deer.,3.9375,,,
He finally hit the ball back.,4.6470588235294,,,
Already inflation was destabilizing financial markets.,4.5384615384615,,,
"It was a cylindrical, rocky chamber.",3.6875,,,
We ate it up like candy.,5.8823529411765,,,
The weather was warm and dry.,6.2857142857143,,,
His hand descended towards the king.,3.5,,,
He told her the truth unabashedly.,3.6,,,
His tea was black but sweetened.,5.2,,,
You got an elephant up there?,3.2222222222222,,,
A loud rumbling noise interrupted him.,4.7368421052632,,,
This lady was an outrageous girl.,4.6666666666667,,,
He only doubted his own abilities.,4.2,,,
The first floor had retail shops.,6.125,,,
His demeanor was cynical and angry.,4.9411764705882,,,
It does wonders for the soul.,5.2857142857143,,,
His organization did some fantastic work.,5.1333333333333,,,
