unit,mean,std,n,individual_ratings
A ball flying in air the can hurt.,3.4286,2.2588,7,"[1, 1, 4, 7, 1, 5, 5]"
A ball flying in the air can hurt.,6.6667,0.6667,9,"[6, 7, 5, 7, 7, 7, 7, 7, 7]"
A ball in flying can the air hurt.,1.6667,1.4907,6,"[1, 1, 5, 1, 1, 1]"
A concrete a sound heavier rasp like was and over there box pulled a.,1.0,0.0,8,"[1, 1, 1, 1, 1, 1, 1, 1]"
A law only studied only has candidate candidate the with am and technology entrepreneurship economics I in background who the and both.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]"
A local them can you center garden at or online purchase.,1.1429,0.3499,7,"[1, 1, 1, 1, 1, 2, 1]"
A should women to hands with offering their avoid monk anything.,1.1111,0.3143,9,"[1, 1, 1, 1, 1, 1, 1, 1, 2]"
A use now massive we say paperweight let’s.,1.0909,0.2875,11,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
Almost everyone a is bit ethnocentric little.,3.4,1.8547,5,"[3, 1, 5, 2, 6]"
Almost everyone is a little bit ethnocentric.,6.6923,0.6057,13,"[7, 5, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7]"
Almost everyone is a little ethnocentric bit.,3.375,2.2326,8,"[2, 1, 1, 6, 1, 6, 6, 4]"
And by or but like everything then you that narrator read first someone something become thrilled bit tells will even be you you unreliable a trust more something and him secret of I.,1.0,0.0,4,"[1, 1, 1, 1]"
And didn’t and size shoes go had get then she scan they to then and have she said the the.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]"
And in there tourism tourists been major past influx player rapid in has other the Coron a decade divers today of the in scuba making industry coming.,1.8333,1.4625,6,"[1, 1, 1, 5, 1, 2]"
And then she had scan to and go get the shoes and then she said they didn’t size have the.,1.8182,1.4025,11,"[1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 5]"
And then she had to scan and go get the shoes and then she said they didn’t have the size.,5.0,2.2804,5,"[4, 1, 7, 6, 7]"
And then she had to scan and go get the shoes and then she said they didn’t the have size.,3.4286,1.2936,7,"[5, 3, 4, 1, 3, 3, 5]"
"And there a was heavier sound, rasp, a like a pulled box over concrete.",4.2857,1.7496,7,"[5, 4, 1, 5, 7, 3, 5]"
"And there was a heavier sound, a rasp, a like box pulled over concrete.",4.125,2.0879,8,"[7, 3, 7, 6, 3, 3, 1, 3]"
"And there was a heavier sound, a rasp, like a box pulled over concrete.",6.5714,0.7284,7,"[7, 7, 6, 5, 7, 7, 7]"
"And you'd it put into the hot coals, you know?",5.6,2.3324,5,"[7, 7, 6, 1, 7]"
"And you'd put into it coals, the hot you know?",1.6667,0.7454,6,"[1, 3, 1, 2, 1, 2]"
"And you'd put it into the hot coals, you know?",5.7857,1.6115,14,"[6, 4, 7, 7, 7, 7, 6, 5, 6, 7, 6, 5, 1, 7]"
Another a find coin quarter small or.,1.0833,0.2764,12,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
At Mountain at was guest mohamed VIP Fair a California to located able the meet headquarters this finalists held Science was in the at View Google's event weekend and Google.,1.5,0.7071,8,"[1, 1, 2, 1, 2, 1, 1, 3]"
Be efficient used this can and continuous is any discipline system to for and collection adapted accurate and it academic.,1.5,0.866,4,"[1, 1, 1, 3]"
"Besides, Steven had some really good stuff: sweets that stained your teeth bright red — well, technically, not your teeth, just the plaque, but the result was often the same.",5.3333,1.6997,3,"[6, 3, 7]"
"Besides, Steven had some really good stuff: that sweets stained your teeth bright red well, — technically, not your teeth, just the plaque, but the result was the often same.",4.25,1.7854,8,"[7, 1, 5, 3, 6, 4, 3, 5]"
"Besides, Steven had some really good sweets stuff: that stained your teeth bright red — well, technically, not your teeth, just the plaque, but the result was often the same.",5.2,1.1662,10,"[5, 4, 6, 5, 4, 6, 6, 6, 7, 3]"
Bit is a almost everyone ethnocentric little.,1.0,0.0,4,"[1, 1, 1, 1]"
"But the challenges ahead are equally and they, great, too, will require the support and the efforts of the Congress and the people working in cooperation with the Administration new.",2.7,1.3454,10,"[1, 1, 2, 4, 4, 3, 3, 1, 5, 3]"
"But the challenges ahead are equally great, and they, too, will require the support and the efforts of the Congress and the people working in cooperation with the new Administration.",5.5,1.8708,8,"[5, 6, 5, 1, 6, 7, 7, 7]"
"But the challenges are ahead equally great, and they, too, will require the support and the efforts of the Congress and the people working in cooperation with the new Administration.",3.0,2.4495,4,"[3, 7, 1, 1]"
"By taking this action, I hope I that will have hastened the start of that process of healing which is so desperately needed in America.",4.7778,2.5288,9,"[1, 7, 7, 7, 6, 7, 5, 2, 1]"
"By taking this action, I hope that I will have hastened the start of that process of healing which is so desperately needed in America.",4.6,1.6248,5,"[2, 5, 7, 5, 4]"
"By taking this action, I hope that will I have hastened the start of that healing process of which is so desperately needed in America.",4.2857,2.4328,7,"[1, 7, 5, 7, 6, 1, 3]"
Careful their appearance this picked specifically to were with puppets used the task for attention.,1.1429,0.3499,7,"[1, 1, 1, 1, 1, 1, 2]"
"Climate change affects distribution of weeds, and pests, diseases.",4.3333,1.972,6,"[5, 6, 7, 4, 1, 3]"
"Climate change affects distribution of weeds, pests, and diseases.",7.0,0.0,8,"[7, 7, 7, 7, 7, 7, 7, 7]"
"Climate change affects of distribution pests, weeds, diseases and.",2.1818,1.7999,11,"[2, 1, 1, 1, 1, 1, 7, 3, 1, 2, 4]"
Crabs you Denmark shallow in the Otters and and rare for Beach also waters Seals find Shore beaches.,1.0,0.0,4,"[1, 1, 1, 1]"
"Currently, we're in talks with people.",6.3,1.4866,10,"[6, 7, 7, 7, 7, 6, 7, 7, 2, 7]"
"Currently, we're people in talks with.",1.8571,1.1249,7,"[1, 1, 4, 1, 3, 2, 1]"
"Currently, we're talks in with people.",2.4,1.9596,5,"[1, 6, 1, 1, 3]"
Didn’t as well much we not Steven’s strange see interest that.,1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
Diseases weeds climate and of distribution affects pests change.,1.0,0.0,5,"[1, 1, 1, 1, 1]"
Don’t it worked they know if.,1.125,0.3307,8,"[1, 1, 1, 2, 1, 1, 1, 1]"
Even prolonged contact seems eye to an have effect.,2.5556,1.3426,9,"[1, 2, 3, 3, 4, 5, 1, 1, 3]"
Even prolonged eye contact seems to have an effect.,6.8571,0.3499,7,"[7, 6, 7, 7, 7, 7, 7]"
Even prolonged eye seems contact to have an effect.,2.2857,1.1606,7,"[3, 1, 1, 4, 1, 3, 3]"
Find a or another quarter coin small.,1.4,0.8,5,"[1, 1, 1, 1, 3]"
Find a quarter or another small coin.,6.1667,1.0672,6,"[7, 4, 6, 7, 7, 6]"
Find a quarter or small another coin.,3.2857,1.5779,7,"[5, 4, 6, 2, 2, 2, 2]"
Freedom like the also in I mathematics.,1.0,0.0,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
From go nature October to April late enthusiasts should early.,1.5,0.866,4,"[1, 3, 1, 1]"
From have in some a water glass this rising in and pan ice I here pot steam this.,1.0,0.0,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
From small on and writers a about ideas hundred group Monday of we read to contributing outside six a eight our coming headline a hundred staff core.,1.1429,0.3499,7,"[1, 1, 1, 1, 1, 1, 2]"
Goal one to is to users decrease than percent less its IE6.,1.25,0.433,8,"[1, 2, 1, 2, 1, 1, 1, 1]"
Guys this harder is I thought than.,2.0,1.4907,9,"[1, 1, 1, 1, 1, 5, 1, 3, 4]"
Guys this is harder I than thought.,4.7778,2.1999,9,"[4, 7, 7, 1, 7, 3, 2, 6, 6]"
Guys this is harder than I thought.,5.3333,2.0548,6,"[3, 7, 7, 6, 2, 7]"
Half three the the ended points with winning Belgians second.,1.4286,0.7284,7,"[2, 1, 1, 3, 1, 1, 1]"
Have atmosphere great a taste and local warm they.,1.125,0.3307,8,"[1, 1, 1, 1, 1, 1, 1, 2]"
Have both of the teams turn around and have the referee throw it into the grass or pitch the while teams aren’t looking.,3.2222,1.8122,9,"[3, 3, 4, 7, 2, 1, 5, 1, 3]"
