unit,mean,std,n,individual_ratings
Andrew tried to remember what who wrote in the 1980s.,2.2667,1.1813,15,"[1, 1, 2, 4, 1, 2, 4, 2, 1, 2, 4, 4, 2, 3, 1]"
Andrew tried to remember what who wrote when.,1.8,0.9092,15,"[3, 1, 1, 3, 1, 1, 3, 3, 3, 1, 1, 2, 1, 2, 1]"
Andrew tried to remember who wrote what in the 1980s.,3.6,0.9522,15,"[2, 4, 4, 2, 2, 4, 5, 5, 4, 4, 4, 3, 3, 4, 4]"
Andrew tried to remember who wrote what when.,2.9333,1.1813,15,"[1, 4, 4, 4, 3, 2, 3, 4, 3, 5, 4, 2, 1, 2, 2]"
Peter tried to remember what who carried last week.,1.3333,0.4714,15,"[1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1]"
Peter tried to remember what who carried when.,2.0,1.0954,15,"[3, 1, 5, 3, 1, 2, 2, 2, 3, 1, 1, 2, 1, 2, 1]"
Peter tried to remember who carried what last week.,3.2143,1.1451,14,"[3, 3, 5, 2, 2, 4, 4, 5, 4, 1, 3, 4, 2, 3]"
Peter tried to remember who carried what when.,3.2667,1.0625,15,"[4, 4, 4, 4, 4, 3, 3, 5, 3, 5, 2, 2, 2, 2, 2]"
The American Idol organizers decided what who would sing in the next show.,1.8,1.0456,15,"[5, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 3, 2, 1]"
The American Idol organizers decided what who would sing when.,2.1333,0.8844,15,"[2, 3, 2, 1, 2, 1, 2, 1, 3, 1, 2, 3, 4, 2, 3]"
The American Idol organizers decided who would sing what in the next show.,4.0,1.1547,15,"[2, 5, 3, 5, 5, 5, 4, 2, 5, 5, 5, 4, 4, 4, 2]"
The American Idol organizers decided who would sing what when.,2.5333,1.0873,15,"[2, 5, 2, 2, 1, 2, 3, 3, 4, 2, 1, 2, 4, 2, 3]"
The Maitre d' tried to figure out what who served to the customers.,1.7333,0.9978,15,"[3, 1, 1, 2, 1, 1, 2, 3, 4, 1, 1, 1, 1, 3, 1]"
The Maitre d' tried to figure out what who served to whom.,2.0,1.2649,15,"[1, 1, 2, 4, 1, 5, 2, 2, 4, 2, 2, 1, 1, 1, 1]"
The Maitre d' tried to figure out who served what to the customers.,4.0,1.0328,15,"[2, 5, 4, 4, 4, 3, 5, 5, 5, 4, 5, 5, 4, 2, 3]"
The Maitre d' tried to figure out who served what to whom.,3.8,1.222,15,"[4, 5, 4, 2, 1, 5, 5, 5, 4, 2, 4, 4, 5, 4, 3]"
