unit,mean,std,n,individual_ratings
Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.,4.6303,0.7233,119,"[5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 5, 2, 5, 5, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 3, 4, 5, 4, 5, 4, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
"In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.",4.7083,0.7713,120,"[5, 5, 5, 5, 4, 5, 3, 5, 5, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5]"
John thought that Jack said that the reporter that the dog that the flea bit chased presented an interesting news story.,1.3417,0.6149,120,"[1, 3, 1, 1, 1, 1, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1]"
Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.,4.3417,0.983,120,"[5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 5, 5, 4, 3, 4, 2, 4, 5, 2, 4, 5, 3, 5, 5, 2, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 4, 5, 4, 5, 3, 4, 5, 3, 4, 4, 5, 4, 4, 5, 5, 5, 3, 1, 5, 5, 4, 5, 3, 3, 4, 5, 5, 5, 5, 4, 5, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 3, 5, 2, 5, 5, 5, 4, 5, 4, 2, 5, 5]"
"Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.",4.7227,0.6368,119,"[5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 4, 5, 3, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5]"
The activist petitioned the sponsor about the bill who was speaking out against immigration.,2.3083,1.0108,120,"[4, 3, 4, 4, 2, 1, 3, 2, 3, 1, 3, 2, 5, 2, 1, 2, 3, 2, 2, 2, 4, 2, 2, 4, 2, 2, 1, 2, 4, 4, 2, 2, 2, 2, 2, 4, 2, 1, 3, 3, 2, 2, 1, 2, 2, 2, 3, 5, 1, 2, 4, 2, 1, 2, 2, 4, 4, 4, 1, 2, 2, 4, 2, 1, 4, 1, 2, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 3, 4, 2, 2, 2, 3, 2, 2, 1, 3, 2, 2, 4, 2, 3, 1, 2, 3, 2, 3, 3, 1, 2, 2, 3, 1, 1, 2, 2, 1, 2, 1, 3, 2, 2, 1, 3, 2, 5, 2, 2, 2]"
The actor who the musician who the producer worked with admired was promoted by the agent.,1.3667,0.4901,30,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2]"
The actor who the musician who worked with the producer admired was promoted by the agent.,1.6,0.724,30,"[1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 3, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 3, 1]"
The actress who the preacher was sleeping with had scandalized the parishioners who were overlooked by the newsman.,2.2667,1.0998,15,"[3, 4, 2, 2, 2, 1, 2, 2, 1, 3, 1, 5, 2, 2, 2]"
The actress who the preacher was sleeping with had scandalized the parishioners.,3.6,1.1212,15,"[4, 1, 4, 3, 4, 4, 4, 5, 5, 2, 3, 3, 3, 4, 5]"
The actress who was sleeping with the preacher had scandalized the parishioners who were overlooked by the newsman.,3.0,1.3093,15,"[2, 1, 5, 5, 4, 3, 4, 2, 1, 2, 3, 2, 3, 4, 4]"
The actress who was sleeping with the preacher had scandalized the parishioners.,3.6667,0.8997,15,"[2, 4, 4, 4, 4, 4, 5, 4, 3, 3, 4, 5, 4, 2, 3]"
The agent approached the publicists about the photo-shoot.,4.6917,0.7756,120,"[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 2, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 4, 5, 4, 4, 4, 5]"
The architect who met the contractor designed the building which was commissioned by the city.,3.3333,1.0465,15,"[5, 3, 3, 2, 3, 4, 3, 4, 2, 4, 4, 2, 5, 4, 2]"
The architect who met the contractor designed the building.,3.2857,1.1387,14,"[2, 4, 3, 3, 3, 2, 1, 4, 5, 4, 5, 4, 3, 3]"
The architect who the contractor met designed the building which was commissioned by the city.,3.2,1.0142,15,"[2, 3, 3, 4, 3, 4, 4, 2, 2, 2, 4, 2, 5, 4, 4]"
The architect who the contractor met designed the building.,3.0667,1.0328,15,"[4, 4, 4, 2, 4, 2, 3, 3, 4, 2, 3, 4, 1, 2, 4]"
The assistant who the physicist who joked with the engineer greeted was bothered by the students.,1.3448,0.5526,29,"[2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
The assistant who the physicist who the engineer joked with greeted was bothered by the students.,1.1,0.4026,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]"
The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.,2.6186,1.0534,118,"[1, 3, 4, 4, 2, 3, 1, 2, 1, 3, 3, 2, 4, 2, 4, 4, 5, 2, 3, 5, 1, 2, 4, 2, 2, 3, 2, 4, 2, 3, 2, 4, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2, 3, 2, 5, 3, 3, 4, 2, 4, 1, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 2, 5, 2, 2, 2, 2, 4, 3, 2, 2, 3, 2, 1, 2, 3, 3, 3, 1, 4, 3, 3, 2, 5, 2, 2, 5, 4, 4, 2, 2, 4, 2, 2, 2, 1, 2, 1, 3, 5, 2, 1, 2, 2, 4, 4, 4, 2]"
The athlete who the fan was friends with had upset the coach who was supported by the official.,2.5333,0.9904,15,"[5, 3, 3, 2, 2, 2, 2, 3, 2, 2, 1, 2, 4, 3, 2]"
The athlete who the fan was friends with had upset the coach.,3.1333,0.8338,15,"[2, 3, 4, 3, 4, 2, 3, 3, 5, 3, 3, 4, 3, 3, 2]"
The athlete who was friends with the fan had upset the coach who was supported by the official.,2.8,1.1464,15,"[4, 4, 2, 1, 2, 3, 4, 2, 3, 2, 4, 4, 4, 1, 2]"
The athlete who was friends with the fan had upset the coach.,3.2,1.2071,15,"[3, 3, 5, 1, 4, 4, 2, 4, 4, 5, 2, 4, 2, 2, 3]"
The auditor who the salesman who did business with the customer called was sent by the IRS.,1.4667,0.6814,30,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 3, 1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2]"
