unit,mean,std,n,individual_ratings
I abandoned my chemistry home work that was due today at 10 am.,4.7875,1.6966,80,"[3, 7, 3, 5, 6, 7, 6, 5, 5, 6, 6, 5, 1, 5, 7, 6, 5, 3, 5, 5, 6, 3, 3, 5, 7, 3, 4, 2, 6, 1, 3, 6, 3, 6, 3, 3, 5, 6, 6, 7, 6, 5, 2, 4, 6, 6, 7, 7, 6, 3, 5, 2, 3, 3, 5, 5, 6, 7, 1, 7, 6, 6, 4, 6, 6, 4, 6, 6, 4, 2, 7, 3, 3, 2, 3, 6, 6, 7, 6, 5]"
I am wearing glasses.,6.6329,0.7709,79,"[7, 7, 7, 4, 7, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 6, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 5, 4, 7, 4, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7]"
I ate an oatmeal raisin granola bar.,6.45,1.0897,80,"[7, 7, 7, 5, 7, 5, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 4, 6, 7, 7, 7, 6, 7, 6, 7, 6, 4, 5, 7, 2, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 7, 2, 4, 7, 4, 7, 7, 7, 7, 5, 7, 7, 6, 7, 7, 7]"
I attended the intriguing lecture that the professor taught on inchworms.,4.9125,1.5442,80,"[5, 7, 6, 3, 3, 4, 6, 4, 6, 6, 6, 5, 4, 3, 4, 5, 6, 3, 7, 6, 6, 5, 3, 3, 7, 5, 4, 2, 2, 4, 6, 7, 5, 6, 3, 3, 6, 4, 6, 7, 6, 3, 2, 5, 6, 5, 3, 7, 6, 5, 6, 2, 4, 5, 7, 4, 7, 6, 3, 7, 6, 6, 4, 4, 7, 5, 2, 7, 7, 5, 2, 5, 3, 5, 4, 4, 6, 7, 6, 6]"
I attended the same local college that my dad attended in 1977.,5.9114,1.4693,79,"[6, 7, 6, 6, 7, 7, 3, 6, 7, 6, 6, 6, 7, 1, 7, 6, 1, 7, 6, 7, 3, 4, 6, 7, 6, 4, 7, 7, 7, 7, 7, 4, 7, 5, 6, 6, 6, 7, 7, 4, 7, 6, 7, 7, 6, 7, 7, 7, 6, 6, 7, 4, 7, 6, 3, 6, 7, 3, 7, 7, 7, 5, 6, 7, 7, 4, 7, 3, 7, 7, 7, 6, 3, 6, 7, 5, 6, 7, 5]"
I borrowed a pencil.,6.6456,0.7345,79,"[7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 5, 4, 7, 7, 5, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 6, 6, 5, 7, 4, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7]"
I bought a laptop.,6.725,0.8109,80,"[7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 6, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 4, 7, 4, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7]"
I bought a new purple dress that was silk for the prom.,4.2152,1.8651,79,"[6, 7, 3, 7, 6, 7, 3, 1, 1, 5, 3, 3, 3, 6, 3, 4, 7, 7, 3, 5, 5, 2, 3, 6, 5, 4, 3, 2, 1, 3, 6, 5, 2, 3, 2, 6, 6, 7, 5, 3, 4, 7, 4, 6, 5, 6, 7, 3, 2, 6, 1, 5, 4, 2, 5, 6, 7, 2, 6, 6, 5, 4, 3, 2, 3, 1, 6, 1, 4, 1, 3, 3, 3, 6, 5, 3, 5, 6, 6]"
I bought the peanut butter that was on sale.,6.3125,1.2283,80,"[7, 7, 7, 5, 7, 7, 7, 7, 2, 7, 7, 5, 7, 7, 7, 6, 6, 6, 7, 7, 7, 5, 4, 6, 7, 3, 4, 5, 7, 2, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 5, 7, 7, 7, 7, 6, 4, 6, 7, 7, 7, 6, 7, 5, 4, 7, 4, 7, 7, 7, 7, 5, 7, 4, 7, 7, 7, 7]"
I broke apart the kids.,3.85,2.3005,20,"[7, 3, 7, 4, 1, 7, 6, 1, 6, 1, 1, 5, 2, 1, 3, 6, 6, 3, 2, 5]"
