unit,mean,std,n,individual_ratings
The accountant beside the millionaire,4.75,0.4523,12,"[5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4]"
The accountant beside the millionaires,3.75,1.0553,12,"[3, 5, 4, 3, 2, 5, 3, 4, 5, 3, 5, 3]"
The accountant for the millionaire,4.9167,0.2887,12,"[5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
The accountant for the millionaires,4.9167,0.2887,12,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]"
The accountant of the millionaire,4.75,0.866,12,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5]"
The accountant of the millionaires,4.4167,1.2401,12,"[3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
The accountant with the millionaire,4.25,0.9653,12,"[5, 5, 4, 2, 5, 5, 4, 5, 4, 4, 3, 5]"
The accountant with the millionaires,4.0833,1.3114,12,"[4, 5, 5, 2, 4, 5, 4, 4, 5, 5, 5, 1]"
The accountants beside the millionaire,4.3333,0.9847,12,"[5, 4, 4, 5, 3, 2, 5, 5, 5, 4, 5, 5]"
The accountants beside the millionaires,4.3333,0.7785,12,"[5, 5, 5, 4, 4, 5, 5, 3, 5, 4, 3, 4]"
The accountants for the millionaire,4.6667,1.1547,12,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
The accountants for the millionaires,4.3333,1.2309,12,"[5, 5, 5, 4, 5, 5, 3, 4, 5, 5, 5, 1]"
The accountants of the millionaire,4.8333,0.3892,12,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5]"
The accountants of the millionaires,4.7273,0.6467,11,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5]"
The accountants with the millionaire,4.7273,0.4671,11,"[5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4]"
The accountants with the millionaires,4.0833,1.2401,12,"[4, 5, 3, 4, 5, 5, 3, 5, 5, 5, 4, 1]"
The advisor beside the attorney,4.4545,0.6876,11,"[5, 4, 4, 4, 5, 5, 5, 3, 5, 4, 5]"
The advisor beside the attorneys,4.4167,0.793,12,"[5, 4, 5, 3, 5, 5, 4, 5, 5, 3, 4, 5]"
The advisor for the attorney,4.4545,1.0357,11,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 3]"
The advisor for the attorneys,4.4167,0.6686,12,"[4, 5, 5, 5, 5, 4, 5, 3, 5, 4, 4, 4]"
The advisor of the attorney,4.4545,0.6876,11,"[4, 4, 5, 3, 5, 5, 4, 5, 5, 5, 4]"
The advisor of the attorneys,4.25,0.866,12,"[5, 5, 4, 5, 4, 5, 5, 3, 3, 4, 3, 5]"
The advisor with the attorney,4.5833,0.6686,12,"[5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 3, 5]"
The advisor with the attorneys,4.5833,0.6686,12,"[5, 5, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5]"
The advisors beside the attorney,4.6667,0.7785,12,"[3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The advisors beside the attorneys,4.8333,0.5774,12,"[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
The advisors for the attorney,4.3333,0.6513,12,"[5, 5, 4, 4, 3, 5, 4, 4, 5, 4, 5, 4]"
The advisors for the attorneys,4.3333,0.8876,12,"[5, 3, 5, 5, 3, 3, 5, 5, 4, 5, 5, 4]"
The advisors of the attorney,4.25,1.2154,12,"[5, 5, 4, 4, 3, 5, 5, 4, 5, 5, 1, 5]"
The advisors of the attorneys,4.75,0.6216,12,"[5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5]"
The advisors with the attorney,4.6667,0.7785,12,"[5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5]"
The advisors with the attorneys,4.5833,0.9003,12,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 2, 5, 4]"
The agent behind the artist,4.1818,1.2505,11,"[4, 4, 4, 5, 5, 5, 3, 5, 1, 5, 5]"
The agent behind the artists,4.5,0.9045,12,"[4, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4]"
The agent for the artist,4.6667,0.4924,12,"[5, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 5]"
The agent for the artists,4.5833,0.9962,12,"[5, 5, 5, 5, 5, 3, 5, 2, 5, 5, 5, 5]"
The agent of the artist,4.6667,0.6513,12,"[4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5]"
The agent of the artists,4.5,0.9045,12,"[5, 5, 5, 5, 3, 3, 5, 5, 5, 3, 5, 5]"
The agent with the artist,3.6667,1.3707,12,"[4, 4, 5, 5, 5, 4, 3, 5, 1, 4, 2, 2]"
The agent with the artists,4.6667,0.7785,12,"[5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5]"
The agents behind the artist,4.0,1.1832,11,"[3, 5, 5, 3, 5, 5, 5, 5, 3, 2, 3]"
The agents behind the artists,4.0,1.0445,12,"[3, 5, 5, 5, 5, 2, 3, 4, 5, 3, 4, 4]"
The agents for the artist,4.6667,0.6513,12,"[5, 5, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5]"
The agents for the artists,4.5833,0.793,12,"[5, 4, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
The agents of the artist,3.5833,1.505,12,"[5, 4, 4, 2, 5, 5, 1, 4, 1, 4, 3, 5]"
The agents of the artists,4.5833,1.1645,12,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 1, 5]"
The agents with the artist,3.4167,1.2401,12,"[2, 3, 3, 3, 5, 5, 3, 3, 5, 4, 4, 1]"
The agents with the artists,3.5833,1.379,12,"[2, 5, 3, 5, 4, 1, 4, 5, 3, 2, 4, 5]"
The apple with the brown spot,4.9167,0.4082,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The apple with the brown spots,5.0,0.0,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The apple with the fresh peach,3.7083,1.459,24,"[1, 4, 5, 5, 5, 4, 4, 5, 2, 2, 3, 5, 1, 4, 5, 4, 5, 1, 4, 3, 2, 5, 5, 5]"
The apple with the fresh peaches,3.3043,1.3292,23,"[2, 1, 3, 3, 2, 5, 3, 5, 3, 5, 2, 5, 2, 3, 3, 2, 2, 5, 4, 4, 2, 5, 5]"
The apples with the brown spot,4.25,1.327,24,"[4, 5, 1, 2, 5, 5, 2, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4]"
The apples with the brown spots,4.8333,0.4815,24,"[3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The apples with the fresh peach,3.5,1.3831,24,"[5, 5, 3, 5, 2, 1, 5, 5, 3, 4, 4, 2, 3, 1, 5, 3, 5, 5, 2, 5, 3, 3, 3, 2]"
The apples with the fresh peaches,4.0833,1.4421,24,"[3, 2, 5, 5, 5, 4, 2, 5, 1, 1, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 3, 5, 5, 5]"
The apprentice behind the tailor,4.8333,0.3892,12,"[5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5]"
The apprentice behind the tailors,3.7273,1.2721,11,"[1, 4, 3, 4, 5, 5, 5, 4, 4, 2, 4]"
The apprentice for the tailor,4.5,0.7977,12,"[4, 5, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5]"
The apprentice for the tailors,4.0,1.206,12,"[1, 5, 5, 4, 4, 5, 4, 3, 5, 3, 4, 5]"
The apprentice of the tailor,5.0,0.0,12,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The apprentice of the tailors,4.1667,1.3371,12,"[5, 4, 2, 4, 5, 5, 1, 4, 5, 5, 5, 5]"
The apprentice with the tailor,4.1667,1.1146,12,"[5, 3, 4, 5, 5, 5, 5, 5, 3, 2, 5, 3]"
The apprentice with the tailors,4.25,0.866,12,"[4, 4, 4, 4, 5, 5, 4, 4, 5, 5, 5, 2]"
The apprentices behind the tailor,3.75,1.2154,12,"[5, 4, 2, 4, 5, 2, 4, 3, 2, 4, 5, 5]"
The apprentices behind the tailors,3.3333,1.1547,12,"[4, 2, 4, 2, 2, 4, 3, 4, 2, 5, 5, 3]"
The apprentices for the tailor,4.3333,0.9847,12,"[5, 5, 4, 5, 5, 2, 4, 5, 4, 3, 5, 5]"
The apprentices for the tailors,4.7273,0.6467,11,"[3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
The apprentices of the tailor,4.8333,0.3892,12,"[5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5]"
The apprentices of the tailors,4.4167,0.793,12,"[3, 4, 4, 5, 5, 5, 5, 4, 5, 5, 3, 5]"
The apprentices with the tailor,4.1667,0.8348,12,"[5, 5, 4, 5, 4, 5, 3, 5, 4, 3, 4, 3]"
The apprentices with the tailors,3.3333,1.6143,12,"[3, 5, 4, 1, 3, 5, 3, 4, 5, 5, 1, 1]"
The assistant for the inspector,4.4545,0.6876,11,"[4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 5]"
The assistant for the inspectors,4.8333,0.3892,12,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5]"
The assistant near the inspector,4.3636,1.2863,11,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 1, 3]"
The assistant near the inspectors,3.9167,0.9962,12,"[3, 5, 2, 5, 4, 4, 3, 3, 5, 5, 4, 4]"
The assistant of the inspector,4.7273,0.6467,11,"[5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5]"
The assistant of the inspectors,4.6667,0.8876,12,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5]"
The assistant with the inspector,4.5,0.7977,12,"[3, 3, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5]"
The assistant with the inspectors,4.1667,1.0299,12,"[5, 5, 5, 5, 3, 2, 3, 4, 5, 4, 4, 5]"
The assistants for the inspector,4.8333,0.3892,12,"[5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5]"
The assistants for the inspectors,4.3333,0.7785,12,"[5, 3, 4, 5, 4, 5, 5, 5, 4, 3, 5, 4]"
The assistants near the inspector,3.5,1.2432,12,"[5, 5, 4, 3, 2, 3, 3, 3, 5, 2, 5, 2]"
The assistants near the inspectors,4.0833,1.1645,12,"[4, 2, 5, 4, 5, 3, 5, 5, 4, 5, 5, 2]"
The assistants of the inspector,4.5833,0.6686,12,"[3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
The assistants of the inspectors,4.75,0.4523,12,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4]"
The assistants with the inspector,3.9167,1.379,12,"[3, 5, 4, 2, 4, 5, 3, 5, 5, 5, 5, 1]"
The assistants with the inspectors,4.1667,0.8348,12,"[3, 4, 4, 4, 5, 5, 4, 5, 5, 3, 5, 3]"
The bed with the creaky spring,4.7917,0.4149,24,"[5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The bed with the creaky springs,4.9583,0.2041,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The bed with the tall bookcase,3.2917,1.6011,24,"[2, 5, 2, 3, 2, 3, 4, 5, 5, 5, 4, 1, 4, 1, 5, 5, 2, 1, 5, 2, 2, 1, 5, 5]"
The bed with the tall bookcases,3.1667,1.4939,24,"[2, 3, 1, 5, 5, 2, 5, 3, 2, 1, 1, 3, 2, 2, 1, 4, 4, 3, 4, 5, 5, 5, 3, 5]"
The beds with the creaky spring,4.25,1.1516,24,"[4, 5, 4, 5, 4, 5, 4, 5, 4, 2, 5, 2, 1, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5]"
The beds with the creaky springs,4.9167,0.4082,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
The beds with the tall bookcase,2.3913,1.3052,23,"[1, 1, 1, 5, 1, 5, 2, 2, 1, 5, 2, 2, 1, 3, 2, 2, 2, 2, 4, 3, 3, 2, 3]"
The beds with the tall bookcases,3.0833,1.1389,24,"[4, 3, 2, 1, 4, 3, 5, 5, 2, 4, 2, 3, 2, 2, 4, 4, 3, 5, 2, 3, 3, 2, 4, 2]"
The bike with the bent pedal,4.5652,1.0369,23,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 2, 5, 5, 5, 1, 5, 5]"
The bike with the bent pedals,4.6667,0.637,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 5, 5, 4, 5, 3, 5, 5, 4]"
The bike with the green surfboard,2.25,1.327,24,"[3, 3, 2, 1, 1, 4, 1, 4, 1, 4, 1, 1, 2, 2, 2, 5, 1, 4, 1, 3, 4, 2, 1, 1]"
The bike with the green surfboards,2.5833,1.5581,24,"[4, 5, 2, 3, 2, 1, 1, 2, 1, 1, 2, 1, 5, 5, 5, 2, 3, 4, 5, 1, 1, 2, 1, 3]"
The bikes with the bent pedal,3.5,1.5604,24,"[4, 3, 5, 2, 1, 2, 1, 5, 1, 4, 5, 5, 4, 5, 2, 4, 4, 2, 5, 5, 4, 5, 5, 1]"
The bikes with the bent pedals,4.9167,0.4082,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The bikes with the green surfboard,2.5417,1.503,24,"[2, 1, 2, 2, 3, 4, 2, 2, 5, 5, 2, 1, 3, 1, 5, 5, 1, 1, 3, 1, 2, 1, 5, 2]"
The bikes with the green surfboards,2.3333,1.2039,24,"[2, 2, 2, 1, 4, 4, 2, 4, 1, 1, 1, 3, 1, 3, 2, 1, 4, 1, 5, 2, 3, 2, 2, 3]"
The blanket with the clean skirt,2.2917,1.1971,24,"[1, 2, 2, 3, 3, 4, 1, 5, 1, 2, 3, 2, 4, 3, 2, 1, 4, 2, 3, 3, 1, 1, 1, 1]"
The blanket with the clean skirts,2.9583,1.4885,24,"[4, 2, 4, 3, 3, 1, 4, 1, 5, 1, 1, 3, 4, 5, 2, 2, 4, 5, 1, 4, 4, 5, 1, 2]"
The blanket with the soft fringe,4.7917,0.509,24,"[3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
The blanket with the soft fringes,4.7917,0.509,24,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 3]"
The blankets with the clean skirt,2.375,1.0959,24,"[4, 2, 2, 1, 2, 3, 4, 3, 1, 2, 1, 3, 2, 3, 2, 2, 1, 1, 3, 4, 4, 2, 1, 4]"
The blankets with the clean skirts,2.9167,1.472,24,"[4, 5, 3, 2, 5, 3, 1, 4, 1, 2, 3, 1, 2, 3, 5, 2, 5, 5, 5, 2, 1, 2, 2, 2]"
The blankets with the soft fringe,4.619,0.8646,21,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 2, 5, 4]"
